,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away,target
0,22024,201942,22400180,"NOV 06, 2024",SAC vs. TOR,W,35,11,21,0.524,2,4,0.5,3,3,1.0,0,2,2,3,1,0,3,1,27,15,1,26.6,10.2,19.2,1.6,0.8,2.4,0.546,37.4,8.4,25.428571428571427,SAC,1610612758,TOR,1610612761,G-F,1,0,0,1,1,0,35.0,78,220,5,3,118.75,4,1,117.2,2,7,124.66666666666669,1,1,126.6,1,1
1,22024,201942,22400196,"NOV 08, 2024",SAC vs. LAC,L,40,5,12,0.417,0,2,0.0,3,4,0.75,0,1,1,6,2,0,2,1,13,-9,1,25.2,9.4,18.8,1.8,0.6,2.6,0.5008,38.6,4.0,25.625,SAC,1610612758,LAC,1610612746,G-F,1,0,0,1,1,0,35.0,78,220,5,4,116.44444444444444,4,1,119.4,5,4,106.66666666666669,2,1,107.8,1,0
2,22024,201942,22400209,"NOV 10, 2024",SAC @ PHX,W,43,14,25,0.56,1,1,1.0,5,6,0.833,0,3,3,3,1,0,2,0,34,6,1,26.6,10.4,20.6,1.4,0.4,2.8,0.5002000000000001,39.4,3.2,24.22222222222222,SAC,1610612758,PHX,1610612756,G-F,1,0,0,1,1,0,35.0,78,220,6,4,117.5,3,2,116.4,8,2,112.7,5,2,115.0,0,1
3,22024,201942,22400216,"NOV 11, 2024",SAC @ SAS,L,38,8,15,0.533,1,1,1.0,4,5,0.8,1,7,8,6,1,2,0,1,21,-11,1,24.2,9.6,18.2,1.0,0.8,1.6,0.518,38.4,-0.2,25.2,SAC,1610612758,SAS,1610612759,G-F,1,0,0,1,1,0,35.0,78,220,6,5,115.54545454545456,3,2,117.2,5,6,107.27272727272728,2,2,109.0,0,1
4,22024,201942,22400227,"NOV 13, 2024",SAC vs. PHX,W,17,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,3,1,2,2,1,2,0,1,19.4,7.8,15.0,1.2,0.8,1.8,0.5068,34.6,0.2,24.818181818181817,SAC,1610612758,PHX,1610612756,G-F,1,0,0,1,1,0,35.0,78,220,7,5,116.5,3,2,110.8,9,3,113.83333333333331,4,2,117.0,1,0
5,22024,201942,22400034,"NOV 22, 2024",SAC @ LAC,L,36,6,19,0.316,0,5,0.0,4,8,0.5,0,6,6,2,1,1,2,3,16,-8,1,17.2,6.8,14.6,1.2,1.0,1.6,0.4652,34.8,-4.4,22.916666666666668,SAC,1610612758,LAC,1610612746,G-F,1,0,0,1,1,0,35.0,78,220,8,8,115.0625,2,3,115.6,10,7,106.94117647058825,3,3,105.8,0,0
6,22024,201942,22400276,"NOV 24, 2024",SAC vs. BKN,L,36,7,18,0.389,0,2,0.0,4,6,0.667,1,4,5,5,0,0,3,4,18,0,1,18.2,7.2,15.8,0.8,1.0,1.8,0.4596,34.0,-2.6,22.384615384615383,SAC,1610612758,BKN,1610612751,G-F,1,0,0,1,1,0,35.0,78,220,8,9,114.3529411764706,2,3,114.0,7,10,113.88235294117646,1,3,110.8,1,0
7,22024,201942,22400285,"NOV 25, 2024",SAC vs. OKC,L,36,13,21,0.619,0,2,0.0,4,4,1.0,0,2,2,6,1,0,0,1,30,-14,1,17.4,7.0,15.0,0.8,1.0,1.4,0.4714,32.6,-6.6,22.071428571428573,SAC,1610612758,OKC,1610612760,G-F,1,0,0,1,1,0,35.0,78,220,8,10,114.05555555555556,1,4,109.2,13,4,103.94117647058825,3,4,107.4,1,1
8,22024,201942,22400313,"DEC 01, 2024",SAC vs. SAS,L,37,10,20,0.5,0,1,0.0,8,9,0.889,1,4,5,8,3,0,0,0,28,0,1,18.8,7.4,16.0,1.2,0.6,1.4,0.4648,32.4,-4.4,22.6,SAC,1610612758,SAS,1610612759,G-F,1,0,0,1,1,0,35.0,78,220,9,12,114.23809523809524,1,4,104.2,11,9,110.75,4,4,113.8,1,1
9,22024,201942,22400059,"DEC 03, 2024",SAC vs. HOU,W,34,6,15,0.4,0,2,0.0,4,5,0.8,0,5,5,5,1,1,2,2,16,17,1,21.6,8.4,18.6,1.2,0.4,1.4,0.4448,35.8,-1.0,22.9375,SAC,1610612758,HOU,1610612745,G-F,1,0,0,1,1,0,35.0,78,220,10,12,114.5,1,4,111.6,15,7,106.95454545454544,4,4,114.4,1,0
