,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,201942,22400180,"NOV 06, 2024",SAC vs. TOR,W,35,11,21,0.524,2,4,0.5,3,3,1.0,0,2,2,3,1,0,3,1,27,15,1,SAC,1610612758,TOR,1610612761,1,G-F,1,0,0,1,1,0,35.0,78,220,5,3,118.8,4,1,119.4,2,7,124.7,1,4,123.0,8.4,6.285714285714286,37.39333333333333,37.57708333333333,26.6,25.6,10.2,9.25,19.2,17.5,0.531,0.529,1.2,1.0,3.0,2.625,0.4,0.381,5.0,6.125,5.6,7.0,0.893,0.875,0.6,0.625,1.6,1.88,1
1,22024,201942,22400196,"NOV 08, 2024",SAC vs. LAC,L,40,5,12,0.417,0,2,0.0,3,4,0.75,0,1,1,6,2,0,2,1,13,-9,1,SAC,1610612758,LAC,1610612746,1,G-F,1,0,0,1,1,0,35.0,78,220,5,4,116.4,3,2,116.4,5,4,106.7,3,2,108.2,4.0,7.375,38.50333333333333,37.80185185,25.2,24.2,9.4,8.777777777777779,18.8,16.88888888888889,0.5,0.52,1.2,0.8888888888888888,3.2,2.555555555555556,0.375,0.348,5.2,5.777777777777778,5.8,6.666666666666667,0.897,0.867,0.4,0.5555555555555556,1.8,1.89,0
2,22024,201942,22400209,"NOV 10, 2024",SAC @ PHX,W,43,14,25,0.56,1,1,1.0,5,6,0.833,0,3,3,3,1,0,2,0,34,6,1,SAC,1610612758,PHX,1610612756,0,G-F,1,0,0,1,1,0,35.0,78,220,6,4,117.5,3,2,117.2,8,2,112.7,4,1,113.6,3.2,5.555555555555555,39.28,38.28833333333333,26.6,25.2,10.4,9.3,20.6,17.7,0.505,0.525,1.2,0.9,3.2,2.4,0.375,0.375,4.6,5.7,5.0,6.6,0.92,0.864,0.2,0.5,1.4,1.8,1
3,22024,201942,22400216,"NOV 11, 2024",SAC @ SAS,L,38,8,15,0.533,1,1,1.0,4,5,0.8,1,7,8,6,1,2,0,1,21,-11,1,SAC,1610612758,SAS,1610612759,0,G-F,1,0,0,1,1,0,35.0,78,220,6,5,115.5,3,2,110.8,5,6,107.3,2,3,109.6,-0.2,5.6,38.21,38.21969696666667,24.2,24.8,9.6,9.181818181818182,18.2,17.454545454545453,0.527,0.526,1.0,0.9090909090909092,2.0,2.272727272727273,0.5,0.4,4.0,5.545454545454546,4.6,6.454545454545454,0.87,0.859,0.4,0.5454545454545454,1.0,1.73,0
4,22024,201942,22400227,"NOV 13, 2024",SAC vs. PHX,W,17,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,3,1,2,2,1,2,0,1,SAC,1610612758,PHX,1610612756,1,G-F,1,0,0,1,1,0,35.0,78,220,7,5,116.5,3,2,114.0,9,3,113.8,3,2,114.2,0.2,4.090909090909091,34.5,36.4875,19.4,22.9,7.8,8.5,15.0,16.166666666666668,0.52,0.526,0.8,0.8333333333333334,1.6,2.083333333333333,0.5,0.4,3.0,5.083333333333333,3.6,5.916666666666667,0.833,0.859,0.4,0.5833333333333334,1.2,1.67,0
5,22024,201942,22400034,"NOV 22, 2024",SAC @ LAC,L,36,6,19,0.316,0,5,0.0,4,8,0.5,0,6,6,2,1,1,2,3,16,-8,1,SAC,1610612758,LAC,1610612746,0,G-F,1,0,0,1,1,0,35.0,78,220,8,8,115.1,2,3,114.0,10,7,106.9,4,1,106.0,-4.4,3.75,26.775,36.45897435,9.0,22.4,3.5,8.307692307692308,10.5,16.384615384615383,0.333,0.507,0.0,0.7692307692307693,2.5,2.3076923076923075,0.0,0.333,2.0,5.0,4.0,6.076923076923077,0.5,0.823,0.5,0.5384615384615384,1.0,1.62,0
6,22024,201942,22400276,"NOV 24, 2024",SAC vs. BKN,L,36,7,18,0.389,0,2,0.0,4,6,0.667,1,4,5,5,0,0,3,4,18,0,1,SAC,1610612758,BKN,1610612751,1,G-F,1,0,0,1,1,0,35.0,78,220,8,9,114.4,1,4,109.2,7,10,113.9,2,3,109.6,-2.6,2.8461538461538463,35.916666666666664,36.40595236666667,17.0,22.1,6.5,8.214285714285714,18.5,16.5,0.351,0.498,0.0,0.7142857142857143,3.5,2.2857142857142856,0.0,0.313,4.0,4.928571428571429,7.0,6.071428571428571,0.571,0.812,0.5,0.5714285714285714,0.5,1.5,0
7,22024,201942,22400285,"NOV 25, 2024",SAC vs. OKC,L,36,13,21,0.619,0,2,0.0,4,4,1.0,0,2,2,6,1,0,0,1,30,-14,1,SAC,1610612758,OKC,1610612760,1,G-F,1,0,0,1,1,0,35.0,78,220,8,10,114.1,1,4,105.8,13,4,103.9,3,2,112.2,-6.6,2.642857142857143,35.78333333333333,36.34666666666666,21.3,22.6,8.666666666666666,8.533333333333333,19.33333333333333,16.8,0.448,0.508,0.0,0.6666666666666666,3.0,2.2666666666666666,0.0,0.294,4.0,4.866666666666666,6.0,5.933333333333334,0.667,0.82,0.3333333333333333,0.5333333333333333,0.67,1.47,1
8,22024,201942,22400313,"DEC 01, 2024",SAC vs. SAS,L,37,10,20,0.5,0,1,0.0,8,9,0.889,1,4,5,8,3,0,0,0,28,0,1,SAC,1610612758,SAS,1610612759,1,G-F,1,0,0,1,1,0,35.0,78,220,9,12,114.2,1,4,111.6,11,9,110.8,4,1,117.2,-4.4,1.5333333333333334,36.0,36.37291666666667,25.3,22.9,10.0,8.625,19.666666666666668,17.0,0.508,0.507,0.0,0.625,1.6666666666666667,2.1875,0.0,0.286,5.333333333333333,5.0625,6.333333333333333,6.125,0.842,0.827,0.6666666666666666,0.5625,1.33,1.56,1
9,22024,201942,22400059,"DEC 03, 2024",SAC vs. HOU,W,34,6,15,0.4,0,2,0.0,4,5,0.8,0,5,5,5,1,1,2,2,16,17,1,SAC,1610612758,HOU,1610612745,1,G-F,1,0,0,1,1,0,35.0,78,220,10,12,114.5,2,3,115.0,15,7,107.0,3,2,113.4,-1.0,1.4375,35.37777776666667,36.2245098,24.7,22.5,9.666666666666666,8.470588235294118,18.666666666666668,16.88235294117647,0.518,0.502,0.0,0.5882352941176471,1.6666666666666667,2.176470588235294,0.0,0.27,5.333333333333333,5.0,6.0,6.0588235294117645,0.889,0.825,0.3333333333333333,0.5294117647058824,1.67,1.53,0
