,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away
0,22024,1629661,0022400064,"OCT 23, 2024",BKN @ ATL,L,32,4,10,0.4,1,6,0.167,5,6,0.833,0,4,4,0,1,1,0,3,14,-10,1,14.0,4.0,10.0,1.0,1.0,0.0,0.4,32.0,-10.0,,BKN,1610612751,ATL,1610612737,119.8,111.5,107.5,107.3,F,28.0,80,210,0
1,22024,1629661,0022400077,"OCT 25, 2024",BKN @ ORL,L,35,4,12,0.333,2,10,0.2,2,3,0.667,1,1,2,2,0,1,2,4,12,-14,1,13.0,4.0,11.0,0.5,1.0,1.0,0.36650000000000005,33.5,-12.0,14.0,BKN,1610612751,ORL,1610612753,103.2,104.3,107.5,107.3,F,28.0,80,210,0
2,22024,1629661,0022400098,"OCT 27, 2024",BKN vs. MIL,W,29,5,12,0.417,3,9,0.333,0,0,0.0,0,6,6,3,2,0,1,3,13,2,1,13.0,4.333333333333333,11.333333333333334,1.0,0.6666666666666666,1.0,0.3833333333333333,32.0,-7.333333333333333,13.0,BKN,1610612751,MIL,1610612749,111.0,109.0,107.5,107.3,F,28.0,80,210,1
3,22024,1629661,0022400113,"OCT 29, 2024",BKN vs. DEN,L,40,7,14,0.5,6,10,0.6,0,0,0.0,1,6,7,5,1,0,0,2,20,-12,1,14.75,5.0,12.0,1.0,0.5,0.75,0.4125,34.0,-8.5,13.0,BKN,1610612751,DEN,1610612743,117.3,111.3,107.5,107.3,F,28.0,80,210,1
4,22024,1629661,0022400124,"OCT 30, 2024",BKN @ MEM,W,35,4,12,0.333,4,8,0.5,2,2,1.0,0,2,2,4,0,1,0,3,14,2,1,14.6,4.8,12.0,0.8,0.6,0.6,0.3966,34.2,-6.4,14.75,BKN,1610612751,MEM,1610612763,114.7,106.1,107.5,107.3,F,28.0,80,210,0
5,22024,1629661,0022400136,"NOV 01, 2024",BKN vs. CHI,W,32,5,11,0.455,2,7,0.286,2,2,1.0,0,6,6,5,1,0,0,1,14,0,1,14.6,5.0,12.2,0.8,0.4,0.6,0.4076000000000001,34.2,-4.4,14.6,BKN,1610612751,CHI,1610612741,121.0,113.2,107.5,107.3,F,28.0,80,210,1
6,22024,1629661,0022400151,"NOV 03, 2024",BKN vs. DET,L,30,9,19,0.474,3,12,0.25,5,6,0.833,0,1,1,3,1,1,0,3,26,-5,1,17.4,6.0,13.6,1.0,0.4,0.2,0.43579999999999997,33.2,-2.6,14.5,BKN,1610612751,DET,1610612765,113.8,111.3,107.5,107.3,F,28.0,80,210,1
7,22024,1629661,0022400158,"NOV 04, 2024",BKN vs. MEM,W,36,8,11,0.727,3,4,0.75,1,2,0.5,1,2,3,2,0,0,0,2,20,16,1,18.8,6.6,13.4,0.6,0.4,0.0,0.49779999999999996,34.6,0.2,16.142857142857142,BKN,1610612751,MEM,1610612763,114.7,106.1,107.5,107.3,F,28.0,80,210,1
8,22024,1629661,0022400187,"NOV 08, 2024",BKN @ BOS,L,40,6,13,0.462,3,8,0.375,3,3,1.0,2,6,8,4,0,0,0,2,18,1,1,18.4,6.4,13.2,0.4,0.4,0.0,0.4902,34.6,2.8,16.625,BKN,1610612751,BOS,1610612738,108.3,107.3,107.5,107.3,F,28.0,80,210,0
9,22024,1629661,0022400199,"NOV 09, 2024",BKN @ CLE,L,31,8,13,0.615,4,7,0.571,3,3,1.0,1,4,5,1,0,0,0,0,23,4,1,20.2,7.2,13.4,0.4,0.2,0.0,0.5466,33.8,3.2,16.77777777777778,BKN,1610612751,CLE,1610612739,110.7,107.1,107.5,107.3,F,28.0,80,210,0
10,22024,1629661,0022400214,"NOV 11, 2024",BKN @ NOP,W,31,5,10,0.5,3,7,0.429,2,2,1.0,0,1,1,0,1,1,2,2,15,-4,1,20.4,7.2,13.2,0.4,0.4,0.4,0.5555999999999999,33.6,2.4,17.4,BKN,1610612751,NOP,1610612740,117.1,114.7,107.5,107.3,F,28.0,80,210,0
11,22024,1629661,0022400218,"NOV 13, 2024",BKN vs. BOS,L,26,4,9,0.444,1,5,0.2,0,0,0.0,1,3,4,3,0,0,1,3,9,-20,1,17.0,6.2,11.2,0.2,0.2,0.6,0.5496000000000001,32.8,-0.6,17.181818181818183,BKN,1610612751,BOS,1610612738,108.3,107.3,107.5,107.3,F,28.0,80,210,1
12,22024,1629661,0022400014,"NOV 15, 2024",BKN @ NYK,L,36,3,10,0.3,1,5,0.2,10,10,1.0,2,3,5,3,2,0,0,1,17,4,1,16.4,5.2,11.0,0.6,0.2,0.6,0.46419999999999995,32.8,-3.0,16.5,BKN,1610612751,NYK,1610612752,110.5,110.9,107.5,107.3,F,28.0,80,210,0
13,22024,1629661,0022400240,"NOV 17, 2024",BKN @ NYK,L,31,7,12,0.583,4,7,0.571,4,4,1.0,0,5,5,5,0,0,0,1,22,4,1,17.2,5.4,10.8,0.6,0.2,0.6,0.48840000000000006,31.0,-2.4,16.53846153846154,BKN,1610612751,NYK,1610612752,110.5,110.9,107.5,107.3,F,28.0,80,210,0
14,22024,1629661,0022400022,"NOV 19, 2024",BKN vs. CHA,W,38,11,20,0.55,6,12,0.5,6,6,1.0,1,4,5,4,1,2,5,2,34,18,1,19.4,6.0,12.2,0.8,0.6,1.6,0.47539999999999993,32.4,0.4,16.928571428571427,BKN,1610612751,CHA,1610612766,112.2,110.9,107.5,107.3,F,28.0,80,210,1
15,22024,1629661,0022400027,"NOV 22, 2024",BKN @ PHI,L,36,14,21,0.667,9,13,0.692,0,0,0.0,0,1,1,2,1,0,1,2,37,-9,1,23.8,7.8,14.4,0.8,0.4,1.4,0.5088,33.4,-0.6,18.066666666666666,BKN,1610612751,PHI,1610612755,110.7,110.2,107.5,107.3,F,28.0,80,210,0
16,22024,1629661,0022400276,"NOV 24, 2024",BKN @ SAC,W,34,5,11,0.455,3,6,0.5,3,4,0.75,0,6,6,4,1,0,1,1,16,6,1,25.2,8.0,14.8,1.0,0.4,1.4,0.511,35.0,4.6,19.25,BKN,1610612751,SAC,1610612758,113.8,110.6,107.5,107.3,F,28.0,80,210,0
17,22024,1629661,0022400284,"NOV 25, 2024",BKN @ GSW,W,14,2,3,0.667,1,1,1.0,0,0,0.0,2,0,2,2,1,0,0,0,5,2,1,22.8,7.8,13.4,0.8,0.4,1.4,0.5843999999999999,30.6,4.2,19.058823529411764,BKN,1610612751,GSW,1610612744,111.1,107.8,107.5,107.3,F,28.0,80,210,0
18,22024,1629661,0022400297,"NOV 27, 2024",BKN @ PHX,W,31,3,11,0.273,1,7,0.143,4,4,1.0,2,6,8,6,2,1,2,1,11,7,1,20.6,7.0,13.2,1.2,0.6,1.8,0.5224,30.6,4.8,18.27777777777778,BKN,1610612751,PHX,1610612756,113.9,113.4,107.5,107.3,F,28.0,80,210,0
19,22024,1629661,0022400043,"NOV 29, 2024",BKN vs. ORL,L,29,5,10,0.5,3,5,0.6,1,2,0.5,0,3,3,4,2,1,2,2,14,-15,1,16.6,5.8,11.2,1.4,0.4,1.2,0.5124000000000001,28.8,-1.8,17.894736842105264,BKN,1610612751,ORL,1610612753,103.2,104.3,107.5,107.3,F,28.0,80,210,1
