,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away
0,0.0,0.0,22024,1627759,22400061,"OCT 22, 2024",BOS vs. NYK,W,30,7,18,0.389,5,9,0.556,4,4,1.0,2,5,7,1,1,0,1,3,23,23,1,23.0,7.0,18.0,1.0,0.0,1.0,0.389,30.0,23.0,,BOS,1610612738,NYK,1610612752,110.5,110.9,118.5,117.4,G-F,28.0,78,223,1
1,1.0,1.0,22024,1627759,22400073,"OCT 24, 2024",BOS @ WAS,W,30,10,20,0.5,3,6,0.5,4,5,0.8,1,7,8,3,4,0,2,1,27,22,1,25.0,8.5,19.0,2.5,0.0,1.5,0.4445,30.0,22.5,23.0,BOS,1610612738,WAS,1610612764,122.2,116.5,118.5,117.4,G-F,28.0,78,223,0
2,2.0,2.0,22024,1627759,22400089,"OCT 26, 2024",BOS @ DET,W,38,6,24,0.25,3,9,0.333,9,10,0.9,3,7,10,5,1,0,2,2,24,11,1,24.666666666666668,7.666666666666667,20.666666666666668,2.0,0.0,1.6666666666666667,0.3796666666666666,32.666666666666664,18.666666666666668,25.0,BOS,1610612738,DET,1610612765,113.8,111.3,118.5,117.4,G-F,28.0,78,223,0
3,3.0,3.0,22024,1627759,22400104,"OCT 28, 2024",BOS vs. MIL,W,38,10,19,0.526,0,4,0.0,10,14,0.714,1,5,6,4,0,0,4,2,30,8,1,26.0,8.25,20.25,1.5,0.0,2.25,0.41625,34.0,16.0,24.666666666666668,BOS,1610612738,MIL,1610612749,111.0,109.0,118.5,117.4,G-F,28.0,78,223,1
4,4.0,4.0,22024,1627759,22400119,"OCT 30, 2024",BOS @ IND,L,43,11,30,0.367,1,11,0.091,2,4,0.5,0,6,6,5,2,2,3,4,25,-13,1,25.8,8.8,22.2,1.6,0.4,2.4,0.4064,35.8,10.2,26.0,BOS,1610612738,IND,1610612754,116.1,113.4,118.5,117.4,G-F,28.0,78,223,0
5,5.0,5.0,22024,1627759,22400132,"NOV 01, 2024",BOS @ CHA,W,37,8,19,0.421,0,6,0.0,9,10,0.9,3,3,6,5,1,1,1,3,25,11,1,26.2,9.0,22.4,1.6,0.6,2.4,0.4128,37.2,7.8,25.8,BOS,1610612738,CHA,1610612766,112.2,110.9,118.5,117.4,G-F,28.0,78,223,0
6,6.0,6.0,22024,1627759,22400202,"NOV 10, 2024",BOS @ MIL,W,37,4,13,0.308,1,5,0.2,5,6,0.833,0,5,5,4,0,0,1,3,14,6,1,23.6,7.8,21.0,0.8,0.6,2.2,0.3743999999999999,38.6,4.6,25.666666666666668,BOS,1610612738,MIL,1610612749,111.0,109.0,118.5,117.4,G-F,28.0,78,223,0
7,7.0,7.0,22024,1627759,22400001,"NOV 12, 2024",BOS vs. ATL,L,36,14,22,0.636,3,6,0.5,6,10,0.6,2,3,5,2,1,0,6,3,37,0,1,26.2,9.4,20.6,0.8,0.6,3.0,0.4516,38.2,2.4,24.0,BOS,1610612738,ATL,1610612737,119.7,111.5,118.5,117.4,G-F,28.0,78,223,1
8,8.0,8.0,22024,1627759,22400218,"NOV 13, 2024",BOS @ BKN,W,36,8,19,0.421,2,5,0.4,6,9,0.667,2,10,12,4,1,0,0,2,24,27,1,25.0,9.0,20.6,1.0,0.6,2.2,0.4306,37.8,6.2,25.625,BOS,1610612738,BKN,1610612751,113.5,113.9,118.5,117.4,G-F,28.0,78,223,0
9,9.0,9.0,22024,1627759,22400230,"NOV 16, 2024",BOS vs. TOR,W,43,8,16,0.5,2,7,0.286,9,10,0.9,2,4,6,7,0,1,3,5,27,2,1,25.4,8.4,17.8,0.6,0.4,2.2,0.4572,37.8,9.2,25.444444444444443,BOS,1610612738,TOR,1610612761,119.0,115.1,118.5,117.4,G-F,28.0,78,223,1
