,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away
0,0.0,0.0,22024,203944,22400062,"OCT 22, 2024",MIN @ LAL,L,34,5,10,0.5,1,3,0.333,5,7,0.714,3,6,9,4,0,0,2,3,16,2,1,16.0,5.0,10.0,0.0,0.0,2.0,0.5,34.0,2.0,,MIN,1610612750,LAL,1610612747,114.0,112.8,109.1,108.8,F-C,30.0,81,250,0
1,1.0,1.0,22024,203944,22400076,"OCT 24, 2024",MIN @ SAC,W,35,13,17,0.765,5,6,0.833,2,3,0.667,0,5,5,4,0,0,3,3,33,-3,1,24.5,9.0,13.5,0.0,0.0,2.5,0.6325000000000001,34.5,-0.5,16.0,MIN,1610612750,SAC,1610612758,113.8,110.6,109.1,108.8,F-C,30.0,81,250,0
2,2.0,2.0,22024,203944,22400093,"OCT 26, 2024",MIN vs. TOR,W,36,9,16,0.563,1,4,0.25,5,7,0.714,3,6,9,5,0,0,4,2,24,7,1,24.33333333333333,9.0,14.333333333333334,0.0,0.0,3.0,0.6093333333333333,35.0,2.0,24.5,MIN,1610612750,TOR,1610612761,119.0,115.1,109.1,108.8,F-C,30.0,81,250,1
3,3.0,3.0,22024,203944,22400114,"OCT 29, 2024",MIN vs. DAL,L,35,7,13,0.538,3,3,1.0,3,4,0.75,2,5,7,7,2,0,3,4,20,-4,1,23.25,8.5,14.0,0.5,0.0,3.0,0.5915,35.0,0.5,24.33333333333333,MIN,1610612750,DAL,1610612742,111.9,109.4,109.1,108.8,F-C,30.0,81,250,1
4,4.0,4.0,22024,203944,22400139,"NOV 01, 2024",MIN vs. DEN,W,37,8,13,0.615,2,5,0.4,5,5,1.0,1,5,6,7,0,0,3,3,23,-14,1,23.2,8.4,13.8,0.4,0.0,3.0,0.5962,35.4,-2.4,23.25,MIN,1610612750,DEN,1610612743,117.3,111.3,109.1,108.8,F-C,30.0,81,250,1
5,5.0,5.0,22024,203944,22400146,"NOV 02, 2024",MIN @ SAS,L,30,8,15,0.533,0,3,0.0,5,6,0.833,1,4,5,2,1,0,3,3,21,-11,1,24.2,9.0,14.8,0.6,0.0,3.2,0.6028,34.6,-5.0,23.2,MIN,1610612750,SAS,1610612759,111.5,109.1,109.1,108.8,F-C,30.0,81,250,0
6,6.0,6.0,22024,203944,22400162,"NOV 04, 2024",MIN vs. CHA,W,25,4,10,0.4,1,4,0.25,4,6,0.667,3,1,4,4,2,0,1,1,13,8,1,20.2,7.2,13.4,1.0,0.0,2.8,0.5298,32.6,-2.8,22.83333333333333,MIN,1610612750,CHA,1610612766,112.2,110.9,109.1,108.8,F-C,30.0,81,250,1
7,7.0,7.0,22024,203944,22400181,"NOV 07, 2024",MIN @ CHI,W,35,8,15,0.533,1,4,0.25,5,5,1.0,2,8,10,3,1,0,4,1,22,21,1,19.8,7.0,13.2,1.2,0.0,2.8,0.5238,32.4,0.0,21.428571428571427,MIN,1610612750,CHI,1610612741,121.0,113.2,109.1,108.8,F-C,30.0,81,250,0
8,8.0,8.0,22024,203944,22400193,"NOV 08, 2024",MIN vs. POR,W,32,8,18,0.444,3,6,0.5,3,4,0.75,3,3,6,4,0,1,2,1,22,15,1,20.2,7.2,14.2,0.8,0.2,2.6,0.505,31.8,3.8,21.5,MIN,1610612750,POR,1610612757,116.8,114.9,109.1,108.8,F-C,30.0,81,250,1
9,9.0,9.0,22024,203944,22400206,"NOV 10, 2024",MIN vs. MIA,L,36,6,16,0.375,1,6,0.167,4,4,1.0,2,4,6,6,1,0,4,4,17,-2,1,19.0,6.8,14.8,1.0,0.2,2.8,0.457,31.6,6.2,21.55555555555556,MIN,1610612750,MIA,1610612748,110.1,110.1,109.1,108.8,F-C,30.0,81,250,1
10,10.0,10.0,22024,203944,22400008,"NOV 12, 2024",MIN @ POR,L,29,3,9,0.333,0,3,0.0,5,6,0.833,3,3,6,2,0,0,4,5,11,-6,1,17.0,5.8,13.6,0.8,0.2,3.0,0.417,31.4,7.2,21.1,MIN,1610612750,POR,1610612757,116.8,114.9,109.1,108.8,F-C,30.0,81,250,0
11,11.0,11.0,22024,203944,22400226,"NOV 13, 2024",MIN @ POR,L,37,7,15,0.467,1,3,0.333,5,7,0.714,3,7,10,2,0,0,1,2,20,3,1,18.4,6.4,14.6,0.4,0.2,3.0,0.4304,33.8,6.2,20.181818181818183,MIN,1610612750,POR,1610612757,116.8,114.9,109.1,108.8,F-C,30.0,81,250,0
12,12.0,12.0,22024,203944,22400020,"NOV 15, 2024",MIN @ SAC,W,41,8,20,0.4,2,7,0.286,8,8,1.0,1,3,4,5,1,0,4,1,26,17,1,19.2,6.4,15.6,0.4,0.2,3.0,0.4038,35.0,5.4,20.166666666666668,MIN,1610612750,SAC,1610612758,113.8,110.6,109.1,108.8,F-C,30.0,81,250,0
13,13.0,13.0,22024,203944,22400234,"NOV 17, 2024",MIN vs. PHX,W,34,11,20,0.55,5,11,0.455,8,9,0.889,1,3,4,7,1,0,3,2,35,16,1,21.8,7.0,16.0,0.6,0.0,3.2,0.425,35.4,5.6,20.615384615384617,MIN,1610612750,PHX,1610612756,113.9,113.4,109.1,108.8,F-C,30.0,81,250,1
14,14.0,14.0,22024,203944,22400261,"NOV 21, 2024",MIN @ TOR,L,38,5,12,0.417,1,6,0.167,12,16,0.75,1,8,9,3,2,0,4,2,23,-6,1,23.0,6.8,15.2,0.8,0.0,3.2,0.4334,35.8,4.8,21.642857142857142,MIN,1610612750,TOR,1610612761,119.0,115.1,109.1,108.8,F-C,30.0,81,250,0
15,15.0,15.0,22024,203944,22400271,"NOV 24, 2024",MIN @ BOS,L,36,7,15,0.467,1,4,0.25,8,13,0.615,2,4,6,2,0,0,0,1,23,-10,1,25.4,7.6,16.4,0.8,0.0,2.4,0.4602,37.2,4.0,21.73333333333333,MIN,1610612750,BOS,1610612738,108.3,107.3,109.1,108.8,F-C,30.0,81,250,0
16,16.0,16.0,22024,203944,22400037,"NOV 26, 2024",MIN vs. HOU,L,35,9,18,0.5,0,1,0.0,3,3,1.0,2,4,6,3,1,0,3,5,21,-20,1,25.6,8.0,17.0,1.0,0.0,2.8,0.4668,36.8,-0.6,21.8125,MIN,1610612750,HOU,1610612745,106.8,104.8,109.1,108.8,F-C,30.0,81,250,1
17,17.0,17.0,22024,203944,22400294,"NOV 27, 2024",MIN vs. SAC,L,36,8,14,0.571,1,5,0.2,4,4,1.0,1,8,9,4,2,0,4,4,21,-8,1,24.6,8.0,15.8,1.2,0.0,2.8,0.501,35.8,-5.6,21.764705882352946,MIN,1610612750,SAC,1610612758,113.8,110.6,109.1,108.8,F-C,30.0,81,250,1
18,18.0,18.0,22024,203944,22400044,"NOV 29, 2024",MIN vs. LAC,W,30,4,9,0.444,1,5,0.2,2,2,1.0,0,10,10,4,0,0,3,2,11,-5,1,19.8,6.6,13.6,1.0,0.0,2.8,0.4798,35.0,-9.8,21.72222222222222,MIN,1610612750,LAC,1610612746,107.9,107.0,109.1,108.8,F-C,30.0,81,250,1
19,19.0,19.0,22024,203944,22400318,"DEC 02, 2024",MIN vs. LAL,W,24,6,13,0.462,2,3,0.667,4,4,1.0,1,4,5,3,2,0,1,3,18,7,1,18.8,6.8,13.8,1.0,0.0,2.2,0.4888,32.2,-7.2,21.157894736842103,MIN,1610612750,LAL,1610612747,114.0,112.8,109.1,108.8,F-C,30.0,81,250,1
20,20.0,20.0,22024,203944,22400324,"DEC 04, 2024",MIN @ LAC,W,26,8,16,0.5,4,9,0.444,0,0,0.0,0,4,4,4,1,0,1,2,20,28,1,18.2,7.0,14.0,1.2,0.0,2.4,0.4953999999999999,30.2,0.4,21.0,MIN,1610612750,LAC,1610612746,107.9,107.0,109.1,108.8,F-C,30.0,81,250,0
21,21.0,21.0,22024,203944,22400338,"DEC 06, 2024",MIN @ GSW,W,24,5,11,0.455,2,4,0.5,4,4,1.0,2,7,9,4,1,0,3,1,16,3,1,17.2,6.2,12.6,1.2,0.0,2.4,0.4864,28.0,5.0,20.95238095238096,MIN,1610612750,GSW,1610612744,111.1,107.8,109.1,108.8,F-C,30.0,81,250,0
22,22.0,22.0,22024,203944,22400355,"DEC 08, 2024",MIN @ GSW,L,37,4,14,0.286,2,4,0.5,4,4,1.0,3,8,11,4,0,2,2,2,14,-2,1,15.8,5.4,12.6,0.8,0.4,2.0,0.4294,28.2,6.2,20.727272727272727,MIN,1610612750,GSW,1610612744,111.1,107.8,109.1,108.8,F-C,30.0,81,250,0
23,23.0,23.0,22024,203944,22401210,"DEC 13, 2024",MIN vs. LAL,W,33,7,16,0.438,0,5,0.0,7,8,0.875,2,3,5,3,1,0,2,5,21,23,1,17.8,6.0,14.0,1.0,0.4,1.8,0.4282,28.8,11.8,20.43478260869565,MIN,1610612750,LAL,1610612747,114.0,112.8,109.1,108.8,F-C,30.0,81,250,1
24,24.0,24.0,22024,203944,22401218,"DEC 15, 2024",MIN @ SAS,W,29,4,11,0.364,0,1,0.0,3,4,0.75,2,2,4,3,2,1,2,3,11,8,1,16.4,5.6,13.6,1.0,0.6,2.0,0.4086,29.8,12.0,20.45833333333333,MIN,1610612750,SAS,1610612759,111.5,109.1,109.1,108.8,F-C,30.0,81,250,0
25,25.0,25.0,22024,203944,22400367,"DEC 19, 2024",MIN vs. NYK,L,30,8,17,0.471,4,8,0.5,4,6,0.667,2,3,5,3,0,0,5,2,24,-13,1,17.2,5.6,13.8,0.8,0.6,2.8,0.4027999999999999,30.6,3.8,20.08,MIN,1610612750,NYK,1610612752,110.5,110.9,109.1,108.8,F-C,30.0,81,250,1
26,26.0,26.0,22024,203944,22400383,"DEC 21, 2024",MIN vs. GSW,L,32,4,13,0.308,1,3,0.333,7,9,0.778,1,6,7,6,0,0,3,1,16,-6,1,17.2,5.4,14.2,0.6,0.6,2.8,0.3734,32.2,2.0,20.23076923076923,MIN,1610612750,GSW,1610612744,111.1,107.8,109.1,108.8,F-C,30.0,81,250,1
