,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center
0,22024,1628983,22400075,"OCT 24, 2024",OKC @ DEN,W,36,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8,2,3,2,2,28,8,1,28.0,11.0,24.0,2.0,3.0,2.0,0.458,36.0,8.0,,OKC,1610612760,DEN,1610612743,117.2,111.3,115.1,112.6,G,26.0,78,195,0,1,0,0,1,0,0
1,22024,1628983,22400091,"OCT 26, 2024",OKC @ CHI,W,29,9,21,0.429,2,9,0.222,3,3,1.0,2,6,8,2,4,0,1,1,23,23,1,25.5,10.0,22.5,3.0,1.5,1.5,0.4435,32.5,15.5,28.0,OKC,1610612760,CHI,1610612741,121.0,113.2,115.1,112.6,G,26.0,78,195,0,1,0,0,1,0,0
2,22024,1628983,22400100,"OCT 27, 2024",OKC vs. ATL,W,36,11,24,0.458,3,8,0.375,10,11,0.909,2,9,11,9,3,3,1,3,35,24,1,28.666666666666668,10.333333333333334,23.0,3.0,2.0,1.3333333333333333,0.4483333333333333,33.666666666666664,18.33333333333333,25.5,OKC,1610612760,ATL,1610612737,119.7,111.5,115.1,112.6,G,26.0,78,195,1,1,0,0,1,0,0
3,22024,1628983,22400125,"OCT 30, 2024",OKC vs. SAS,W,28,7,20,0.35,2,10,0.2,2,2,1.0,0,4,4,5,1,0,1,1,18,3,1,26.0,9.5,22.25,2.5,1.5,1.25,0.42375,32.25,14.5,28.666666666666668,OKC,1610612760,SAS,1610612759,111.5,109.1,115.1,112.6,G,26.0,78,195,1,1,0,0,1,0,0
4,22024,1628983,22400140,"NOV 01, 2024",OKC @ POR,W,28,12,18,0.667,1,6,0.167,5,6,0.833,1,6,7,6,1,0,3,1,30,25,1,26.8,10.0,21.4,2.2,1.2,1.6,0.4724,31.4,16.6,26.0,OKC,1610612760,POR,1610612757,116.8,114.9,115.1,112.6,G,26.0,78,195,0,1,0,0,1,0,0
5,22024,1628983,22400150,"NOV 02, 2024",OKC @ LAC,W,31,7,14,0.5,2,4,0.5,9,9,1.0,0,3,3,9,0,1,3,2,25,8,1,26.2,9.2,19.4,1.8,0.8,1.8,0.4808,30.4,16.6,26.8,OKC,1610612760,LAC,1610612746,107.9,107.0,115.1,112.6,G,26.0,78,195,0,1,0,0,1,0,0
6,22024,1628983,22400163,"NOV 04, 2024",OKC vs. ORL,W,35,8,16,0.5,1,3,0.333,4,4,1.0,0,6,6,9,1,0,4,4,21,18,1,25.8,9.0,18.4,1.2,0.8,2.4,0.495,31.6,15.6,26.5,OKC,1610612760,ORL,1610612753,103.2,104.3,115.1,112.6,G,26.0,78,195,1,1,0,0,1,0,0
7,22024,1628983,22400177,"NOV 06, 2024",OKC @ DEN,L,39,10,19,0.526,0,3,0.0,8,10,0.8,0,2,2,6,1,1,8,1,28,3,1,24.4,8.8,17.4,0.8,0.4,3.8,0.5086,32.2,11.4,25.714285714285715,OKC,1610612760,DEN,1610612743,117.2,111.3,115.1,112.6,G,26.0,78,195,0,1,0,0,1,0,0
8,22024,1628983,22400192,"NOV 08, 2024",OKC vs. HOU,W,29,11,16,0.688,1,2,0.5,6,7,0.857,1,4,5,4,1,1,3,2,29,5,1,26.6,9.6,16.6,0.8,0.6,4.2,0.5762,32.4,11.8,26.0,OKC,1610612760,HOU,1610612745,106.8,104.8,115.1,112.6,G,26.0,78,195,1,1,0,0,1,0,0
9,22024,1628983,22400207,"NOV 10, 2024",OKC vs. GSW,L,34,6,17,0.353,0,2,0.0,12,14,0.857,1,4,5,4,0,1,4,0,24,-11,1,25.4,8.4,16.4,0.6,0.8,4.4,0.5134000000000001,33.6,4.6,26.33333333333333,OKC,1610612760,GSW,1610612744,111.0,107.8,115.1,112.6,G,26.0,78,195,1,1,0,0,1,0,0
