,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away
0,0.0,0.0,22024,1629639,22400065,"OCT 23, 2024",MIA vs. ORL,L,29,5,11,0.455,2,5,0.4,2,2,1.0,0,5,5,3,0,1,1,1,14,-27,1,14.0,5.0,11.0,0.0,1.0,1.0,0.455,29.0,-27.0,,MIA,1610612748,ORL,1610612753,103.2,104.3,111.3,110.2,G,24.0,77,195,1
1,1.0,1.0,22024,1629639,22400088,"OCT 26, 2024",MIA @ CHA,W,33,7,15,0.467,3,7,0.429,5,6,0.833,1,4,5,5,1,0,3,3,22,0,1,18.0,6.0,13.0,0.5,0.5,2.0,0.461,31.0,-13.5,14.0,MIA,1610612748,CHA,1610612766,112.2,110.9,111.3,110.2,G,24.0,77,195,0
2,2.0,2.0,22024,1629639,22400105,"OCT 28, 2024",MIA vs. DET,W,33,7,20,0.35,3,12,0.25,2,2,1.0,0,4,4,6,1,0,2,0,19,-7,1,18.33333333333333,6.333333333333333,15.333333333333334,0.6666666666666666,0.3333333333333333,2.0,0.424,31.666666666666668,-11.333333333333334,18.0,MIA,1610612748,DET,1610612765,113.8,111.3,111.3,110.2,G,24.0,77,195,1
3,3.0,3.0,22024,1629639,22400122,"OCT 30, 2024",MIA vs. NYK,L,35,12,20,0.6,8,13,0.615,2,2,1.0,0,5,5,7,1,0,1,2,34,-3,1,22.25,7.75,16.5,0.75,0.25,1.75,0.4679999999999999,32.5,-9.25,18.33333333333333,MIA,1610612748,NYK,1610612752,110.5,110.9,111.3,110.2,G,24.0,77,195,1
4,4.0,4.0,22024,1629639,22400147,"NOV 02, 2024",MIA @ WAS,W,20,5,9,0.556,2,4,0.5,3,6,0.5,0,6,6,1,0,0,2,6,15,17,1,20.8,7.2,15.0,0.6,0.2,1.8,0.4856,30.0,-4.0,22.25,MIA,1610612748,WAS,1610612764,122.2,116.5,111.3,110.2,G,24.0,77,195,0
5,5.0,5.0,22024,1629639,22400159,"NOV 04, 2024",MIA vs. SAC,L,34,9,18,0.5,5,11,0.455,4,5,0.8,0,6,6,3,0,1,4,2,27,-6,1,23.4,8.0,16.4,0.6,0.2,2.4,0.4946,31.0,0.2,20.8,MIA,1610612748,SAC,1610612758,113.8,110.6,111.3,110.2,G,24.0,77,195,1
6,6.0,6.0,22024,1629639,22400178,"NOV 06, 2024",MIA @ PHX,L,35,9,15,0.6,5,9,0.556,5,5,1.0,0,3,3,6,0,0,3,3,28,5,1,24.6,8.4,16.4,0.4,0.2,2.4,0.5212,31.4,1.2,21.83333333333333,MIA,1610612748,PHX,1610612756,113.9,113.4,111.3,110.2,G,24.0,77,195,0
7,7.0,7.0,22024,1629639,22400194,"NOV 08, 2024",MIA @ DEN,L,40,10,21,0.476,4,10,0.4,0,0,0.0,1,6,7,11,0,0,1,0,24,-3,1,25.6,9.0,16.6,0.2,0.2,2.2,0.5464,32.8,2.0,22.714285714285715,MIA,1610612748,DEN,1610612743,117.2,111.3,111.3,110.2,G,24.0,77,195,0
8,8.0,8.0,22024,1629639,22400206,"NOV 10, 2024",MIA @ MIN,W,34,9,15,0.6,4,8,0.5,4,5,0.8,0,6,6,3,0,0,8,5,26,-6,1,24.0,8.4,15.6,0.0,0.2,3.6,0.5464,32.6,1.4,22.875,MIA,1610612748,MIN,1610612750,108.0,107.6,111.3,110.2,G,24.0,77,195,0
9,9.0,9.0,22024,1629639,22400002,"NOV 12, 2024",MIA @ DET,L,42,14,27,0.519,10,17,0.588,2,2,1.0,0,5,5,8,4,0,1,3,40,3,1,29.0,10.2,19.2,0.8,0.2,3.4,0.539,37.0,-1.4,23.22222222222222,MIA,1610612748,DET,1610612765,113.8,111.3,111.3,110.2,G,24.0,77,195,0
