,MATCHUP,GAME_DATE,average_pts,PTS,OPP_PPG_ALLOWED,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,Home_Away
0,ATL vs. BKN,"OCT 23, 2024",,30,113.48571428571428,,,,,,,,,1
1,ATL vs. CHA,"OCT 25, 2024",30.0,38,112.39393939393939,30.0,7.0,16.0,1.0,1.0,3.0,0.438,37.0,1
2,ATL @ OKC,"OCT 27, 2024",34.0,24,103.29411764705883,34.0,9.0,20.0,2.5,0.5,5.0,0.448,39.0,0
3,ATL vs. WAS,"OCT 28, 2024",30.666666666666668,14,122.21875,30.666666666666668,8.333333333333334,18.0,1.6666666666666667,0.3333333333333333,6.666666666666667,0.4653333333333333,38.333333333333336,1
4,ATL @ WAS,"OCT 30, 2024",26.5,35,122.21875,26.5,6.75,17.25,1.5,0.5,6.5,0.38225,37.75,0
5,ATL vs. SAC,"NOV 01, 2024",28.2,25,114.08571428571429,28.2,7.8,19.4,1.6,0.4,5.8,0.3916,38.2,1
6,ATL @ NOP,"NOV 03, 2024",27.666666666666668,23,118.02857142857142,27.2,8.0,20.4,1.4,0.2,6.2,0.3802,39.2,0
7,ATL vs. BOS,"NOV 04, 2024",27.0,2,108.42857142857143,24.2,7.4,18.6,0.8,0.2,5.2,0.39520000000000005,37.2,1
8,ATL vs. NYK,"NOV 06, 2024",23.875,23,106.80555555555556,19.8,6.2,17.8,1.0,0.2,3.8,0.31520000000000004,34.4,1
9,ATL @ DET,"NOV 08, 2024",23.77777777777778,35,110.71428571428571,21.6,7.2,19.0,1.2,0.0,3.0,0.3552,34.2,0
10,ATL vs. CHI,"NOV 09, 2024",24.9,14,117.68571428571428,21.6,7.0,18.4,1.2,0.0,3.0,0.35740000000000005,34.4,1
11,ATL vs. WAS,"NOV 15, 2024",23.90909090909091,18,122.21875,19.4,6.6,17.4,1.2,0.0,3.2,0.3562,33.6,1
12,ATL @ POR,"NOV 17, 2024",23.416666666666668,29,113.79411764705883,18.4,6.0,18.0,1.0,0.0,4.0,0.3052,34.0,0
13,ATL @ SAC,"NOV 18, 2024",23.846153846153847,7,114.08571428571429,23.8,7.4,19.2,0.8,0.0,4.6,0.3852,37.0,0
14,ATL @ GSW,"NOV 20, 2024",22.642857142857142,12,107.1470588235294,20.6,6.2,16.4,0.8,0.0,5.2,0.3472,37.2,0
15,ATL @ CHI,"NOV 22, 2024",21.933333333333334,25,117.68571428571428,16.0,4.8,13.8,0.8,0.0,5.2,0.3258,35.0,0
16,ATL vs. DAL,"NOV 25, 2024",22.125,18,112.08571428571429,18.2,5.2,14.2,1.6,0.2,4.8,0.3396,35.0,1
17,ATL @ CLE,"NOV 27, 2024",21.88235294117647,20,110.82352941176471,18.2,5.2,13.0,2.2,0.2,4.2,0.3674,35.4,0
18,ATL vs. CLE,"NOV 29, 2024",21.77777777777778,21,110.82352941176471,16.4,4.8,13.4,2.2,0.2,4.0,0.33399999999999996,35.2,1
19,ATL @ CHA,"NOV 30, 2024",21.736842105263158,14,112.39393939393939,19.2,6.0,14.4,1.8,0.2,4.4,0.422,35.0,0
20,ATL vs. NOP,"DEC 02, 2024",21.35,12,118.02857142857142,19.6,6.0,13.8,1.6,0.2,5.0,0.44420000000000004,35.2,1
21,ATL @ MIL,"DEC 04, 2024",20.904761904761905,17,108.03030303030303,17.0,5.4,13.4,1.0,0.0,5.2,0.418,34.8,0
22,ATL vs. LAL,"DEC 06, 2024",20.727272727272727,31,113.70588235294117,16.8,5.6,14.8,0.4,0.0,5.4,0.3978,34.8,1
23,ATL vs. DEN,"DEC 08, 2024",21.17391304347826,15,113.97058823529412,19.0,6.2,16.2,0.8,0.0,5.0,0.4032,35.8,1
24,ATL @ NYK,"DEC 11, 2024",20.916666666666668,22,106.80555555555556,17.8,6.0,16.4,1.4,0.0,4.4,0.379,35.8,0
25,ATL @ MIL,"DEC 14, 2024",20.96,35,108.03030303030303,19.4,6.8,19.0,1.4,0.0,3.8,0.363,36.8,0
26,ATL @ SAS,"DEC 19, 2024",21.5,23,107.97142857142858,24.0,7.6,19.4,1.2,0.2,3.8,0.4004,37.6,0
27,ATL vs. MIN,"DEC 23, 2024",21.555555555555557,29,104.52941176470588,25.2,7.8,18.8,1.8,0.2,4.0,0.4248,38.0,1
28,ATL vs. CHI,"DEC 26, 2024",21.821428571428573,27,117.68571428571428,24.8,7.6,16.8,1.4,0.2,4.4,0.4593999999999999,35.8,1
29,ATL vs. MIA,"DEC 28, 2024",22.0,11,105.96969696969697,27.2,8.0,17.6,1.2,0.2,4.0,0.4612,36.6,1
30,ATL @ TOR,"DEC 29, 2024",21.633333333333333,34,118.71428571428571,25.0,7.0,15.8,1.2,0.2,4.0,0.4346,36.8,0
31,ATL @ DEN,"JAN 01, 2025",22.032258064516128,30,113.97058823529412,24.8,7.2,16.4,1.4,0.4,4.0,0.4298,35.2,0
32,ATL @ LAL,"JAN 03, 2025",22.28125,33,113.70588235294117,26.2,7.4,16.6,1.2,0.4,3.8,0.4364,33.8,0
