,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1628368,0022400076,"OCT 24, 2024",SAC vs. MIN,L,37,6,14,0.429,1,4,0.25,2,2,1.0,0,2,2,11,1,0,2,3,15,2,1,15.0,6.0,14.0,1.0,0.0,2.0,0.429,37.0,2.0,,SAC,1610612758,MIN,1610612750,108.0,107.9,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,0,5,0.0,22,20,0,5,20.6,1
1,22024,1628368,0022400096,"OCT 26, 2024",SAC @ LAL,L,41,9,20,0.45,3,10,0.3,7,8,0.875,0,5,5,10,2,0,6,3,28,-5,1,21.5,7.5,17.0,1.5,0.0,4.0,0.4395,39.0,-1.5,15.0,SAC,1610612758,LAL,1610612747,113.8,113.1,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,0,5,23.0,22,17,2,5,46.6,0
2,22024,1628368,0022400112,"OCT 28, 2024",SAC vs. POR,W,35,9,20,0.45,2,8,0.25,4,4,1.0,1,5,6,3,2,0,3,4,24,13,1,22.333333333333332,8.0,18.0,1.6666666666666667,0.0,3.6666666666666665,0.443,37.666666666666664,3.3333333333333335,21.5,SAC,1610612758,POR,1610612757,117.1,115.2,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,0,5,48.4,13,28,1,5,66.4,1
3,22024,1628368,0022400115,"OCT 29, 2024",SAC @ UTA,W,31,8,15,0.533,1,2,0.5,2,2,1.0,2,3,5,6,1,0,3,3,19,18,1,21.5,8.0,17.25,1.5,0.0,3.5,0.4655,36.0,7.0,22.333333333333332,SAC,1610612758,UTA,1610612762,118.1,116.2,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,1,4,70.6,10,30,0,4,62.4,0
4,22024,1628368,0022400135,"NOV 01, 2024",SAC @ ATL,W,37,11,16,0.688,4,6,0.667,5,6,0.833,0,7,7,3,4,0,6,3,31,21,1,23.4,8.6,17.0,2.0,0.0,4.0,0.51,36.2,9.8,21.5,SAC,1610612758,ATL,1610612737,119.0,111.2,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,2,3,93.2,22,19,2,3,117.6,0
5,22024,1628368,0022400143,"NOV 02, 2024",SAC @ TOR,L,43,8,22,0.364,0,11,0.0,8,10,0.8,3,3,6,1,5,0,5,2,24,-5,1,25.2,9.0,18.6,2.8,0.0,4.6,0.49700000000000005,37.4,8.4,23.4,SAC,1610612758,TOR,1610612761,118.5,115.4,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,3,2,117.8,10,32,1,2,119.8,0
6,22024,1628368,0022400159,"NOV 04, 2024",SAC @ MIA,W,37,11,21,0.524,3,6,0.5,3,4,0.75,2,4,6,5,0,0,4,4,28,-9,1,25.2,9.4,18.8,2.4,0.0,4.2,0.5118,36.6,7.6,23.5,SAC,1610612758,MIA,1610612748,110.1,109.7,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,3,2,120.4,20,20,3,2,108.4,0
7,22024,1628368,0022400180,"NOV 06, 2024",SAC vs. TOR,W,34,5,17,0.294,2,8,0.25,9,10,0.9,0,1,1,2,1,0,1,2,21,9,1,24.6,8.6,18.2,2.2,0.0,3.8,0.4806,36.4,6.8,24.142857142857142,SAC,1610612758,TOR,1610612761,118.5,115.4,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,4,1,117.2,10,32,1,1,126.6,1
8,22024,1628368,0022400196,"NOV 08, 2024",SAC vs. LAC,L,38,12,20,0.6,2,5,0.4,5,6,0.833,1,2,3,0,1,0,7,4,31,-11,1,27.0,9.4,19.2,2.2,0.0,4.6,0.49399999999999994,37.8,1.0,23.75,SAC,1610612758,LAC,1610612746,106.6,105.8,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,4,1,119.4,23,17,2,1,107.8,1
9,22024,1628368,0022400209,"NOV 10, 2024",SAC @ PHX,W,41,10,23,0.435,0,6,0.0,1,1,1.0,1,10,11,8,0,0,0,0,21,9,1,25.0,9.2,20.6,1.4,0.0,3.4,0.4434,38.6,-1.4,24.555555555555557,SAC,1610612758,PHX,1610612756,114.3,113.7,116.5,113.2,G,1,0,0,1,0,0,27.0,75,185,21,20,3,2,116.4,21,20,5,2,115.0,0
