,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,201942,0022400076,"OCT 24, 2024",SAC vs. MIN,L,43,7,18,0.389,0,2,0.0,12,14,0.857,1,7,8,2,1,0,2,0,26,8,1,26.0,7.0,18.0,1.0,0.0,2.0,0.389,43.0,8.0,,SAC,1610612758,MIN,1610612750,108.0,107.9,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,0,5,0.0,22,20,0,5,20.6,1
1,22024,201942,0022400096,"OCT 26, 2024",SAC @ LAL,L,37,9,12,0.75,2,3,0.667,3,4,0.75,0,0,0,3,3,0,2,2,23,-9,1,24.5,8.0,15.0,2.0,0.0,2.0,0.5695,40.0,-0.5,26.0,SAC,1610612758,LAL,1610612747,113.8,113.1,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,0,5,23.0,22,17,2,5,46.6,0
2,22024,201942,0022400112,"OCT 28, 2024",SAC vs. POR,W,34,7,14,0.5,0,1,0.0,9,10,0.9,1,3,4,3,3,0,1,1,23,18,1,24.0,7.666666666666667,14.666666666666666,2.3333333333333335,0.0,1.6666666666666667,0.5463333333333333,38.0,5.666666666666667,24.5,SAC,1610612758,POR,1610612757,117.1,115.2,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,0,5,48.4,13,28,1,5,66.4,1
3,22024,201942,0022400115,"OCT 29, 2024",SAC @ UTA,W,34,9,14,0.643,0,1,0.0,2,3,0.667,1,3,4,8,1,1,1,1,20,13,1,23.0,8.0,14.5,2.0,0.25,1.5,0.5705,37.0,7.5,24.0,SAC,1610612758,UTA,1610612762,118.1,116.2,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,1,4,70.6,10,30,0,4,62.4,0
4,22024,201942,0022400135,"NOV 01, 2024",SAC @ ATL,W,39,9,16,0.563,1,1,1.0,8,10,0.8,1,7,8,2,3,1,1,2,27,10,1,23.8,8.2,14.8,2.2,0.4,1.4,0.569,37.4,8.0,23.0,SAC,1610612758,ATL,1610612737,119.0,111.2,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,2,3,93.2,22,19,2,3,117.6,0
5,22024,201942,0022400143,"NOV 02, 2024",SAC @ TOR,L,43,12,27,0.444,2,7,0.286,7,7,1.0,0,3,3,4,3,0,6,1,33,6,1,25.2,9.2,16.6,2.6,0.4,2.2,0.58,37.4,7.6,23.8,SAC,1610612758,TOR,1610612761,118.5,115.4,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,3,2,117.8,10,32,1,2,119.8,0
6,22024,201942,0022400159,"NOV 04, 2024",SAC @ MIA,W,36,10,18,0.556,1,2,0.5,5,5,1.0,1,2,3,6,0,2,1,4,26,-2,1,25.8,9.4,17.8,2.0,0.8,2.0,0.5412000000000001,37.2,9.0,25.333333333333332,SAC,1610612758,MIA,1610612748,110.1,109.7,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,3,2,120.4,20,20,3,2,108.4,0
7,22024,201942,0022400180,"NOV 06, 2024",SAC vs. TOR,W,35,11,21,0.524,2,4,0.5,3,3,1.0,0,2,2,3,1,0,3,1,27,15,1,26.6,10.2,19.2,1.6,0.8,2.4,0.546,37.4,8.4,25.428571428571427,SAC,1610612758,TOR,1610612761,118.5,115.4,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,4,1,117.2,10,32,1,1,126.6,1
8,22024,201942,0022400196,"NOV 08, 2024",SAC vs. LAC,L,40,5,12,0.417,0,2,0.0,3,4,0.75,0,1,1,6,2,0,2,1,13,-9,1,25.2,9.4,18.8,1.8,0.6,2.6,0.5008,38.6,4.0,25.625,SAC,1610612758,LAC,1610612746,106.6,105.8,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,4,1,119.4,23,17,2,1,107.8,1
9,22024,201942,0022400209,"NOV 10, 2024",SAC @ PHX,W,43,14,25,0.56,1,1,1.0,5,6,0.833,0,3,3,3,1,0,2,0,34,6,1,26.6,10.4,20.6,1.4,0.4,2.8,0.5002000000000001,39.4,3.2,24.22222222222222,SAC,1610612758,PHX,1610612756,114.3,113.7,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,3,2,116.4,21,20,5,2,115.0,0
10,22024,201942,0022400216,"NOV 11, 2024",SAC @ SAS,L,38,8,15,0.533,1,1,1.0,4,5,0.8,1,7,8,6,1,2,0,1,21,-11,1,24.2,9.6,18.2,1.0,0.8,1.6,0.518,38.4,-0.2,25.2,SAC,1610612758,SAS,1610612759,112.7,110.3,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,3,2,117.2,19,21,2,2,109.0,0
11,22024,201942,0022400034,"NOV 22, 2024",SAC @ LAC,L,36,6,19,0.316,0,5,0.0,4,8,0.5,0,6,6,2,1,1,2,3,16,-8,1,22.2,8.8,18.4,1.2,0.6,1.8,0.47000000000000003,38.4,-1.4,24.818181818181817,SAC,1610612758,LAC,1610612746,106.6,105.8,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,2,3,115.6,23,17,3,3,105.8,0
12,22024,201942,0022400276,"NOV 24, 2024",SAC vs. BKN,L,36,7,18,0.389,0,2,0.0,4,6,0.667,1,4,5,5,0,0,3,4,18,0,1,20.4,8.0,17.8,1.0,0.6,1.8,0.44300000000000006,38.6,-4.4,24.083333333333332,SAC,1610612758,BKN,1610612751,113.7,114.0,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,2,3,114.0,14,28,1,3,110.8,1
13,22024,201942,0022400285,"NOV 25, 2024",SAC vs. OKC,L,36,13,21,0.619,0,2,0.0,4,4,1.0,0,2,2,6,1,0,0,1,30,-14,1,23.8,9.6,19.6,0.8,0.6,1.4,0.48339999999999994,37.8,-5.4,23.615384615384617,SAC,1610612758,OKC,1610612760,103.7,101.2,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,1,4,109.2,34,7,3,4,107.4,1
14,22024,201942,0022400313,"DEC 01, 2024",SAC vs. SAS,L,37,10,20,0.5,0,1,0.0,8,9,0.889,1,4,5,8,3,0,0,0,28,0,1,22.6,8.8,18.6,1.2,0.6,1.0,0.47140000000000004,36.6,-6.6,24.071428571428573,SAC,1610612758,SAS,1610612759,112.7,110.3,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,1,4,104.2,19,21,4,4,113.8,1
15,22024,201942,0022400059,"DEC 03, 2024",SAC vs. HOU,W,34,6,15,0.4,0,2,0.0,4,5,0.8,0,5,5,5,1,1,2,2,16,17,1,21.6,8.4,18.6,1.2,0.4,1.4,0.44480000000000003,35.8,-1.0,24.333333333333332,SAC,1610612758,HOU,1610612745,107.9,105.6,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,1,4,111.6,28,13,4,4,114.4,1
16,22024,201942,0022400329,"DEC 05, 2024",SAC @ MEM,L,35,6,15,0.4,1,1,1.0,13,14,0.929,1,2,3,1,1,0,2,5,26,-12,1,23.6,8.4,17.8,1.2,0.2,1.4,0.46159999999999995,35.6,-1.8,23.8125,SAC,1610612758,MEM,1610612763,115.1,106.9,116.5,113.2,G-F,1,0,0,1,1,0,35.0,78,220,21,20,2,3,115.0,27,15,4,3,125.2,0
