,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,203507,0022400066,"OCT 23, 2024",MIL @ PHI,W,31,8,11,0.727,0,0,0.0,9,16,0.563,1,13,14,7,0,1,3,4,25,7,1,25.0,8.0,11.0,0.0,1.0,3.0,0.727,31.0,7.0,,MIL,1610612749,PHI,1610612755,111.3,111.1,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,0,5,0.0,15,25,0,5,0.0,0
1,22024,203507,0022400083,"OCT 25, 2024",MIL vs. CHI,L,35,15,23,0.652,0,1,0.0,8,16,0.5,1,10,11,5,0,0,3,1,38,-12,1,31.5,11.5,17.0,0.0,0.5,3.0,0.6895,33.0,-2.5,25.0,MIL,1610612749,CHI,1610612741,120.6,113.1,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,24.8,18,24,0,4,22.2,1
2,22024,203507,0022400098,"OCT 27, 2024",MIL @ BKN,L,33,7,11,0.636,0,0,0.0,8,11,0.727,1,11,12,7,1,1,4,3,22,-11,1,28.333333333333332,10.0,15.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.6716666666666667,33.0,-5.333333333333333,31.5,MIL,1610612749,BKN,1610612751,113.7,114.0,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,49.2,14,28,0,4,43.4,0
3,22024,203507,0022400104,"OCT 28, 2024",MIL @ BOS,L,39,14,26,0.538,0,2,0.0,2,6,0.333,1,9,10,6,0,0,7,4,30,-19,1,28.75,11.0,17.75,0.25,0.5,4.25,0.63825,34.5,-8.75,28.333333333333332,MIL,1610612749,BOS,1610612738,108.6,107.7,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,69.6,29,13,3,4,75.6,0
4,22024,203507,0022400128,"OCT 31, 2024",MIL @ MEM,L,34,17,22,0.773,0,0,0.0,3,8,0.375,1,10,11,4,1,1,1,4,37,0,1,30.4,12.2,18.6,0.4,0.6,3.6,0.6652,34.4,-7.0,28.75,MIL,1610612749,MEM,1610612763,115.1,106.9,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,91.2,27,15,2,4,117.4,0
5,22024,203507,0022400145,"NOV 02, 2024",MIL vs. CLE,L,39,15,27,0.556,0,0,0.0,4,7,0.571,6,10,16,9,1,0,0,5,34,5,1,32.2,13.6,21.8,0.6,0.4,3.0,0.631,36.0,-7.4,30.4,MIL,1610612749,CLE,1610612739,112.1,108.7,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,111.0,35,6,5,4,122.4,1
6,22024,203507,0022400182,"NOV 07, 2024",MIL vs. UTA,W,30,11,21,0.524,0,0,0.0,9,12,0.75,6,10,16,2,1,1,4,5,31,27,1,30.8,12.8,21.4,0.8,0.6,3.2,0.6054,35.0,0.4,31.0,MIL,1610612749,UTA,1610612762,118.1,116.2,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,0,5,107.2,10,30,1,5,104.8,1
7,22024,203507,0022400189,"NOV 08, 2024",MIL @ NYK,L,32,11,21,0.524,0,1,0.0,2,6,0.333,3,9,12,2,0,2,1,2,24,-17,1,31.2,13.6,23.4,0.6,0.8,2.6,0.583,34.8,-0.8,31.0,MIL,1610612749,NYK,1610612752,111.1,111.8,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,111.4,27,16,2,4,112.2,0
8,22024,203507,0022400202,"NOV 10, 2024",MIL vs. BOS,L,39,18,29,0.621,1,2,0.5,6,10,0.6,1,12,13,5,0,2,1,4,43,-6,1,33.8,14.4,24.0,0.6,1.2,1.4,0.5996,34.8,1.8,30.125,MIL,1610612749,BOS,1610612738,108.6,107.7,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,108.6,29,13,4,4,116.0,1
9,22024,203507,0022400005,"NOV 12, 2024",MIL vs. TOR,W,33,9,12,0.75,0,1,0.0,5,9,0.556,1,3,4,7,0,4,4,2,23,1,1,31.0,12.8,22.0,0.4,1.8,2.0,0.595,34.6,2.0,31.555555555555557,MIL,1610612749,TOR,1610612761,118.5,115.4,113.8,111.7,F,0,1,0,0,1,0,30.0,83,243,23,17,1,4,110.2,10,32,1,4,112.6,1
