,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,204001,22400281,"NOV 25, 2024",BOS vs. LAC,W,23,6,12,0.5,1,6,0.167,3,4,0.75,1,5,6,2,1,2,1,0,16,3,1,16.0,6.0,12.0,1.0,2.0,1.0,0.5,23.0,3.0,,BOS,1610612738,LAC,1610612746,106.5,105.8,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,5,0,120.0,24.0,17,5,0,110.2,1
1,22024,204001,22400047,"NOV 29, 2024",BOS @ CHI,W,25,7,11,0.636,2,5,0.4,5,7,0.714,0,8,8,1,0,0,0,3,21,7,1,18.5,6.5,11.5,0.5,1.0,0.5,0.5680000000000001,24.0,5.0,16.0,BOS,1610612738,CHI,1610612741,120.5,113.0,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,5,0,117.4,18.0,25,2,0,123.8,0
2,22024,204001,22400307,"DEC 01, 2024",BOS @ CLE,L,32,7,17,0.412,3,7,0.429,4,4,1.0,1,7,8,2,3,0,0,2,21,-5,1,19.33333333333333,6.666666666666667,13.333333333333334,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.516,26.666666666666668,1.6666666666666667,18.5,BOS,1610612738,CLE,1610612739,111.6,108.3,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,5,0,119.8,36.0,6,2,0,118.4,0
3,22024,204001,22400319,"DEC 04, 2024",BOS vs. DET,W,29,8,17,0.471,3,7,0.429,7,8,0.875,4,5,9,2,0,2,2,3,26,16,1,21.0,7.0,14.25,1.0,1.0,0.75,0.50475,27.25,5.25,19.33333333333333,BOS,1610612738,DET,1610612765,113.1,110.9,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,4,1,118.0,22.0,21,2,1,109.2,1
4,22024,204001,22400345,"DEC 07, 2024",BOS vs. MEM,L,33,6,17,0.353,3,10,0.3,4,6,0.667,4,4,8,2,1,3,1,5,19,2,1,20.6,6.8,14.8,1.0,1.4,0.8,0.4744,28.4,4.6,21.0,BOS,1610612738,MEM,1610612763,114.9,106.8,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,4,1,119.6,28.0,15,4,1,123.6,1
5,22024,204001,22401205,"DEC 12, 2024",BOS vs. DET,W,30,8,18,0.444,2,7,0.286,1,2,0.5,0,8,8,2,1,2,1,0,19,23,1,21.2,7.2,16.0,1.0,1.4,0.8,0.4631999999999999,29.8,8.6,20.6,BOS,1610612738,DET,1610612765,113.1,110.9,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,116.2,22.0,21,2,2,114.6,1
6,22024,204001,22400363,"DEC 19, 2024",BOS vs. CHI,L,36,7,17,0.412,2,7,0.286,4,4,1.0,2,6,8,0,0,3,0,2,20,-8,1,21.0,7.2,17.2,1.0,2.0,0.8,0.4183999999999999,32.0,5.6,20.33333333333333,BOS,1610612738,CHI,1610612741,120.5,113.0,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,4,1,119.4,18.0,25,3,1,118.6,1
7,22024,204001,22400381,"DEC 21, 2024",BOS @ CHI,W,30,8,15,0.533,2,6,0.333,4,4,1.0,1,6,7,2,2,2,1,4,22,14,1,21.2,7.4,16.8,0.8,2.4,1.0,0.4426,31.6,9.4,20.285714285714285,BOS,1610612738,CHI,1610612741,120.5,113.0,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,115.0,18.0,25,3,2,114.2,0
8,22024,204001,22400393,"DEC 23, 2024",BOS @ ORL,L,37,2,10,0.2,0,4,0.0,13,14,0.929,1,3,4,0,0,2,1,3,17,-8,1,19.4,6.2,15.4,0.8,2.4,0.8,0.3883999999999999,33.2,4.6,20.5,BOS,1610612738,ORL,1610612753,104.3,105.6,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,117.4,23.0,21,2,2,107.0,0
9,22024,204001,22400471,"JAN 03, 2025",BOS @ HOU,W,28,3,8,0.375,2,3,0.667,3,4,0.75,1,4,5,2,0,2,1,3,11,10,1,17.8,5.6,13.6,0.6,2.2,0.8,0.3928,32.2,6.2,20.11111111111111,BOS,1610612738,HOU,1610612745,107.8,105.5,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,122.6,28.0,14,3,2,112.8,0
10,22024,204001,22400487,"JAN 05, 2025",BOS @ OKC,L,29,6,12,0.5,1,6,0.167,6,6,1.0,4,5,9,1,1,0,4,5,19,-17,1,17.8,5.2,12.4,0.6,1.8,1.4,0.404,32.0,-1.8,19.2,BOS,1610612738,OKC,1610612760,103.6,101.2,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,4,1,121.6,35.0,7,5,1,116.4,0
11,22024,204001,22400507,"JAN 07, 2025",BOS @ DEN,W,34,9,18,0.5,1,3,0.333,6,8,0.75,5,6,11,3,2,1,1,1,25,14,1,18.8,5.6,12.6,1.0,1.4,1.6,0.4215999999999999,31.6,2.6,19.181818181818183,BOS,1610612738,DEN,1610612743,115.5,110.6,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,111.6,26.0,16,4,2,127.4,0
12,22024,204001,22400528,"JAN 10, 2025",BOS vs. SAC,L,29,6,15,0.4,4,7,0.571,6,7,0.857,1,9,10,0,0,2,0,2,22,-8,1,18.8,5.2,12.6,0.6,1.4,1.4,0.395,31.4,-1.8,19.666666666666668,BOS,1610612738,SAC,1610612758,113.9,110.5,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,4,1,112.4,22.0,20,5,1,122.6,1
13,22024,204001,22400542,"JAN 12, 2025",BOS vs. NOP,W,34,7,19,0.368,3,9,0.333,2,3,0.667,6,5,11,1,0,3,1,2,19,-8,1,19.2,6.2,14.4,0.6,1.6,1.4,0.4286,30.8,-1.8,19.846153846153847,BOS,1610612738,NOP,1610612740,117.2,114.6,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,106.8,11.0,32,3,2,112.4,1
14,22024,204001,22400562,"JAN 15, 2025",BOS @ TOR,L,35,7,11,0.636,4,5,0.8,0,2,0.0,1,7,8,3,1,2,3,3,18,-17,1,20.6,7.0,15.0,0.8,1.6,1.8,0.4808,32.2,-7.2,19.785714285714285,BOS,1610612738,TOR,1610612761,118.5,115.4,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,3,2,107.2,10.0,32,1,2,109.2,0
15,22024,204001,22400577,"JAN 17, 2025",BOS vs. ORL,W,23,7,10,0.7,3,5,0.6,6,6,1.0,1,3,4,1,0,1,0,5,23,14,1,21.4,7.2,14.6,0.6,1.8,1.0,0.5208,31.0,-1.0,19.666666666666668,BOS,1610612738,ORL,1610612753,104.3,105.6,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,2,3,104.8,23.0,21,2,3,99.0,1
16,22024,204001,22400604,"JAN 20, 2025",BOS @ GSW,W,22,6,13,0.462,3,7,0.429,3,3,1.0,0,7,7,2,1,0,0,2,18,20,1,20.0,6.6,13.6,0.4,1.6,0.8,0.5132,28.6,0.2,19.875,BOS,1610612738,GSW,1610612744,111.2,109.0,117.7,116.8,F-C,0,1,0,0,1,1,29.0,86,240,30,13,2,3,110.0,,21,3,3,108.4,0
