,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1628370,0022400076,"OCT 24, 2024",SAC vs. MIN,L,26,6,9,0.667,1,2,0.5,4,5,0.8,0,1,1,4,0,0,0,1,17,-7,1,17.0,6.0,9.0,0.0,0.0,0.0,0.667,26.0,-7.0,,SAC,1610612758,MIN,1610612750,108.0,107.9,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,0,5,0.0,22,21,0,5,20.6,1
1,22024,1628370,0022400096,"OCT 26, 2024",SAC @ LAL,L,28,6,14,0.429,2,7,0.286,0,0,0.0,0,3,3,5,1,0,0,3,14,20,1,15.5,6.0,11.5,0.5,0.0,0.0,0.548,27.0,6.5,17.0,SAC,1610612758,LAL,1610612747,113.9,113.2,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,0,5,23.0,22,18,2,5,46.6,0
2,22024,1628370,0022400115,"OCT 29, 2024",SAC @ UTA,W,26,2,11,0.182,2,8,0.25,1,2,0.5,0,4,4,3,0,1,1,1,7,8,1,12.666666666666666,4.666666666666667,11.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.426,26.666666666666668,7.0,15.5,SAC,1610612758,UTA,1610612762,118.1,116.2,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,1,4,70.6,10,30,0,4,62.4,0
3,22024,1628370,0022400135,"NOV 01, 2024",SAC @ ATL,W,29,3,9,0.333,0,3,0.0,3,4,0.75,0,4,4,6,0,0,1,0,9,4,1,11.75,4.25,10.75,0.25,0.25,0.5,0.40275,27.25,6.25,12.666666666666666,SAC,1610612758,ATL,1610612737,119.0,111.3,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,2,3,93.2,22,20,2,3,117.6,0
4,22024,1628370,0022400143,"NOV 02, 2024",SAC @ TOR,L,38,9,16,0.563,3,7,0.429,0,0,0.0,0,4,4,4,2,0,1,3,21,3,1,13.6,5.2,11.8,0.6,0.2,0.6,0.43479999999999996,29.4,5.6,11.75,SAC,1610612758,TOR,1610612761,118.5,115.4,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,3,2,117.8,10,32,1,2,119.8,0
5,22024,1628370,0022400159,"NOV 04, 2024",SAC @ MIA,W,24,6,11,0.545,0,3,0.0,0,0,0.0,0,1,1,0,0,0,1,4,12,-4,1,12.6,5.2,12.2,0.6,0.2,0.8,0.4104,29.0,6.2,13.6,SAC,1610612758,MIA,1610612748,110.0,109.7,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,3,2,120.4,21,20,3,2,108.4,0
6,22024,1628370,0022400180,"NOV 06, 2024",SAC vs. TOR,W,21,4,12,0.333,1,4,0.25,4,5,0.8,0,5,5,1,2,0,1,1,13,5,1,12.4,4.8,11.8,0.8,0.2,1.0,0.3912,27.6,3.2,13.333333333333334,SAC,1610612758,TOR,1610612761,118.5,115.4,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,4,1,117.2,10,32,1,1,126.6,1
7,22024,1628370,0022400196,"NOV 08, 2024",SAC vs. LAC,L,31,6,13,0.462,0,3,0.0,5,5,1.0,0,1,1,3,2,2,1,2,17,1,1,14.4,5.6,12.2,1.2,0.4,1.0,0.44719999999999993,28.6,1.8,13.285714285714286,SAC,1610612758,LAC,1610612746,106.5,105.8,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,4,1,119.4,24,17,2,1,107.8,1
8,22024,1628370,0022400285,"NOV 25, 2024",SAC vs. OKC,L,26,4,12,0.333,2,7,0.286,4,6,0.667,0,1,1,3,1,1,1,5,14,-19,1,15.4,5.8,12.8,1.4,0.6,1.0,0.44720000000000004,28.0,-2.8,13.75,SAC,1610612758,OKC,1610612760,103.6,101.2,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,1,4,109.2,35,7,3,4,107.4,1
9,22024,1628370,0022400294,"NOV 27, 2024",SAC @ MIN,W,35,11,16,0.688,3,5,0.6,2,3,0.667,1,7,8,9,1,0,2,4,27,14,1,16.6,6.2,12.8,1.2,0.6,1.2,0.47219999999999995,27.4,-0.6,13.777777777777779,SAC,1610612758,MIN,1610612750,108.0,107.9,116.7,113.2,G,1,0,0,1,0,0,26.0,75,200,22,20,1,4,105.8,22,21,2,4,114.2,0
