,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1629027,22400064,"OCT 23, 2024",ATL vs. BKN,W,37,7,16,0.438,2,6,0.333,14,16,0.875,1,4,5,12,1,1,3,1,30,12,1,30.0,7.0,16.0,1.0,1.0,3.0,0.438,37.0,12.0,,ATL,1610612737,BKN,1610612751,113.7,114.0,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,0,5,0.0,14,28,0,5,0.0,1
1,22024,1629027,22400079,"OCT 25, 2024",ATL vs. CHA,W,41,11,24,0.458,5,14,0.357,11,13,0.846,3,5,8,10,4,0,7,1,38,9,1,34.0,9.0,20.0,2.5,0.5,5.0,0.448,39.0,10.5,30.0,ATL,1610612737,CHA,1610612766,112.7,111.3,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,1,4,24.0,10,28,1,4,22.0,1
2,22024,1629027,22400100,"OCT 27, 2024",ATL @ OKC,L,37,7,14,0.5,2,7,0.286,8,8,1.0,0,1,1,8,0,0,10,3,24,-18,1,30.666666666666668,8.333333333333334,18.0,1.6666666666666667,0.3333333333333333,6.666666666666667,0.4653333333333333,38.333333333333336,1.0,34.0,ATL,1610612737,OKC,1610612760,103.7,101.2,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,2,3,49.0,34,7,2,3,43.2,0
3,22024,1629027,22400103,"OCT 28, 2024",ATL vs. WAS,L,36,2,15,0.133,2,10,0.2,8,9,0.889,0,8,8,13,1,1,6,3,14,-7,1,26.5,6.75,17.25,1.5,0.5,6.5,0.38225,37.75,-1.0,30.666666666666668,ATL,1610612737,WAS,1610612764,122.8,117.4,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,2,3,69.8,6,34,0,3,43.6,1
4,22024,1629027,22400121,"OCT 30, 2024",ATL @ WAS,L,40,12,28,0.429,4,13,0.308,7,7,1.0,2,2,4,15,2,0,3,2,35,-16,1,28.2,7.8,19.4,1.6,0.4,5.8,0.3916,38.2,-4.0,26.5,ATL,1610612737,WAS,1610612764,122.8,117.4,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,2,3,93.6,6,34,1,3,67.8,0
5,22024,1629027,22400135,"NOV 01, 2024",ATL vs. SAC,L,42,8,21,0.381,3,9,0.333,6,7,0.857,1,4,5,12,0,0,5,2,25,-11,1,27.2,8.0,20.4,1.4,0.2,6.2,0.3802,39.2,-8.6,28.2,ATL,1610612737,SAC,1610612758,114.2,111.0,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,2,3,117.6,21,20,2,3,93.2,1
6,22024,1629027,22400152,"NOV 03, 2024",ATL @ NOP,W,31,8,15,0.533,5,10,0.5,2,2,1.0,1,3,4,12,1,0,2,1,23,29,1,24.2,7.4,18.6,0.8,0.2,5.2,0.3952,37.2,-4.6,27.666666666666668,ATL,1610612737,NOP,1610612740,117.2,114.6,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,1,4,116.6,11,32,2,4,105.6,0
7,22024,1629027,22400157,"NOV 04, 2024",ATL vs. BOS,L,23,1,10,0.1,0,6,0.0,0,0,0.0,0,0,0,6,1,0,3,2,2,-28,1,19.8,6.2,17.8,1.0,0.2,3.8,0.3152,34.4,-6.6,27.0,ATL,1610612737,BOS,1610612738,108.6,107.7,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,1,4,116.8,29,13,4,4,122.4,1
8,22024,1629027,22400171,"NOV 06, 2024",ATL vs. NYK,W,35,7,21,0.333,3,9,0.333,6,8,0.75,2,4,6,10,2,0,2,2,23,6,1,21.6,7.2,19.0,1.2,0.0,3.0,0.3552,34.2,-4.0,23.875,ATL,1610612737,NYK,1610612752,111.1,111.8,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,1,4,114.6,27,16,3,4,113.6,1
9,22024,1629027,22400185,"NOV 08, 2024",ATL @ DET,L,41,11,25,0.44,6,12,0.5,7,8,0.875,0,2,2,13,2,0,3,2,35,14,1,21.6,7.0,18.4,1.2,0.0,3.0,0.3574,34.4,2.0,23.77777777777778,ATL,1610612737,DET,1610612765,113.5,111.3,117.2,110.0,G,1,0,0,1,0,0,26.0,73,164,22,19,2,3,115.0,21,21,3,3,106.2,0
