,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1629014,0022400072,"OCT 23, 2024",POR vs. GSW,L,33,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,-16,1,15.0,5.0,12.0,1.0,0.0,5.0,0.417,33.0,-16.0,,POR,1610612757,GSW,1610612744,G,1,0,0,1,0,0,25.0,75,200,0,1,104.0,0,5,0.0,1,0,104.0,0,5,0.0,1
1,22024,1629014,0022400086,"OCT 25, 2024",POR vs. NOP,L,36,6,20,0.3,2,9,0.222,10,11,0.909,0,1,1,7,1,0,4,2,24,2,1,19.5,5.5,16.0,1.0,0.0,4.5,0.3585,34.5,-7.0,15.0,POR,1610612757,NOP,1610612740,G,1,0,0,1,0,0,25.0,75,200,0,2,103.5,0,5,20.8,2,0,107.0,1,4,24.6,1
2,22024,1629014,0022400099,"OCT 27, 2024",POR vs. NOP,W,33,8,17,0.471,5,10,0.5,6,6,1.0,0,2,2,6,2,0,2,0,27,25,1,22.0,6.333333333333333,16.333333333333332,1.3333333333333333,0.0,3.6666666666666665,0.39599999999999996,34.0,3.6666666666666665,19.5,POR,1610612757,NOP,1610612740,G,1,0,0,1,0,0,25.0,75,200,1,2,110.66666666666667,0,5,41.4,2,1,113.0,2,3,45.6,1
3,22024,1629014,0022400112,"OCT 28, 2024",POR @ SAC,L,32,4,12,0.333,1,7,0.143,3,4,0.75,0,1,1,3,0,0,4,2,12,-23,1,19.5,5.75,15.25,1.0,0.0,3.75,0.38025,33.5,-3.0,22.0,POR,1610612757,SAC,1610612758,G,1,0,0,1,0,0,25.0,75,200,1,3,107.5,1,4,66.4,1,2,115.33333333333333,0,5,48.4,0
4,22024,1629014,0022400127,"OCT 30, 2024",POR @ LAC,W,36,10,24,0.417,3,9,0.333,2,2,1.0,0,2,2,6,0,0,1,0,25,2,1,20.6,6.6,17.0,0.8,0.0,3.2,0.3876,34.0,-2.0,19.5,POR,1610612757,LAC,1610612746,G,1,0,0,1,0,0,25.0,75,200,2,3,107.2,1,4,86.0,2,2,107.5,2,3,66.8,0
5,22024,1629014,0022400140,"NOV 01, 2024",POR vs. OKC,L,28,1,8,0.125,1,3,0.333,6,6,1.0,0,4,4,6,0,1,2,0,9,-9,1,19.4,5.8,16.2,0.6,0.2,2.6,0.3292,33.0,-0.6,20.6,POR,1610612757,OKC,1610612760,G,1,0,0,1,0,0,25.0,75,200,2,4,108.33333333333333,2,3,107.2,5,0,98.6,4,1,89.8,1
6,22024,1629014,0022400149,"NOV 02, 2024",POR @ PHX,L,41,8,25,0.32,4,13,0.308,0,1,0.0,2,6,8,6,2,0,1,2,20,6,1,18.6,6.2,17.2,0.8,0.2,2.0,0.33320000000000005,34.0,0.2,18.666666666666668,POR,1610612757,PHX,1610612756,G,1,0,0,1,0,0,25.0,75,200,2,5,106.71428571428571,2,3,109.2,5,1,109.83333333333333,4,1,116.0,0
7,22024,1629014,0022400164,"NOV 04, 2024",POR @ NOP,W,34,10,17,0.588,3,8,0.375,1,1,1.0,0,1,1,4,1,0,2,1,24,13,1,18.0,6.6,17.2,0.6,0.2,2.0,0.3566,34.2,-2.2,18.857142857142858,POR,1610612757,NOP,1610612740,G,1,0,0,1,0,0,25.0,75,200,3,5,108.125,2,3,108.0,3,5,116.125,1,4,106.8,0
8,22024,1629014,0022400183,"NOV 07, 2024",POR @ SAS,L,33,7,16,0.438,3,9,0.333,2,2,1.0,0,0,0,7,1,0,3,2,19,-14,1,19.4,7.2,18.0,0.8,0.2,1.8,0.3776,34.4,-0.4,19.5,POR,1610612757,SAS,1610612759,G,1,0,0,1,0,0,25.0,75,200,3,6,107.77777777777777,2,3,106.6,4,5,108.11111111111111,2,3,103.2,0
9,22024,1629014,0022400193,"NOV 08, 2024",POR @ MIN,L,27,6,16,0.375,2,7,0.286,0,0,0.0,0,1,1,2,1,0,1,2,14,-23,1,17.2,6.4,16.4,1.0,0.2,1.8,0.3692,32.6,-5.4,19.444444444444443,POR,1610612757,MIN,1610612750,G,1,0,0,1,0,0,25.0,75,200,3,7,107.2,2,3,108.0,6,3,109.88888888888889,3,2,117.0,0
