,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,203076,0022400062,"OCT 22, 2024",LAL vs. MIN,W,38,11,23,0.478,1,3,0.333,13,15,0.867,3,13,16,4,1,3,1,1,36,1,1,36.0,11.0,23.0,1.0,3.0,1.0,0.478,38.0,1.0,,LAL,1610612747,MIN,1610612750,F-C,0,1,0,0,1,1,31.0,82,253,1,0,110.0,0,5,0.0,0,1,110.0,0,5,0.0,1
1,22024,203076,0022400085,"OCT 25, 2024",LAL vs. PHX,W,37,11,18,0.611,0,0,0.0,13,17,0.765,1,7,8,4,1,2,1,2,35,4,1,35.5,11.0,20.5,1.0,2.5,1.0,0.5445,37.5,2.5,36.0,LAL,1610612747,PHX,1610612756,F-C,0,1,0,0,1,1,31.0,82,253,2,0,116.5,1,4,22.0,1,1,118.0,1,4,23.2,1
2,22024,203076,0022400096,"OCT 26, 2024",LAL vs. SAC,W,38,10,15,0.667,1,2,0.5,10,13,0.769,3,6,9,2,3,2,2,1,31,-22,1,34.0,10.666666666666666,18.666666666666668,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.5853333333333334,37.666666666666664,-5.666666666666667,35.5,LAL,1610612747,SAC,1610612758,F-C,0,1,0,0,1,1,31.0,82,253,3,0,121.33333333333333,2,3,46.6,0,2,124.0,0,3,23.0,1
3,22024,203076,0022400111,"OCT 28, 2024",LAL @ PHX,L,36,12,24,0.5,0,2,0.0,5,6,0.833,5,10,15,3,1,3,3,1,29,14,1,32.75,11.0,20.0,1.5,2.5,1.75,0.5640000000000001,37.25,-0.75,34.0,LAL,1610612747,PHX,1610612756,F-C,0,1,0,0,1,1,31.0,82,253,3,1,117.25,3,2,72.8,3,1,110.75,2,2,69.2,0
4,22024,203076,0022400118,"OCT 30, 2024",LAL @ CLE,L,31,9,17,0.529,0,1,0.0,4,8,0.5,1,12,13,2,2,0,4,1,22,-18,1,30.6,10.6,19.4,1.6,2.0,2.2,0.557,36.0,-4.2,32.75,LAL,1610612747,CLE,1610612739,F-C,0,1,0,0,1,1,31.0,82,253,3,2,115.8,3,2,93.8,5,0,107.4,4,2,98.8,0
5,22024,203076,0022400137,"NOV 01, 2024",LAL @ TOR,W,36,14,20,0.7,0,0,0.0,10,11,0.909,1,10,11,2,3,2,3,0,38,7,1,31.0,11.2,18.8,2.0,1.8,2.6,0.6014,35.6,-3.0,30.6,LAL,1610612747,TOR,1610612761,F-C,0,1,0,0,1,1,31.0,82,253,4,2,118.33333333333333,3,2,115.8,1,5,125.16666666666667,1,2,116.0,0
6,22024,203076,0022400156,"NOV 04, 2024",LAL @ DET,L,39,13,23,0.565,0,4,0.0,11,14,0.786,1,8,9,4,0,0,3,2,37,-1,1,31.4,11.6,19.8,1.8,1.4,3.0,0.5922,36.0,-4.0,31.833333333333332,LAL,1610612747,DET,1610612765,F-C,0,1,0,0,1,1,31.0,82,253,4,3,116.14285714285714,3,2,120.0,3,5,109.5,2,2,105.0,0
7,22024,203076,0022400195,"NOV 08, 2024",LAL vs. PHI,W,36,11,20,0.55,2,3,0.667,7,8,0.875,3,6,9,1,0,4,3,2,31,20,1,31.4,11.8,20.8,1.2,1.8,3.2,0.5688,35.6,4.4,32.57142857142857,LAL,1610612747,PHI,1610612755,F-C,0,1,0,0,1,1,31.0,82,253,5,4,115.88888888888889,1,4,112.6,1,7,115.75,1,4,106.8,1
8,22024,203076,0022400211,"NOV 10, 2024",LAL vs. TOR,W,26,6,8,0.75,2,2,1.0,8,10,0.8,1,3,4,3,1,2,0,1,22,-3,1,30.0,10.6,17.6,1.2,1.6,2.6,0.6188,33.6,1.0,32.375,LAL,1610612747,TOR,1610612761,F-C,0,1,0,0,1,1,31.0,82,253,6,4,116.6,2,3,114.8,2,9,122.72727272727273,1,3,117.0,1
9,22024,203076,0022400225,"NOV 13, 2024",LAL vs. MEM,W,32,6,16,0.375,2,3,0.667,7,8,0.875,2,12,14,3,0,3,3,5,21,-6,1,29.8,10.0,17.4,0.8,2.2,2.4,0.588,33.8,3.4,31.22222222222222,LAL,1610612747,MEM,1610612763,F-C,0,1,0,0,1,1,31.0,82,253,7,4,117.63636363636364,3,2,117.4,7,5,112.91666666666667,4,2,124.2,1
