,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1630559,0022400062,"OCT 22, 2024",LAL vs. MIN,W,36,6,14,0.429,0,5,0.0,0,1,0.0,4,5,9,4,1,1,0,4,12,12,1,12.0,6.0,14.0,1.0,1.0,0.0,0.429,36.0,12.0,,LAL,1610612747,MIN,1610612750,G,1,0,0,1,0,0,26.0,77,197,1,0,110.0,0,5,0.0,0,1,110.0,0,5,0.0,1
1,22024,1630559,0022400085,"OCT 25, 2024",LAL vs. PHX,W,37,8,12,0.667,5,7,0.714,5,6,0.833,0,4,4,8,3,1,4,4,26,13,1,19.0,7.0,13.0,2.0,1.0,2.0,0.548,36.5,12.5,12.0,LAL,1610612747,PHX,1610612756,G,1,0,0,1,0,0,26.0,77,197,2,0,116.5,1,4,22.0,1,1,118.0,1,4,23.2,1
2,22024,1630559,0022400096,"OCT 26, 2024",LAL vs. SAC,W,34,7,12,0.583,2,4,0.5,0,0,0.0,4,3,7,6,0,0,6,3,16,-20,1,18.0,7.0,12.666666666666666,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.5596666666666666,35.666666666666664,1.6666666666666667,19.0,LAL,1610612747,SAC,1610612758,G,1,0,0,1,0,0,26.0,77,197,3,0,121.33333333333333,2,3,46.6,0,2,124.0,0,5,23.0,1
3,22024,1630559,0022400111,"OCT 28, 2024",LAL @ PHX,L,38,8,15,0.533,5,9,0.556,2,3,0.667,0,8,8,3,2,0,1,3,23,12,1,19.25,7.25,13.25,1.5,0.5,2.75,0.553,36.25,4.25,18.0,LAL,1610612747,PHX,1610612756,G,1,0,0,1,0,0,26.0,77,197,3,1,117.25,3,2,72.8,3,1,110.75,2,3,69.2,0
4,22024,1630559,0022400118,"OCT 30, 2024",LAL @ CLE,L,28,2,6,0.333,1,4,0.25,2,2,1.0,0,2,2,3,0,0,4,0,7,-14,1,16.8,6.2,11.8,1.2,0.4,3.0,0.509,34.6,0.6,19.25,LAL,1610612747,CLE,1610612739,G,1,0,0,1,0,0,26.0,77,197,3,2,115.8,3,2,93.8,5,0,107.4,4,1,98.8,0
5,22024,1630559,0022400137,"NOV 01, 2024",LAL @ TOR,W,34,4,13,0.308,0,6,0.0,12,14,0.857,0,1,1,6,2,1,1,3,20,-3,1,18.4,5.8,11.6,1.4,0.4,3.2,0.48480000000000006,34.2,-2.4,16.8,LAL,1610612747,TOR,1610612761,G,1,0,0,1,0,0,26.0,77,197,4,2,118.33333333333333,3,2,115.8,1,5,125.16666666666667,1,4,116.0,0
6,22024,1630559,0022400156,"NOV 04, 2024",LAL @ DET,L,39,7,17,0.412,3,10,0.3,0,1,0.0,1,3,4,4,2,0,4,4,17,-14,1,16.6,5.6,12.6,1.2,0.2,3.2,0.4338,34.6,-7.8,17.333333333333332,LAL,1610612747,DET,1610612765,G,1,0,0,1,0,0,26.0,77,197,4,3,116.14285714285714,3,2,120.0,3,5,109.5,2,3,105.0,0
7,22024,1630559,0022400174,"NOV 06, 2024",LAL @ MEM,L,35,7,17,0.412,2,9,0.222,3,4,0.75,0,3,3,5,3,0,1,1,19,-9,1,17.2,5.6,13.6,1.8,0.2,2.2,0.3996,34.8,-5.6,17.285714285714285,LAL,1610612747,MEM,1610612763,G,1,0,0,1,0,0,26.0,77,197,4,4,115.875,2,3,116.0,5,4,114.88888888888889,2,3,115.8,0
8,22024,1630559,0022400195,"NOV 08, 2024",LAL vs. PHI,W,30,7,13,0.538,6,10,0.6,0,0,0.0,0,6,6,7,0,1,2,1,20,14,1,16.6,5.4,13.2,1.4,0.4,2.4,0.4006,33.2,-5.2,17.5,LAL,1610612747,PHI,1610612755,G,1,0,0,1,0,0,26.0,77,197,5,4,115.88888888888889,1,4,112.6,1,7,115.75,1,4,106.8,1
9,22024,1630559,0022400211,"NOV 10, 2024",LAL vs. TOR,W,33,10,17,0.588,3,9,0.333,4,5,0.8,0,1,1,6,1,0,0,4,27,11,1,20.6,7.0,15.4,1.6,0.4,1.6,0.4516,34.2,-0.2,17.77777777777778,LAL,1610612747,TOR,1610612761,G,1,0,0,1,0,0,26.0,77,197,6,4,116.6,2,3,114.8,2,9,122.72727272727273,1,4,117.0,1
10,22024,1630559,0022400225,"NOV 13, 2024",LAL vs. MEM,W,36,5,14,0.357,3,11,0.273,5,7,0.714,0,2,2,6,1,0,3,4,18,-1,1,20.2,7.2,15.6,1.4,0.2,2.0,0.4614,34.6,0.2,18.7,LAL,1610612747,MEM,1610612763,G,1,0,0,1,0,0,26.0,77,197,7,4,117.63636363636364,3,2,117.4,7,5,112.91666666666667,4,1,124.2,1
11,22024,1630559,0022400015,"NOV 15, 2024",LAL @ SAS,W,32,6,12,0.5,5,9,0.556,2,2,1.0,1,2,3,6,0,0,0,3,19,-8,1,20.6,7.0,14.6,1.0,0.2,1.2,0.479,33.2,1.4,18.636363636363637,LAL,1610612747,SAS,1610612759,G,1,0,0,1,0,0,26.0,77,197,8,4,117.83333333333333,3,2,116.8,6,7,110.0,3,2,116.6,0
12,22024,1630559,0022400231,"NOV 16, 2024",LAL @ NOP,W,41,3,15,0.2,2,9,0.222,2,2,1.0,1,1,2,7,1,0,0,1,10,10,1,18.8,6.2,14.2,0.6,0.2,1.0,0.4366,34.4,5.2,18.666666666666668,LAL,1610612747,NOP,1610612740,G,1,0,0,1,0,0,26.0,77,197,9,4,116.76923076923077,4,1,120.2,4,10,113.28571428571429,1,4,100.8,0
13,22024,1630559,0022400026,"NOV 19, 2024",LAL vs. UTA,W,33,6,14,0.429,3,7,0.429,2,2,1.0,0,0,0,5,0,0,3,1,17,4,1,18.2,6.0,14.4,0.6,0.0,1.2,0.41479999999999995,35.0,3.2,18.0,LAL,1610612747,UTA,1610612762,G,1,0,0,1,0,0,26.0,77,197,10,4,117.28571428571429,5,0,118.2,3,11,118.85714285714286,2,3,112.0,1
14,22024,1630559,0022400263,"NOV 21, 2024",LAL vs. ORL,L,33,3,12,0.25,1,4,0.25,2,5,0.4,1,1,2,3,1,0,2,0,9,-8,1,14.6,4.6,13.4,0.6,0.0,1.6,0.34719999999999995,35.0,-0.6,17.928571428571427,LAL,1610612747,ORL,1610612753,G,1,0,0,1,0,0,26.0,77,197,10,5,117.33333333333333,5,0,119.8,10,7,103.23529411764706,4,1,101.6,1
15,22024,1630559,0022400270,"NOV 23, 2024",LAL vs. DEN,L,32,7,13,0.538,3,7,0.429,2,2,1.0,1,2,3,6,1,0,3,1,19,-22,1,14.8,5.0,13.2,0.6,0.0,1.6,0.3834000000000001,34.2,-4.8,17.333333333333332,LAL,1610612747,DEN,1610612743,G,1,0,0,1,0,0,26.0,77,197,10,6,116.375,4,1,118.8,9,6,114.73333333333333,2,3,109.6,1
16,22024,1630559,0022400039,"NOV 26, 2024",LAL @ PHX,L,31,6,12,0.5,2,6,0.333,1,1,1.0,1,2,3,2,2,0,1,0,15,-16,1,14.0,5.0,13.2,1.0,0.0,1.8,0.3834000000000001,34.0,-6.4,17.4375,LAL,1610612747,PHX,1610612756,G,1,0,0,1,0,0,26.0,77,197,10,7,115.41176470588235,3,2,113.6,10,7,113.6470588235294,0,5,105.0,0
17,22024,1630559,0022400296,"NOV 27, 2024",LAL @ SAS,W,31,5,11,0.455,3,6,0.5,0,0,0.0,0,2,2,2,0,0,3,1,13,8,1,14.6,5.4,12.4,0.8,0.0,2.4,0.4344,32.0,-6.8,17.294117647058822,LAL,1610612747,SAS,1610612759,G,1,0,0,1,0,0,26.0,77,197,11,7,115.61111111111111,2,3,109.6,10,9,110.0,4,1,112.2,0
18,22024,1630559,0022400048,"NOV 29, 2024",LAL vs. OKC,L,29,3,11,0.273,1,9,0.111,4,5,0.8,1,4,5,3,0,0,5,3,11,-8,1,13.4,4.8,11.8,0.8,0.0,2.8,0.4032,31.2,-9.2,17.055555555555557,LAL,1610612747,OKC,1610612760,G,1,0,0,1,0,0,26.0,77,197,11,8,114.42105263157895,2,3,112.6,15,4,103.21052631578948,3,2,113.4,1
19,22024,1630559,0022401210,"DEC 13, 2024",LAL @ MIN,L,30,6,16,0.375,4,8,0.5,2,2,1.0,2,4,6,6,0,0,2,5,18,-2,1,15.2,5.4,12.6,0.6,0.0,2.8,0.4282,30.6,-8.0,16.736842105263158,LAL,1610612747,MIN,1610612750,G,1,0,0,1,0,0,26.0,77,197,13,12,111.12,2,3,103.4,13,11,106.125,4,1,104.6,0
20,22024,1630559,0022401220,"DEC 15, 2024",LAL vs. MEM,W,36,6,15,0.4,2,8,0.25,5,5,1.0,0,2,2,8,2,0,1,4,19,11,1,15.2,5.2,13.0,0.8,0.0,2.4,0.4006,31.4,-1.4,16.8,LAL,1610612747,MEM,1610612763,G,1,0,0,1,0,0,26.0,77,197,14,12,111.3076923076923,1,4,99.8,18,9,113.70370370370371,4,1,126.6,1
21,22024,1630559,0022400372,"DEC 19, 2024",LAL @ SAC,W,35,7,14,0.5,3,7,0.429,8,9,0.889,0,6,6,5,2,0,1,0,25,9,1,17.2,5.4,13.4,0.8,0.0,2.4,0.4006,32.2,3.6,16.904761904761905,LAL,1610612747,SAC,1610612758,G,1,0,0,1,0,0,26.0,77,197,15,12,111.37037037037037,2,3,107.0,13,15,113.64285714285714,3,2,126.2,0
22,22024,1630559,0022400376,"DEC 21, 2024",LAL @ SAC,W,36,6,14,0.429,1,7,0.143,3,5,0.6,2,2,4,5,0,0,2,1,16,10,1,17.8,5.6,14.0,0.8,0.0,2.2,0.39540000000000003,33.2,4.0,17.272727272727273,LAL,1610612747,SAC,1610612758,G,1,0,0,1,0,0,26.0,77,197,16,12,111.07142857142857,3,2,111.0,13,16,113.27586206896552,3,2,124.2,0
23,22024,1630559,0022400404,"DEC 23, 2024",LAL vs. DET,L,37,5,9,0.556,2,5,0.4,0,0,0.0,0,7,7,2,2,0,6,2,12,16,1,18.0,6.0,13.6,1.2,0.0,2.4,0.45199999999999996,34.8,8.8,17.217391304347824,LAL,1610612747,DET,1610612765,G,1,0,0,1,0,0,26.0,77,197,16,13,111.17241379310344,4,1,105.2,13,17,114.6,3,2,119.2,1
24,22024,1630559,0022400408,"DEC 25, 2024",LAL @ GSW,W,37,8,20,0.4,4,10,0.4,6,6,1.0,2,8,10,10,1,0,3,0,26,-4,1,19.6,6.4,14.4,1.4,0.0,2.6,0.457,36.2,8.4,17.0,LAL,1610612747,GSW,1610612744,G,1,0,0,1,0,0,26.0,77,197,17,13,111.3,3,2,106.6,15,14,110.96551724137932,1,4,106.8,0
25,22024,1630559,0022400435,"DEC 28, 2024",LAL vs. SAC,W,43,9,16,0.563,3,4,0.75,5,8,0.625,1,5,6,16,0,0,5,3,26,15,1,21.0,7.0,14.6,1.0,0.0,3.4,0.4896,37.6,9.2,17.36,LAL,1610612747,SAC,1610612758,G,1,0,0,1,0,0,26.0,77,197,18,13,111.96774193548387,4,1,112.2,13,19,114.15625,0,5,107.2,1
26,22024,1630559,0022400454,"DEC 31, 2024",LAL vs. CLE,L,38,11,20,0.55,1,4,0.25,12,13,0.923,1,8,9,10,1,0,4,2,35,-3,1,23.0,7.8,15.8,0.8,0.0,4.0,0.49960000000000004,38.2,6.8,17.692307692307693,LAL,1610612747,CLE,1610612739,G,1,0,0,1,0,0,26.0,77,197,18,14,111.90625,4,1,115.4,29,4,110.48484848484848,5,0,127.2,1
27,22024,1630559,0022400468,"JAN 02, 2025",LAL vs. POR,W,36,5,15,0.333,2,9,0.222,3,3,1.0,2,6,8,11,2,0,3,3,15,10,1,22.8,7.6,16.0,1.2,0.0,4.2,0.48040000000000005,38.2,6.8,18.333333333333332,LAL,1610612747,POR,1610612757,G,1,0,0,1,0,0,26.0,77,197,19,14,111.96969696969697,3,2,114.8,11,22,117.24242424242425,2,3,110.6,1
28,22024,1630559,0022400477,"JAN 03, 2025",LAL vs. ATL,W,39,6,18,0.333,3,7,0.429,5,6,0.833,4,3,7,6,0,0,6,1,20,18,1,24.4,7.8,17.8,0.8,0.0,4.2,0.4358000000000001,38.6,7.2,18.214285714285715,LAL,1610612747,ATL,1610612737,G,1,0,0,1,0,0,26.0,77,197,20,14,112.17647058823529,3,2,117.0,18,17,119.4,4,1,126.8,1
29,22024,1630559,0022400491,"JAN 05, 2025",LAL @ HOU,L,41,6,13,0.462,3,6,0.5,6,7,0.857,0,0,0,10,0,0,0,2,21,12,1,23.4,7.4,16.4,0.6,0.0,3.6,0.44820000000000004,39.4,10.4,18.275862068965516,LAL,1610612747,HOU,1610612745,G,1,0,0,1,0,0,26.0,77,197,20,15,112.25714285714285,4,1,118.0,23,12,106.68571428571428,2,3,107.2,0
30,22024,1630559,0022400504,"JAN 07, 2025",LAL @ DAL,L,32,5,14,0.357,4,11,0.364,1,2,0.5,0,2,2,1,3,0,1,1,15,-25,1,21.2,6.6,16.0,1.2,0.0,2.8,0.40700000000000003,37.2,2.4,18.366666666666667,LAL,1610612747,DAL,1610612742,G,1,0,0,1,0,0,26.0,77,197,20,16,111.83333333333333,3,2,118.0,21,16,111.86486486486487,0,5,109.4,0
31,22024,1630559,0022400552,"JAN 13, 2025",LAL vs. SAS,L,33,4,13,0.308,2,7,0.286,2,2,1.0,1,4,5,8,0,0,4,3,12,-18,1,16.6,5.2,14.6,1.0,0.0,2.8,0.35860000000000003,36.2,-0.6,18.258064516129032,LAL,1610612747,SAS,1610612759,G,1,0,0,1,0,0,26.0,77,197,20,17,111.56756756756756,2,3,111.0,19,19,111.52631578947368,2,3,112.2,1
32,22024,1630559,0022400570,"JAN 15, 2025",LAL vs. MIA,W,35,5,9,0.556,2,3,0.667,2,2,1.0,0,3,3,14,3,0,1,4,14,14,1,16.4,5.2,13.4,1.2,0.0,2.4,0.4032,36.0,0.2,18.0625,LAL,1610612747,MIA,1610612748,G,1,0,0,1,0,0,26.0,77,197,21,17,111.71052631578948,2,3,109.4,20,19,109.48717948717949,3,2,109.2,1
33,22024,1630559,0022400585,"JAN 17, 2025",LAL vs. BKN,W,37,13,23,0.565,4,8,0.5,8,8,1.0,0,3,3,3,2,1,0,2,38,1,1,20.0,6.6,14.4,1.6,0.2,1.2,0.44960000000000006,35.6,-3.2,17.939393939393938,LAL,1610612747,BKN,1610612751,G,1,0,0,1,0,0,26.0,77,197,22,17,111.46153846153847,2,3,110.0,14,28,113.71428571428571,1,4,102.6,1
34,22024,1630559,0022400596,"JAN 19, 2025",LAL @ LAC,L,34,4,6,0.667,2,4,0.5,4,4,1.0,0,2,2,3,0,1,5,1,14,-16,1,18.6,6.2,13.0,1.6,0.4,2.2,0.49060000000000004,34.2,-8.8,18.529411764705884,LAL,1610612747,LAC,1610612746,G,1,0,0,1,0,0,26.0,77,197,22,18,111.225,2,3,106.6,24,17,106.51219512195122,3,2,112.4,0
35,22024,1630559,0022400610,"JAN 21, 2025",LAL vs. WAS,W,36,4,15,0.267,1,8,0.125,7,7,1.0,1,1,2,8,1,0,2,1,16,18,1,18.8,6.0,13.2,1.2,0.4,2.4,0.4726,35.0,-0.2,18.4,LAL,1610612747,WAS,1610612764,G,1,0,0,1,0,0,26.0,77,197,23,18,111.21951219512195,2,3,104.0,6,36,122.5,0,5,107.6,1
