,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1631114,0022400075,"OCT 24, 2024",OKC @ DEN,W,34,5,16,0.313,2,8,0.25,0,1,0.0,1,2,3,3,0,2,5,3,12,0,1,12.0,5.0,16.0,0.0,2.0,5.0,0.313,34.0,0.0,,OKC,1610612760,DEN,1610612743,G-F,1,0,0,1,1,0,23.0,77,211,1,0,102.0,0,5,0.0,0,1,102.0,0,5,0.0,0
1,22024,1631114,0022400091,"OCT 26, 2024",OKC @ CHI,W,32,10,22,0.455,1,4,0.25,3,3,1.0,2,7,9,8,0,0,2,1,24,5,1,18.0,7.5,19.0,0.0,1.0,3.5,0.384,33.0,2.5,12.0,OKC,1610612760,CHI,1610612741,G-F,1,0,0,1,1,0,23.0,77,211,2,0,108.0,1,4,20.4,1,2,119.66666666666667,1,4,48.8,0
2,22024,1631114,0022400100,"OCT 27, 2024",OKC vs. ATL,W,33,8,17,0.471,0,3,0.0,4,8,0.5,2,7,9,5,2,0,0,4,20,14,1,18.666666666666668,7.666666666666667,18.333333333333332,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.413,33.0,6.333333333333333,18.0,OKC,1610612760,ATL,1610612737,G-F,1,0,0,1,1,0,23.0,77,211,3,0,114.66666666666667,2,3,43.2,2,1,121.33333333333333,2,3,49.0,1
3,22024,1631114,0022400125,"OCT 30, 2024",OKC vs. SAS,W,27,5,13,0.385,1,3,0.333,1,2,0.5,0,7,7,8,4,1,1,3,12,19,1,17.0,7.0,17.0,1.5,0.75,2.0,0.406,31.5,9.5,18.666666666666668,OKC,1610612760,SAS,1610612759,G-F,1,0,0,1,1,0,23.0,77,211,4,0,112.25,3,2,68.8,1,3,109.25,1,4,63.8,1
4,22024,1631114,0022400140,"NOV 01, 2024",OKC @ POR,W,26,8,12,0.667,4,6,0.667,2,2,1.0,1,4,5,4,4,0,3,2,22,16,1,18.0,7.2,16.0,2.0,0.6,2.2,0.4582,30.4,10.8,17.0,OKC,1610612760,POR,1610612757,G-F,1,0,0,1,1,0,23.0,77,211,5,0,117.2,4,1,89.8,2,4,116.83333333333333,2,3,107.2,0
5,22024,1631114,0022400150,"NOV 02, 2024",OKC @ LAC,W,34,5,16,0.313,3,5,0.6,2,2,1.0,0,7,7,4,2,0,4,4,15,10,1,18.6,7.2,16.0,2.4,0.2,2.0,0.4582,30.4,12.8,18.0,OKC,1610612760,LAC,1610612746,G-F,1,0,0,1,1,0,23.0,77,211,6,0,115.16666666666667,5,0,117.2,2,4,110.0,2,3,111.6,0
6,22024,1631114,0022400163,"NOV 04, 2024",OKC vs. ORL,W,35,10,17,0.588,3,7,0.429,0,0,0.0,0,4,4,1,3,1,1,3,23,-1,1,18.4,7.2,15.0,3.0,0.4,1.8,0.4848,31.0,11.6,17.5,OKC,1610612760,ORL,1610612753,G-F,1,0,0,1,1,0,23.0,77,211,7,0,113.28571428571429,5,0,117.8,3,5,108.625,1,4,104.6,1
7,22024,1631114,0022400177,"NOV 06, 2024",OKC @ DEN,L,36,11,20,0.55,4,8,0.5,3,5,0.6,2,8,10,9,3,0,1,4,29,3,1,20.2,7.8,15.6,3.2,0.4,2.0,0.5006,31.6,9.4,18.285714285714285,OKC,1610612760,DEN,1610612743,G-F,1,0,0,1,1,0,23.0,77,211,7,1,114.375,5,0,115.4,5,3,117.25,4,1,127.4,0
8,22024,1631114,0022400192,"NOV 08, 2024",OKC vs. HOU,W,32,7,11,0.636,0,1,0.0,0,0,0.0,0,5,5,3,0,1,3,3,14,21,1,20.6,8.2,15.2,2.4,0.4,2.4,0.5508,32.6,9.8,19.625,OKC,1610612760,HOU,1610612745,G-F,1,0,0,1,1,0,23.0,77,211,8,1,115.66666666666667,4,1,114.2,5,4,108.88888888888889,4,1,114.2,1
9,22024,1631114,0022400207,"NOV 10, 2024",OKC vs. GSW,L,31,9,15,0.6,0,2,0.0,2,2,1.0,1,2,3,4,1,4,4,2,20,-19,1,20.2,8.4,15.8,1.8,1.2,2.6,0.5374,33.6,2.8,19.0,OKC,1610612760,GSW,1610612744,G-F,1,0,0,1,1,0,23.0,77,211,8,2,115.7,4,1,118.4,8,2,109.4,4,1,118.2,1
