,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1628374,0022400070,"OCT 23, 2024",UTA vs. MEM,L,35,9,15,0.6,4,7,0.571,13,14,0.929,1,8,9,2,0,0,2,2,35,16,1,35.0,9.0,15.0,0.0,0.0,2.0,0.6,35.0,16.0,,UTA,1610612762,MEM,1610612763,F-C,0,1,0,0,1,1,27.0,84,240,0,1,124.0,0,5,0.0,1,0,124.0,0,5,0.0,1
1,22024,1628374,0022400084,"OCT 25, 2024",UTA vs. GSW,L,27,4,17,0.235,1,5,0.2,4,7,0.571,2,6,8,2,1,0,2,0,13,-17,1,24.0,6.5,16.0,0.5,0.0,2.0,0.4175,31.0,-0.5,35.0,UTA,1610612762,GSW,1610612744,F-C,0,1,0,0,1,1,27.0,84,240,0,2,105.0,0,5,24.8,2,0,95.0,1,4,28.0,1
2,22024,1628374,0022400110,"OCT 28, 2024",UTA @ DAL,L,35,4,15,0.267,3,5,0.6,6,6,1.0,4,5,9,2,0,0,1,1,17,-4,1,21.666666666666668,5.666666666666667,15.666666666666666,0.3333333333333333,0.0,1.6666666666666667,0.3673333333333333,32.333333333333336,-1.6666666666666667,24.0,UTA,1610612762,DAL,1610612742,F-C,0,1,0,0,1,1,27.0,84,240,0,3,104.0,0,5,42.0,2,1,108.33333333333333,1,4,44.4,0
3,22024,1628374,0022400115,"OCT 29, 2024",UTA vs. SAC,L,17,3,5,0.6,1,3,0.333,0,0,0.0,1,2,3,1,0,0,2,1,7,-7,1,18.0,5.0,13.0,0.25,0.0,1.75,0.4255,28.5,-3.0,21.666666666666668,UTA,1610612762,SAC,1610612758,F-C,0,1,0,0,1,1,27.0,84,240,0,4,102.0,0,5,62.4,2,2,110.5,1,4,70.6,1
4,22024,1628374,0022400182,"NOV 07, 2024",UTA @ MIL,L,29,3,10,0.3,2,6,0.333,0,0,0.0,2,5,7,4,2,0,2,1,8,-9,1,16.0,4.6,12.4,0.6,0.0,1.8,0.4004,28.6,-4.2,18.0,UTA,1610612762,MIL,1610612749,F-C,0,1,0,0,1,1,27.0,84,240,1,7,104.25,1,4,104.8,2,6,116.0,0,5,107.2,0
5,22024,1628374,0022400197,"NOV 09, 2024",UTA @ SAS,W,36,5,15,0.333,3,7,0.429,7,8,0.875,2,4,6,4,2,0,1,2,20,-4,1,13.0,3.8,12.4,1.0,0.0,1.6,0.347,28.8,-8.2,16.0,UTA,1610612762,SAS,1610612759,F-C,0,1,0,0,1,1,27.0,84,240,2,7,105.0,1,4,104.4,4,6,108.4,3,2,108.2,0
6,22024,1628374,0022400006,"NOV 12, 2024",UTA vs. PHX,L,31,7,13,0.538,2,5,0.4,1,2,0.5,1,1,2,5,0,0,1,1,17,-9,1,13.8,4.4,11.6,0.8,0.0,1.4,0.4076000000000001,29.6,-6.6,16.666666666666668,UTA,1610612762,PHX,1610612756,F-C,0,1,0,0,1,1,27.0,84,240,2,8,105.7,2,3,107.4,9,2,112.63636363636364,4,1,113.6,1
7,22024,1628374,0022400228,"NOV 14, 2024",UTA vs. DAL,W,24,4,8,0.5,2,5,0.4,3,3,1.0,1,4,5,2,0,0,1,4,13,11,1,13.0,4.4,10.2,0.8,0.0,1.4,0.4542,27.4,-3.6,16.714285714285715,UTA,1610612762,DAL,1610612742,F-C,0,1,0,0,1,1,27.0,84,240,3,8,106.54545454545455,2,3,112.2,5,7,111.33333333333333,1,4,119.2,1
8,22024,1628374,0022400233,"NOV 16, 2024",UTA @ SAC,L,35,6,8,0.75,4,6,0.667,9,10,0.9,1,4,5,1,0,0,3,0,25,6,1,16.6,5.0,10.8,0.8,0.0,1.6,0.4842000000000001,31.0,-1.0,16.25,UTA,1610612762,SAC,1610612758,F-C,0,1,0,0,1,1,27.0,84,240,3,9,107.41666666666667,3,2,114.6,8,6,114.07142857142857,2,3,114.8,0
9,22024,1628374,0022400243,"NOV 17, 2024",UTA @ LAC,L,39,6,12,0.5,4,8,0.5,2,4,0.5,2,8,10,1,1,0,2,3,18,-11,1,18.6,5.6,11.2,0.6,0.0,1.6,0.5242000000000001,33.0,-1.4,17.22222222222222,UTA,1610612762,LAC,1610612746,F-C,0,1,0,0,1,1,27.0,84,240,3,10,107.23076923076923,2,3,111.0,7,7,109.85714285714286,2,3,109.4,0
