,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_FTM,MA_FTA,MA_FT_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_FTM,AVG_FTA,AVG_FT_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_FTM,VS_AVG_FTA,VS_AVG_FT_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,203076,0022400062,"OCT 22, 2024",LAL vs. MIN,W,38,11,23,0.478,1,3,0.333,13,15,0.867,3,13,16,4,1,3,1,1,36,1,1,LAL,1610612747,MIN,1610612750,1,F-C,0,1,0,0,1,1,31.0,82,253,1,0,110.0,0,5,0.0,0,1,110.0,0,5,0.0,36.0,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,1.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,203076,0022400085,"OCT 25, 2024",LAL vs. PHX,W,37,11,18,0.611,0,0,0.0,13,17,0.765,1,7,8,4,1,2,1,2,35,4,1,LAL,1610612747,PHX,1610612756,1,F-C,0,1,0,0,1,1,31.0,82,253,2,0,116.5,1,4,22.0,1,1,118.0,1,4,23.2,35.5,11.0,20.5,0.5445,0.5,1.5,0.1665,13.0,16.0,0.8160000000000001,2.0,1.0,37.5,2.5,36.0,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,1.0,38.0,1.0,36.0,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,1.0,38.0,1.0,0
2,22024,203076,0022400096,"OCT 26, 2024",LAL vs. SAC,W,38,10,15,0.667,1,2,0.5,10,13,0.769,3,6,9,2,3,2,2,1,31,-22,1,LAL,1610612747,SAC,1610612758,1,F-C,0,1,0,0,1,1,31.0,82,253,3,0,121.33333333333333,2,3,46.6,0,2,124.0,0,5,23.0,34.0,10.666666666666666,18.666666666666668,0.5853333333333334,0.6666666666666666,1.6666666666666667,0.2776666666666667,12.0,15.0,0.8003333333333332,2.3333333333333335,1.6666666666666667,37.666666666666664,-5.666666666666667,35.5,11.0,20.5,0.5445,0.5,1.5,0.1665,13.0,16.0,0.8160000000000001,2.0,1.0,37.5,2.5,35.5,11.0,20.5,0.5445,0.5,1.5,0.1665,13.0,16.0,0.8160000000000001,2.0,1.0,37.5,2.5,0
3,22024,203076,0022400111,"OCT 28, 2024",LAL @ PHX,L,36,12,24,0.5,0,2,0.0,5,6,0.833,5,10,15,3,1,3,3,1,29,14,1,LAL,1610612747,PHX,1610612756,0,F-C,0,1,0,0,1,1,31.0,82,253,3,1,117.25,3,2,72.8,3,1,110.75,2,3,69.2,32.75,11.0,20.0,0.5640000000000001,0.5,1.75,0.20825,10.25,12.75,0.8085,3.0,1.5,37.25,-0.75,34.0,10.666666666666666,18.666666666666668,0.5853333333333334,0.6666666666666666,1.6666666666666667,0.2776666666666667,12.0,15.0,0.8003333333333332,2.3333333333333335,1.6666666666666667,37.666666666666664,-5.666666666666667,35.0,11.0,18.0,0.611,0.0,0.0,0.0,13.0,17.0,0.765,1.0,1.0,37.0,4.0,0
4,22024,203076,0022400118,"OCT 30, 2024",LAL @ CLE,L,31,9,17,0.529,0,1,0.0,4,8,0.5,1,12,13,2,2,0,4,1,22,-18,1,LAL,1610612747,CLE,1610612739,0,F-C,0,1,0,0,1,1,31.0,82,253,3,2,115.8,3,2,93.8,5,0,107.4,4,1,98.8,30.6,10.6,19.4,0.557,0.4,1.6,0.1666,9.0,11.8,0.7468,2.6,1.6,36.0,-4.2,32.75,11.0,20.0,0.5640000000000001,0.5,1.75,0.20825,10.25,12.75,0.8085,3.0,1.5,37.25,-0.75,32.75,11.0,20.0,0.5640000000000001,0.5,1.75,0.20825,10.25,12.75,0.8085,3.0,1.5,37.25,-0.75,0
5,22024,203076,0022400137,"NOV 01, 2024",LAL @ TOR,W,36,14,20,0.7,0,0,0.0,10,11,0.909,1,10,11,2,3,2,3,0,38,7,1,LAL,1610612747,TOR,1610612761,0,F-C,0,1,0,0,1,1,31.0,82,253,4,2,118.33333333333333,3,2,115.8,1,5,125.16666666666667,1,4,116.0,31.0,11.2,18.8,0.6014,0.2,1.0,0.1,8.4,11.0,0.7552,2.2,2.0,35.6,-3.0,30.6,10.6,19.4,0.557,0.4,1.6,0.1666,9.0,11.8,0.7468,2.6,1.6,36.0,-4.2,30.6,10.6,19.4,0.557,0.4,1.6,0.1666,9.0,11.8,0.7468,2.6,1.6,36.0,-4.2,1
6,22024,203076,0022400156,"NOV 04, 2024",LAL @ DET,L,39,13,23,0.565,0,4,0.0,11,14,0.786,1,8,9,4,0,0,3,2,37,-1,1,LAL,1610612747,DET,1610612765,0,F-C,0,1,0,0,1,1,31.0,82,253,4,3,116.14285714285714,3,2,120.0,3,5,109.5,2,3,105.0,31.4,11.6,19.8,0.5922,0.2,1.8,0.1,8.0,10.4,0.7594,2.2,1.8,36.0,-4.0,31.833333333333332,11.166666666666666,19.5,0.5808333333333333,0.3333333333333333,1.3333333333333333,0.13883333333333334,9.166666666666666,11.666666666666666,0.7738333333333333,2.3333333333333335,1.8333333333333333,36.0,-2.3333333333333335,31.833333333333332,11.166666666666666,19.5,0.5808333333333333,0.3333333333333333,1.3333333333333333,0.13883333333333334,9.166666666666666,11.666666666666666,0.7738333333333333,2.3333333333333335,1.8333333333333333,36.0,-2.3333333333333335,1
7,22024,203076,0022400195,"NOV 08, 2024",LAL vs. PHI,W,36,11,20,0.55,2,3,0.667,7,8,0.875,3,6,9,1,0,4,3,2,31,20,1,LAL,1610612747,PHI,1610612755,1,F-C,0,1,0,0,1,1,31.0,82,253,5,4,115.88888888888889,1,4,112.6,1,7,115.75,1,4,106.8,31.4,11.8,20.8,0.5688,0.4,2.0,0.13340000000000002,7.4,9.4,0.7806,2.2,1.2,35.6,4.4,32.57142857142857,11.428571428571429,20.0,0.5785714285714285,0.2857142857142857,1.7142857142857142,0.119,9.428571428571429,12.0,0.7755714285714286,2.142857142857143,1.5714285714285714,36.42857142857143,-2.142857142857143,32.57142857142857,11.428571428571429,20.0,0.5785714285714285,0.2857142857142857,1.7142857142857142,0.119,9.428571428571429,12.0,0.7755714285714286,2.142857142857143,1.5714285714285714,36.42857142857143,-2.142857142857143,0
8,22024,203076,0022400211,"NOV 10, 2024",LAL vs. TOR,W,26,6,8,0.75,2,2,1.0,8,10,0.8,1,3,4,3,1,2,0,1,22,-3,1,LAL,1610612747,TOR,1610612761,1,F-C,0,1,0,0,1,1,31.0,82,253,6,4,116.6,2,3,114.8,2,9,122.72727272727273,1,4,117.0,30.0,10.6,17.6,0.6188,0.8,2.0,0.33340000000000003,8.0,10.2,0.774,1.4,1.2,33.6,1.0,32.375,11.375,20.0,0.575,0.5,1.875,0.1875,9.125,11.5,0.788,2.25,1.375,36.375,0.625,38.0,14.0,20.0,0.7,0.0,0.0,0.0,10.0,11.0,0.909,1.0,3.0,36.0,7.0,0
9,22024,203076,0022400225,"NOV 13, 2024",LAL vs. MEM,W,32,6,16,0.375,2,3,0.667,7,8,0.875,2,12,14,3,0,3,3,5,21,-6,1,LAL,1610612747,MEM,1610612763,1,F-C,0,1,0,0,1,1,31.0,82,253,7,4,117.63636363636364,3,2,117.4,7,5,112.91666666666667,4,1,124.2,29.8,10.0,17.4,0.588,1.2,2.4,0.4668,8.6,10.2,0.849,1.6,0.8,33.8,3.4,31.22222222222222,10.777777777777779,18.666666666666668,0.5944444444444444,0.6666666666666666,1.8888888888888888,0.2777777777777778,9.0,11.333333333333334,0.7893333333333333,2.111111111111111,1.3333333333333333,35.22222222222222,0.2222222222222222,31.22222222222222,10.777777777777779,18.666666666666668,0.5944444444444444,0.6666666666666666,1.8888888888888888,0.2777777777777778,9.0,11.333333333333334,0.7893333333333333,2.111111111111111,1.3333333333333333,35.22222222222222,0.2222222222222222,0
