,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,AVG_FTM,AVG_FTA,AVG_FT_PCT,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,1641706,0022400068,"OCT 23, 2024",CHA @ HOU,W,11,2,4,0.5,1,2,0.5,1,1,1.0,1,0,1,1,1,0,1,0,6,-6,1,CHA,1610612766,HOU,1610612745,0,F,0,1,0,0,1,0,22.0,79,200,1,0,110.0,0,5,0.0,0,1,110.0,0,5,0.0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,11.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,1641706,0022400141,"NOV 02, 2024",CHA vs. BOS,L,31,6,18,0.333,3,9,0.333,1,2,0.5,0,4,4,6,2,1,0,4,16,-10,1,CHA,1610612766,BOS,1610612738,1,F,0,1,0,0,1,0,22.0,79,200,2,4,114.33333333333333,2,3,116.6,6,1,112.0,4,1,124.2,11.0,4.0,11.0,0.4165,2.0,5.5,0.4165,0.5,1.5,21.0,-8.0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,11.0,-6.0,1.0,1.0,1.0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,11.0,-6.0,1
2,22024,1641706,0022400162,"NOV 04, 2024",CHA @ MIN,L,21,3,10,0.3,2,7,0.286,2,2,1.0,0,2,2,1,0,1,1,2,10,-9,1,CHA,1610612766,MIN,1610612750,0,F,0,1,0,0,1,0,22.0,79,200,2,5,111.28571428571429,1,4,115.2,4,3,109.71428571428571,3,2,113.0,10.666666666666666,3.6666666666666665,10.666666666666666,0.37766666666666665,2.0,6.0,0.373,0.3333333333333333,1.0,21.0,-8.333333333333334,11.0,4.0,11.0,0.4165,2.0,5.5,0.4165,0.5,1.5,21.0,-8.0,1.0,1.5,0.75,11.0,4.0,11.0,0.4165,2.0,5.5,0.4165,0.5,1.5,21.0,-8.0,0
3,22024,1641706,0022400169,"NOV 06, 2024",CHA vs. DET,W,29,6,16,0.375,3,11,0.273,4,4,1.0,2,4,6,4,0,0,3,2,19,1,1,CHA,1610612766,DET,1610612765,1,F,0,1,0,0,1,0,22.0,79,200,3,5,110.875,1,4,109.8,3,6,109.33333333333333,3,2,104.4,12.75,4.25,12.0,0.377,2.25,7.25,0.348,0.75,0.75,23.0,-6.0,10.666666666666666,3.6666666666666665,10.666666666666666,0.37766666666666665,2.0,6.0,0.373,0.3333333333333333,1.0,21.0,-8.333333333333334,1.3333333333333333,1.6666666666666667,0.8333333333333334,10.666666666666666,3.6666666666666665,10.666666666666666,0.37766666666666665,2.0,6.0,0.373,0.3333333333333333,1.0,21.0,-8.333333333333334,1
4,22024,1641706,0022400184,"NOV 08, 2024",CHA vs. IND,W,33,10,17,0.588,7,11,0.636,2,2,1.0,0,6,6,6,1,1,1,1,29,26,1,CHA,1610612766,IND,1610612754,1,F,0,1,0,0,1,0,22.0,79,200,4,5,110.0,2,3,110.2,4,5,118.55555555555556,3,2,124.0,16.0,5.4,13.0,0.4192,3.2,8.0,0.4056,0.6,0.8,25.0,0.4,12.75,4.25,12.0,0.377,2.25,7.25,0.348,0.75,0.75,23.0,-6.0,2.0,2.25,0.875,12.75,4.25,12.0,0.377,2.25,7.25,0.348,0.75,0.75,23.0,-6.0,1
5,22024,1641706,0022400205,"NOV 10, 2024",CHA @ PHI,L,41,7,16,0.438,3,11,0.273,5,5,1.0,1,6,7,2,2,1,3,3,22,3,1,CHA,1610612766,PHI,1610612755,0,F,0,1,0,0,1,0,22.0,79,200,4,6,109.5,2,3,103.2,2,7,114.55555555555556,0,5,104.4,19.2,6.4,15.4,0.40679999999999994,3.6,9.8,0.3602,0.6,1.0,31.0,2.2,16.0,5.4,13.0,0.4192,3.2,8.0,0.4056,0.6,0.8,25.0,0.4,2.0,2.2,0.9,16.0,5.4,13.0,0.4192,3.2,8.0,0.4056,0.6,0.8,25.0,0.4,1
6,22024,1641706,0022400003,"NOV 12, 2024",CHA @ ORL,L,38,3,18,0.167,1,11,0.091,1,1,1.0,0,3,3,7,2,0,5,3,8,-23,1,CHA,1610612766,ORL,1610612753,0,F,0,1,0,0,1,0,22.0,79,200,4,7,107.63636363636364,2,3,102.4,6,6,104.83333333333333,2,3,103.6,17.6,5.8,15.4,0.37360000000000004,3.2,10.2,0.3118,0.6,1.0,32.4,-0.4,17.0,5.666666666666667,13.5,0.4223333333333333,3.1666666666666665,8.5,0.3835,0.6666666666666666,1.0,27.666666666666668,0.8333333333333334,2.5,2.6666666666666665,0.9166666666666666,17.0,5.666666666666667,13.5,0.4223333333333333,3.1666666666666665,8.5,0.3835,0.6666666666666666,1.0,27.666666666666668,0.8333333333333334,0
7,22024,1641706,0022400229,"NOV 16, 2024",CHA vs. MIL,W,34,5,17,0.294,3,11,0.273,0,0,,0,4,4,3,2,0,2,1,13,-1,1,CHA,1610612766,MIL,1610612749,1,F,0,1,0,0,1,0,22.0,79,200,5,7,108.25,2,3,99.6,4,9,113.61538461538461,3,2,110.0,18.2,6.2,16.8,0.3724,3.4,11.0,0.30920000000000003,0.6,1.4,35.0,1.2,15.714285714285714,5.285714285714286,14.142857142857142,0.38585714285714284,2.857142857142857,8.857142857142858,0.3417142857142857,0.5714285714285714,1.1428571428571428,29.142857142857142,-2.5714285714285716,2.2857142857142856,2.4285714285714284,0.9285714285714286,15.714285714285714,5.285714285714286,14.142857142857142,0.38585714285714284,2.857142857142857,8.857142857142858,0.3417142857142857,0.5714285714285714,1.1428571428571428,29.142857142857142,-2.5714285714285716,0
8,22024,1641706,0022400236,"NOV 17, 2024",CHA @ CLE,L,35,6,20,0.3,3,12,0.25,0,0,,1,4,5,4,2,0,0,3,15,-9,1,CHA,1610612766,CLE,1610612739,0,F,0,1,0,0,1,0,22.0,79,200,5,8,108.6923076923077,3,2,104.0,15,0,111.4,5,0,123.6,17.4,6.2,17.6,0.3574,3.4,11.2,0.30460000000000004,0.4,1.8,36.2,-0.8,15.375,5.25,14.5,0.374375,2.875,9.125,0.333125,0.5,1.25,29.75,-2.375,2.2857142857142856,2.4285714285714284,0.9285714285714286,15.375,5.25,14.5,0.374375,2.875,9.125,0.333125,0.5,1.25,29.75,-2.375,0
9,22024,1641706,0022400022,"NOV 19, 2024",CHA @ BKN,L,38,11,17,0.647,5,9,0.556,2,2,1.0,1,2,3,4,3,1,3,3,29,-4,1,CHA,1610612766,BKN,1610612751,0,F,0,1,0,0,1,0,22.0,79,200,5,9,109.14285714285714,2,3,105.2,6,9,114.66666666666667,1,4,109.4,17.4,6.4,17.6,0.3692,3.0,10.8,0.2886,0.6,2.2,37.2,-6.8,15.333333333333334,5.333333333333333,15.11111111111111,0.3661111111111111,2.888888888888889,9.444444444444445,0.3238888888888889,0.5555555555555556,1.3333333333333333,30.333333333333332,-3.111111111111111,2.2857142857142856,2.4285714285714284,0.9285714285714286,15.333333333333334,5.333333333333333,15.11111111111111,0.3661111111111111,2.888888888888889,9.444444444444445,0.3238888888888889,0.5555555555555556,1.3333333333333333,30.333333333333332,-3.111111111111111,1
