,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,AVG_FTM,AVG_FTA,AVG_FT_PCT,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,1629636,0022400067,"OCT 23, 2024",CLE @ TOR,W,23,3,12,0.25,1,6,0.167,0,0,,0,1,1,6,0,0,2,4,7,1,1,CLE,1610612739,TOR,1610612761,0,G,1,0,0,1,0,0,24.0,73,192,1,0,136.0,0,5,0.0,0,1,136.0,0,5,0.0,7.0,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,1629636,0022400080,"OCT 25, 2024",CLE vs. DET,W,33,5,11,0.455,3,7,0.429,0,0,,0,2,2,6,1,0,3,2,13,0,1,CLE,1610612739,DET,1610612765,1,G,1,0,0,1,0,0,24.0,73,192,2,0,124.5,1,4,27.2,0,2,114.0,0,5,21.8,10.0,4.0,11.5,0.35250000000000004,2.0,6.5,0.298,0.0,0.5,28.0,0.5,7.0,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,23.0,1.0,,,,7.0,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,23.0,1.0,1
2,22024,1629636,0022400090,"OCT 26, 2024",CLE @ WAS,W,24,9,11,0.818,4,5,0.8,1,1,1.0,0,2,2,5,2,0,4,4,23,17,1,CLE,1610612739,WAS,1610612764,0,G,1,0,0,1,0,0,24.0,73,192,3,0,128.0,2,3,49.8,0,2,128.5,0,5,20.4,14.333333333333334,5.666666666666667,11.333333333333334,0.5076666666666666,2.6666666666666665,6.0,0.4653333333333333,0.0,1.0,26.666666666666668,6.0,10.0,4.0,11.5,0.35250000000000004,2.0,6.5,0.298,0.0,0.5,28.0,0.5,,,,10.0,4.0,11.5,0.35250000000000004,2.0,6.5,0.298,0.0,0.5,28.0,0.5,1
3,22024,1629636,0022400106,"OCT 28, 2024",CLE @ NYK,W,33,12,19,0.632,5,8,0.625,5,5,1.0,1,2,3,3,2,2,3,3,34,7,1,CLE,1610612739,NYK,1610612752,0,G,1,0,0,1,0,0,24.0,73,192,4,0,123.5,3,2,76.8,1,2,113.33333333333333,1,4,46.4,19.25,7.25,13.25,0.53875,3.25,6.5,0.50525,0.25,1.25,28.25,6.25,14.333333333333334,5.666666666666667,11.333333333333334,0.5076666666666666,2.6666666666666665,6.0,0.4653333333333333,0.0,1.0,26.666666666666668,6.0,1.0,1.0,1.0,14.333333333333334,5.666666666666667,11.333333333333334,0.5076666666666666,2.6666666666666665,6.0,0.4653333333333333,0.0,1.0,26.666666666666668,6.0,1
4,22024,1629636,0022400118,"OCT 30, 2024",CLE vs. LAL,W,22,5,14,0.357,2,7,0.286,0,0,,0,0,0,10,2,0,2,3,12,16,1,CLE,1610612739,LAL,1610612747,1,G,1,0,0,1,0,0,24.0,73,192,5,0,125.6,4,1,98.8,3,2,117.8,3,2,93.8,17.8,6.8,13.4,0.5024,3.0,6.6,0.4614,0.2,1.4,27.0,8.2,19.25,7.25,13.25,0.53875,3.25,6.5,0.50525,0.25,1.25,28.25,6.25,3.0,3.0,1.0,19.25,7.25,13.25,0.53875,3.25,6.5,0.50525,0.25,1.25,28.25,6.25,0
5,22024,1629636,0022400133,"NOV 01, 2024",CLE vs. ORL,W,29,8,16,0.5,3,9,0.333,6,6,1.0,1,2,3,4,1,1,3,5,25,10,1,CLE,1610612739,ORL,1610612753,1,G,1,0,0,1,0,0,24.0,73,192,6,0,124.66666666666667,5,0,125.6,3,3,109.83333333333333,3,2,112.2,21.4,7.8,14.2,0.5524,3.4,7.2,0.49460000000000004,0.4,1.6,28.2,10.0,17.8,6.8,13.4,0.5024,3.0,6.6,0.4614,0.2,1.4,27.0,8.2,3.0,3.0,1.0,17.8,6.8,13.4,0.5024,3.0,6.6,0.4614,0.2,1.4,27.0,8.2,1
6,22024,1629636,0022400145,"NOV 02, 2024",CLE @ MIL,W,34,5,13,0.385,1,5,0.2,0,0,,2,1,3,10,0,0,0,2,11,-2,1,CLE,1610612739,MIL,1610612749,0,G,1,0,0,1,0,0,24.0,73,192,7,0,123.14285714285714,5,0,122.4,1,5,118.66666666666667,1,4,111.0,21.0,7.8,14.6,0.5384,3.0,6.8,0.4488,0.8,1.4,28.4,9.6,19.0,7.0,13.833333333333334,0.502,3.0,7.0,0.44,0.3333333333333333,1.3333333333333333,27.333333333333332,8.5,4.0,4.0,1.0,19.0,7.0,13.833333333333334,0.502,3.0,7.0,0.44,0.3333333333333333,1.3333333333333333,27.333333333333332,8.5,0
7,22024,1629636,0022400154,"NOV 04, 2024",CLE vs. MIL,W,35,15,22,0.682,7,11,0.636,2,2,1.0,1,1,2,8,0,0,2,1,39,7,1,CLE,1610612739,MIL,1610612749,1,G,1,0,0,1,0,0,24.0,73,192,8,0,122.25,5,0,122.6,1,6,118.28571428571429,0,5,108.8,24.2,9.0,16.8,0.5112,3.6,8.0,0.41600000000000004,1.0,1.0,30.6,7.6,17.857142857142858,6.714285714285714,13.714285714285714,0.48528571428571426,2.7142857142857144,6.714285714285714,0.4057142857142857,0.5714285714285714,1.1428571428571428,28.285714285714285,7.0,4.0,4.0,1.0,11.0,5.0,13.0,0.385,1.0,5.0,0.2,2.0,0.0,34.0,-2.0,1
8,22024,1629636,0022400175,"NOV 06, 2024",CLE @ NOP,W,30,5,10,0.5,4,6,0.667,0,0,,0,1,1,9,1,1,3,2,14,14,1,CLE,1610612739,NOP,1610612740,0,G,1,0,0,1,0,0,24.0,73,192,9,0,123.22222222222223,5,0,118.8,3,6,117.77777777777777,1,4,106.2,20.2,7.6,15.0,0.4848,3.4,7.6,0.4244,0.8,0.8,30.0,9.0,20.5,7.75,14.75,0.509875,3.25,7.25,0.4345,0.625,1.0,29.125,7.0,3.5,3.5,1.0,20.5,7.75,14.75,0.509875,3.25,7.25,0.4345,0.625,1.0,29.125,7.0,0
9,22024,1629636,0022400188,"NOV 08, 2024",CLE vs. GSW,W,30,9,17,0.529,6,11,0.545,3,4,0.75,0,3,3,6,3,0,4,0,27,30,1,CLE,1610612739,GSW,1610612744,1,G,1,0,0,1,0,0,24.0,73,192,10,0,124.5,5,0,123.0,7,2,108.66666666666667,5,0,119.6,23.2,8.4,15.6,0.5192,4.2,8.4,0.47620000000000007,0.8,1.0,31.6,11.8,19.77777777777778,7.444444444444445,14.222222222222221,0.5087777777777778,3.3333333333333335,7.111111111111111,0.4603333333333333,0.5555555555555556,1.0,29.22222222222222,7.777777777777778,3.5,3.5,1.0,19.77777777777778,7.444444444444445,14.222222222222221,0.5087777777777778,3.3333333333333335,7.111111111111111,0.4603333333333333,0.5555555555555556,1.0,29.22222222222222,7.777777777777778,1
