,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_FTM,MA_FTA,MA_FT_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_FTM,AVG_FTA,AVG_FT_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_FTM,VS_AVG_FTA,VS_AVG_FT_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,1627759,0022400061,"OCT 22, 2024",BOS vs. NYK,W,30,7,18,0.389,5,9,0.556,4,4,1.0,2,5,7,1,1,0,1,3,23,23,1,BOS,1610612738,NYK,1610612752,1,G-F,1,0,0,1,1,0,28.0,78,223,1,0,132.0,0,5,0.0,0,1,132.0,0,5,0.0,23.0,7.0,18.0,0.389,5.0,9.0,0.556,4.0,4.0,1.0,2.0,1.0,30.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,1627759,0022400073,"OCT 24, 2024",BOS @ WAS,W,30,10,20,0.5,3,6,0.5,4,5,0.8,1,7,8,3,4,0,2,1,27,22,1,BOS,1610612738,WAS,1610612764,0,G-F,1,0,0,1,1,0,28.0,78,223,2,0,127.0,1,4,26.4,0,1,122.0,0,5,0.0,25.0,8.5,19.0,0.4445,4.0,7.5,0.528,4.0,4.5,0.9,1.5,2.5,30.0,22.5,23.0,7.0,18.0,0.389,5.0,9.0,0.556,4.0,4.0,1.0,2.0,1.0,30.0,23.0,23.0,7.0,18.0,0.389,5.0,9.0,0.556,4.0,4.0,1.0,2.0,1.0,30.0,23.0,1
2,22024,1627759,0022400089,"OCT 26, 2024",BOS @ DET,W,38,6,24,0.25,3,9,0.333,9,10,0.9,3,7,10,5,1,0,2,2,24,11,1,BOS,1610612738,DET,1610612765,0,G-F,1,0,0,1,1,0,28.0,78,223,3,0,126.0,2,3,50.8,0,3,117.33333333333333,0,5,42.0,24.666666666666668,7.666666666666667,20.666666666666668,0.37966666666666665,3.6666666666666665,8.0,0.463,5.666666666666667,6.333333333333333,0.9,2.0,2.0,32.666666666666664,18.666666666666668,25.0,8.5,19.0,0.4445,4.0,7.5,0.528,4.0,4.5,0.9,1.5,2.5,30.0,22.5,25.0,8.5,19.0,0.4445,4.0,7.5,0.528,4.0,4.5,0.9,1.5,2.5,30.0,22.5,0
3,22024,1627759,0022400104,"OCT 28, 2024",BOS vs. MIL,W,38,10,19,0.526,0,4,0.0,10,14,0.714,1,5,6,4,0,0,4,2,30,8,1,BOS,1610612738,MIL,1610612749,1,G-F,1,0,0,1,1,0,28.0,78,223,4,0,124.25,3,2,75.6,1,3,119.0,1,4,69.6,26.0,8.25,20.25,0.41625,2.75,7.0,0.34725,6.75,8.25,0.8535,1.75,1.5,34.0,16.0,24.666666666666668,7.666666666666667,20.666666666666668,0.37966666666666665,3.6666666666666665,8.0,0.463,5.666666666666667,6.333333333333333,0.9,2.0,2.0,32.666666666666664,18.666666666666668,24.666666666666668,7.666666666666667,20.666666666666668,0.37966666666666665,3.6666666666666665,8.0,0.463,5.666666666666667,6.333333333333333,0.9,2.0,2.0,32.666666666666664,18.666666666666668,1
4,22024,1627759,0022400119,"OCT 30, 2024",BOS @ IND,L,43,11,30,0.367,1,11,0.091,2,4,0.5,0,6,6,5,2,2,3,4,25,-13,1,BOS,1610612738,IND,1610612754,0,G-F,1,0,0,1,1,0,28.0,78,223,4,1,125.8,4,1,99.4,2,3,120.2,1,4,88.4,25.8,8.8,22.2,0.4064,2.4,7.8,0.296,5.8,7.4,0.7828,1.4,1.6,35.8,10.2,26.0,8.25,20.25,0.41625,2.75,7.0,0.34725,6.75,8.25,0.8535,1.75,1.5,34.0,16.0,26.0,8.25,20.25,0.41625,2.75,7.0,0.34725,6.75,8.25,0.8535,1.75,1.5,34.0,16.0,0
5,22024,1627759,0022400132,"NOV 01, 2024",BOS @ CHA,W,37,8,19,0.421,0,6,0.0,9,10,0.9,3,3,6,5,1,1,1,3,25,11,1,BOS,1610612738,CHA,1610612766,0,G-F,1,0,0,1,1,0,28.0,78,223,5,1,125.5,4,1,125.8,2,3,120.2,2,3,94.8,26.2,9.0,22.4,0.4128,1.4,7.2,0.18480000000000002,6.8,8.6,0.7628,1.6,1.6,37.2,7.8,25.8,8.8,22.2,0.4064,2.4,7.8,0.296,5.8,7.4,0.7828,1.4,1.6,35.8,10.2,25.8,8.8,22.2,0.4064,2.4,7.8,0.296,5.8,7.4,0.7828,1.4,1.6,35.8,10.2,0
6,22024,1627759,0022400202,"NOV 10, 2024",BOS @ MIL,W,37,4,13,0.308,1,5,0.2,5,6,0.833,0,5,5,4,0,0,1,3,14,6,1,BOS,1610612738,MIL,1610612749,0,G-F,1,0,0,1,1,0,28.0,78,223,9,2,120.18181818181819,4,1,116.0,2,8,115.7,1,4,108.6,23.6,7.8,21.0,0.37439999999999996,1.0,7.0,0.1248,7.0,8.8,0.7694000000000001,1.4,0.8,38.6,4.6,25.666666666666668,8.666666666666666,21.666666666666668,0.4088333333333333,2.0,7.5,0.24666666666666667,6.333333333333333,7.833333333333333,0.8023333333333333,1.6666666666666667,1.5,36.0,10.333333333333334,30.0,10.0,19.0,0.526,0.0,4.0,0.0,10.0,14.0,0.714,1.0,0.0,38.0,8.0,0
7,22024,1627759,0022400001,"NOV 12, 2024",BOS vs. ATL,L,36,14,22,0.636,3,6,0.5,6,10,0.6,2,3,5,2,1,0,6,3,37,0,1,BOS,1610612738,ATL,1610612737,1,G-F,1,0,0,1,1,0,28.0,78,223,9,3,119.83333333333333,4,1,113.8,5,7,121.16666666666667,2,3,114.8,26.2,9.4,20.6,0.4516,1.0,6.4,0.15819999999999998,6.4,8.8,0.7093999999999999,1.2,0.8,38.2,2.4,24.0,8.0,20.428571428571427,0.39442857142857146,1.8571428571428572,7.142857142857143,0.24000000000000002,6.142857142857143,7.571428571428571,0.8067142857142857,1.4285714285714286,1.2857142857142858,36.142857142857146,9.714285714285714,24.0,8.0,20.428571428571427,0.39442857142857146,1.8571428571428572,7.142857142857143,0.24000000000000002,6.142857142857143,7.571428571428571,0.8067142857142857,1.4285714285714286,1.2857142857142858,36.142857142857146,9.714285714285714,1
8,22024,1627759,0022400218,"NOV 13, 2024",BOS @ BKN,W,36,8,19,0.421,2,5,0.4,6,9,0.667,2,10,12,4,1,0,0,2,24,27,1,BOS,1610612738,BKN,1610612751,0,G-F,1,0,0,1,1,0,28.0,78,223,10,3,121.3076923076923,3,2,114.4,5,7,113.91666666666667,2,3,101.8,25.0,9.0,20.6,0.4306,1.4,6.6,0.23820000000000002,5.6,7.8,0.7,1.4,1.0,37.8,6.2,25.625,8.75,20.625,0.42462500000000003,2.0,7.0,0.2725,6.125,7.875,0.780875,1.5,1.25,36.125,8.5,25.625,8.75,20.625,0.42462500000000003,2.0,7.0,0.2725,6.125,7.875,0.780875,1.5,1.25,36.125,8.5,0
9,22024,1627759,0022400230,"NOV 16, 2024",BOS vs. TOR,W,43,8,16,0.5,2,7,0.286,9,10,0.9,2,4,6,7,0,1,3,5,27,2,1,BOS,1610612738,TOR,1610612761,1,G-F,1,0,0,1,1,0,28.0,78,223,11,3,121.64285714285714,3,2,117.6,2,12,119.57142857142857,0,5,98.6,25.4,8.4,17.8,0.4572,1.6,5.8,0.2772,7.0,9.0,0.78,1.8,0.6,37.8,9.2,25.444444444444443,8.666666666666666,20.444444444444443,0.4242222222222222,2.0,6.777777777777778,0.2866666666666667,6.111111111111111,8.0,0.7682222222222221,1.5555555555555556,1.2222222222222223,36.111111111111114,10.555555555555555,25.444444444444443,8.666666666666666,20.444444444444443,0.4242222222222222,2.0,6.777777777777778,0.2866666666666667,6.111111111111111,8.0,0.7682222222222221,1.5555555555555556,1.2222222222222223,36.111111111111114,10.555555555555555,1
