,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_FTM,MA_FTA,MA_FT_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_FTM,AVG_FTA,AVG_FT_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_FTM,VS_AVG_FTA,VS_AVG_FT_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,202681,0022400074,"OCT 24, 2024",DAL vs. SAS,W,27,6,17,0.353,3,7,0.429,0,0,0.0,1,2,3,2,2,1,0,1,15,15,1,DAL,1610612742,SAS,1610612759,1,G,1,0,0,1,0,0,32.0,74,195,1,0,120.0,0,5,0.0,0,1,120.0,0,5,0.0,15.0,6.0,17.0,0.353,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,27.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,202681,0022400095,"OCT 26, 2024",DAL @ PHX,L,39,9,22,0.409,2,5,0.4,2,2,1.0,0,2,2,5,3,0,1,4,22,-13,1,DAL,1610612742,PHX,1610612756,0,G,1,0,0,1,0,0,32.0,74,195,1,1,111.0,1,4,24.0,2,1,112.66666666666667,1,4,46.4,18.5,7.5,19.5,0.381,2.5,6.0,0.4145,1.0,1.0,0.5,0.5,2.5,33.0,1.0,15.0,6.0,17.0,0.353,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,27.0,15.0,15.0,6.0,17.0,0.353,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,27.0,15.0,1
2,22024,202681,0022400110,"OCT 28, 2024",DAL vs. UTA,W,36,8,14,0.571,3,6,0.5,4,4,1.0,2,4,6,9,1,1,4,2,23,13,1,DAL,1610612742,UTA,1610612762,1,G,1,0,0,1,0,0,32.0,74,195,2,1,110.66666666666667,1,4,44.4,0,3,121.0,0,5,42.0,20.0,7.666666666666667,17.666666666666668,0.4443333333333333,2.6666666666666665,6.0,0.443,2.0,2.0,0.6666666666666666,1.0,2.0,34.0,5.0,18.5,7.5,19.5,0.381,2.5,6.0,0.4145,1.0,1.0,0.5,0.5,2.5,33.0,1.0,18.5,7.5,19.5,0.381,2.5,6.0,0.4145,1.0,1.0,0.5,0.5,2.5,33.0,1.0,1
3,22024,202681,0022400114,"OCT 29, 2024",DAL @ MIN,W,39,13,23,0.565,6,8,0.75,3,5,0.6,2,2,4,5,1,0,1,3,35,4,1,DAL,1610612742,MIN,1610612750,0,G,1,0,0,1,0,0,32.0,74,195,3,1,113.0,2,3,66.4,2,2,111.5,2,3,66.4,23.75,9.0,19.0,0.4745,3.5,6.5,0.5197499999999999,2.25,2.75,0.65,1.25,1.75,35.25,4.75,20.0,7.666666666666667,17.666666666666668,0.4443333333333333,2.6666666666666665,6.0,0.443,2.0,2.0,0.6666666666666666,1.0,2.0,34.0,5.0,20.0,7.666666666666667,17.666666666666668,0.4443333333333333,2.6666666666666665,6.0,0.443,2.0,2.0,0.6666666666666666,1.0,2.0,34.0,5.0,1
4,22024,202681,0022400129,"OCT 31, 2024",DAL vs. HOU,L,43,10,20,0.5,5,6,0.833,3,3,1.0,4,4,8,7,0,0,3,2,28,-3,1,DAL,1610612742,HOU,1610612745,1,G,1,0,0,1,0,0,32.0,74,195,3,2,110.8,3,2,90.4,3,2,106.0,2,3,89.0,24.6,9.2,19.2,0.4795999999999999,3.8,6.4,0.5824,2.4,2.8,0.72,1.8,1.4,36.8,3.2,23.75,9.0,19.0,0.4745,3.5,6.5,0.5197499999999999,2.25,2.75,0.65,1.25,1.75,35.25,4.75,23.75,9.0,19.0,0.4745,3.5,6.5,0.5197499999999999,2.25,2.75,0.65,1.25,1.75,35.25,4.75,1
5,22024,202681,0022400153,"NOV 03, 2024",DAL vs. ORL,W,28,5,11,0.455,1,2,0.5,6,7,0.857,0,2,2,3,2,0,1,2,17,17,1,DAL,1610612742,ORL,1610612753,1,G,1,0,0,1,0,0,32.0,74,195,4,2,110.33333333333333,3,2,110.8,3,4,109.57142857142857,2,3,110.8,25.0,9.0,18.0,0.5,3.4,5.4,0.5966,3.6,4.2,0.8914,1.6,1.4,37.0,3.6,24.6,9.2,19.2,0.4795999999999999,3.8,6.4,0.5824,2.4,2.8,0.72,1.8,1.4,36.8,3.2,24.6,9.2,19.2,0.4795999999999999,3.8,6.4,0.5824,2.4,2.8,0.72,1.8,1.4,36.8,3.2,0
6,22024,202681,0022400165,"NOV 04, 2024",DAL vs. IND,L,40,11,21,0.524,3,7,0.429,2,2,1.0,2,3,5,4,0,0,2,3,27,-11,1,DAL,1610612742,IND,1610612754,1,G,1,0,0,1,0,0,32.0,74,195,4,3,112.71428571428571,3,2,108.4,3,4,121.85714285714286,1,4,116.0,26.0,9.4,17.8,0.523,3.6,5.8,0.6023999999999999,3.6,4.2,0.8914,2.0,0.8,37.2,4.0,23.333333333333332,8.5,17.833333333333332,0.4755,3.3333333333333335,5.666666666666667,0.5686666666666667,3.0,3.5,0.7428333333333333,1.5,1.5,35.333333333333336,5.5,23.333333333333332,8.5,17.833333333333332,0.4755,3.3333333333333335,5.666666666666667,0.5686666666666667,3.0,3.5,0.7428333333333333,1.5,1.5,35.333333333333336,5.5,1
7,22024,202681,0022400176,"NOV 06, 2024",DAL vs. CHI,W,28,7,11,0.636,1,3,0.333,2,2,1.0,0,6,6,2,3,0,1,0,17,9,1,DAL,1610612742,CHI,1610612741,1,G,1,0,0,1,0,0,32.0,74,195,5,3,113.5,3,2,113.4,3,5,119.375,2,3,112.2,24.8,9.2,17.2,0.536,3.2,5.2,0.569,3.2,3.8,0.8914,1.6,1.2,35.6,3.2,23.857142857142858,8.857142857142858,18.285714285714285,0.4824285714285714,3.2857142857142856,5.857142857142857,0.5487142857142857,2.857142857142857,3.2857142857142856,0.7795714285714286,1.5714285714285714,1.2857142857142858,36.0,3.142857142857143,23.857142857142858,8.857142857142858,18.285714285714285,0.4824285714285714,3.2857142857142856,5.857142857142857,0.5487142857142857,2.857142857142857,3.2857142857142856,0.7795714285714286,1.5714285714285714,1.2857142857142858,36.0,3.142857142857143,0
8,22024,202681,0022400190,"NOV 08, 2024",DAL vs. PHX,L,41,10,17,0.588,2,6,0.333,7,9,0.778,2,5,7,6,3,0,2,1,29,9,1,DAL,1610612742,PHX,1610612756,1,G,1,0,0,1,0,0,32.0,74,195,5,4,113.44444444444444,3,2,115.2,8,1,111.11111111111111,5,0,114.0,23.6,8.6,16.0,0.5406000000000001,2.4,4.8,0.4856,4.0,4.6,0.9269999999999999,1.6,1.6,36.0,4.2,23.0,8.625,17.375,0.501625,3.0,5.5,0.5217499999999999,2.75,3.125,0.807125,1.375,1.5,35.0,3.875,22.0,9.0,22.0,0.409,2.0,5.0,0.4,2.0,2.0,1.0,0.0,3.0,39.0,-13.0,1
9,22024,202681,0022400208,"NOV 10, 2024",DAL @ DEN,L,35,17,22,0.773,6,8,0.75,3,3,1.0,0,5,5,5,1,1,1,1,43,-6,1,DAL,1610612742,DEN,1610612743,0,G,1,0,0,1,0,0,32.0,74,195,5,5,114.1,2,3,113.8,7,3,118.0,4,1,125.0,26.6,10.0,16.4,0.5952000000000001,2.6,5.2,0.469,4.0,4.6,0.9269999999999999,0.8,1.8,34.4,3.6,23.666666666666668,8.777777777777779,17.333333333333332,0.5112222222222222,2.888888888888889,5.555555555555555,0.5007777777777778,3.2222222222222223,3.7777777777777777,0.8038888888888889,1.4444444444444444,1.6666666666666667,35.666666666666664,4.444444444444445,23.666666666666668,8.777777777777779,17.333333333333332,0.5112222222222222,2.888888888888889,5.555555555555555,0.5007777777777778,3.2222222222222223,3.7777777777777777,0.8038888888888889,1.4444444444444444,1.6666666666666667,35.666666666666664,4.444444444444445,1
