,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,1631097,22400063,"OCT 23, 2024",IND @ DET,W,28,5,8,0.625,2,3,0.667,7,9,0.778,1,5,6,1,0,0,3,3,19,8,1,IND,1610612754,DET,1610612765,0,G-F,1,0,0,1,1,0,22.0,77,210,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,8.0,8.0,,19.0,,,5.0,,,8.0,,,0.625,,,2.0,,,3.0,,,0.667,,,7.0,,,9.0,,,0.778,,,1.0,,,0.0,,,28.0,,0
1,1.0,22024,1631097,22400081,"OCT 25, 2024",IND @ NYK,L,24,8,13,0.615,2,5,0.4,2,4,0.5,0,2,2,1,1,0,1,1,20,-10,1,IND,1610612754,NYK,1610612752,0,G-F,1,0,0,1,1,0,22.0,77,210,1,0,115.0,1,4,115.0,0,1,132.0,0,5,109.0,-1.0,8.0,19.0,19.0,19.0,5.0,5.0,5.0,8.0,8.0,8.0,0.625,0.625,0.625,2.0,2.0,2.0,3.0,3.0,3.0,0.667,0.667,0.667,7.0,7.0,7.0,9.0,9.0,9.0,0.778,0.778,0.778,1.0,1.0,1.0,0.0,0.0,0.0,27.7,27.7,27.7,1
2,2.0,22024,1631097,22400097,"OCT 27, 2024",IND vs. PHI,L,21,2,6,0.333,0,4,0.0,1,2,0.5,1,1,2,2,0,0,1,2,5,-14,1,IND,1610612754,PHI,1610612755,1,G-F,1,0,0,1,1,0,22.0,77,210,1,1,106.5,1,4,106.5,0,2,119.5,0,5,108.0,-5.333333333333333,-1.0,19.5,19.5,19.5,6.5,6.5,6.5,10.5,10.5,10.5,0.619,0.619,0.619,2.0,2.0,2.0,4.0,4.0,4.0,0.5,0.5,0.5,4.5,4.5,4.5,6.5,6.5,6.5,0.692,0.692,0.692,0.5,0.5,0.5,0.5,0.5,0.5,25.65,25.65,25.65,0
3,3.0,22024,1631097,22400102,"OCT 28, 2024",IND @ ORL,L,14,1,1,1.0,1,1,1.0,2,2,1.0,0,2,2,0,0,0,1,3,5,4,1,IND,1610612754,ORL,1610612753,0,G-F,1,0,0,1,1,0,22.0,77,210,1,2,109.0,1,4,109.0,2,1,107.3,2,3,114.3,-3.0,-5.333333333333333,14.7,14.7,14.7,5.0,5.0,5.0,9.0,9.0,9.0,0.556,0.556,0.556,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.0,4.0,4.0,0.333,0.333,0.333,3.333333333333333,3.333333333333333,3.333333333333333,5.0,5.0,5.0,0.667,0.667,0.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33,0.33,0.33,24.15,24.15,24.15,0
4,4.0,22024,1631097,22400119,"OCT 30, 2024",IND vs. BOS,W,43,9,17,0.529,2,5,0.4,10,11,0.909,3,8,11,4,0,0,4,2,30,3,1,IND,1610612754,BOS,1610612738,1,G-F,1,0,0,1,1,0,22.0,77,210,1,3,110.5,1,4,110.5,4,0,109.3,4,1,124.3,-1.8,-3.0,12.3,12.3,12.3,4.0,4.0,4.0,7.0,7.0,7.0,0.571,0.571,0.571,1.25,1.25,1.25,3.25,3.25,3.25,0.385,0.385,0.385,3.0,3.0,3.0,4.25,4.25,4.25,0.706,0.706,0.706,0.5,0.5,0.5,0.25,0.25,0.25,21.541666666666668,21.541666666666668,21.541666666666668,1
5,5.0,22024,1631097,22400138,"NOV 01, 2024",IND @ NOP,L,32,7,15,0.467,1,2,0.5,4,5,0.8,2,4,6,3,0,0,1,3,19,-13,1,IND,1610612754,NOP,1610612740,0,G-F,1,0,0,1,1,0,22.0,77,210,2,3,115.4,2,3,115.4,2,3,113.4,2,3,105.2,-6.0,-1.8,15.8,15.8,15.8,5.0,5.0,5.0,9.0,9.0,9.0,0.556,0.556,0.556,1.4,1.4,1.4,3.6,3.6,3.6,0.389,0.389,0.389,4.4,4.4,4.4,5.6,5.6,5.6,0.786,0.786,0.786,1.0,1.0,1.0,0.2,0.2,0.2,25.76333333333333,25.76333333333333,25.76333333333333,1
6,6.0,22024,1631097,22400165,"NOV 04, 2024",IND @ DAL,W,32,7,13,0.538,1,4,0.25,1,3,0.333,0,7,7,3,1,0,0,3,16,13,1,IND,1610612754,DAL,1610612742,0,G-F,1,0,0,1,1,0,22.0,77,210,2,4,115.8,1,4,116.0,4,2,105.3,3,2,108.4,-1.4,-3.6666666666666665,15.8,16.3,16.3,5.4,5.333333333333333,5.333333333333333,10.4,10.0,10.0,0.519,0.533,0.533,1.2,1.3333333333333333,1.3333333333333333,3.4,3.333333333333333,3.333333333333333,0.353,0.4,0.4,3.8,4.333333333333333,4.333333333333333,4.8,5.5,5.5,0.792,0.788,0.788,1.2,1.1666666666666667,1.1666666666666667,0.2,0.17,0.17,26.676666666666662,26.847222216666665,26.847222216666665,0
7,7.0,22024,1631097,22400170,"NOV 06, 2024",IND vs. ORL,W,34,3,7,0.429,1,3,0.333,13,14,0.929,1,10,11,1,1,0,2,4,20,1,1,IND,1610612754,ORL,1610612753,1,G-F,1,0,0,1,1,0,22.0,77,210,3,4,118.4,2,3,123.2,3,5,108.6,1,4,99.6,1.6,-1.2857142857142858,15.0,16.3,5.0,5.2,5.571428571428571,1.0,10.4,10.428571428571429,1.0,0.5,0.534,1.0,1.0,1.2857142857142858,1.0,3.2,3.4285714285714284,1.0,0.313,0.375,1.0,3.6,3.857142857142857,2.0,4.6,5.142857142857143,2.0,0.783,0.75,1.0,1.2,1.0,0.0,0.2,0.29,0.0,28.316666666666663,27.5547619,13.716666666666669,1
8,8.0,22024,1631097,22400184,"NOV 08, 2024",IND @ CHA,L,36,8,16,0.5,2,2,1.0,4,5,0.8,1,5,6,2,2,0,1,2,22,-11,1,IND,1610612754,CHA,1610612766,0,G-F,1,0,0,1,1,0,22.0,77,210,4,4,118.4,3,2,124.0,3,5,116.9,2,3,110.2,-1.4,-1.0,18.0,16.8,16.8,5.4,5.25,5.25,10.6,10.0,10.0,0.509,0.525,0.525,1.2,1.25,1.25,3.0,3.375,3.375,0.4,0.37,0.37,6.0,5.0,5.0,7.0,6.25,6.25,0.857,0.8,0.8,1.2,1.0,1.0,0.4,0.38,0.38,30.87,28.35,28.35,1
9,9.0,22024,1631097,22400203,"NOV 10, 2024",IND vs. NYK,W,41,13,18,0.722,7,9,0.778,5,6,0.833,2,6,8,2,0,1,1,4,38,16,1,IND,1610612754,NYK,1610612752,1,G-F,1,0,0,1,1,0,22.0,77,210,4,5,114.4,3,2,117.6,4,4,108.6,3,2,114.6,1.2,-2.111111111111111,21.4,17.3,20.0,6.8,5.555555555555555,8.0,13.6,10.666666666666666,13.0,0.5,0.521,0.615,1.4,1.3333333333333333,2.0,3.2,3.2222222222222223,5.0,0.438,0.414,0.4,6.4,4.888888888888889,2.0,7.6,6.111111111111111,4.0,0.842,0.8,0.5,1.4,1.0,0.0,0.8,0.56,1.0,35.336666666666666,29.20555555,23.6,1
10,10.0,22024,1631097,22400217,"NOV 13, 2024",IND @ ORL,L,35,7,17,0.412,1,5,0.2,8,9,0.889,1,11,12,0,1,0,4,2,23,-4,1,IND,1610612754,ORL,1610612753,0,G-F,1,0,0,1,1,0,22.0,77,210,5,5,116.2,3,2,117.0,6,6,104.8,3,2,109.4,3.0,-0.3,23.0,19.4,12.5,7.6,6.3,2.0,13.8,11.4,4.0,0.551,0.553,0.5,2.4,1.9,1.0,4.0,3.8,2.0,0.6,0.5,0.5,5.4,4.9,7.5,6.6,6.1,8.0,0.818,0.803,0.938,1.2,1.1,0.5,0.8,0.5,0.5,35.086666666666666,30.425,23.816666666666663,1
11,11.0,22024,1631097,22400009,"NOV 15, 2024",IND vs. MIA,L,29,4,11,0.364,0,3,0.0,0,0,0.0,1,3,4,1,0,0,2,2,8,-25,1,IND,1610612754,MIA,1610612748,1,G-F,1,0,0,1,1,0,22.0,77,210,5,6,113.8,3,2,111.4,4,6,111.2,1,4,112.0,-4.6,-0.6363636363636364,23.8,19.7,19.7,7.6,6.363636363636363,6.363636363636363,14.2,11.909090909090908,11.909090909090908,0.535,0.534,0.534,2.4,1.818181818181818,1.818181818181818,4.6,3.909090909090909,3.909090909090909,0.522,0.465,0.465,6.2,5.181818181818182,5.181818181818182,7.4,6.363636363636363,6.363636363636363,0.838,0.814,0.814,1.0,1.0909090909090908,1.0909090909090908,1.0,0.55,0.55,35.6,30.825757566666667,30.825757566666667,0
12,12.0,22024,1631097,22400235,"NOV 17, 2024",IND vs. MIA,W,37,6,10,0.6,1,2,0.5,8,8,1.0,2,10,12,2,2,0,1,0,21,18,1,IND,1610612754,MIA,1610612748,1,G-F,1,0,0,1,1,0,22.0,77,210,5,7,113.6,2,3,106.8,5,6,111.2,2,3,114.8,-1.2,-2.6666666666666665,22.2,18.8,8.0,7.0,6.166666666666667,4.0,13.8,11.833333333333334,11.0,0.507,0.521,0.364,2.2,1.6666666666666667,0.0,4.4,3.8333333333333335,3.0,0.5,0.435,0.0,6.0,4.75,0.0,6.8,5.833333333333333,0.0,0.882,0.814,0.0,1.2,1.0833333333333333,1.0,0.8,0.5,0.0,34.97,30.644444433333334,28.65,1
13,13.0,22024,1631097,22400247,"NOV 18, 2024",IND @ TOR,L,32,10,16,0.625,4,6,0.667,4,6,0.667,3,2,5,2,1,1,4,3,28,-14,1,IND,1610612754,TOR,1610612761,0,G-F,1,0,0,1,1,0,22.0,77,210,6,7,114.0,2,3,107.0,2,12,119.6,0,5,101.8,-1.8,-1.0769230769230769,22.4,18.9,18.9,7.6,6.153846153846154,6.153846153846154,14.4,11.692307692307692,11.692307692307692,0.528,0.526,0.526,2.2,1.6153846153846154,1.6153846153846154,4.2,3.692307692307693,3.692307692307693,0.524,0.438,0.438,5.0,5.0,5.0,5.6,6.0,6.0,0.893,0.833,0.833,1.4,1.1538461538461535,1.1538461538461535,1.0,0.62,0.62,35.626666666666665,31.148717933333334,31.148717933333334,1
