,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,203078,22400071,"OCT 23, 2024",PHX @ LAC,W,38,8,12,0.667,4,6,0.667,4,5,0.8,0,3,3,1,1,1,2,1,24,-1,1,PHX,1610612756,LAC,1610612746,0,G,1,0,0,1,0,0,31.0,76,207,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-1.0,-1.0,,24.0,,,8.0,,,12.0,,,0.667,,,4.0,,,6.0,,,0.667,,,4.0,,,5.0,,,0.8,,,0.0,,,1.0,,,38.0,,0
1,1.0,22024,203078,22400085,"OCT 25, 2024",PHX @ LAL,L,35,6,14,0.429,3,6,0.5,0,0,0.0,0,1,1,9,2,1,2,4,15,-12,1,PHX,1610612756,LAL,1610612747,0,G,1,0,0,1,0,0,31.0,76,207,1,0,116.0,1,4,116.0,1,0,103.0,1,4,110.0,-6.5,-1.0,24.0,24.0,24.0,8.0,8.0,8.0,12.0,12.0,12.0,0.667,0.667,0.667,4.0,4.0,4.0,6.0,6.0,6.0,0.667,0.667,0.667,4.0,4.0,4.0,5.0,5.0,5.0,0.8,0.8,0.8,0.0,0.0,0.0,1.0,1.0,1.0,38.46666666666667,38.46666666666667,38.46666666666667,0
2,2.0,22024,203078,22400111,"OCT 28, 2024",PHX vs. LAL,W,35,6,14,0.429,1,7,0.143,2,2,1.0,0,3,3,4,2,1,1,4,15,14,1,PHX,1610612756,LAL,1610612747,1,G,1,0,0,1,0,0,31.0,76,207,2,1,115.3,2,3,115.3,3,0,115.3,3,2,121.3,0.3333333333333333,-6.5,19.5,19.5,15.0,7.0,7.0,6.0,13.0,13.0,14.0,0.538,0.538,0.429,3.5,3.5,3.0,6.0,6.0,6.0,0.583,0.583,0.5,2.0,2.0,0.0,2.5,2.5,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.5,1.5,2.0,36.95,36.95,35.43333333333333,0
3,3.0,22024,203078,22400149,"NOV 02, 2024",PHX vs. POR,W,34,5,13,0.385,3,8,0.375,2,4,0.5,1,6,7,4,1,1,0,1,15,-4,1,PHX,1610612756,POR,1610612757,1,G,1,0,0,1,0,0,31.0,76,207,4,1,116.0,4,1,116.0,2,4,116.8,2,3,109.2,-0.75,0.3333333333333333,18.0,18.0,18.0,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,13.333333333333334,13.333333333333334,0.5,0.5,0.5,2.6666666666666665,2.6666666666666665,2.6666666666666665,6.333333333333333,6.333333333333333,6.333333333333333,0.421,0.421,0.421,2.0,2.0,2.0,2.333333333333333,2.333333333333333,2.333333333333333,0.857,0.857,0.857,0.0,0.0,0.0,1.67,1.67,1.67,36.40555555,36.40555555,36.40555555,0
4,4.0,22024,203078,22400167,"NOV 04, 2024",PHX vs. PHI,W,34,7,10,0.7,3,5,0.6,0,0,0.0,0,5,5,3,2,0,2,2,17,12,1,PHX,1610612756,PHI,1610612755,1,G,1,0,0,1,0,0,31.0,76,207,5,1,113.8,4,1,113.4,1,4,116.4,1,4,107.2,1.8,-0.75,15.0,17.3,17.3,5.666666666666667,6.25,6.25,13.666666666666666,13.25,13.25,0.415,0.472,0.472,2.333333333333333,2.75,2.75,7.0,6.75,6.75,0.333,0.407,0.407,1.3333333333333333,2.0,2.0,2.0,2.75,2.75,0.667,0.727,0.727,0.3333333333333333,0.25,0.25,1.67,1.5,1.5,34.9,35.791666666666664,35.791666666666664,0
5,5.0,22024,203078,22400178,"NOV 06, 2024",PHX vs. MIA,W,32,3,9,0.333,1,4,0.25,0,0,0.0,1,1,2,3,2,2,1,4,7,4,1,PHX,1610612756,MIA,1610612748,1,G,1,0,0,1,0,0,31.0,76,207,6,1,114.4,5,0,113.8,3,3,107.5,3,2,111.0,2.8,1.8,15.7,17.2,17.2,6.0,6.4,6.4,12.333333333333334,12.6,12.6,0.486,0.508,0.508,2.333333333333333,2.8,2.8,6.666666666666667,6.4,6.4,0.35,0.438,0.438,1.3333333333333333,1.6,1.6,2.0,2.2,2.2,0.667,0.727,0.727,0.3333333333333333,0.2,0.2,1.67,1.6,1.6,34.438888883333334,35.443333333333335,35.443333333333335,0
6,6.0,22024,203078,22400190,"NOV 08, 2024",PHX @ DAL,W,36,6,17,0.353,1,7,0.143,2,2,1.0,2,2,4,3,0,0,1,3,15,-14,1,PHX,1610612756,DAL,1610612742,0,G,1,0,0,1,0,0,31.0,76,207,7,1,114.5,5,0,114.0,5,3,108.1,3,2,115.2,2.4,2.1666666666666665,13.5,15.5,15.5,5.25,5.833333333333333,5.833333333333333,11.5,12.0,12.0,0.457,0.486,0.486,2.0,2.5,2.5,6.0,6.0,6.0,0.333,0.417,0.417,1.0,1.3333333333333333,1.3333333333333333,1.5,1.8333333333333333,1.8333333333333333,0.667,0.727,0.727,0.5,0.3333333333333333,0.3333333333333333,1.75,1.67,1.67,33.7625,34.825,34.825,0
7,7.0,22024,203078,22400209,"NOV 10, 2024",PHX vs. SAC,L,38,9,18,0.5,3,10,0.3,7,9,0.778,2,6,8,2,1,1,1,2,28,-10,1,PHX,1610612756,SAC,1610612758,1,G,1,0,0,1,0,0,31.0,76,207,8,1,114.4,5,0,115.0,5,4,112.4,3,2,116.4,-2.4,-0.1428571428571428,13.5,15.4,15.4,5.25,5.857142857142857,5.857142857142857,12.25,12.714285714285714,12.714285714285714,0.429,0.461,0.461,2.0,2.2857142857142856,2.2857142857142856,6.0,6.142857142857143,6.142857142857143,0.333,0.372,0.372,1.0,1.4285714285714286,1.4285714285714286,1.5,1.8571428571428568,1.8571428571428568,0.667,0.769,0.769,1.0,0.5714285714285714,0.5714285714285714,1.25,1.43,1.43,34.041666666666664,35.0547619,35.0547619,1
8,8.0,22024,203078,22400006,"NOV 12, 2024",PHX @ UTA,W,29,8,15,0.533,4,7,0.571,4,4,1.0,0,3,3,4,2,1,2,3,24,8,1,PHX,1610612756,UTA,1610612762,0,G,1,0,0,1,0,0,31.0,76,207,8,2,114.8,4,1,113.6,2,7,118.9,2,3,107.4,0.0,-1.375,16.4,17.0,17.0,6.0,6.25,6.25,13.4,13.375,13.375,0.448,0.467,0.467,2.2,2.375,2.375,6.8,6.625,6.625,0.324,0.358,0.358,2.2,2.125,2.125,3.0,2.75,2.75,0.733,0.773,0.773,1.2,0.75,0.75,1.2,1.38,1.38,34.86,35.43958333333333,35.43958333333333,1
9,9.0,22024,203078,22400039,"NOV 26, 2024",PHX vs. LAL,W,27,10,15,0.667,3,6,0.5,0,0,0.0,0,2,2,2,0,1,3,3,23,8,1,PHX,1610612756,LAL,1610612747,1,G,1,0,0,1,0,0,31.0,76,207,9,7,112.1,0,5,105.0,10,6,116.9,3,2,113.6,-0.8,-0.3333333333333333,17.8,17.8,15.0,6.444444444444445,6.444444444444445,6.0,13.555555555555555,13.555555555555555,14.0,0.475,0.475,0.429,2.555555555555556,2.555555555555556,2.0,6.666666666666667,6.666666666666667,6.5,0.383,0.383,0.308,2.333333333333333,2.333333333333333,1.0,2.888888888888889,2.888888888888889,1.0,0.808,0.808,1.0,0.6666666666666666,0.6666666666666666,0.0,1.44,1.44,2.0,34.7611111,34.7611111,35.375,1
10,10.0,22024,203078,22400297,"NOV 27, 2024",PHX vs. BKN,L,27,8,14,0.571,1,2,0.5,0,0,0.0,0,3,3,0,0,0,2,2,17,-23,1,PHX,1610612756,BKN,1610612751,1,G,1,0,0,1,0,0,31.0,76,207,10,7,112.9,1,4,109.6,8,10,114.2,3,2,110.8,-6.2,0.5,23.0,18.3,18.3,10.0,6.8,6.8,15.0,13.7,13.7,0.667,0.496,0.496,3.0,2.6,2.6,6.0,6.6,6.6,0.5,0.394,0.394,0.0,2.1,2.1,0.0,2.6,2.6,0.0,0.808,0.808,0.0,0.6,0.6,0.0,1.3,1.3,27.383333333333333,34.02333333333333,34.02333333333333,0
11,11.0,22024,203078,22400057,"DEC 03, 2024",PHX vs. SAS,W,31,3,8,0.375,1,3,0.333,3,4,0.75,0,9,9,4,1,0,3,2,10,6,1,PHX,1610612756,SAS,1610612759,1,G,1,0,0,1,0,0,31.0,76,207,11,8,113.2,2,3,115.6,11,9,110.8,4,1,117.2,-2.2,-1.6363636363636365,20.0,18.2,18.2,9.0,6.909090909090909,6.909090909090909,14.5,13.727272727272728,13.727272727272728,0.621,0.503,0.503,2.0,2.4545454545454546,2.4545454545454546,4.0,6.181818181818182,6.181818181818182,0.5,0.397,0.397,0.0,1.9090909090909087,1.9090909090909087,0.0,2.363636363636364,2.363636363636364,0.0,0.808,0.808,0.0,0.5454545454545454,0.5454545454545454,0.0,1.18,1.18,27.258333333333333,33.39696968333333,33.39696968333333,0
