,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,VS_MIN,target
0,22024,1630595,0022400063,"OCT 23, 2024",DET vs. IND,L,37,10,23,0.435,2,6,0.333,6,6,1.0,0,5,5,8,1,0,2,2,28,-9,1,DET,1610612765,IND,1610612754,1,G,1,0,0,1,0,0,23.0,78,220,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,22024,1630595,0022400080,"OCT 25, 2024",DET @ CLE,L,35,14,24,0.583,2,6,0.333,3,3,1.0,2,2,4,6,0,0,9,4,33,-14,1,DET,1610612765,CLE,1610612739,0,G,1,0,0,1,0,0,23.0,78,220,0,1,109.0,0,5,109.0,1,0,106.0,1,4,136.0,-11.5,-9.0,36.55,36.55,28.0,28.0,28.0,10.0,10.0,10.0,23.0,23.0,23.0,0.435,0.435,0.435,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,36.55,1
2,22024,1630595,0022400089,"OCT 26, 2024",DET vs. BOS,L,41,9,22,0.409,2,8,0.25,1,3,0.333,0,6,6,10,1,4,7,2,21,3,1,DET,1610612765,BOS,1610612738,1,G,1,0,0,1,0,0,23.0,78,220,0,2,105.0,0,5,105.0,2,0,105.5,2,3,127.0,-6.666666666666667,-11.5,35.733333333333334,35.733333333333334,30.5,30.5,30.5,12.0,12.0,12.0,23.5,23.5,23.5,0.511,0.511,0.511,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,4.5,4.5,4.5,4.5,4.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,35.733333333333334,0
3,22024,1630595,0022400105,"OCT 28, 2024",DET @ MIA,L,35,9,18,0.5,4,7,0.571,2,3,0.667,1,7,8,6,2,1,5,4,24,-7,1,DET,1610612765,MIA,1610612748,0,G,1,0,0,1,0,0,23.0,78,220,0,3,109.3,0,5,109.3,1,1,111.0,1,4,105.5,-6.75,-6.666666666666667,37.327777766666664,37.327777766666664,27.3,27.3,27.3,11.0,11.0,11.0,23.0,23.0,23.0,0.478,0.478,0.478,2.0,2.0,2.0,6.666666666666667,6.666666666666667,6.666666666666667,0.3,0.3,0.3,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,4.0,4.0,0.833,0.833,0.833,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.67,0.67,0.67,37.327777766666664,0
4,22024,1630595,0022400120,"OCT 30, 2024",DET @ PHI,W,37,6,15,0.4,4,8,0.5,6,6,1.0,1,4,5,7,1,1,5,2,22,12,1,DET,1610612765,PHI,1610612755,0,G,1,0,0,1,0,0,23.0,78,220,0,4,106.5,0,5,106.5,1,2,117.7,1,4,111.3,-3.0,-6.75,36.7125,36.7125,26.5,26.5,26.5,10.5,10.5,10.5,21.75,21.75,21.75,0.483,0.483,0.483,2.5,2.5,2.5,6.75,6.75,6.75,0.37,0.37,0.37,3.0,3.0,3.0,3.75,3.75,3.75,0.8,0.8,0.8,0.75,0.75,0.75,1.0,1.0,1.0,36.7125,0
5,22024,1630595,0022400134,"NOV 01, 2024",DET vs. NYK,L,32,10,19,0.526,2,4,0.5,0,0,0.0,0,6,6,6,0,1,1,1,22,-19,1,DET,1610612765,NYK,1610612752,1,G,1,0,0,1,0,0,23.0,78,220,1,4,106.2,1,4,106.2,2,2,111.8,2,3,113.0,-5.0,-3.0,36.69,36.69,25.6,25.6,25.6,9.6,9.6,9.6,20.4,20.4,20.4,0.471,0.471,0.471,2.8,2.8,2.8,7.0,7.0,7.0,0.4,0.4,0.4,3.6,3.6,3.6,4.2,4.2,4.2,0.857,0.857,0.857,0.8,0.8,0.8,1.0,1.0,1.0,36.69,0
6,22024,1630595,0022400151,"NOV 03, 2024",DET @ BKN,W,35,8,13,0.615,1,4,0.25,2,3,0.667,1,5,6,5,0,0,7,3,19,11,1,DET,1610612765,BKN,1610612751,0,G,1,0,0,1,0,0,23.0,78,220,1,5,104.8,1,4,104.0,3,3,116.7,3,2,118.8,0.0,-5.666666666666667,35.79333333333334,35.91944443333333,24.4,25.0,25.0,9.6,9.666666666666666,9.666666666666666,19.6,20.166666666666668,20.166666666666668,0.49,0.479,0.479,2.8,2.6666666666666665,2.6666666666666665,6.6,6.5,6.5,0.424,0.41,0.41,2.4,3.0,3.0,3.0,3.5,3.5,0.8,0.857,0.857,0.8,0.6666666666666666,0.6666666666666666,0.8,0.83,0.83,35.91944443333333,0
7,22024,1630595,0022400156,"NOV 04, 2024",DET vs. LAL,W,36,7,17,0.412,1,5,0.2,2,5,0.4,2,9,11,11,0,0,3,1,17,14,1,DET,1610612765,LAL,1610612747,1,G,1,0,0,1,0,0,23.0,78,220,2,5,105.0,2,3,105.0,4,2,119.0,3,2,120.0,2.2,-3.2857142857142856,35.89666666666667,35.85,21.6,24.1,24.1,8.4,9.428571428571429,9.428571428571429,17.4,19.142857142857142,19.142857142857142,0.483,0.493,0.493,2.6,2.4285714285714284,2.4285714285714284,6.2,6.142857142857143,6.142857142857143,0.419,0.395,0.395,2.2,2.857142857142857,2.857142857142857,3.0,3.4285714285714284,3.4285714285714284,0.733,0.833,0.833,0.6,0.7142857142857143,0.7142857142857143,0.8,0.71,0.71,35.85,0
8,22024,1630595,0022400169,"NOV 06, 2024",DET @ CHA,L,38,9,23,0.391,0,4,0.0,2,2,1.0,1,9,10,10,0,0,2,5,20,-1,1,DET,1610612765,CHA,1610612766,0,G,1,0,0,1,0,0,23.0,78,220,3,5,106.3,3,2,104.4,2,5,118.3,1,4,109.8,3.4,-1.125,34.95333333333333,35.84375,20.8,23.3,23.3,8.0,9.125,9.125,16.4,18.875,18.875,0.488,0.483,0.483,2.4,2.25,2.25,5.6,6.0,6.0,0.429,0.375,0.375,2.4,2.75,2.75,3.4,3.625,3.625,0.706,0.759,0.759,1.0,0.875,0.875,0.6,0.63,0.63,35.84375,0
9,22024,1630595,0022400185,"NOV 08, 2024",DET vs. ATL,W,36,8,17,0.471,1,4,0.25,5,5,1.0,1,10,11,13,1,1,7,2,22,3,1,DET,1610612765,ATL,1610612737,1,G,1,0,0,1,0,0,23.0,78,220,3,6,106.3,3,2,106.2,4,5,121.2,2,3,115.0,1.6,-1.1111111111111112,35.52,36.05,20.0,22.9,22.9,8.0,9.11111111111111,9.11111111111111,17.4,19.333333333333332,19.333333333333332,0.46,0.471,0.471,1.6,2.0,2.0,5.0,5.777777777777778,5.777777777777778,0.32,0.346,0.346,2.4,2.6666666666666665,2.6666666666666665,3.2,3.4444444444444446,3.4444444444444446,0.75,0.774,0.774,1.0,0.8888888888888888,0.8888888888888888,0.2,0.56,0.56,36.05,0
