,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,22024,1626156,22400062,"OCT 22, 2024",LAL vs. MIN,W,34,4,12,0.333,1,7,0.143,0,0,0.0,0,1,1,5,2,0,1,2,9,15,1,LAL,1610612747,MIN,1610612750,1,G,1,0,0,1,0,0,28.0,75,193,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,15.0,15.0,,9.0,,,4.0,,,12.0,,,0.333,,,1.0,,,7.0,,,0.143,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,,,34.0,,0
1,1.0,1.0,1.0,22024,1626156,22400085,"OCT 25, 2024",LAL vs. PHX,W,29,1,6,0.167,1,3,0.333,2,2,1.0,1,1,2,5,1,1,2,3,5,-6,1,LAL,1610612747,PHX,1610612756,1,G,1,0,0,1,0,0,28.0,75,193,1,0,110.0,1,4,110.0,1,0,113.0,1,4,116.0,4.5,15.0,9.0,9.0,9.0,4.0,4.0,4.0,12.0,12.0,12.0,0.333,0.333,0.333,1.0,1.0,1.0,7.0,7.0,7.0,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,34.21666666666667,34.21666666666667,34.21666666666667,0
2,2.0,2.0,2.0,22024,1626156,22400096,"OCT 26, 2024",LAL vs. SAC,W,32,6,11,0.545,3,6,0.5,1,1,1.0,1,3,4,5,2,0,2,3,16,17,1,LAL,1610612747,SAC,1610612758,1,G,1,0,0,1,0,0,28.0,75,193,2,0,116.5,2,3,116.5,0,1,117.0,0,5,115.0,8.666666666666666,4.5,7.0,7.0,7.0,2.5,2.5,2.5,9.0,9.0,9.0,0.278,0.278,0.278,1.0,1.0,1.0,5.0,5.0,5.0,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.5,1.5,1.5,31.75,31.75,31.75,1
3,3.0,3.0,3.0,22024,1626156,22400111,"OCT 28, 2024",LAL @ PHX,L,33,5,13,0.385,2,9,0.222,2,2,1.0,0,1,1,9,0,0,2,3,14,0,1,LAL,1610612747,PHX,1610612756,0,G,1,0,0,1,0,0,28.0,75,193,3,0,121.3,3,2,121.3,2,1,112.7,2,3,115.3,6.5,8.666666666666666,10.0,10.0,5.0,3.6666666666666665,3.6666666666666665,1.0,9.666666666666666,9.666666666666666,6.0,0.379,0.379,0.167,1.6666666666666667,1.6666666666666667,1.0,5.333333333333333,5.333333333333333,3.0,0.313,0.313,0.333,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.67,1.67,1.0,31.98333333333333,31.98333333333333,29.28333333333333,1
4,4.0,4.0,4.0,22024,1626156,22400118,"OCT 30, 2024",LAL @ CLE,L,24,2,7,0.286,0,3,0.0,6,6,1.0,1,2,3,5,0,0,0,0,10,-8,1,LAL,1610612747,CLE,1610612739,0,G,1,0,0,1,0,0,28.0,75,193,3,1,117.3,3,2,117.3,4,0,106.8,4,1,123.5,3.6,6.5,11.0,11.0,11.0,4.0,4.0,4.0,10.5,10.5,10.5,0.381,0.381,0.381,1.75,1.75,1.75,6.25,6.25,6.25,0.28,0.28,0.28,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.0,1.0,0.5,0.5,0.5,1.25,1.25,1.25,32.32083333333333,32.32083333333333,32.32083333333333,0
5,5.0,5.0,5.0,22024,1626156,22400137,"NOV 01, 2024",LAL @ TOR,W,32,7,13,0.538,3,6,0.5,2,2,1.0,0,3,3,6,0,0,2,4,19,14,1,LAL,1610612747,TOR,1610612761,0,G,1,0,0,1,0,0,28.0,75,193,3,2,115.8,3,2,115.8,1,4,124.0,1,4,116.0,3.4,3.6,10.8,10.8,10.8,3.6,3.6,3.6,9.8,9.8,9.8,0.367,0.367,0.367,1.4,1.4,1.4,5.6,5.6,5.6,0.25,0.25,0.25,2.2,2.2,2.2,2.2,2.2,2.2,1.0,1.0,1.0,0.6,0.6,0.6,1.0,1.0,1.0,30.683333333333334,30.683333333333334,30.683333333333334,1
6,6.0,6.0,6.0,22024,1626156,22400156,"NOV 04, 2024",LAL @ DET,L,33,4,14,0.286,2,5,0.4,1,2,0.5,1,2,3,8,1,0,3,2,11,-1,1,LAL,1610612747,DET,1610612765,0,G,1,0,0,1,0,0,28.0,75,193,4,2,118.3,3,2,120.0,2,5,110.4,2,3,105.0,4.4,5.333333333333333,12.8,12.2,12.2,4.2,4.166666666666667,4.166666666666667,10.0,10.333333333333334,10.333333333333334,0.42,0.403,0.403,1.8,1.6666666666666667,1.6666666666666667,5.4,5.666666666666667,5.666666666666667,0.333,0.294,0.294,2.6,2.1666666666666665,2.1666666666666665,2.6,2.1666666666666665,2.1666666666666665,1.0,1.0,1.0,0.6,0.5,0.5,0.6,0.83,0.83,30.33333333333333,30.98055555,30.98055555,0
7,7.0,7.0,7.0,22024,1626156,22400174,"NOV 06, 2024",LAL @ MEM,L,22,4,12,0.333,2,9,0.222,2,2,1.0,0,1,1,3,2,0,1,2,12,-9,1,LAL,1610612747,MEM,1610612763,0,G,1,0,0,1,0,0,28.0,75,193,4,3,116.1,2,3,116.0,4,4,115.0,2,3,115.8,-0.8,4.428571428571429,14.0,12.0,12.0,4.8,4.142857142857143,4.142857142857143,11.6,10.857142857142858,10.857142857142858,0.414,0.382,0.382,2.0,1.7142857142857142,1.7142857142857142,5.8,5.571428571428571,5.571428571428571,0.345,0.308,0.308,2.4,2.0,2.0,2.6,2.142857142857143,2.142857142857143,0.923,0.933,0.933,0.6,0.5714285714285714,0.5714285714285714,0.6,0.86,0.86,31.08333333333333,31.273809516666667,31.273809516666667,0
8,8.0,8.0,8.0,22024,1626156,22400195,"NOV 08, 2024",LAL vs. PHI,W,25,7,12,0.583,2,4,0.5,2,3,0.667,0,2,2,3,0,0,2,0,18,13,1,LAL,1610612747,PHI,1610612755,1,G,1,0,0,1,0,0,28.0,75,193,4,4,115.9,1,4,112.6,1,6,115.7,1,4,106.8,1.8,2.75,13.2,12.0,12.0,4.4,4.125,4.125,11.8,11.0,11.0,0.373,0.375,0.375,1.8,1.75,1.75,6.4,6.0,6.0,0.281,0.292,0.292,2.6,2.0,2.0,2.8,2.125,2.125,0.929,0.941,0.941,0.4,0.5,0.5,0.6,1.0,1.0,28.90333333333333,30.058333333333334,30.058333333333334,1
9,9.0,9.0,9.0,22024,1626156,22400211,"NOV 10, 2024",LAL vs. TOR,W,27,6,13,0.462,3,9,0.333,0,0,0.0,0,2,2,1,1,0,1,0,15,18,1,LAL,1610612747,TOR,1610612761,1,G,1,0,0,1,0,0,28.0,75,193,5,4,115.9,2,3,114.8,2,8,122.7,1,4,117.0,7.0,3.888888888888889,14.0,12.7,19.0,4.8,4.444444444444445,7.0,11.6,11.11111111111111,13.0,0.414,0.4,0.538,1.8,1.7777777777777777,3.0,5.4,5.777777777777778,6.0,0.333,0.308,0.5,2.6,2.0,2.0,3.0,2.2222222222222223,2.0,0.867,0.9,1.0,0.4,0.4444444444444444,0.0,0.6,0.89,0.0,27.316666666666663,29.540740733333333,32.46666666666667,1
