,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1629655,0022400074,"OCT 24, 2024",DAL vs. SAS,W,19,3,6,0.5,0,0,0.0,3,4,0.75,4,2,6,2,1,1,1,5,9,8,1,DAL,1610612742,SAS,1610612759,1,F-C,0,1,0,0,1,1,26.0,82,265,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,8.0,8.0,,9.0,,,3.0,,,6.0,,,0.5,,,0,,,0,,,0.0,,,3.0,,,4.0,,,0.75,,,4.0,,,1.0,,,19.0,,0
1,22024,1629655,0022400095,"OCT 26, 2024",DAL @ PHX,L,18,3,7,0.429,0,0,0.0,1,2,0.5,4,4,8,4,0,0,1,2,7,-1,1,DAL,1610612742,PHX,1610612756,0,F-C,0,1,0,0,1,1,26.0,82,265,1,0,120.0,1,4,120.0,1,1,118.0,1,4,116.0,3.5,8.0,9.0,9.0,9.0,3.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.75,0.75,0.75,4.0,4.0,4.0,1.0,1.0,1.0,18.533333333333335,18.533333333333335,18.533333333333335,0
2,22024,1629655,0022400110,"OCT 28, 2024",DAL vs. UTA,W,20,4,8,0.5,0,0,0.0,1,1,1.0,4,3,7,0,0,3,0,2,9,-1,1,DAL,1610612742,UTA,1610612762,1,F-C,0,1,0,0,1,1,26.0,82,265,1,1,111.0,1,4,111.0,0,2,126.5,0,5,105.0,2.0,3.5,8.0,8.0,8.0,3.0,3.0,3.0,6.5,6.5,6.5,0.462,0.462,0.462,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,0.667,0.667,0.667,4.0,4.0,4.0,0.5,0.5,0.5,18.341666666666665,18.341666666666665,18.341666666666665,1
3,22024,1629655,0022400114,"OCT 29, 2024",DAL @ MIN,W,21,6,6,1.0,0,0,0.0,2,2,1.0,1,3,4,1,1,1,0,3,14,1,1,DAL,1610612742,MIN,1610612750,0,F-C,0,1,0,0,1,1,26.0,82,265,2,1,110.7,2,3,110.7,2,1,108.7,2,3,110.7,1.75,2.0,8.3,8.3,8.3,3.3333333333333335,3.3333333333333335,3.3333333333333335,7.0,7.0,7.0,0.476,0.476,0.476,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.714,0.714,0.714,4.0,4.0,4.0,0.33,0.33,0.33,19.038888883333332,19.038888883333332,19.038888883333332,1
4,22024,1629655,0022400129,"OCT 31, 2024",DAL vs. HOU,L,15,3,4,0.75,0,0,0.0,0,0,0.0,1,2,3,1,0,2,1,4,6,-15,1,DAL,1610612742,HOU,1610612745,1,F-C,0,1,0,0,1,1,26.0,82,265,3,1,113.0,3,2,113.0,2,2,107.0,2,3,111.3,-1.6,1.75,9.8,9.8,9.8,4.0,4.0,4.0,6.75,6.75,6.75,0.593,0.593,0.593,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,2.25,2.25,2.25,0.778,0.778,0.778,3.25,3.25,3.25,0.5,0.5,0.5,19.4625,19.4625,19.4625,0
5,22024,1629655,0022400153,"NOV 03, 2024",DAL vs. ORL,W,20,9,13,0.692,0,0,0.0,0,1,0.0,3,5,8,0,1,0,3,3,18,4,1,DAL,1610612742,ORL,1610612753,1,F-C,0,1,0,0,1,1,26.0,82,265,3,2,110.8,3,2,110.8,3,3,109.8,2,3,110.8,-2.4,-1.6,9.0,9.0,9.0,3.8,3.8,3.8,6.2,6.2,6.2,0.613,0.613,0.613,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.8,1.8,1.8,0.778,0.778,0.778,2.8,2.8,2.8,0.4,0.4,0.4,18.586666666666666,18.586666666666666,18.586666666666666,1
6,22024,1629655,0022400165,"NOV 04, 2024",DAL vs. IND,L,15,3,3,1.0,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,3,8,-12,1,DAL,1610612742,IND,1610612754,1,F-C,0,1,0,0,1,1,26.0,82,265,4,2,110.3,3,2,108.4,2,4,121.0,1,4,116.0,-4.6,-0.6666666666666666,10.8,10.5,10.5,5.0,4.666666666666667,4.666666666666667,7.6,7.333333333333333,7.333333333333333,0.658,0.636,0.636,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8,1.1666666666666667,1.1666666666666667,1.2,1.6666666666666667,1.6666666666666667,0.667,0.7,0.7,2.6,2.8333333333333335,2.8333333333333335,0.4,0.5,0.5,18.903333333333332,18.841666666666665,18.841666666666665,0
7,22024,1629655,0022400176,"NOV 06, 2024",DAL vs. CHI,W,24,7,9,0.778,0,0,0.0,3,4,0.75,2,5,7,1,0,3,0,1,17,19,1,DAL,1610612742,CHI,1610612741,1,F-C,0,1,0,0,1,1,26.0,82,265,4,3,112.7,3,2,113.4,3,4,119.4,2,3,112.2,-0.6,-2.2857142857142856,11.0,10.1,10.1,5.0,4.428571428571429,4.428571428571429,6.8,6.714285714285714,6.714285714285714,0.735,0.66,0.66,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.2857142857142858,1.2857142857142858,1.2,1.7142857142857142,1.7142857142857142,0.833,0.75,0.75,2.0,2.5714285714285716,2.5714285714285716,0.4,0.43,0.43,18.3,18.31190475,18.31190475,1
8,22024,1629655,0022400190,"NOV 08, 2024",DAL vs. PHX,L,23,6,7,0.857,0,0,0.0,3,3,1.0,3,4,7,0,0,0,1,6,15,0,1,DAL,1610612742,PHX,1610612756,1,F-C,0,1,0,0,1,1,26.0,82,265,5,3,113.5,3,2,115.2,7,1,110.9,5,0,114.0,-0.8,0.375,12.6,11.0,7.0,5.6,4.75,3.0,7.0,7.0,7.0,0.8,0.679,0.429,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.4,1.5,1.0,1.8,2.0,2.0,0.778,0.75,0.5,1.6,2.5,4.0,0.4,0.38,0.0,18.92,18.964583333333334,18.15,1
9,22024,1629655,0022400208,"NOV 10, 2024",DAL @ DEN,L,34,7,9,0.778,0,0,0.0,2,4,0.5,2,5,7,3,2,2,1,5,16,-5,1,DAL,1610612742,DEN,1610612743,0,F-C,0,1,0,0,1,1,26.0,82,265,5,4,113.4,2,3,113.8,6,3,117.8,4,1,125.0,1.2,0.3333333333333333,12.8,11.4,11.4,5.6,4.888888888888889,4.888888888888889,7.2,7.0,7.0,0.778,0.698,0.698,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6,1.6666666666666667,1.6666666666666667,2.0,2.111111111111111,2.111111111111111,0.8,0.789,0.789,2.0,2.5555555555555554,2.5555555555555554,0.2,0.33,0.33,19.4,19.427777766666665,19.427777766666665,1
10,22024,1629655,0022400007,"NOV 12, 2024",DAL @ GSW,L,24,7,8,0.875,0,0,0.0,1,3,0.333,2,4,6,2,0,0,1,5,15,2,1,DAL,1610612742,GSW,1610612744,0,F-C,0,1,0,0,1,1,26.0,82,265,5,5,114.1,2,3,117.4,8,2,109.4,4,1,122.8,0.8,-0.2,14.8,11.9,11.9,6.4,5.1,5.1,8.2,7.2,7.2,0.78,0.708,0.708,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.7,1.7,2.8,2.3,2.3,0.714,0.739,0.739,2.2,2.5,2.5,0.6,0.5,0.5,23.143333333333334,20.865,20.865,1
11,22024,1629655,0022400228,"NOV 14, 2024",DAL @ UTA,L,19,4,7,0.571,0,0,0.0,2,4,0.5,4,1,5,0,0,2,0,1,10,-19,1,DAL,1610612742,UTA,1610612762,0,F-C,0,1,0,0,1,1,26.0,82,265,5,6,114.4,1,4,119.2,2,8,119.0,2,3,112.2,-0.6,0.0,14.2,12.2,9.0,6.0,5.2727272727272725,4.0,7.2,7.2727272727272725,8.0,0.833,0.725,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.6363636363636365,1.0,3.2,2.3636363636363638,1.0,0.688,0.692,1.0,2.0,2.4545454545454546,4.0,0.4,0.45,0.0,23.836666666666666,21.1121212,20.433333333333334,0
12,22024,1629655,0022400232,"NOV 16, 2024",DAL vs. SAS,W,18,9,10,0.9,0,0,0.0,4,4,1.0,3,4,7,1,1,3,0,2,22,13,1,DAL,1610612742,SAS,1610612759,1,F-C,0,1,0,0,1,1,26.0,82,265,5,7,114.3,1,4,116.4,6,7,110.0,3,2,119.6,-1.8,-1.5833333333333333,14.6,12.0,9.0,6.2,5.166666666666667,3.0,8.0,7.25,6.0,0.775,0.713,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.6666666666666667,3.0,3.6,2.5,4.0,0.611,0.667,0.75,2.6,2.5833333333333335,4.0,0.4,0.42,1.0,24.606666666666666,20.934722216666668,18.533333333333335,1
13,22024,1629655,0022400242,"NOV 17, 2024",DAL @ OKC,W,18,4,9,0.444,0,0,0.0,3,7,0.429,8,4,12,0,0,1,3,2,11,-12,1,DAL,1610612742,OKC,1610612760,0,F-C,0,1,0,0,1,1,26.0,82,265,6,7,113.9,1,4,114.6,11,2,102.2,4,1,116.2,-4.2,-0.46153846153846156,15.6,12.8,12.8,6.6,5.461538461538462,5.461538461538462,8.2,7.461538461538462,7.461538461538462,0.805,0.732,0.732,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.4,1.8461538461538463,1.8461538461538463,3.6,2.6153846153846154,2.6153846153846154,0.667,0.706,0.706,2.8,2.6153846153846154,2.6153846153846154,0.6,0.46,0.46,23.543333333333333,20.725641016666668,20.725641016666668,0
14,22024,1629655,0022400024,"NOV 19, 2024",DAL vs. NOP,W,20,5,7,0.714,0,0,0.0,1,1,1.0,3,3,6,0,0,0,2,1,11,12,1,DAL,1610612742,NOP,1610612740,1,F-C,0,1,0,0,1,1,26.0,82,265,7,7,114.4,2,3,116.2,4,10,113.3,1,4,96.2,-0.8,-1.2857142857142858,14.8,12.6,12.6,6.2,5.357142857142857,5.357142857142857,8.6,7.571428571428571,7.571428571428571,0.721,0.708,0.708,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.4,1.9285714285714286,1.9285714285714286,4.4,2.9285714285714284,2.9285714285714284,0.545,0.659,0.659,3.8,3.0,3.0,0.6,0.43,0.43,22.506666666666668,20.52738095,20.52738095,0
15,22024,1629655,0022400033,"NOV 22, 2024",DAL @ DEN,W,27,5,7,0.714,0,0,0.0,3,4,0.75,3,3,6,1,3,1,0,2,13,5,1,DAL,1610612742,DEN,1610612743,0,F-C,0,1,0,0,1,1,26.0,82,265,8,7,115.6,3,2,118.6,8,5,115.1,3,2,112.6,-0.2,-0.4,13.8,12.5,16.0,5.8,5.333333333333333,7.0,8.2,7.533333333333333,9.0,0.707,0.708,0.778,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.8666666666666667,2.0,3.8,2.8,4.0,0.579,0.667,0.5,4.0,3.0,2.0,0.2,0.4,2.0,19.783333333333335,20.504444433333333,33.8,1
16,22024,1629655,0022400273,"NOV 24, 2024",DAL @ MIA,L,21,5,6,0.833,0,0,0.0,0,0,0.0,3,5,8,2,0,3,1,2,10,-13,1,DAL,1610612742,MIA,1610612748,0,F-C,0,1,0,0,1,1,26.0,82,265,9,7,116.1,4,1,119.8,6,7,110.1,3,2,111.2,1.0,-0.0625,13.4,12.6,12.6,5.4,5.3125,5.3125,8.0,7.5,7.5,0.675,0.708,0.708,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.6,1.9375,1.9375,4.0,2.875,2.875,0.65,0.674,0.674,4.2,3.0,3.0,0.8,0.56,0.56,20.466666666666665,20.910416666666666,20.910416666666666,0
17,22024,1629655,0022400280,"NOV 25, 2024",DAL @ ATL,W,23,5,6,0.833,0,0,0.0,0,0,0.0,3,6,9,3,1,2,0,0,10,-2,1,DAL,1610612742,ATL,1610612737,0,F-C,0,1,0,0,1,1,26.0,82,265,9,8,116.2,4,1,120.8,7,10,120.5,2,3,113.4,-2.0,-0.8235294117647058,13.4,12.4,12.4,5.6,5.294117647058823,5.294117647058823,7.8,7.411764705882353,7.411764705882353,0.718,0.714,0.714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.8235294117647058,1.8235294117647058,3.2,2.7058823529411766,2.7058823529411766,0.688,0.674,0.674,4.0,3.0,3.0,0.8,0.53,0.53,20.793333333333333,20.89313725,20.89313725,0
