,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1629636,0022400067,"OCT 23, 2024",CLE @ TOR,W,23,3,12,0.25,1,6,0.167,0,0,0.0,0,1,1,6,0,0,2,4,7,1,1,CLE,1610612739,TOR,1610612761,0,G,1,0,0,1,0,0,25.0,73,192,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,1.0,1.0,,7.0,,,3.0,,,12.0,,,0.25,,,1.0,,,6.0,,,0.167,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,23.0,,0
1,22024,1629636,0022400080,"OCT 25, 2024",CLE vs. DET,W,33,5,11,0.455,3,7,0.429,0,0,0.0,0,2,2,6,1,0,3,2,13,0,1,CLE,1610612739,DET,1610612765,1,G,1,0,0,1,0,0,25.0,73,192,1,0,136.0,1,4,136.0,0,1,115.0,0,5,109.0,0.5,1.0,7.0,7.0,7.0,3.0,3.0,3.0,12.0,12.0,12.0,0.25,0.25,0.25,1.0,1.0,1.0,6.0,6.0,6.0,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,22.7,22.7,1
2,22024,1629636,0022400090,"OCT 26, 2024",CLE @ WAS,W,24,9,11,0.818,4,5,0.8,1,1,1.0,0,2,2,5,2,0,4,4,23,17,1,CLE,1610612739,WAS,1610612764,0,G,1,0,0,1,0,0,25.0,73,192,2,0,124.5,2,3,124.5,0,1,122.0,0,5,102.0,6.0,0.5,10.0,10.0,10.0,4.0,4.0,4.0,11.5,11.5,11.5,0.348,0.348,0.348,2.0,2.0,2.0,6.5,6.5,6.5,0.308,0.308,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,27.875,27.875,27.875,1
3,22024,1629636,0022400106,"OCT 28, 2024",CLE @ NYK,W,33,12,19,0.632,5,8,0.625,5,5,1.0,1,2,3,3,2,2,3,3,34,7,1,CLE,1610612739,NYK,1610612752,0,G,1,0,0,1,0,0,25.0,73,192,3,0,128.0,3,2,128.0,1,1,115.0,1,4,116.0,6.25,6.0,14.3,14.3,14.3,5.666666666666667,5.666666666666667,5.666666666666667,11.333333333333334,11.333333333333334,11.333333333333334,0.5,0.5,0.5,2.6666666666666665,2.6666666666666665,2.6666666666666665,6.0,6.0,6.0,0.444,0.444,0.444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,26.5611111,26.5611111,26.5611111,1
4,22024,1629636,0022400118,"OCT 30, 2024",CLE vs. LAL,W,22,5,14,0.357,2,7,0.286,0,0,0.0,0,0,0,10,2,0,2,3,12,16,1,CLE,1610612739,LAL,1610612747,1,G,1,0,0,1,0,0,25.0,73,192,4,0,123.5,4,1,123.5,3,1,113.8,3,2,117.3,8.2,6.25,19.3,19.3,19.3,7.25,7.25,7.25,13.25,13.25,13.25,0.547,0.547,0.547,3.25,3.25,3.25,6.5,6.5,6.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,0.25,0.25,0.25,1.25,1.25,1.25,28.108333333333334,28.108333333333334,28.108333333333334,0
5,22024,1629636,0022400133,"NOV 01, 2024",CLE vs. ORL,W,29,8,16,0.5,3,9,0.333,6,6,1.0,1,2,3,4,1,1,3,5,25,10,1,CLE,1610612739,ORL,1610612753,1,G,1,0,0,1,0,0,25.0,73,192,5,0,125.6,5,0,125.6,3,2,107.8,3,2,112.2,10.0,8.2,17.8,17.8,17.8,6.8,6.8,6.8,13.4,13.4,13.4,0.507,0.507,0.507,3.0,3.0,3.0,6.6,6.6,6.6,0.455,0.455,0.455,1.2,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,0.2,0.2,0.2,1.4,1.4,1.4,26.923333333333332,26.923333333333332,26.923333333333332,1
6,22024,1629636,0022400145,"NOV 02, 2024",CLE @ MIL,W,34,5,13,0.385,1,5,0.2,0,0,0.0,2,1,3,10,0,0,0,2,11,-2,1,CLE,1610612739,MIL,1610612749,0,G,1,0,0,1,0,0,25.0,73,192,6,0,124.7,5,0,122.4,1,4,119.6,1,4,111.0,9.6,8.5,21.4,19.0,19.0,7.8,7.0,7.0,14.2,13.833333333333334,13.833333333333334,0.549,0.506,0.506,3.4,3.0,3.0,7.2,7.0,7.0,0.472,0.429,0.429,2.4,2.0,2.0,2.4,2.0,2.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,1.6,1.33,1.33,28.09,27.191666666666666,27.191666666666666,0
7,22024,1629636,0022400154,"NOV 04, 2024",CLE vs. MIL,W,35,15,22,0.682,7,11,0.636,2,2,1.0,1,1,2,8,0,0,2,1,39,7,1,CLE,1610612739,MIL,1610612749,1,G,1,0,0,1,0,0,25.0,73,192,7,0,123.1,5,0,122.6,1,5,118.7,0,5,108.8,7.6,7.0,21.0,17.9,11.0,7.8,6.714285714285714,5.0,14.6,13.714285714285714,13.0,0.534,0.49,0.385,3.0,2.7142857142857144,1.0,6.8,6.714285714285714,5.0,0.441,0.404,0.2,2.4,1.7142857142857142,0.0,2.4,1.7142857142857142,0.0,1.0,1.0,0.0,0.8,0.5714285714285714,2.0,1.4,1.14,0.0,28.19333333333333,28.10238095,33.56666666666667,1
8,22024,1629636,0022400175,"NOV 06, 2024",CLE @ NOP,W,30,5,10,0.5,4,6,0.667,0,0,0.0,0,1,1,9,1,1,3,2,14,14,1,CLE,1610612739,NOP,1610612740,0,G,1,0,0,1,0,0,25.0,73,192,8,0,122.3,5,0,118.8,3,5,116.1,1,4,106.2,9.0,7.0,24.2,20.5,20.5,9.0,7.75,7.75,16.8,14.75,14.75,0.536,0.525,0.525,3.6,3.25,3.25,8.0,7.25,7.25,0.45,0.448,0.448,2.6,1.75,1.75,2.6,1.75,1.75,1.0,1.0,1.0,1.0,0.625,0.625,1.0,1.0,1.0,30.356666666666666,28.933333333333334,28.933333333333334,0
9,22024,1629636,0022400188,"NOV 08, 2024",CLE vs. GSW,W,30,9,17,0.529,6,11,0.545,3,4,0.75,0,3,3,6,3,0,4,0,27,30,1,CLE,1610612739,GSW,1610612744,1,G,1,0,0,1,0,0,25.0,73,192,9,0,123.2,5,0,123.0,7,1,105.3,5,0,119.6,11.8,7.777777777777778,20.2,19.8,19.8,7.6,7.444444444444445,7.444444444444445,15.0,14.222222222222221,14.222222222222221,0.507,0.523,0.523,3.4,3.3333333333333335,3.3333333333333335,7.6,7.111111111111111,7.111111111111111,0.447,0.469,0.469,1.6,1.5555555555555556,1.5555555555555556,1.6,1.5555555555555556,1.5555555555555556,1.0,1.0,1.0,0.8,0.5555555555555556,0.5555555555555556,0.8,1.0,1.0,29.803333333333335,29.05,29.05,1
