,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,22024,201942,22400076,"OCT 24, 2024",SAC vs. MIN,L,43,7,18,0.389,0,2,0.0,12,14,0.857,1,7,8,2,1,0,2,0,26,8,1,SAC,1610612758,MIN,1610612750,1,G-F,1,0,0,1,1,0,35.0,78,220,0,0,0.0,0,5,0.0,0,1,110.0,0,5,103.0,8.0,8.0,,26.0,,,7.0,,,18.0,,,0.389,,,0.0,,,2.0,,,0.0,,,12.0,,,14.0,,,0.857,,,1.0,,,1.0,,,43.0,,0
1,1.0,1.0,22024,201942,22400096,"OCT 26, 2024",SAC @ LAL,L,37,9,12,0.75,2,3,0.667,3,4,0.75,0,0,0,3,3,0,2,2,23,-9,1,SAC,1610612758,LAL,1610612747,0,G-F,1,0,0,1,1,0,35.0,78,220,0,1,115.0,0,5,115.0,2,0,109.5,2,3,116.5,-0.5,8.0,26.0,26.0,26.0,7.0,7.0,7.0,18.0,18.0,18.0,0.389,0.389,0.389,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,12.0,12.0,14.0,14.0,14.0,0.857,0.857,0.857,1.0,1.0,1.0,1.0,1.0,1.0,42.53333333333333,42.53333333333333,42.53333333333333,0
2,2.0,2.0,22024,201942,22400112,"OCT 28, 2024",SAC vs. POR,W,34,7,14,0.5,0,1,0.0,9,10,0.9,1,3,4,3,3,0,1,1,23,18,1,SAC,1610612758,POR,1610612757,1,G-F,1,0,0,1,1,0,35.0,78,220,0,2,121.0,0,5,121.0,1,2,116.0,1,4,110.7,5.666666666666667,-0.5,24.5,24.5,24.5,8.0,8.0,8.0,15.0,15.0,15.0,0.533,0.533,0.533,1.0,1.0,1.0,2.5,2.5,2.5,0.4,0.4,0.4,7.5,7.5,7.5,9.0,9.0,9.0,0.833,0.833,0.833,0.5,0.5,0.5,2.0,2.0,2.0,39.875,39.875,39.875,0
3,3.0,3.0,22024,201942,22400115,"OCT 29, 2024",SAC @ UTA,W,34,9,14,0.643,0,1,0.0,2,3,0.667,1,3,4,8,1,1,1,1,20,13,1,SAC,1610612758,UTA,1610612762,0,G-F,1,0,0,1,1,0,35.0,78,220,1,2,117.7,1,4,117.7,0,3,121.0,0,5,104.0,7.5,5.666666666666667,24.0,24.0,24.0,7.666666666666667,7.666666666666667,7.666666666666667,14.666666666666666,14.666666666666666,14.666666666666666,0.523,0.523,0.523,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,2.0,2.0,0.333,0.333,0.333,8.0,8.0,8.0,9.333333333333334,9.333333333333334,9.333333333333334,0.857,0.857,0.857,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.33,2.33,2.33,37.88333333333333,37.88333333333333,37.88333333333333,0
4,4.0,4.0,22024,201942,22400135,"NOV 01, 2024",SAC @ ATL,W,39,9,16,0.563,1,1,1.0,8,10,0.8,1,7,8,2,3,1,1,2,27,10,1,SAC,1610612758,ATL,1610612737,0,G-F,1,0,0,1,1,0,35.0,78,220,2,2,116.5,2,3,116.5,2,3,123.6,2,3,117.6,8.0,7.5,23.0,23.0,23.0,8.0,8.0,8.0,14.5,14.5,14.5,0.552,0.552,0.552,0.5,0.5,0.5,1.75,1.75,1.75,0.286,0.286,0.286,6.5,6.5,6.5,7.75,7.75,7.75,0.839,0.839,0.839,0.75,0.75,0.75,2.0,2.0,2.0,36.925,36.925,36.925,1
5,5.0,5.0,22024,201942,22400143,"NOV 02, 2024",SAC @ TOR,L,43,12,27,0.444,2,7,0.286,7,7,1.0,0,3,3,4,3,0,6,1,33,6,1,SAC,1610612758,TOR,1610612761,0,G-F,1,0,0,1,1,0,35.0,78,220,3,2,117.8,3,2,117.8,1,5,125.2,1,4,119.8,7.6,8.0,23.8,23.8,23.8,8.2,8.2,8.2,14.8,14.8,14.8,0.554,0.554,0.554,0.6,0.6,0.6,1.6,1.6,1.6,0.375,0.375,0.375,6.8,6.8,6.8,8.2,8.2,8.2,0.829,0.829,0.829,0.8,0.8,0.8,2.2,2.2,2.2,37.29666666666667,37.29666666666667,37.29666666666667,1
6,6.0,6.0,22024,201942,22400159,"NOV 04, 2024",SAC @ MIA,W,36,10,18,0.556,1,2,0.5,5,5,1.0,1,2,3,6,0,2,1,4,26,-2,1,SAC,1610612758,MIA,1610612748,0,G-F,1,0,0,1,1,0,35.0,78,220,3,3,119.5,3,2,120.4,3,2,106.8,3,2,108.4,9.0,7.666666666666667,25.2,25.3,25.3,9.2,8.833333333333334,8.833333333333334,16.6,16.833333333333332,16.833333333333332,0.554,0.525,0.525,1.0,0.8333333333333334,0.8333333333333334,2.6,2.5,2.5,0.385,0.333,0.333,5.8,6.833333333333333,6.833333333333333,6.8,8.0,8.0,0.853,0.854,0.854,0.6,0.6666666666666666,0.6666666666666666,2.6,2.33,2.33,37.36666666666667,38.22777776666667,38.22777776666667,1
7,7.0,7.0,22024,201942,22400180,"NOV 06, 2024",SAC vs. TOR,W,35,11,21,0.524,2,4,0.5,3,3,1.0,0,2,2,3,1,0,3,1,27,15,1,SAC,1610612758,TOR,1610612761,1,G-F,1,0,0,1,1,0,35.0,78,220,4,3,118.3,4,1,117.2,2,6,125.0,1,4,126.6,8.4,6.285714285714286,25.8,25.4,33.0,9.4,9.0,12.0,17.8,17.0,27.0,0.528,0.529,0.444,0.8,0.8571428571428571,2.0,2.4,2.4285714285714284,7.0,0.333,0.353,0.286,6.2,6.571428571428571,7.0,7.0,7.571428571428571,7.0,0.886,0.868,1.0,0.8,0.7142857142857143,0.0,2.0,2.0,3.0,37.12,37.90714285,42.88333333333333,1
8,8.0,8.0,22024,201942,22400196,"NOV 08, 2024",SAC vs. LAC,L,40,5,12,0.417,0,2,0.0,3,4,0.75,0,1,1,6,2,0,2,1,13,-9,1,SAC,1610612758,LAC,1610612746,1,G-F,1,0,0,1,1,0,35.0,78,220,5,3,118.8,4,1,119.4,4,4,107.8,2,3,107.8,4.0,7.375,26.6,25.6,25.6,10.2,9.25,9.25,19.2,17.5,17.5,0.531,0.529,0.529,1.2,1.0,1.0,3.0,2.625,2.625,0.4,0.381,0.381,5.0,6.125,6.125,5.6,7.0,7.0,0.893,0.875,0.875,0.6,0.625,0.625,1.6,1.88,1.88,37.39333333333333,37.57708333333333,37.57708333333333,0
9,9.0,9.0,22024,201942,22400209,"NOV 10, 2024",SAC @ PHX,W,43,14,25,0.56,1,1,1.0,5,6,0.833,0,3,3,3,1,0,2,0,34,6,1,SAC,1610612758,PHX,1610612756,0,G-F,1,0,0,1,1,0,35.0,78,220,5,4,116.4,3,2,116.4,8,1,111.1,5,0,115.0,3.2,5.555555555555555,25.2,24.2,24.2,9.4,8.777777777777779,8.777777777777779,18.8,16.88888888888889,16.88888888888889,0.5,0.52,0.52,1.2,0.8888888888888888,0.8888888888888888,3.2,2.555555555555556,2.555555555555556,0.375,0.348,0.348,5.2,5.777777777777778,5.777777777777778,5.8,6.666666666666667,6.666666666666667,0.897,0.867,0.867,0.4,0.5555555555555556,0.5555555555555556,1.8,1.89,1.89,38.50333333333333,37.80185185,37.80185185,1
