,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1628401,0022400061,"OCT 22, 2024",BOS vs. NYK,W,27,8,13,0.615,6,10,0.6,2,2,1.0,0,3,3,4,1,0,0,1,24,21,1,BOS,1610612738,NYK,1610612752,1,G,1,0,0,1,0,0,30.0,76,190,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,21.0,21.0,,24.0,,,8.0,,,13.0,,,0.615,,,6.0,,,10.0,,,0.6,,,2.0,,,2.0,,,1.0,,,0.0,,,1.0,,,27.0,,0
1,22024,1628401,0022400073,"OCT 24, 2024",BOS @ WAS,W,29,6,11,0.545,4,7,0.571,3,4,0.75,1,3,4,4,1,0,1,1,19,33,1,BOS,1610612738,WAS,1610612764,0,G,1,0,0,1,0,0,30.0,76,190,1,0,132.0,1,4,132.0,0,0,0.0,0,5,0.0,27.0,21.0,24.0,24.0,24.0,8.0,8.0,8.0,13.0,13.0,13.0,0.615,0.615,0.615,6.0,6.0,6.0,10.0,10.0,10.0,0.6,0.6,0.6,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,26.633333333333333,26.633333333333333,26.633333333333333,0
2,22024,1628401,0022400089,"OCT 26, 2024",BOS @ DET,W,39,6,14,0.429,0,6,0.0,5,5,1.0,2,4,6,3,0,3,1,2,17,7,1,BOS,1610612738,DET,1610612765,0,G,1,0,0,1,0,0,30.0,76,190,2,0,127.0,2,3,127.0,0,2,114.0,0,5,105.0,20.333333333333332,27.0,21.5,21.5,21.5,7.0,7.0,7.0,12.0,12.0,12.0,0.583,0.583,0.583,5.0,5.0,5.0,8.5,8.5,8.5,0.588,0.588,0.588,2.5,2.5,2.5,3.0,3.0,3.0,0.833,0.833,0.833,0.5,0.5,0.5,1.0,1.0,1.0,27.95,27.95,27.95,0
3,22024,1628401,0022400104,"OCT 28, 2024",BOS vs. MIL,W,34,5,13,0.385,3,10,0.3,0,0,0.0,0,3,3,8,1,1,0,2,13,10,1,BOS,1610612738,MIL,1610612749,1,G,1,0,0,1,0,0,30.0,76,190,3,0,126.0,3,2,126.0,1,2,119.0,1,4,116.0,17.75,20.333333333333332,20.0,20.0,20.0,6.666666666666667,6.666666666666667,6.666666666666667,12.666666666666666,12.666666666666666,12.666666666666666,0.526,0.526,0.526,3.3333333333333335,3.3333333333333335,3.3333333333333335,7.666666666666667,7.666666666666667,7.666666666666667,0.435,0.435,0.435,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.909,0.909,0.909,1.0,1.0,1.0,0.67,0.67,0.67,31.75555555,31.75555555,31.75555555,0
4,22024,1628401,0022400119,"OCT 30, 2024",BOS @ IND,L,37,8,9,0.889,5,5,1.0,2,2,1.0,1,2,3,1,1,1,2,4,23,-7,1,BOS,1610612738,IND,1610612754,0,G,1,0,0,1,0,0,30.0,76,190,4,0,124.3,4,1,124.3,1,3,117.3,1,4,110.5,12.8,17.75,18.3,18.3,18.3,6.25,6.25,6.25,12.75,12.75,12.75,0.49,0.49,0.49,3.25,3.25,3.25,8.25,8.25,8.25,0.394,0.394,0.394,2.5,2.5,2.5,2.75,2.75,2.75,0.909,0.909,0.909,0.75,0.75,0.75,0.75,0.75,0.75,32.208333333333336,32.208333333333336,32.208333333333336,1
5,22024,1628401,0022400132,"NOV 01, 2024",BOS @ CHA,W,35,6,16,0.375,3,10,0.3,2,2,1.0,0,2,2,5,1,1,0,4,17,20,1,BOS,1610612738,CHA,1610612766,0,G,1,0,0,1,0,0,30.0,76,190,4,1,125.8,4,1,125.8,2,2,119.3,2,3,118.5,12.6,12.8,19.2,19.2,19.2,6.6,6.6,6.6,12.0,12.0,12.0,0.55,0.55,0.55,3.6,3.6,3.6,7.6,7.6,7.6,0.474,0.474,0.474,2.4,2.4,2.4,2.6,2.6,2.6,0.923,0.923,0.923,0.8,0.8,0.8,0.8,0.8,0.8,33.18666666666667,33.18666666666667,33.18666666666667,0
6,22024,1628401,0022400141,"NOV 02, 2024",BOS @ CHA,W,34,5,17,0.294,4,13,0.308,4,4,1.0,1,7,8,2,1,2,3,2,18,8,1,BOS,1610612738,CHA,1610612766,0,G,1,0,0,1,0,0,30.0,76,190,5,1,125.5,4,1,124.2,2,3,120.2,2,3,116.6,7.6,14.0,17.8,18.8,17.0,6.2,6.5,6.0,12.6,12.666666666666666,16.0,0.492,0.513,0.375,3.0,3.5,3.0,7.6,8.0,10.0,0.395,0.438,0.3,2.4,2.3333333333333335,2.0,2.6,2.5,2.0,0.923,0.933,1.0,0.8,0.6666666666666666,0.0,0.8,0.83,1.0,34.876666666666665,33.50277776666667,35.083333333333336,0
7,22024,1628401,0022400157,"NOV 04, 2024",BOS @ ATL,W,29,8,16,0.5,4,9,0.444,1,2,0.5,2,4,6,6,2,1,3,3,21,31,1,BOS,1610612738,ATL,1610612737,0,G,1,0,0,1,0,0,30.0,76,190,6,1,123.7,4,1,122.4,3,4,121.7,1,4,116.8,12.4,13.142857142857142,17.6,18.7,18.7,6.0,6.285714285714286,6.285714285714286,13.8,13.285714285714286,13.285714285714286,0.435,0.473,0.473,3.0,3.5714285714285716,3.5714285714285716,8.8,8.714285714285714,8.714285714285714,0.341,0.41,0.41,2.6,2.5714285714285716,2.5714285714285716,2.6,2.7142857142857144,2.7142857142857144,1.0,0.947,0.947,0.8,0.7142857142857143,0.7142857142857143,0.8,0.86,0.86,35.766666666666666,33.53333333333333,33.53333333333333,1
8,22024,1628401,0022400172,"NOV 06, 2024",BOS vs. GSW,L,36,8,19,0.421,7,16,0.438,3,3,1.0,1,5,6,3,2,0,1,5,26,-11,1,BOS,1610612738,GSW,1610612744,1,G,1,0,0,1,0,0,30.0,76,190,7,1,123.6,4,1,122.2,6,1,104.3,4,1,116.8,8.2,15.375,18.4,19.0,19.0,6.4,6.5,6.5,14.2,13.625,13.625,0.451,0.477,0.477,3.8,3.625,3.625,9.4,8.75,8.75,0.404,0.414,0.414,1.8,2.375,2.375,2.0,2.625,2.625,0.9,0.905,0.905,0.8,0.875,0.875,1.2,1.0,1.0,33.75666666666667,33.00625,33.00625,1
9,22024,1628401,0022400187,"NOV 08, 2024",BOS vs. BKN,W,43,5,11,0.455,1,6,0.167,3,4,0.75,1,2,3,6,0,3,3,3,14,-3,1,BOS,1610612738,BKN,1610612751,1,G,1,0,0,1,0,0,30.0,76,190,7,2,122.3,3,2,120.8,4,4,113.8,3,2,115.2,9.0,12.444444444444445,21.0,19.8,19.8,7.0,6.666666666666667,6.666666666666667,15.4,14.222222222222221,14.222222222222221,0.455,0.469,0.469,4.6,4.0,4.0,10.6,9.555555555555555,9.555555555555555,0.434,0.419,0.419,2.4,2.4444444444444446,2.4444444444444446,2.6,2.6666666666666665,2.6666666666666665,0.923,0.917,0.917,1.0,0.8888888888888888,0.8888888888888888,1.4,1.11,1.11,34.303333333333335,33.372222216666664,33.372222216666664,0
