,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1630217,0022400070,"OCT 23, 2024",MEM @ UTA,W,27,8,20,0.4,4,10,0.4,4,4,1.0,0,4,4,4,1,1,1,4,24,-8,1,MEM,1610612763,UTA,1610612762,0,G,1,0,0,1,0,0,26.0,77,215,1,0,126.0,1,4,126.0,0,1,126.0,0,5,124.0,-8.0,-8.0,27.1,27.1,24.0,24.0,8.0,8.0,20.0,20.0,0.4,0.4,4.0,4.0,10.0,10.0,0.4,0.4,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0
1,22024,1630217,0022400082,"OCT 25, 2024",MEM @ HOU,L,29,8,16,0.5,0,4,0.0,1,2,0.5,1,2,3,4,2,2,2,3,17,-12,1,MEM,1610612763,HOU,1610612745,0,G,1,0,0,1,0,0,26.0,77,215,1,1,117.0,1,4,117.0,1,1,109.0,1,4,116.5,-10.0,-8.0,28.141666666666666,28.141666666666666,20.5,20.5,8.0,8.0,18.0,18.0,0.444,0.444,2.0,2.0,7.0,7.0,0.286,0.286,2.5,2.5,3.0,3.0,0.833,0.833,0.5,0.5,1.5,1.5,0
2,22024,1630217,0022400092,"OCT 26, 2024",MEM vs. ORL,W,28,5,10,0.5,2,6,0.333,1,1,1.0,1,6,7,2,2,0,3,4,13,7,1,MEM,1610612763,ORL,1610612753,1,G,1,0,0,1,0,0,26.0,77,215,2,1,119.3,2,3,119.3,2,1,107.3,2,3,114.3,-4.333333333333333,-10.0,28.1111111,28.1111111,18.0,18.0,7.0,7.0,15.333333333333334,15.333333333333334,0.457,0.457,2.0,2.0,6.666666666666667,6.666666666666667,0.3,0.3,2.0,2.0,2.3333333333333335,2.3333333333333335,0.857,0.857,0.6666666666666666,0.6666666666666666,1.67,1.67,0
3,22024,1630217,0022400108,"OCT 28, 2024",MEM vs. CHI,L,31,11,19,0.579,6,10,0.6,2,2,1.0,2,5,7,4,0,0,1,3,30,2,1,MEM,1610612763,CHI,1610612741,1,G,1,0,0,1,0,0,26.0,77,215,2,2,120.3,2,3,120.3,2,2,120.5,2,3,116.3,-2.75,-4.333333333333333,28.941666666666666,28.941666666666666,21.0,21.0,8.0,8.0,16.25,16.25,0.492,0.492,3.0,3.0,7.5,7.5,0.4,0.4,2.0,2.0,2.25,2.25,0.889,0.889,1.0,1.0,1.25,1.25,1
4,22024,1630217,0022400124,"OCT 30, 2024",MEM vs. BKN,L,17,3,7,0.429,1,2,0.5,3,3,1.0,1,5,6,0,0,0,2,1,10,-10,1,MEM,1610612763,BKN,1610612751,1,G,1,0,0,1,0,0,26.0,77,215,2,3,117.4,2,3,117.4,2,3,117.6,2,3,118.0,-4.2,-2.75,26.496666666666666,26.496666666666666,18.8,18.8,7.0,7.0,14.4,14.4,0.486,0.486,2.6,2.6,6.4,6.4,0.406,0.406,2.2,2.2,2.4,2.4,0.917,0.917,1.0,1.0,1.0,1.0,0
5,22024,1630217,0022400019,"NOV 15, 2024",MEM @ GSW,L,27,7,13,0.538,1,4,0.25,3,4,0.75,1,5,6,2,2,0,3,1,18,12,1,MEM,1610612763,GSW,1610612744,0,G,1,0,0,1,0,0,26.0,77,215,7,6,120.8,3,2,126.8,10,2,110.8,4,1,121.0,-0.2,-4.2,27.016666666666666,26.583333333333332,18.0,18.7,7.0,7.0,13.0,14.166666666666666,0.538,0.494,1.0,2.3333333333333335,4.0,6.0,0.25,0.389,3.0,2.3333333333333335,4.0,2.6666666666666665,0.75,0.875,1.0,1.0,2.0,1.17,0
6,22024,1630217,0022400238,"NOV 17, 2024",MEM vs. DEN,W,29,5,12,0.417,1,7,0.143,0,0,0.0,1,10,11,7,0,1,2,1,11,14,1,MEM,1610612763,DEN,1610612743,1,G,1,0,0,1,0,0,26.0,77,215,8,6,119.7,3,2,121.6,7,5,115.5,3,2,113.0,5.0,-1.5,27.766666666666666,26.8595238,14.5,17.6,6.0,6.714285714285714,12.5,13.857142857142858,0.48,0.485,1.0,2.142857142857143,5.5,6.142857142857143,0.182,0.349,1.5,2.0,2.0,2.2857142857142856,0.75,0.875,1.0,1.0,1.0,1.0,0
7,22024,1630217,0022400023,"NOV 19, 2024",MEM vs. DEN,L,29,1,10,0.1,0,5,0.0,3,5,0.6,0,5,5,5,1,0,2,5,5,-24,1,MEM,1610612763,DEN,1610612743,1,G,1,0,0,1,0,0,26.0,77,215,8,7,119.1,2,3,118.0,8,5,115.1,3,2,112.6,-1.2,0.7142857142857143,28.3111111,27.177083333333332,11.3,16.0,4.333333333333333,6.0,11.666666666666666,13.375,0.371,0.449,0.6666666666666666,1.875,5.333333333333333,6.0,0.125,0.313,2.0,2.125,3.0,2.625,0.667,0.81,0.6666666666666666,0.875,1.0,1.0,0
8,22024,1630217,0022400255,"NOV 20, 2024",MEM vs. PHI,W,35,8,18,0.444,5,11,0.455,0,0,0.0,1,9,10,6,1,1,4,2,21,14,1,MEM,1610612763,PHI,1610612755,1,G,1,0,0,1,0,0,26.0,77,215,9,7,118.9,2,3,114.6,2,12,112.6,0,5,98.2,1.2,-2.375,29.979166666666668,28.044444433333332,13.8,16.6,5.25,6.222222222222222,13.25,13.88888888888889,0.396,0.448,1.75,2.2222222222222223,6.75,6.555555555555555,0.259,0.339,1.5,1.8888888888888888,2.25,2.3333333333333335,0.667,0.81,0.75,0.8888888888888888,1.0,1.0,1
9,22024,1630217,0022400266,"NOV 23, 2024",MEM @ CHI,W,30,4,14,0.286,1,5,0.2,4,6,0.667,2,5,7,2,0,1,2,1,13,5,1,MEM,1610612763,CHI,1610612741,0,G,1,0,0,1,0,0,26.0,77,215,10,7,120.3,3,2,118.4,7,11,123.9,2,3,120.4,4.2,-0.5555555555555556,29.993333333333332,28.245,13.6,16.2,5.0,6.0,13.4,13.9,0.373,0.432,1.6,2.1,6.4,6.4,0.25,0.328,2.0,2.1,3.0,2.7,0.667,0.778,1.0,1.0,0.8,0.9,0
10,22024,1630217,0022400282,"NOV 25, 2024",MEM vs. POR,W,24,2,8,0.25,1,4,0.25,3,4,0.75,0,7,7,2,0,1,2,3,8,9,1,MEM,1610612763,POR,1610612757,1,G,1,0,0,1,0,0,26.0,77,215,11,7,120.4,4,1,119.4,7,11,113.6,2,3,100.6,3.6,0.0,29.386666666666667,27.85757575,11.6,15.5,4.0,5.636363636363637,12.4,13.363636363636363,0.323,0.422,1.6,2.0,6.4,6.181818181818182,0.25,0.324,2.0,2.1818181818181817,3.0,2.8181818181818183,0.667,0.774,0.8,0.9090909090909091,0.4,0.82,0
11,22024,1630217,0022400293,"NOV 27, 2024",MEM vs. DET,W,22,1,6,0.167,0,3,0.0,0,0,0.0,1,6,7,7,1,0,5,1,2,6,1,MEM,1610612763,DET,1610612765,1,G,1,0,0,1,0,0,26.0,77,215,12,7,121.0,4,1,124.6,8,12,112.0,1,4,109.2,2.0,0.8181818181818182,28.156666666666666,27.4,9.8,14.3,3.2,5.25,11.2,12.75,0.286,0.412,1.4,1.8333333333333333,5.6,5.916666666666667,0.25,0.31,2.0,2.0,3.0,2.5833333333333335,0.667,0.774,0.8,0.9166666666666666,0.6,0.83,0
12,22024,1630217,0022400042,"NOV 29, 2024",MEM vs. NOP,W,26,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,4,1,0,1,4,7,11,1,MEM,1610612763,NOP,1610612740,1,G,1,0,0,1,0,0,26.0,77,215,13,7,121.0,5,0,126.6,4,16,115.6,0,5,104.0,9.0,1.25,27.403333333333332,27.26410255,10.2,13.8,3.6,5.076923076923077,10.8,12.384615384615385,0.333,0.41,1.6,1.7692307692307692,5.2,5.6923076923076925,0.308,0.311,1.4,1.8461538461538463,2.0,2.3846153846153846,0.7,0.774,0.8,0.8461538461538461,0.6,0.85,0
13,22024,1630217,0022400306,"DEC 01, 2024",MEM vs. IND,W,30,7,15,0.467,2,8,0.25,0,0,0.0,0,6,6,6,1,0,1,4,16,18,1,MEM,1610612763,IND,1610612754,1,G,1,0,0,1,0,0,26.0,77,215,14,7,121.7,5,0,130.4,9,12,119.0,3,2,115.4,9.8,2.0,26.41,27.460714283333335,9.2,13.9,3.4,5.214285714285714,10.2,12.571428571428571,0.333,0.415,1.0,1.7857142857142858,4.6,5.857142857142857,0.217,0.305,1.4,1.7142857142857142,2.0,2.2142857142857144,0.7,0.774,0.6,0.7857142857142857,0.6,0.86,1
14,22024,1630217,0022400056,"DEC 03, 2024",MEM @ DAL,L,31,8,14,0.571,2,5,0.4,1,1,1.0,1,2,3,3,1,1,2,5,19,-1,1,MEM,1610612763,DAL,1610612742,0,G,1,0,0,1,0,0,26.0,77,215,14,8,121.4,4,1,125.2,14,8,111.6,5,0,124.4,8.6,3.142857142857143,26.65,27.713333333333335,10.4,14.3,4.2,5.4,10.2,12.666666666666666,0.412,0.426,1.2,1.8,4.6,5.8,0.261,0.31,0.8,1.6666666666666667,1.0,2.1333333333333333,0.8,0.781,0.4,0.8,0.8,0.87,1
15,22024,1630217,0022400329,"DEC 05, 2024",MEM vs. SAC,W,32,6,10,0.6,2,4,0.5,4,4,1.0,2,6,8,7,1,0,3,2,18,15,1,MEM,1610612763,SAC,1610612758,1,G,1,0,0,1,0,0,26.0,77,215,15,8,121.1,4,1,123.6,10,13,113.9,2,3,115.2,9.8,2.8666666666666667,28.336666666666666,28.007291666666667,12.4,14.5,5.0,5.4375,10.6,12.5,0.472,0.435,1.4,1.8125,4.6,5.6875,0.304,0.319,1.0,1.8125,1.0,2.25,1.0,0.806,0.8,0.875,1.0,0.88,1
16,22024,1630217,0022400345,"DEC 07, 2024",MEM @ BOS,W,33,5,12,0.417,2,5,0.4,2,2,1.0,0,2,2,4,3,0,4,2,14,17,1,MEM,1610612763,BOS,1610612738,0,G,1,0,0,1,0,0,26.0,77,215,16,8,121.4,4,1,122.8,19,5,110.7,3,2,116.2,12.0,3.625,30.413333333333334,28.2862745,14.8,14.5,5.8,5.411764705882353,11.8,12.470588235294118,0.492,0.434,1.8,1.8235294117647058,5.0,5.647058823529412,0.36,0.323,1.4,1.8235294117647058,1.4,2.235294117647059,1.0,0.816,0.6,0.8235294117647058,1.4,1.0,0
17,22024,1630217,0022401211,"DEC 13, 2024",MEM vs. BKN,W,28,8,14,0.571,2,6,0.333,3,3,1.0,1,3,4,8,1,2,0,1,21,20,1,MEM,1610612763,BKN,1610612751,1,G,1,0,0,1,0,0,26.0,77,215,18,8,122.6,4,1,126.6,10,15,114.7,1,4,105.0,13.8,4.411764705882353,31.141666666666666,28.2787037,18.0,14.8,6.75,5.555555555555555,12.5,12.555555555555555,0.54,0.442,2.0,1.8333333333333333,5.0,5.666666666666667,0.4,0.324,2.5,1.8888888888888888,2.5,2.2777777777777777,1.0,0.829,1.0,0.8333333333333334,1.5,1.0,1
18,22024,1630217,0022401220,"DEC 15, 2024",MEM @ LAL,L,28,3,8,0.375,0,2,0.0,1,1,1.0,2,5,7,7,0,0,1,4,7,-12,1,MEM,1610612763,LAL,1610612747,0,G,1,0,0,1,0,0,26.0,77,215,18,9,122.1,4,1,125.4,14,12,114.8,2,3,107.0,7.8,5.277777777777778,30.354166666666668,28.269298233333334,15.0,14.4,5.5,5.421052631578948,11.0,12.31578947368421,0.5,0.44,1.5,1.736842105263158,4.25,5.473684210526316,0.353,0.317,2.5,1.8421052631578947,2.5,2.210526315789474,1.0,0.833,1.25,0.8947368421052632,1.25,0.95,0
19,22024,1630217,0022400366,"DEC 19, 2024",MEM vs. GSW,W,24,6,9,0.667,3,5,0.6,0,0,0.0,0,4,4,7,1,0,3,1,15,36,1,MEM,1610612763,GSW,1610612744,1,G,1,0,0,1,0,0,26.0,77,215,19,9,122.9,4,1,131.2,14,12,111.1,1,4,104.0,15.2,4.368421052631579,28.3125,28.06833333333333,14.3,14.5,5.5,5.45,10.75,12.15,0.512,0.449,1.75,1.8,4.5,5.45,0.389,0.33,1.5,1.75,1.5,2.1,1.0,0.833,0.75,0.85,1.25,0.95,1
20,22024,1630217,0022400378,"DEC 21, 2024",MEM @ ATL,W,27,7,12,0.583,4,8,0.5,5,5,1.0,0,5,5,8,4,0,2,3,23,20,1,MEM,1610612763,ATL,1610612737,0,G,1,0,0,1,0,0,26.0,77,215,20,9,123.1,4,1,131.4,14,15,119.6,1,4,111.8,16.2,5.95,26.8625,28.01507935,16.5,14.9,6.0,5.523809523809524,10.75,12.142857142857142,0.558,0.455,2.25,1.9047619047619047,5.25,5.571428571428571,0.429,0.342,2.25,1.9047619047619047,2.25,2.238095238095238,1.0,0.851,0.75,0.8095238095238095,1.5,1.1,1
21,22024,1630217,0022400399,"DEC 23, 2024",MEM vs. LAC,L,32,7,15,0.467,3,7,0.429,4,5,0.8,3,6,9,7,2,0,4,3,21,0,1,MEM,1610612763,LAC,1610612746,1,G,1,0,0,1,0,0,26.0,77,215,20,10,122.7,3,2,125.4,17,13,107.6,3,2,114.2,12.8,6.619047619047619,27.863333333333333,28.1901515,17.4,15.1,6.2,5.590909090909091,11.6,12.272727272727273,0.534,0.456,2.4,1.9545454545454546,5.6,5.636363636363637,0.429,0.347,2.6,2.0,2.8,2.3636363636363638,0.929,0.846,1.2,0.9090909090909091,1.6,1.14,1
22,22024,1630217,0022400414,"DEC 26, 2024",MEM vs. TOR,W,23,8,13,0.615,3,6,0.5,0,0,0.0,0,5,5,2,0,1,2,3,19,22,1,MEM,1610612763,TOR,1610612761,1,G,1,0,0,1,0,0,26.0,77,215,21,10,123.7,3,2,129.4,7,24,118.5,0,5,115.2,13.2,6.318181818181818,26.903333333333332,27.979710133333334,17.0,15.3,6.2,5.695652173913044,11.4,12.304347826086957,0.544,0.463,2.6,2.0,5.6,5.6521739130434785,0.464,0.354,2.0,1.9130434782608696,2.2,2.260869565217391,0.909,0.846,1.0,0.8695652173913043,1.4,1.09,1
