,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,22024,1627734,22400076,"OCT 24, 2024",SAC vs. MIN,L,38,8,13,0.615,3,4,0.75,5,8,0.625,1,7,8,1,2,1,4,4,24,-2,1,SAC,1610612758,MIN,1610612750,1,F-C,0,1,0,0,1,1,28.0,82,240,0,0,0.0,0,5,0.0,0,1,110.0,0,5,103.0,-2.0,-2.0,,24.0,,,8.0,,,13.0,,,0.615,,,3.0,,,4.0,,,0.75,,,5.0,,,8.0,,,0.625,,,1.0,,,2.0,,,38.0,,0
1,1.0,1.0,1.0,22024,1627734,22400096,"OCT 26, 2024",SAC @ LAL,L,37,10,14,0.714,1,3,0.333,8,9,0.889,3,9,12,10,1,1,2,3,29,11,1,SAC,1610612758,LAL,1610612747,0,F-C,0,1,0,0,1,1,28.0,82,240,0,1,115.0,0,5,115.0,2,0,109.5,2,3,116.5,4.5,-2.0,24.0,24.0,24.0,8.0,8.0,8.0,13.0,13.0,13.0,0.615,0.615,0.615,3.0,3.0,3.0,4.0,4.0,4.0,0.75,0.75,0.75,5.0,5.0,5.0,8.0,8.0,8.0,0.625,0.625,0.625,1.0,1.0,1.0,2.0,2.0,2.0,38.16666666666666,38.16666666666666,38.16666666666666,1
2,2.0,2.0,2.0,22024,1627734,22400112,"OCT 28, 2024",SAC vs. POR,W,36,5,8,0.625,1,2,0.5,5,6,0.833,2,11,13,7,0,0,3,4,16,10,1,SAC,1610612758,POR,1610612757,1,F-C,0,1,0,0,1,1,28.0,82,240,0,2,121.0,0,5,121.0,1,2,116.0,1,4,110.7,6.333333333333333,4.5,26.5,26.5,26.5,9.0,9.0,9.0,13.5,13.5,13.5,0.667,0.667,0.667,2.0,2.0,2.0,3.5,3.5,3.5,0.571,0.571,0.571,6.5,6.5,6.5,8.5,8.5,8.5,0.765,0.765,0.765,2.0,2.0,2.0,1.5,1.5,1.5,37.458333333333336,37.458333333333336,37.458333333333336,0
3,3.0,3.0,3.0,22024,1627734,22400115,"OCT 29, 2024",SAC @ UTA,W,34,13,18,0.722,1,2,0.5,1,2,0.5,3,8,11,4,0,0,3,3,28,23,1,SAC,1610612758,UTA,1610612762,0,F-C,0,1,0,0,1,1,28.0,82,240,1,2,117.7,1,4,117.7,0,3,121.0,0,5,104.0,10.5,6.333333333333333,23.0,23.0,23.0,7.666666666666667,7.666666666666667,7.666666666666667,11.666666666666666,11.666666666666666,11.666666666666666,0.657,0.657,0.657,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.0,3.0,3.0,0.556,0.556,0.556,6.0,6.0,6.0,7.666666666666667,7.666666666666667,7.666666666666667,0.783,0.783,0.783,2.0,2.0,2.0,1.0,1.0,1.0,36.927777766666665,36.927777766666665,36.927777766666665,1
4,4.0,4.0,4.0,22024,1627734,22400135,"NOV 01, 2024",SAC @ ATL,W,33,5,11,0.455,0,0,0.0,5,5,1.0,3,11,14,6,0,0,3,6,15,5,1,SAC,1610612758,ATL,1610612737,0,F-C,0,1,0,0,1,1,28.0,82,240,2,2,116.5,2,3,116.5,2,3,123.6,2,3,117.6,9.4,10.5,24.3,24.3,24.3,9.0,9.0,9.0,13.25,13.25,13.25,0.679,0.679,0.679,1.5,1.5,1.5,2.75,2.75,2.75,0.545,0.545,0.545,4.75,4.75,4.75,6.25,6.25,6.25,0.76,0.76,0.76,2.25,2.25,2.25,0.75,0.75,0.75,36.19583333333333,36.19583333333333,36.19583333333333,0
5,5.0,5.0,5.0,22024,1627734,22400143,"NOV 02, 2024",SAC @ TOR,L,43,5,10,0.5,0,1,0.0,7,8,0.875,7,13,20,10,1,0,3,5,17,2,1,SAC,1610612758,TOR,1610612761,0,F-C,0,1,0,0,1,1,28.0,82,240,3,2,117.8,3,2,117.8,1,5,125.2,1,4,119.8,10.2,9.4,22.4,22.4,22.4,8.2,8.2,8.2,12.8,12.8,12.8,0.641,0.641,0.641,1.2,1.2,1.2,2.2,2.2,2.2,0.545,0.545,0.545,4.8,4.8,4.8,6.0,6.0,6.0,0.8,0.8,0.8,2.4,2.4,2.4,0.6,0.6,0.6,35.593333333333334,35.593333333333334,35.593333333333334,0
6,6.0,6.0,6.0,22024,1627734,22400159,"NOV 04, 2024",SAC @ MIA,W,38,6,12,0.5,2,4,0.5,2,2,1.0,3,13,16,7,0,0,3,4,16,8,1,SAC,1610612758,MIA,1610612748,0,F-C,0,1,0,0,1,1,28.0,82,240,3,3,119.5,3,2,120.4,3,2,106.8,3,2,108.4,9.6,8.166666666666666,21.0,21.5,21.5,7.6,7.666666666666667,7.666666666666667,12.2,12.333333333333334,12.333333333333334,0.623,0.622,0.622,0.6,1.0,1.0,1.6,2.0,2.0,0.375,0.5,0.5,5.2,5.166666666666667,5.166666666666667,6.0,6.333333333333333,6.333333333333333,0.867,0.816,0.816,3.6,3.1666666666666665,3.1666666666666665,0.4,0.67,0.67,36.52333333333333,36.79722221666667,36.79722221666667,0
7,7.0,7.0,7.0,22024,1627734,22400180,"NOV 06, 2024",SAC vs. TOR,W,34,6,6,1.0,0,0,0.0,5,5,1.0,4,7,11,13,1,0,0,0,17,16,1,SAC,1610612758,TOR,1610612761,1,F-C,0,1,0,0,1,1,28.0,82,240,4,3,118.3,4,1,117.2,2,6,125.0,1,4,126.6,10.8,8.142857142857142,18.4,20.7,17.0,6.8,7.428571428571429,5.0,11.8,12.285714285714286,10.0,0.576,0.605,0.5,0.8,1.1428571428571428,0.0,1.8,2.2857142857142856,1.0,0.444,0.5,0.0,4.0,4.714285714285714,7.0,4.6,5.714285714285714,8.0,0.87,0.825,0.875,3.6,3.142857142857143,7.0,0.2,0.57,1.0,36.75666666666667,36.95714285,42.81666666666667,0
8,8.0,8.0,8.0,22024,1627734,22400196,"NOV 08, 2024",SAC vs. LAC,L,38,9,12,0.75,0,2,0.0,5,6,0.833,0,12,12,6,1,0,2,4,23,4,1,SAC,1610612758,LAC,1610612746,1,F-C,0,1,0,0,1,1,28.0,82,240,5,3,118.8,4,1,119.4,4,4,107.8,2,3,107.8,7.0,9.125,18.6,20.3,20.3,7.0,7.25,7.25,11.4,11.5,11.5,0.614,0.63,0.63,0.6,1.0,1.0,1.4,2.0,2.0,0.429,0.5,0.5,4.0,4.75,4.75,4.4,5.625,5.625,0.909,0.844,0.844,4.0,3.25,3.25,0.4,0.63,0.63,36.3,36.53541666666667,36.53541666666667,1
9,9.0,9.0,9.0,22024,1627734,22400209,"NOV 10, 2024",SAC @ PHX,W,39,9,14,0.643,0,3,0.0,2,3,0.667,4,8,12,5,0,0,6,6,20,11,1,SAC,1610612758,PHX,1610612756,0,F-C,0,1,0,0,1,1,28.0,82,240,5,4,116.4,3,2,116.4,8,1,111.1,5,0,115.0,8.2,8.555555555555555,17.6,20.6,20.6,6.2,7.444444444444445,7.444444444444445,10.2,11.555555555555555,11.555555555555555,0.608,0.644,0.644,0.4,0.8888888888888888,0.8888888888888888,1.4,2.0,2.0,0.286,0.444,0.444,4.8,4.777777777777778,4.777777777777778,5.2,5.666666666666667,5.666666666666667,0.923,0.843,0.843,3.4,2.888888888888889,2.888888888888889,0.6,0.67,0.67,37.01,36.648148133333336,36.648148133333336,0
