,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,22024,1629630,22400070,"OCT 23, 2024",MEM @ UTA,W,28,7,12,0.583,0,2,0.0,8,9,0.889,0,5,5,10,1,0,3,4,22,-3,1,MEM,1610612763,UTA,1610612762,0,G,1,0,0,1,0,0,25.0,74,174,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-3.0,-3.0,,22.0,,,7.0,,,12.0,,,0.583,,,0.0,,,2.0,,,0.0,,,8.0,,,9.0,,,0.889,,,0.0,,,1.0,,,28.0,,0
1,1.0,1.0,1.0,1.0,1.0,22024,1629630,22400082,"OCT 25, 2024",MEM @ HOU,L,24,8,17,0.471,2,4,0.5,6,9,0.667,0,0,0,2,0,0,6,1,24,-9,1,MEM,1610612763,HOU,1610612745,0,G,1,0,0,1,0,0,25.0,74,174,1,0,126.0,1,4,126.0,0,1,110.0,0,5,105.0,-6.0,-3.0,22.0,22.0,22.0,7.0,7.0,7.0,12.0,12.0,12.0,0.583,0.583,0.583,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,8.0,9.0,9.0,9.0,0.889,0.889,0.889,0.0,0.0,0.0,1.0,1.0,1.0,27.933333333333334,27.933333333333334,27.933333333333334,1
2,2.0,2.0,2.0,2.0,2.0,22024,1629630,22400092,"OCT 26, 2024",MEM vs. ORL,W,25,4,12,0.333,0,6,0.0,8,8,1.0,0,2,2,10,0,1,3,3,16,18,1,MEM,1610612763,ORL,1610612753,1,G,1,0,0,1,0,0,25.0,74,174,1,1,117.0,1,4,117.0,2,0,99.0,2,3,116.0,2.0,-6.0,23.0,23.0,23.0,7.5,7.5,7.5,14.5,14.5,14.5,0.517,0.517,0.517,1.0,1.0,1.0,3.0,3.0,3.0,0.333,0.333,0.333,7.0,7.0,7.0,9.0,9.0,9.0,0.778,0.778,0.778,0.0,0.0,0.0,0.5,0.5,0.5,25.866666666666667,25.866666666666667,25.866666666666667,0
3,3.0,3.0,3.0,3.0,3.0,22024,1629630,22400124,"OCT 30, 2024",MEM vs. BKN,L,29,5,16,0.313,1,6,0.167,3,4,0.75,2,6,8,11,0,0,5,3,14,4,1,MEM,1610612763,BKN,1610612751,1,G,1,0,0,1,0,0,25.0,74,174,2,2,120.3,2,3,120.3,1,3,120.5,1,4,117.8,2.5,2.0,20.7,20.7,20.7,6.333333333333333,6.333333333333333,6.333333333333333,13.666666666666666,13.666666666666666,13.666666666666666,0.463,0.463,0.463,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,4.0,4.0,0.167,0.167,0.167,7.333333333333333,7.333333333333333,7.333333333333333,8.666666666666666,8.666666666666666,8.666666666666666,0.846,0.846,0.846,0.0,0.0,0.0,0.33,0.33,0.33,25.49444443333333,25.49444443333333,25.49444443333333,0
4,4.0,4.0,4.0,4.0,4.0,22024,1629630,22400128,"OCT 31, 2024",MEM vs. MIL,W,29,9,16,0.563,2,5,0.4,6,7,0.857,1,9,10,14,1,0,3,0,26,29,1,MEM,1610612763,MIL,1610612749,1,G,1,0,0,1,0,0,25.0,74,174,2,3,117.4,2,3,117.4,1,3,119.0,1,4,114.0,7.8,2.5,19.0,19.0,19.0,6.0,6.0,6.0,14.25,14.25,14.25,0.421,0.421,0.421,0.75,0.75,0.75,4.5,4.5,4.5,0.167,0.167,0.167,6.25,6.25,6.25,7.5,7.5,7.5,0.833,0.833,0.833,0.5,0.5,0.5,0.25,0.25,0.25,26.404166666666665,26.404166666666665,26.404166666666665,1
5,5.0,5.0,5.0,5.0,5.0,22024,1629630,22400142,"NOV 02, 2024",MEM @ PHI,W,31,6,13,0.462,0,2,0.0,6,8,0.75,0,6,6,12,2,0,6,1,18,21,1,MEM,1610612763,PHI,1610612755,0,G,1,0,0,1,0,0,25.0,74,174,3,3,118.2,2,3,116.6,1,3,114.5,1,4,107.3,12.6,7.8,20.0,20.4,20.4,6.5,6.6,6.6,15.25,14.6,14.6,0.426,0.452,0.452,1.25,1.0,1.0,5.25,4.6,4.6,0.238,0.217,0.217,5.75,6.2,6.2,7.0,7.4,7.4,0.821,0.838,0.838,0.75,0.6,0.6,0.25,0.4,0.4,26.65,26.906666666666663,26.906666666666663,0
6,6.0,6.0,6.0,6.0,6.0,22024,1629630,22400158,"NOV 04, 2024",MEM @ BKN,L,33,10,22,0.455,1,3,0.333,4,4,1.0,1,4,5,9,0,0,3,0,25,2,1,MEM,1610612763,BKN,1610612751,0,G,1,0,0,1,0,0,25.0,74,174,4,3,119.0,3,2,119.8,3,4,115.1,3,2,117.0,14.8,10.0,18.5,20.0,14.0,6.0,6.5,5.0,14.25,14.333333333333334,16.0,0.421,0.453,0.313,0.75,0.8333333333333334,1.0,4.75,4.166666666666667,6.0,0.158,0.2,0.167,5.75,6.166666666666667,3.0,6.75,7.5,4.0,0.852,0.822,0.75,0.75,0.5,2.0,0.75,0.67,0.0,28.554166666666667,27.65833333333333,29.133333333333333,1
7,7.0,7.0,7.0,7.0,7.0,22024,1629630,22400174,"NOV 06, 2024",MEM vs. LAL,W,24,7,17,0.412,2,3,0.667,4,5,0.8,0,4,4,5,1,1,5,2,20,8,1,MEM,1610612763,LAL,1610612747,1,G,1,0,0,1,0,0,25.0,74,174,4,4,117.1,2,3,115.8,4,3,118.4,2,3,116.0,12.8,8.857142857142858,20.8,20.7,20.7,7.5,7.0,7.0,16.75,15.428571428571429,15.428571428571429,0.448,0.454,0.454,1.0,0.8571428571428571,0.8571428571428571,4.0,4.0,4.0,0.25,0.214,0.214,4.75,5.857142857142857,5.857142857142857,5.75,7.0,7.0,0.826,0.837,0.837,1.0,0.5714285714285714,0.5714285714285714,0.75,0.57,0.57,30.508333333333333,28.3595238,28.3595238,0
8,8.0,8.0,8.0,8.0,8.0,22024,1629630,22400282,"NOV 25, 2024",MEM vs. POR,W,23,6,12,0.5,2,3,0.667,8,10,0.8,1,1,2,11,0,1,2,1,22,22,1,MEM,1610612763,POR,1610612757,1,G,1,0,0,1,0,0,25.0,74,174,10,7,120.3,3,2,118.4,7,10,113.1,3,2,102.2,16.4,8.75,20.6,20.6,20.6,7.0,7.0,7.0,15.625,15.625,15.625,0.448,0.448,0.448,1.0,1.0,1.0,3.875,3.875,3.875,0.258,0.258,0.258,5.625,5.625,5.625,6.75,6.75,6.75,0.833,0.833,0.833,0.5,0.5,0.5,0.63,0.63,0.63,27.83333333333333,27.83333333333333,27.83333333333333,1
9,9.0,9.0,9.0,9.0,9.0,22024,1629630,22400042,"NOV 29, 2024",MEM vs. NOP,W,29,10,18,0.556,0,4,0.0,7,7,1.0,0,3,3,7,3,0,5,1,27,7,1,MEM,1610612763,NOP,1610612740,1,G,1,0,0,1,0,0,25.0,74,174,12,7,121.0,4,1,124.6,4,15,115.3,0,5,100.4,12.0,10.22222222222222,22.0,20.8,20.8,6.0,6.888888888888889,6.888888888888889,12.0,15.22222222222222,15.22222222222222,0.5,0.453,0.453,2.0,1.1111111111111112,1.1111111111111112,3.0,3.7777777777777777,3.7777777777777777,0.667,0.294,0.294,8.0,5.888888888888889,5.888888888888889,10.0,7.111111111111111,7.111111111111111,0.8,0.828,0.828,1.0,0.5555555555555556,0.5555555555555556,0.0,0.56,0.56,23.05,27.30185185,27.30185185,1
