,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,22024,1630224,22400068,"OCT 23, 2024",HOU vs. CHA,L,35,9,23,0.391,5,15,0.333,5,5,1.0,0,2,2,0,0,0,0,0,28,-11,1,HOU,1610612745,CHA,1610612766,1,G,1,0,0,1,0,0,22.0,76,186,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-11.0,-11.0,,28.0,,,9.0,,,23.0,,,0.391,,,5.0,,,15.0,,,0.333,,,5.0,,,5.0,,,1.0,,,0.0,,,0.0,,,35.0,,0
1,1.0,1.0,22024,1630224,22400082,"OCT 25, 2024",HOU vs. MEM,W,32,8,21,0.381,4,8,0.5,2,6,0.333,2,4,6,4,3,1,2,3,22,19,1,HOU,1610612745,MEM,1610612763,1,G,1,0,0,1,0,0,22.0,76,186,0,1,105.0,0,5,105.0,1,0,124.0,1,4,126.0,4.0,-11.0,28.0,28.0,28.0,9.0,9.0,9.0,23.0,23.0,23.0,0.391,0.391,0.391,5.0,5.0,5.0,15.0,15.0,15.0,0.333,0.333,0.333,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.45,35.45,35.45,0
2,2.0,2.0,22024,1630224,22400094,"OCT 26, 2024",HOU @ SAS,L,33,10,22,0.455,3,10,0.3,6,6,1.0,1,5,6,5,0,0,2,3,29,3,1,HOU,1610612745,SAS,1610612759,0,G,1,0,0,1,0,0,22.0,76,186,1,1,116.5,1,4,116.5,0,1,120.0,0,5,109.0,3.6666666666666665,4.0,25.0,25.0,25.0,8.5,8.5,8.5,22.0,22.0,22.0,0.386,0.386,0.386,4.5,4.5,4.5,11.5,11.5,11.5,0.391,0.391,0.391,3.5,3.5,3.5,5.5,5.5,5.5,0.636,0.636,0.636,1.0,1.0,1.0,1.5,1.5,1.5,33.6,33.6,33.6,1
3,3.0,3.0,22024,1630224,22400109,"OCT 28, 2024",HOU @ SAS,W,38,11,22,0.5,7,13,0.538,7,7,1.0,0,1,1,2,0,0,4,0,36,8,1,HOU,1610612745,SAS,1610612759,0,G,1,0,0,1,0,0,22.0,76,186,1,2,113.0,1,4,113.0,1,1,113.0,1,4,109.0,4.75,3.6666666666666665,26.3,26.3,29.0,9.0,9.0,10.0,22.0,22.0,22.0,0.409,0.409,0.455,4.0,4.0,3.0,11.0,11.0,10.0,0.364,0.364,0.3,4.333333333333333,4.333333333333333,6.0,5.666666666666667,5.666666666666667,6.0,0.765,0.765,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33.42222221666667,33.42222221666667,33.06666666666667,1
4,4.0,4.0,22024,1630224,22400129,"OCT 31, 2024",HOU @ DAL,W,36,9,21,0.429,3,8,0.375,2,3,0.667,0,12,12,4,1,1,5,4,23,12,1,HOU,1610612745,DAL,1610612742,0,G,1,0,0,1,0,0,22.0,76,186,2,2,111.3,2,3,111.3,3,1,109.8,3,2,113.0,6.2,4.75,28.8,28.8,28.8,9.5,9.5,9.5,22.0,22.0,22.0,0.432,0.432,0.432,4.75,4.75,4.75,11.5,11.5,11.5,0.413,0.413,0.413,5.0,5.0,5.0,6.0,6.0,6.0,0.833,0.833,0.833,0.75,0.75,0.75,0.75,0.75,0.75,34.454166666666666,34.454166666666666,34.454166666666666,0
5,5.0,5.0,22024,1630224,22400144,"NOV 02, 2024",HOU vs. GSW,L,34,2,13,0.154,1,5,0.2,2,2,1.0,0,1,1,3,1,1,1,4,7,-20,1,HOU,1610612745,GSW,1610612744,1,G,1,0,0,1,0,0,22.0,76,186,3,2,110.6,3,2,110.6,4,1,99.4,4,1,119.8,4.4,6.2,27.6,27.6,27.6,9.4,9.4,9.4,21.8,21.8,21.8,0.431,0.431,0.431,4.4,4.4,4.4,10.8,10.8,10.8,0.407,0.407,0.407,4.4,4.4,4.4,5.4,5.4,5.4,0.815,0.815,0.815,0.6,0.6,0.6,0.8,0.8,0.8,34.82666666666667,34.82666666666667,34.82666666666667,0
6,6.0,6.0,22024,1630224,22400161,"NOV 04, 2024",HOU vs. NYK,W,32,5,15,0.333,2,8,0.25,3,3,1.0,0,4,4,3,1,0,3,1,15,14,1,HOU,1610612745,NYK,1610612752,1,G,1,0,0,1,0,0,22.0,76,186,3,3,112.3,3,2,113.8,3,2,109.0,3,2,116.0,3.4,1.8333333333333333,23.4,24.2,24.2,8.0,8.166666666666666,8.166666666666666,19.8,20.33333333333333,20.33333333333333,0.404,0.402,0.402,3.6,3.8333333333333335,3.8333333333333335,8.8,9.833333333333334,9.833333333333334,0.409,0.39,0.39,3.8,4.0,4.0,4.8,4.833333333333333,4.833333333333333,0.792,0.828,0.828,0.6,0.5,0.5,1.0,0.83,0.83,34.47666666666667,34.63888888333334,34.63888888333334,0
7,7.0,7.0,22024,1630224,22400173,"NOV 06, 2024",HOU vs. SAS,W,31,6,14,0.429,4,9,0.444,5,6,0.833,0,5,5,4,0,1,3,1,21,14,1,HOU,1610612745,SAS,1610612759,1,G,1,0,0,1,0,0,22.0,76,186,4,3,111.9,3,2,110.0,3,4,105.9,2,3,103.4,5.6,3.571428571428572,22.0,22.9,32.5,7.4,7.714285714285714,10.5,18.6,19.571428571428573,22.0,0.398,0.394,0.477,3.2,3.571428571428572,5.0,8.8,9.571428571428571,11.5,0.364,0.373,0.435,4.0,3.857142857142857,6.5,4.2,4.571428571428571,6.5,0.952,0.844,1.0,0.2,0.4285714285714285,0.5,0.6,0.86,0.0,34.45,34.20714285,35.30833333333333,0
8,8.0,8.0,22024,1630224,22400192,"NOV 08, 2024",HOU @ OKC,L,28,5,14,0.357,2,8,0.25,2,2,1.0,0,4,4,2,0,0,1,1,14,-16,1,HOU,1610612745,OKC,1610612760,0,G,1,0,0,1,0,0,22.0,76,186,5,3,113.8,4,1,114.2,7,1,99.4,4,1,114.2,0.8,4.875,20.4,22.6,22.6,6.6,7.5,7.5,17.0,18.875,18.875,0.388,0.397,0.397,3.4,3.625,3.625,8.6,9.5,9.5,0.395,0.382,0.382,3.8,4.0,4.0,4.2,4.75,4.75,0.905,0.842,0.842,0.0,0.375,0.375,0.6,0.75,0.75,34.03666666666667,33.80625,33.80625,0
9,9.0,9.0,22024,1630224,22400201,"NOV 10, 2024",HOU @ DET,W,34,6,17,0.353,1,6,0.167,2,2,1.0,0,5,5,3,2,1,2,5,15,-7,1,HOU,1610612745,DET,1610612765,0,G,1,0,0,1,0,0,22.0,76,186,5,4,113.0,3,2,114.4,4,6,110.5,3,2,109.6,-3.0,2.555555555555556,16.0,21.7,21.7,5.4,7.222222222222222,7.222222222222222,15.4,18.33333333333333,18.33333333333333,0.351,0.394,0.394,2.4,3.4444444444444446,3.4444444444444446,7.6,9.333333333333334,9.333333333333334,0.316,0.369,0.369,2.8,3.7777777777777777,3.7777777777777777,3.2,4.444444444444445,4.444444444444445,0.875,0.85,0.85,0.0,0.3333333333333333,0.3333333333333333,0.6,0.67,0.67,32.06666666666667,33.12777776666667,33.12777776666667,0
