,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,22024,1631114,22400075,"OCT 24, 2024",OKC @ DEN,W,34,5,16,0.313,2,8,0.25,0,1,0.0,1,2,3,3,0,2,5,3,12,0,1,OKC,1610612760,DEN,1610612743,0,G-F,1,0,0,1,1,0,23.0,77,211,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,0.0,0.0,,12.0,,,5.0,,,16.0,,,0.313,,,2.0,,,8.0,,,0.25,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,34.0,,0
1,1.0,1.0,1.0,1.0,1.0,22024,1631114,22400091,"OCT 26, 2024",OKC @ CHI,W,32,10,22,0.455,1,4,0.25,3,3,1.0,2,7,9,8,0,0,2,1,24,5,1,OKC,1610612760,CHI,1610612741,0,G-F,1,0,0,1,1,0,23.0,77,211,1,0,102.0,1,4,102.0,1,1,122.5,1,4,122.0,2.5,0.0,12.0,12.0,12.0,5.0,5.0,5.0,16.0,16.0,16.0,0.313,0.313,0.313,2.0,2.0,2.0,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.71666666666667,33.71666666666667,33.71666666666667,1
2,2.0,2.0,2.0,2.0,2.0,22024,1631114,22400100,"OCT 27, 2024",OKC vs. ATL,W,33,8,17,0.471,0,3,0.0,4,8,0.5,2,7,9,5,2,0,0,4,20,14,1,OKC,1610612760,ATL,1610612737,1,G-F,1,0,0,1,1,0,23.0,77,211,2,0,108.0,2,3,108.0,2,0,118.0,2,3,122.5,6.333333333333333,2.5,18.0,18.0,18.0,7.5,7.5,7.5,19.0,19.0,19.0,0.395,0.395,0.395,1.5,1.5,1.5,6.0,6.0,6.0,0.25,0.25,0.25,1.5,1.5,1.5,2.0,2.0,2.0,0.75,0.75,0.75,1.5,1.5,1.5,0.0,0.0,0.0,32.891666666666666,32.891666666666666,32.891666666666666,1
3,3.0,3.0,3.0,3.0,3.0,22024,1631114,22400125,"OCT 30, 2024",OKC vs. SAS,W,27,5,13,0.385,1,3,0.333,1,2,0.5,0,7,7,8,4,1,1,3,12,19,1,OKC,1610612760,SAS,1610612759,1,G-F,1,0,0,1,1,0,23.0,77,211,3,0,114.7,3,2,114.7,1,2,110.7,1,4,106.3,9.5,6.333333333333333,18.7,18.7,18.7,7.666666666666667,7.666666666666667,7.666666666666667,18.33333333333333,18.33333333333333,18.33333333333333,0.418,0.418,0.418,1.0,1.0,1.0,5.0,5.0,5.0,0.2,0.2,0.2,2.333333333333333,2.333333333333333,2.333333333333333,4.0,4.0,4.0,0.583,0.583,0.583,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.67,0.67,0.67,32.88888888333334,32.88888888333334,32.88888888333334,0
4,4.0,4.0,4.0,4.0,4.0,22024,1631114,22400140,"NOV 01, 2024",OKC @ POR,W,26,8,12,0.667,4,6,0.667,2,2,1.0,1,4,5,4,4,0,3,2,22,16,1,OKC,1610612760,POR,1610612757,0,G-F,1,0,0,1,1,0,23.0,77,211,4,0,112.3,4,1,112.3,2,3,112.8,2,3,107.2,10.8,9.5,17.0,17.0,17.0,7.0,7.0,7.0,17.0,17.0,17.0,0.412,0.412,0.412,1.0,1.0,1.0,4.5,4.5,4.5,0.222,0.222,0.222,2.0,2.0,2.0,3.5,3.5,3.5,0.571,0.571,0.571,1.25,1.25,1.25,1.5,1.5,1.5,31.341666666666665,31.341666666666665,31.341666666666665,1
5,5.0,5.0,5.0,5.0,5.0,22024,1631114,22400150,"NOV 02, 2024",OKC @ LAC,W,34,5,16,0.313,3,5,0.6,2,2,1.0,0,7,7,4,2,0,4,4,15,10,1,OKC,1610612760,LAC,1610612746,0,G-F,1,0,0,1,1,0,23.0,77,211,5,0,117.2,5,0,117.2,2,3,111.0,2,3,111.6,12.8,10.8,18.0,18.0,18.0,7.2,7.2,7.2,16.0,16.0,16.0,0.45,0.45,0.45,1.6,1.6,1.6,4.8,4.8,4.8,0.333,0.333,0.333,2.0,2.0,2.0,3.2,3.2,3.2,0.625,0.625,0.625,1.2,1.2,1.2,2.0,2.0,2.0,30.33,30.33,30.33,0
6,6.0,6.0,6.0,6.0,6.0,22024,1631114,22400163,"NOV 04, 2024",OKC vs. ORL,W,35,10,17,0.588,3,7,0.429,0,0,0.0,0,4,4,1,3,1,1,3,23,-1,1,OKC,1610612760,ORL,1610612753,1,G-F,1,0,0,1,1,0,23.0,77,211,6,0,115.2,5,0,117.8,3,4,109.6,1,4,104.6,11.6,10.666666666666666,18.6,17.5,17.5,7.2,6.833333333333333,6.833333333333333,16.0,16.0,16.0,0.45,0.427,0.427,1.8,1.8333333333333333,1.8333333333333333,4.2,4.833333333333333,4.833333333333333,0.429,0.379,0.379,2.4,2.0,2.0,3.4,3.0,3.0,0.706,0.667,0.667,1.0,1.0,1.0,2.4,2.0,2.0,30.39333333333333,30.947222216666667,30.947222216666667,1
7,7.0,7.0,7.0,7.0,7.0,22024,1631114,22400177,"NOV 06, 2024",OKC @ DEN,L,36,11,20,0.55,4,8,0.5,3,5,0.6,2,8,10,9,3,0,1,4,29,3,1,OKC,1610612760,DEN,1610612743,0,G-F,1,0,0,1,1,0,23.0,77,211,7,0,113.3,5,0,115.4,4,3,116.6,4,1,127.4,9.4,9.0,18.4,18.3,12.0,7.2,7.285714285714286,5.0,15.0,16.142857142857142,16.0,0.48,0.451,0.313,2.2,2.0,2.0,4.8,5.142857142857143,8.0,0.458,0.389,0.25,1.8,1.7142857142857142,0.0,2.8,2.571428571428572,1.0,0.643,0.667,0.0,0.6,0.8571428571428571,1.0,3.0,2.14,0.0,30.886666666666667,31.4595238,33.71666666666667,1
8,8.0,8.0,8.0,8.0,8.0,22024,1631114,22400192,"NOV 08, 2024",OKC vs. HOU,W,32,7,11,0.636,0,1,0.0,0,0,0.0,0,5,5,3,0,1,3,3,14,21,1,OKC,1610612760,HOU,1610612745,1,G-F,1,0,0,1,1,0,23.0,77,211,7,1,114.4,4,1,114.2,5,3,106.8,4,1,114.2,9.8,8.25,20.2,19.6,19.6,7.8,7.75,7.75,15.6,16.625,16.625,0.5,0.466,0.466,3.0,2.25,2.25,5.8,5.5,5.5,0.517,0.409,0.409,1.6,1.875,1.875,2.2,2.875,2.875,0.727,0.652,0.652,0.6,1.0,1.0,3.2,2.25,2.25,31.52,32.03333333333333,32.03333333333333,0
9,9.0,9.0,9.0,9.0,9.0,22024,1631114,22400207,"NOV 10, 2024",OKC vs. GSW,L,31,9,15,0.6,0,2,0.0,2,2,1.0,1,2,3,4,1,4,4,2,20,-19,1,OKC,1610612760,GSW,1610612744,1,G-F,1,0,0,1,1,0,23.0,77,211,8,1,115.7,4,1,118.4,7,2,108.7,4,1,118.2,2.8,9.666666666666666,20.6,19.0,19.0,8.2,7.666666666666667,7.666666666666667,15.2,16.0,16.0,0.539,0.479,0.479,2.8,2.0,2.0,5.4,5.0,5.0,0.519,0.4,0.4,1.4,1.6666666666666667,1.6666666666666667,1.8,2.555555555555556,2.555555555555556,0.778,0.652,0.652,0.6,0.8888888888888888,0.8888888888888888,2.4,2.0,2.0,32.51,31.99074073333333,31.99074073333333,1
10,10.0,10.0,10.0,10.0,10.0,22024,1631114,22400215,"NOV 11, 2024",OKC vs. LAC,W,35,11,16,0.688,2,3,0.667,4,4,1.0,2,6,8,6,2,0,2,4,28,5,1,OKC,1610612760,LAC,1610612746,1,G-F,1,0,0,1,1,0,23.0,77,211,8,2,115.7,3,2,114.2,6,4,106.3,4,1,105.4,1.8,6.8,20.2,19.1,15.0,8.4,7.8,5.0,15.8,15.9,16.0,0.532,0.491,0.313,2.0,1.8,3.0,4.6,4.7,5.0,0.435,0.383,0.6,1.4,1.7,2.0,1.8,2.5,2.0,0.778,0.68,1.0,0.6,0.9,0.0,1.8,1.9,2.0,33.513333333333335,31.921666666666667,34.03333333333333,1
11,11.0,11.0,11.0,11.0,11.0,22024,1631114,22400221,"NOV 13, 2024",OKC vs. NOP,W,31,10,18,0.556,4,7,0.571,7,7,1.0,1,5,6,7,4,2,2,1,31,13,1,OKC,1610612760,NOP,1610612740,1,G-F,1,0,0,1,1,0,23.0,77,211,9,2,117.4,3,2,120.0,3,8,116.5,0,5,105.2,4.6,6.636363636363637,22.8,19.9,19.9,9.6,8.090909090909092,8.090909090909092,15.8,15.909090909090908,15.909090909090908,0.608,0.509,0.509,1.8,1.818181818181818,1.818181818181818,4.2,4.545454545454546,4.545454545454546,0.429,0.4,0.4,1.8,1.9090909090909087,1.9090909090909087,2.2,2.636363636363636,2.636363636363636,0.818,0.724,0.724,1.0,1.0,1.0,1.8,1.91,1.91,33.79333333333334,32.240909083333335,32.240909083333335,1
12,12.0,12.0,12.0,12.0,12.0,22024,1631114,22400018,"NOV 15, 2024",OKC vs. PHX,W,30,6,16,0.375,0,4,0.0,2,2,1.0,0,8,8,3,2,2,1,3,14,12,1,OKC,1610612760,PHX,1610612756,1,G-F,1,0,0,1,1,0,23.0,77,211,10,2,116.4,3,2,120.8,9,3,113.8,3,2,114.2,6.4,7.166666666666667,24.4,20.8,20.8,9.6,8.25,8.25,16.0,16.083333333333332,16.083333333333332,0.6,0.513,0.513,2.0,2.0,2.0,4.2,4.75,4.75,0.476,0.421,0.421,3.2,2.333333333333333,2.333333333333333,3.6,3.0,3.0,0.889,0.778,0.778,1.2,1.0,1.0,2.0,2.08,2.08,33.13666666666666,32.15833333333333,32.15833333333333,0
13,13.0,13.0,13.0,13.0,13.0,22024,1631114,22400242,"NOV 17, 2024",OKC vs. DAL,L,35,11,17,0.647,3,6,0.5,2,2,1.0,2,3,5,5,1,1,1,5,27,-2,1,OKC,1610612760,DAL,1610612742,1,G-F,1,0,0,1,1,0,23.0,77,211,11,2,115.1,4,1,116.2,6,7,109.9,1,4,114.6,1.8,7.538461538461538,21.4,20.3,20.3,8.6,8.076923076923077,8.076923076923077,15.2,16.076923076923077,16.076923076923077,0.566,0.502,0.502,1.2,1.8461538461538465,1.8461538461538465,3.4,4.6923076923076925,4.6923076923076925,0.353,0.393,0.393,3.0,2.3076923076923075,2.3076923076923075,3.0,2.923076923076923,2.923076923076923,1.0,0.789,0.789,0.8,0.9230769230769232,0.9230769230769232,1.8,2.08,2.08,31.99,32.016666666666666,32.016666666666666,1
14,14.0,14.0,14.0,14.0,14.0,22024,1631114,22400025,"NOV 19, 2024",OKC @ SAS,L,34,13,26,0.5,0,6,0.0,1,1,1.0,3,7,10,5,5,0,1,3,27,-17,1,OKC,1610612760,SAS,1610612759,0,G-F,1,0,0,1,1,0,23.0,77,211,11,3,115.4,3,2,114.8,6,8,110.0,2,3,114.6,2.2,6.857142857142857,24.0,20.8,12.0,9.4,8.285714285714286,5.0,16.4,16.142857142857142,13.0,0.573,0.513,0.385,1.8,1.9285714285714288,1.0,4.4,4.785714285714286,3.0,0.409,0.403,0.333,3.4,2.2857142857142856,1.0,3.4,2.857142857142857,2.0,1.0,0.8,0.5,1.2,1.0,0.0,2.0,2.0,4.0,32.69,32.240476183333335,26.7,1
15,15.0,15.0,15.0,15.0,15.0,22024,1631114,22400256,"NOV 20, 2024",OKC vs. POR,W,36,11,19,0.579,5,9,0.556,3,3,1.0,0,7,7,8,2,2,3,3,30,14,1,OKC,1610612760,POR,1610612757,1,G-F,1,0,0,1,1,0,23.0,77,211,11,4,114.6,3,2,112.4,6,8,114.2,3,2,106.6,4.0,5.266666666666667,25.4,21.2,22.0,10.2,8.6,8.0,18.6,16.8,12.0,0.548,0.512,0.667,1.8,1.8,4.0,5.2,4.866666666666666,6.0,0.346,0.37,0.667,3.2,2.2,2.0,3.2,2.7333333333333334,2.0,1.0,0.805,1.0,1.6,1.1333333333333333,1.0,2.8,2.2,4.0,33.2,32.34777776666667,26.28333333333333,1
16,16.0,16.0,16.0,16.0,16.0,22024,1631114,22400285,"NOV 25, 2024",OKC @ SAC,W,32,10,16,0.625,3,7,0.429,5,5,1.0,0,4,4,5,2,1,5,3,28,16,1,OKC,1610612760,SAC,1610612758,0,G-F,1,0,0,1,1,0,23.0,77,211,12,4,114.3,3,2,107.4,8,9,112.8,1,4,109.2,4.6,5.8125,25.8,21.8,21.8,10.2,8.75,8.75,19.2,16.9375,16.9375,0.531,0.517,0.517,2.4,2.0,2.0,6.4,5.125,5.125,0.375,0.39,0.39,3.0,2.25,2.25,3.0,2.75,2.75,1.0,0.818,0.818,1.2,1.0625,1.0625,2.8,2.19,2.19,33.29,32.56875,32.56875,1
17,17.0,17.0,17.0,17.0,17.0,22024,1631114,22400299,"NOV 27, 2024",OKC @ GSW,W,16,3,6,0.5,2,4,0.5,5,8,0.625,1,5,6,7,2,1,2,1,13,4,1,OKC,1610612760,GSW,1610612744,0,G-F,1,0,0,1,1,0,23.0,77,211,13,4,115.2,3,2,112.2,12,5,109.9,2,3,109.0,3.0,6.411764705882353,25.2,22.1,20.0,10.2,8.823529411764707,9.0,18.8,16.88235294117647,15.0,0.543,0.523,0.6,2.2,2.0588235294117645,0.0,6.4,5.235294117647059,2.0,0.344,0.393,0.0,2.6,2.411764705882353,2.0,2.6,2.8823529411764706,2.0,1.0,0.837,1.0,1.0,1.0,1.0,2.4,2.18,1.0,33.46,32.54117646666667,31.3,0
18,18.0,18.0,18.0,18.0,18.0,22024,1631114,22400048,"NOV 29, 2024",OKC @ LAL,W,34,8,19,0.421,2,5,0.4,1,2,0.5,0,4,4,2,2,0,3,3,19,-3,1,OKC,1610612760,LAL,1610612747,0,G-F,1,0,0,1,1,0,23.0,77,211,14,4,114.6,3,2,113.4,11,7,116.6,2,3,112.6,2.8,6.277777777777778,25.0,21.6,21.6,9.6,8.5,8.5,16.8,16.27777777777778,16.27777777777778,0.571,0.522,0.522,2.6,2.055555555555556,2.055555555555556,6.4,5.166666666666667,5.166666666666667,0.406,0.398,0.398,3.2,2.555555555555556,2.555555555555556,3.8,3.1666666666666665,3.1666666666666665,0.842,0.807,0.807,1.2,1.0,1.0,2.4,2.17,2.17,30.613333333333333,31.62685185,31.62685185,0
19,19.0,19.0,19.0,19.0,19.0,22024,1631114,22400310,"DEC 01, 2024",OKC @ HOU,L,37,7,21,0.333,2,7,0.286,6,7,0.857,0,5,5,7,1,1,1,3,22,0,1,OKC,1610612760,HOU,1610612745,0,G-F,1,0,0,1,1,0,23.0,77,211,15,4,113.9,4,1,109.8,14,6,105.9,4,1,116.6,6.2,5.789473684210527,23.4,21.5,14.0,9.0,8.473684210526315,7.0,17.2,16.42105263157895,11.0,0.523,0.516,0.636,2.4,2.0526315789473686,0.0,6.2,5.157894736842105,1.0,0.387,0.398,0.0,3.0,2.473684210526316,0.0,3.8,3.1052631578947367,0.0,0.789,0.797,0.0,0.8,0.9473684210526316,0.0,2.6,2.16,0.0,30.376666666666665,31.75,31.65,1
20,20.0,20.0,20.0,20.0,20.0,22024,1631114,22400055,"DEC 03, 2024",OKC vs. UTA,W,28,12,18,0.667,1,4,0.25,3,4,0.75,1,1,2,5,3,0,0,1,28,15,1,OKC,1610612760,UTA,1610612762,1,G-F,1,0,0,1,1,0,23.0,77,211,15,5,114.0,4,1,112.2,4,16,117.9,1,4,107.4,6.4,5.5,22.4,21.5,21.5,7.8,8.4,8.4,16.2,16.65,16.65,0.481,0.505,0.505,2.8,2.05,2.05,6.4,5.25,5.25,0.438,0.39,0.39,4.0,2.65,2.65,5.0,3.3,3.3,0.8,0.803,0.803,0.2,0.9,0.9,1.8,2.1,2.1,31.093333333333334,32.034166666666664,32.034166666666664,1
21,21.0,21.0,21.0,21.0,21.0,22024,1631114,22400328,"DEC 05, 2024",OKC @ TOR,W,28,6,13,0.462,2,4,0.5,6,6,1.0,0,7,7,2,0,0,0,1,20,25,1,OKC,1610612760,TOR,1610612761,0,G-F,1,0,0,1,1,0,23.0,77,211,16,5,114.9,4,1,117.0,7,15,116.5,3,2,114.2,8.2,5.9523809523809526,22.0,21.8,21.8,8.0,8.571428571428571,8.571428571428571,16.0,16.714285714285715,16.714285714285715,0.5,0.513,0.513,2.0,2.0,2.0,5.4,5.190476190476191,5.190476190476191,0.37,0.385,0.385,4.0,2.6666666666666665,2.6666666666666665,5.2,3.333333333333333,3.333333333333333,0.769,0.8,0.8,0.4,0.9047619047619048,0.9047619047619048,2.0,2.14,2.14,29.44,31.823809516666667,31.823809516666667,0
22,22.0,22.0,22.0,22.0,22.0,22024,1631114,22400342,"DEC 07, 2024",OKC @ NOP,W,35,10,19,0.526,4,9,0.444,3,5,0.6,1,5,6,5,4,0,4,3,27,18,1,OKC,1610612760,NOP,1610612740,0,G-F,1,0,0,1,1,0,23.0,77,211,17,5,115.5,4,1,116.8,5,18,116.4,1,4,105.0,11.0,6.818181818181818,20.4,21.7,31.0,7.2,8.454545454545455,10.0,15.4,16.545454545454547,18.0,0.468,0.511,0.556,1.8,2.0,4.0,4.8,5.136363636363637,7.0,0.375,0.389,0.571,4.2,2.8181818181818183,7.0,5.4,3.4545454545454546,7.0,0.778,0.816,1.0,0.4,0.8636363636363636,1.0,1.6,2.05,4.0,28.69333333333333,31.666666666666668,31.25,1
23,23.0,23.0,23.0,23.0,23.0,22024,1631114,22401203,"DEC 10, 2024",OKC vs. DAL,W,32,8,21,0.381,0,3,0.0,2,2,1.0,2,5,7,4,0,1,4,2,18,5,1,OKC,1610612760,DAL,1610612742,1,G-F,1,0,0,1,1,0,23.0,77,211,18,5,115.7,4,1,119.6,16,8,111.5,5,0,125.2,12.6,7.304347826086956,23.2,22.0,27.0,8.6,8.521739130434783,11.0,18.0,16.652173913043477,17.0,0.478,0.512,0.647,2.2,2.0869565217391304,3.0,5.8,5.304347826086956,6.0,0.379,0.393,0.5,3.8,2.8260869565217392,2.0,4.8,3.5217391304347827,2.0,0.792,0.802,1.0,0.4,0.8695652173913043,2.0,2.0,2.13,1.0,32.43,31.801449266666665,35.15,0
