,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,22024,202695,22400486,"JAN 04, 2025",LAC vs. ATL,W,19,4,11,0.364,3,5,0.6,1,3,0.333,1,2,3,1,1,0,2,1,12,22,1,LAC,1610612746,ATL,1610612737,1,F,0,1,0,0,1,0,33.0,79,225,19,15,108.5,3,2,103.2,18,17,119.4,3,2,123.8,22.0,22.0,,12.0,,,4.0,,,11.0,,,0.364,,,3.0,,,5.0,,,0.6,,,1.0,,,3.0,,,0.333,,,1.0,,,1.0,,,19.0,,0
1,1.0,1.0,1.0,22024,202695,22400500,"JAN 06, 2025",LAC @ MIN,L,21,3,11,0.273,2,5,0.4,0,0,0.0,1,1,2,2,1,0,1,1,8,-17,1,LAC,1610612746,MIN,1610612750,0,F,0,1,0,0,1,0,33.0,79,225,20,15,109.2,3,2,106.6,17,17,108.0,2,3,110.0,2.5,22.0,12.0,12.0,12.0,4.0,4.0,4.0,11.0,11.0,11.0,0.364,0.364,0.364,3.0,3.0,3.0,5.0,5.0,5.0,0.6,0.6,0.6,1.0,1.0,1.0,3.0,3.0,3.0,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0,19.416666666666668,19.416666666666668,19.416666666666668,0
2,2.0,2.0,2.0,22024,202695,22400553,"JAN 13, 2025",LAC vs. MIA,W,21,3,9,0.333,0,3,0.0,0,0,0.0,1,4,5,1,2,0,0,0,6,2,1,LAC,1610612746,MIA,1610612748,1,F,0,1,0,0,1,0,33.0,79,225,20,17,108.9,1,4,104.8,20,17,109.3,3,2,109.6,2.333333333333333,2.5,10.0,10.0,10.0,3.5,3.5,3.5,11.0,11.0,11.0,0.318,0.318,0.318,2.5,2.5,2.5,5.0,5.0,5.0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0,20.05,20.05,20.05,0
3,3.0,3.0,3.0,22024,202695,22400571,"JAN 15, 2025",LAC vs. BKN,W,24,8,11,0.727,0,1,0.0,7,7,1.0,0,2,2,0,1,0,1,0,23,46,1,LAC,1610612746,BKN,1610612751,1,F,0,1,0,0,1,0,33.0,79,225,21,17,108.9,2,3,109.4,14,26,113.7,1,4,109.0,13.25,2.333333333333333,8.7,8.7,8.7,3.333333333333333,3.333333333333333,3.333333333333333,10.333333333333334,10.333333333333334,10.333333333333334,0.323,0.323,0.323,1.6666666666666667,1.6666666666666667,1.6666666666666667,4.333333333333333,4.333333333333333,4.333333333333333,0.385,0.385,0.385,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.333,0.333,0.333,1.0,1.0,1.0,1.33,1.33,1.33,20.277777766666667,20.277777766666667,20.277777766666667,1
4,4.0,4.0,4.0,22024,202695,22400596,"JAN 19, 2025",LAC vs. LAL,W,24,9,13,0.692,1,3,0.333,0,0,0.0,0,1,1,4,1,0,1,0,19,20,1,LAC,1610612746,LAL,1610612747,1,F,0,1,0,0,1,0,33.0,79,225,23,17,109.6,3,2,112.4,22,17,113.8,2,3,106.6,14.6,13.25,12.3,12.3,12.3,4.666666666666667,4.5,4.5,10.333333333333334,10.5,10.5,0.452,0.429,0.429,0.6666666666666666,1.25,1.25,3.0,3.5,3.5,0.222,0.357,0.357,2.333333333333333,2.0,2.0,2.333333333333333,2.5,2.5,1.0,0.8,0.8,0.6666666666666666,0.75,0.75,1.33,1.25,1.25,21.74444443333333,21.1625,21.1625,1
5,5.0,5.0,5.0,22024,202695,22400983,"JAN 23, 2025",LAC vs. WAS,W,24,7,16,0.438,1,5,0.2,0,0,0.0,0,7,7,1,1,0,3,0,15,23,1,LAC,1610612746,WAS,1610612764,1,F,0,1,0,0,1,0,33.0,79,225,24,19,109.6,3,2,114.4,6,36,122.5,0,5,106.2,14.8,14.6,21.0,13.6,13.6,8.5,5.4,5.4,12.0,11.0,11.0,0.708,0.491,0.491,0.5,1.2,1.2,2.0,3.4,3.4,0.25,0.353,0.353,3.5,1.6,1.6,3.5,2.0,2.0,1.0,0.8,0.8,0.0,0.6,0.6,1.0,1.2,1.2,24.05,21.786666666666665,21.786666666666665,1
6,6.0,6.0,6.0,22024,202695,22400646,"JAN 25, 2025",LAC vs. MIL,W,24,8,17,0.471,2,7,0.286,0,0,0.0,1,2,3,4,0,0,0,2,18,-13,1,LAC,1610612746,MIL,1610612749,1,F,0,1,0,0,1,0,33.0,79,225,25,19,109.6,3,2,111.2,25,17,110.7,5,0,126.0,15.6,16.0,17.0,13.8,13.8,8.0,5.666666666666667,5.666666666666667,14.5,11.833333333333334,11.833333333333334,0.552,0.479,0.479,1.0,1.1666666666666667,1.1666666666666667,4.0,3.6666666666666665,3.6666666666666665,0.25,0.318,0.318,0.0,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,0.0,0.8,0.8,0.0,0.5,0.5,1.0,1.17,1.17,24.03333333333333,22.11944443333333,22.11944443333333,1
7,7.0,7.0,7.0,22024,202695,22400659,"JAN 27, 2025",LAC @ PHX,L,28,7,14,0.5,1,5,0.2,2,2,1.0,1,4,5,2,2,1,3,2,17,3,1,LAC,1610612746,PHX,1610612756,0,F,0,1,0,0,1,0,33.0,79,225,26,19,110.0,3,2,113.0,23,21,113.6,4,1,114.8,15.8,11.857142857142858,17.3,14.4,14.4,8.0,6.0,6.0,15.333333333333334,12.571428571428571,12.571428571428571,0.522,0.477,0.477,1.3333333333333333,1.2857142857142858,1.2857142857142858,5.0,4.142857142857143,4.142857142857143,0.267,0.31,0.31,0.0,1.1428571428571428,1.1428571428571428,0.0,1.4285714285714286,1.4285714285714286,0.0,0.8,0.8,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.67,1.0,1.0,24.177777766666665,22.4547619,22.4547619,1
8,8.0,8.0,8.0,22024,202695,22400671,"JAN 29, 2025",LAC @ SAS,W,29,11,19,0.579,2,4,0.5,3,3,1.0,1,5,6,7,0,1,1,1,27,16,1,LAC,1610612746,SAS,1610612759,0,F,0,1,0,0,1,0,33.0,79,225,26,20,109.9,2,3,111.6,20,23,113.5,1,4,114.4,9.8,10.75,16.7,14.8,14.8,7.333333333333333,6.125,6.125,15.666666666666666,12.75,12.75,0.468,0.48,0.48,1.3333333333333333,1.25,1.25,5.666666666666667,4.25,4.25,0.235,0.294,0.294,0.6666666666666666,1.25,1.25,0.6666666666666666,1.5,1.5,1.0,0.833,0.833,0.6666666666666666,0.625,0.625,1.0,1.13,1.13,25.394444433333334,23.13958333333333,23.13958333333333,1
9,9.0,9.0,9.0,22024,202695,22400679,"JAN 31, 2025",LAC @ CHA,W,28,8,17,0.471,4,7,0.571,1,2,0.5,1,8,9,2,1,1,3,3,21,13,1,LAC,1610612746,CHA,1610612766,0,F,0,1,0,0,1,0,33.0,79,225,27,20,110.3,3,2,117.4,12,32,112.0,1,4,106.0,8.4,11.333333333333334,19.3,16.1,16.1,8.25,6.666666666666667,6.666666666666667,16.5,13.444444444444445,13.444444444444445,0.5,0.496,0.496,1.5,1.3333333333333333,1.3333333333333333,5.25,4.222222222222222,4.222222222222222,0.286,0.316,0.316,1.25,1.4444444444444444,1.4444444444444444,1.25,1.6666666666666667,1.6666666666666667,1.0,0.867,0.867,0.75,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,26.20833333333333,23.75185185,23.75185185,1
