,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,204001,22400281,"NOV 25, 2024",BOS vs. LAC,W,23,6,12,0.5,1,6,0.167,3,4,0.75,1,5,6,2,1,2,1,0,16,3,1,BOS,1610612738,LAC,1610612746,1,F-C,0,1,0,0,1,1,29.0,86,240,14,3,119.9,5,0,120.0,11,7,106.5,5,0,110.2,3.0,3.0,,16.0,,,6.0,,,12.0,,,0.5,,,1.0,,,6.0,,,0.167,,,3.0,,,4.0,,,0.75,,,1.0,,,1.0,,,23.0,,0
1,1.0,22024,204001,22400047,"NOV 29, 2024",BOS @ CHI,W,25,7,11,0.636,2,5,0.4,5,7,0.714,0,8,8,1,0,0,0,3,21,7,1,BOS,1610612738,CHI,1610612741,0,F-C,0,1,0,0,1,1,29.0,86,240,15,3,120.2,5,0,117.4,8,12,123.6,2,3,123.8,5.0,3.0,16.0,16.0,16.0,6.0,6.0,6.0,12.0,12.0,12.0,0.5,0.5,0.5,1.0,1.0,1.0,6.0,6.0,6.0,0.167,0.167,0.167,3.0,3.0,3.0,4.0,4.0,4.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,22.616666666666667,22.616666666666667,22.616666666666667,1
2,2.0,22024,204001,22400307,"DEC 01, 2024",BOS @ CLE,L,32,7,17,0.412,3,7,0.429,4,4,1.0,1,7,8,2,3,0,0,2,21,-5,1,BOS,1610612738,CLE,1610612739,0,F-C,0,1,0,0,1,1,29.0,86,240,16,3,121.2,5,0,119.8,17,3,112.6,2,3,118.4,1.6666666666666667,5.0,18.5,18.5,18.5,6.5,6.5,6.5,11.5,11.5,11.5,0.565,0.565,0.565,1.5,1.5,1.5,5.5,5.5,5.5,0.273,0.273,0.273,4.0,4.0,4.0,5.5,5.5,5.5,0.727,0.727,0.727,0.5,0.5,0.5,0.5,0.5,0.5,23.883333333333333,23.883333333333333,23.883333333333333,1
3,3.0,22024,204001,22400319,"DEC 04, 2024",BOS vs. DET,W,29,8,17,0.471,3,7,0.429,7,8,0.875,4,5,9,2,0,2,2,3,26,16,1,BOS,1610612738,DET,1610612765,1,F-C,0,1,0,0,1,1,29.0,86,240,17,4,120.0,4,1,118.0,9,14,112.4,2,3,109.2,5.25,1.6666666666666667,19.3,19.3,19.3,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,13.333333333333334,13.333333333333334,0.5,0.5,0.5,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,4.0,4.0,4.0,5.0,5.0,5.0,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.33,1.33,1.33,26.60555555,26.60555555,26.60555555,1
4,4.0,22024,204001,22400345,"DEC 07, 2024",BOS vs. MEM,L,33,6,17,0.353,3,10,0.3,4,6,0.667,4,4,8,2,1,3,1,5,19,2,1,BOS,1610612738,MEM,1610612763,1,F-C,0,1,0,0,1,1,29.0,86,240,19,4,120.1,4,1,119.6,15,8,113.1,4,1,123.6,4.6,5.25,22.7,21.0,21.0,7.333333333333333,7.0,7.0,15.0,14.25,14.25,0.489,0.491,0.491,2.6666666666666665,2.25,2.25,6.333333333333333,6.25,6.25,0.421,0.36,0.36,5.333333333333333,4.75,4.75,6.333333333333333,5.75,5.75,0.842,0.826,0.826,1.6666666666666667,1.5,1.5,1.0,1.0,1.0,28.8611111,27.3,27.3,0
5,5.0,22024,204001,22401205,"DEC 12, 2024",BOS vs. DET,W,30,8,18,0.444,2,7,0.286,1,2,0.5,0,8,8,2,1,2,1,0,19,23,1,BOS,1610612738,DET,1610612765,1,F-C,0,1,0,0,1,1,29.0,86,240,19,5,120.1,3,2,116.2,10,15,113.0,2,3,114.6,8.6,4.6,22.0,20.6,26.0,7.0,6.8,8.0,17.0,14.8,17.0,0.412,0.459,0.471,3.0,2.4,3.0,8.0,7.0,7.0,0.375,0.343,0.429,5.0,4.6,7.0,6.0,5.8,8.0,0.833,0.793,0.875,3.0,2.0,4.0,1.33,1.0,0.0,31.588888883333333,28.506666666666668,29.383333333333333,0
6,6.0,22024,204001,22401217,"DEC 15, 2024",BOS @ WAS,W,11,5,6,0.833,1,2,0.5,0,0,0.0,1,1,2,2,0,0,1,1,11,-2,1,BOS,1610612738,WAS,1610612764,0,F-C,0,1,0,0,1,1,29.0,86,240,20,5,120.2,4,1,118.6,3,20,123.4,1,4,105.4,6.8,7.666666666666667,21.3,20.3,20.3,7.333333333333333,7.0,7.0,17.333333333333332,15.333333333333334,15.333333333333334,0.423,0.457,0.457,2.6666666666666665,2.333333333333333,2.333333333333333,8.0,7.0,7.0,0.333,0.333,0.333,4.0,4.0,4.0,5.333333333333333,5.166666666666667,5.166666666666667,0.75,0.774,0.774,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.67,1.0,1.0,30.93888888333333,28.772222216666663,28.772222216666663,0
7,7.0,22024,204001,22400363,"DEC 19, 2024",BOS vs. CHI,L,36,7,17,0.412,2,7,0.286,4,4,1.0,2,6,8,0,0,3,0,2,20,-8,1,BOS,1610612738,CHI,1610612741,1,F-C,0,1,0,0,1,1,29.0,86,240,21,5,119.9,4,1,119.4,12,15,121.9,3,2,118.6,6.2,6.285714285714286,18.8,19.0,21.0,6.75,6.714285714285714,7.0,14.5,14.0,11.0,0.466,0.48,0.636,2.25,2.142857142857143,2.0,6.5,6.285714285714286,5.0,0.346,0.341,0.4,3.0,3.4285714285714284,5.0,4.0,4.428571428571429,7.0,0.75,0.774,0.714,2.25,1.5714285714285714,0.0,0.5,0.86,0.0,26.0375,26.280952366666668,25.15,1
8,8.0,22024,204001,22400381,"DEC 21, 2024",BOS @ CHI,W,30,8,15,0.533,2,6,0.333,4,4,1.0,1,6,7,2,2,2,1,4,22,14,1,BOS,1610612738,CHI,1610612741,0,F-C,0,1,0,0,1,1,29.0,86,240,21,6,119.5,3,2,115.0,13,15,121.4,3,2,114.2,5.8,4.5,17.3,19.1,20.5,6.5,6.75,7.0,14.5,14.375,14.0,0.448,0.47,0.5,2.0,2.125,2.0,6.5,6.375,6.0,0.308,0.333,0.333,2.25,3.5,4.5,3.0,4.375,5.5,0.75,0.8,0.818,1.75,1.625,1.0,0.5,0.75,0.0,27.6125,27.45625,30.416666666666668,1
9,9.0,22024,204001,22400393,"DEC 23, 2024",BOS @ ORL,L,37,2,10,0.2,0,4,0.0,13,14,0.929,1,3,4,0,0,2,1,3,17,-8,1,BOS,1610612738,ORL,1610612753,0,F-C,0,1,0,0,1,1,29.0,86,240,22,6,119.6,3,2,117.4,18,12,103.9,2,3,107.0,3.8,5.555555555555555,18.2,19.4,19.4,6.8,6.888888888888889,6.888888888888889,14.6,14.444444444444445,14.444444444444445,0.466,0.477,0.477,2.0,2.111111111111111,2.111111111111111,6.4,6.333333333333333,6.333333333333333,0.313,0.333,0.333,2.6,3.555555555555556,3.555555555555556,3.2,4.333333333333333,4.333333333333333,0.813,0.821,0.821,1.6,1.5555555555555556,1.5555555555555556,0.8,0.89,0.89,28.016666666666666,27.698148133333333,27.698148133333333,0
