,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,202681,22400074,"OCT 24, 2024",DAL vs. SAS,W,27,6,17,0.353,3,7,0.429,0,0,0.0,1,2,3,2,2,1,0,1,15,15,1,DAL,1610612742,SAS,1610612759,1,G,1,0,0,1,0,0,32.0,74,195,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,15.0,15.0,,15.0,,,6.0,,,17.0,,,0.353,,,3.0,,,7.0,,,0.429,,,0.0,,,0.0,,,0.0,,,1.0,,,2.0,,,27.0,,0
1,1.0,22024,202681,22400095,"OCT 26, 2024",DAL @ PHX,L,39,9,22,0.409,2,5,0.4,2,2,1.0,0,2,2,5,3,0,1,4,22,-13,1,DAL,1610612742,PHX,1610612756,0,G,1,0,0,1,0,0,32.0,74,195,1,0,120.0,1,4,120.0,1,1,118.0,1,4,116.0,1.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,17.0,17.0,17.0,0.353,0.353,0.353,3.0,3.0,3.0,7.0,7.0,7.0,0.429,0.429,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,27.4,27.4,27.4,1
2,2.0,22024,202681,22400110,"OCT 28, 2024",DAL vs. UTA,W,36,8,14,0.571,3,6,0.5,4,4,1.0,2,4,6,9,1,1,4,2,23,13,1,DAL,1610612742,UTA,1610612762,1,G,1,0,0,1,0,0,32.0,74,195,1,1,111.0,1,4,111.0,0,2,126.5,0,5,105.0,5.0,1.0,18.5,18.5,18.5,7.5,7.5,7.5,19.5,19.5,19.5,0.385,0.385,0.385,2.5,2.5,2.5,6.0,6.0,6.0,0.417,0.417,0.417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.5,2.5,2.5,33.05,33.05,33.05,1
3,3.0,22024,202681,22400114,"OCT 29, 2024",DAL @ MIN,W,39,13,23,0.565,6,8,0.75,3,5,0.6,2,2,4,5,1,0,1,3,35,4,1,DAL,1610612742,MIN,1610612750,0,G,1,0,0,1,0,0,32.0,74,195,2,1,110.7,2,3,110.7,2,1,108.7,2,3,110.7,4.75,5.0,20.0,20.0,20.0,7.666666666666667,7.666666666666667,7.666666666666667,17.666666666666668,17.666666666666668,17.666666666666668,0.434,0.434,0.434,2.6666666666666665,2.6666666666666665,2.6666666666666665,6.0,6.0,6.0,0.444,0.444,0.444,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,33.927777766666665,33.927777766666665,33.927777766666665,1
4,4.0,22024,202681,22400129,"OCT 31, 2024",DAL vs. HOU,L,43,10,20,0.5,5,6,0.833,3,3,1.0,4,4,8,7,0,0,3,2,28,-3,1,DAL,1610612742,HOU,1610612745,1,G,1,0,0,1,0,0,32.0,74,195,3,1,113.0,3,2,113.0,2,2,107.0,2,3,111.3,3.2,4.75,23.8,23.8,23.8,9.0,9.0,9.0,19.0,19.0,19.0,0.474,0.474,0.474,3.5,3.5,3.5,6.5,6.5,6.5,0.538,0.538,0.538,2.25,2.25,2.25,2.75,2.75,2.75,0.818,0.818,0.818,1.25,1.25,1.25,1.75,1.75,1.75,35.30416666666667,35.30416666666667,35.30416666666667,1
5,5.0,22024,202681,22400153,"NOV 03, 2024",DAL vs. ORL,W,28,5,11,0.455,1,2,0.5,6,7,0.857,0,2,2,3,2,0,1,2,17,17,1,DAL,1610612742,ORL,1610612753,1,G,1,0,0,1,0,0,32.0,74,195,3,2,110.8,3,2,110.8,3,3,109.8,2,3,110.8,3.6,3.2,24.6,24.6,24.6,9.2,9.2,9.2,19.2,19.2,19.2,0.479,0.479,0.479,3.8,3.8,3.8,6.4,6.4,6.4,0.594,0.594,0.594,2.4,2.4,2.4,2.8,2.8,2.8,0.857,0.857,0.857,1.8,1.8,1.8,1.4,1.4,1.4,36.81,36.81,36.81,0
6,6.0,22024,202681,22400165,"NOV 04, 2024",DAL vs. IND,L,40,11,21,0.524,3,7,0.429,2,2,1.0,2,3,5,4,0,0,2,3,27,-11,1,DAL,1610612742,IND,1610612754,1,G,1,0,0,1,0,0,32.0,74,195,4,2,110.3,3,2,108.4,2,4,121.0,1,4,116.0,4.0,5.5,25.0,23.3,23.3,9.0,8.5,8.5,18.0,17.833333333333332,17.833333333333332,0.5,0.477,0.477,3.4,3.333333333333333,3.333333333333333,5.4,5.666666666666667,5.666666666666667,0.63,0.588,0.588,3.6,3.0,3.0,4.2,3.5,3.5,0.857,0.857,0.857,1.6,1.5,1.5,1.4,1.5,1.5,37.016666666666666,35.413888883333335,35.413888883333335,1
7,7.0,22024,202681,22400176,"NOV 06, 2024",DAL vs. CHI,W,28,7,11,0.636,1,3,0.333,2,2,1.0,0,6,6,2,3,0,1,0,17,9,1,DAL,1610612742,CHI,1610612741,1,G,1,0,0,1,0,0,32.0,74,195,4,3,112.7,3,2,113.4,3,4,119.4,2,3,112.2,3.2,3.142857142857143,26.0,23.9,23.9,9.4,8.857142857142858,8.857142857142858,17.8,18.285714285714285,18.285714285714285,0.528,0.484,0.484,3.6,3.2857142857142856,3.2857142857142856,5.8,5.857142857142857,5.857142857142857,0.621,0.561,0.561,3.6,2.857142857142857,2.857142857142857,4.2,3.2857142857142856,3.2857142857142856,0.857,0.87,0.87,2.0,1.5714285714285714,1.5714285714285714,0.8,1.29,1.29,37.196666666666665,36.01190475,36.01190475,0
8,8.0,22024,202681,22400190,"NOV 08, 2024",DAL vs. PHX,L,41,10,17,0.588,2,6,0.333,7,9,0.778,2,5,7,6,3,0,2,1,29,9,1,DAL,1610612742,PHX,1610612756,1,G,1,0,0,1,0,0,32.0,74,195,5,3,113.5,3,2,115.2,7,1,110.9,5,0,114.0,4.2,3.875,24.8,23.0,22.0,9.2,8.625,9.0,17.2,17.375,22.0,0.535,0.496,0.409,3.2,3.0,2.0,5.2,5.5,5.0,0.615,0.545,0.4,3.2,2.75,2.0,3.8,3.125,2.0,0.842,0.88,1.0,1.6,1.375,0.0,1.2,1.5,3.0,35.6,34.97291666666667,38.7,1
9,9.0,22024,202681,22400208,"NOV 10, 2024",DAL @ DEN,L,35,17,22,0.773,6,8,0.75,3,3,1.0,0,5,5,5,1,1,1,1,43,-6,1,DAL,1610612742,DEN,1610612743,0,G,1,0,0,1,0,0,32.0,74,195,5,4,113.4,2,3,113.8,6,3,117.8,4,1,125.0,3.6,4.444444444444445,23.6,23.7,23.7,8.6,8.777777777777779,8.777777777777779,16.0,17.333333333333332,17.333333333333332,0.538,0.506,0.506,2.4,2.888888888888889,2.888888888888889,4.8,5.555555555555555,5.555555555555555,0.5,0.52,0.52,4.0,3.2222222222222223,3.2222222222222223,4.6,3.7777777777777777,3.7777777777777777,0.87,0.853,0.853,1.6,1.4444444444444444,1.4444444444444444,1.6,1.67,1.67,35.86666666666667,35.61666666666667,35.61666666666667,1
10,10.0,22024,202681,22400007,"NOV 12, 2024",DAL @ GSW,L,36,8,13,0.615,1,3,0.333,4,5,0.8,0,3,3,6,0,0,5,4,21,-13,1,DAL,1610612742,GSW,1610612744,0,G,1,0,0,1,0,0,32.0,74,195,5,5,114.1,2,3,117.4,8,2,109.4,4,1,122.8,-2.4,3.4,26.6,25.6,25.6,10.0,9.6,9.6,16.4,17.8,17.8,0.61,0.539,0.539,2.6,3.2,3.2,5.2,5.8,5.8,0.5,0.552,0.552,4.0,3.2,3.2,4.6,3.7,3.7,0.87,0.865,0.865,0.8,1.3,1.3,1.8,1.6,1.6,34.32333333333333,35.56666666666667,35.56666666666667,0
