,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,22024,2544,22400062,"OCT 22, 2024",LAL vs. MIN,W,35,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,-6,1,LAL,1610612747,MIN,1610612750,1,F,0,1,0,0,1,0,40.0,81,250,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-6.0,-6.0,,16.0,,,7.0,,,16.0,,,0.438,,,1.0,,,4.0,,,0.25,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,35.0,,0
1,1.0,1.0,1.0,1.0,1.0,22024,2544,22400085,"OCT 25, 2024",LAL vs. PHX,W,35,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,14,1,LAL,1610612747,PHX,1610612756,1,F,0,1,0,0,1,0,40.0,81,250,1,0,110.0,1,4,110.0,1,0,113.0,1,4,116.0,4.0,-6.0,16.0,16.0,16.0,7.0,7.0,7.0,16.0,16.0,16.0,0.438,0.438,0.438,1.0,1.0,1.0,4.0,4.0,4.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65,34.65,34.65,1
2,2.0,2.0,2.0,2.0,2.0,22024,2544,22400096,"OCT 26, 2024",LAL vs. SAC,W,34,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,13,1,LAL,1610612747,SAC,1610612758,1,F,0,1,0,0,1,0,40.0,81,250,2,0,116.5,2,3,116.5,0,1,117.0,0,5,115.0,7.0,4.0,18.5,18.5,18.5,7.0,7.0,7.0,14.5,14.5,14.5,0.483,0.483,0.483,1.5,1.5,1.5,4.5,4.5,4.5,0.333,0.333,0.333,3.0,3.0,3.0,4.5,4.5,4.5,0.667,0.667,0.667,0.0,0.0,0.0,0.0,0.0,0.0,34.675,34.675,34.675,1
3,3.0,3.0,3.0,3.0,3.0,22024,2544,22400111,"OCT 28, 2024",LAL @ PHX,L,36,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,-17,1,LAL,1610612747,PHX,1610612756,0,F,0,1,0,0,1,0,40.0,81,250,3,0,121.3,3,2,121.3,2,1,112.7,2,3,115.3,1.0,7.0,23.0,23.0,21.0,8.666666666666666,8.666666666666666,7.0,17.0,17.0,13.0,0.51,0.51,0.538,2.333333333333333,2.333333333333333,2.0,6.0,6.0,5.0,0.389,0.389,0.4,3.333333333333333,3.333333333333333,5.0,4.333333333333333,4.333333333333333,8.0,0.769,0.769,0.625,0.0,0.0,0.0,0.0,0.0,0.0,34.372222216666664,34.372222216666664,34.7,0
4,4.0,4.0,4.0,4.0,4.0,22024,2544,22400118,"OCT 30, 2024",LAL @ CLE,L,29,9,13,0.692,1,3,0.333,7,7,1.0,1,5,6,3,0,0,6,2,26,-17,1,LAL,1610612747,CLE,1610612739,0,F,0,1,0,0,1,0,40.0,81,250,3,1,117.3,3,2,117.3,4,0,106.8,4,1,123.5,-2.6,1.0,20.0,20.0,20.0,7.25,7.25,7.25,16.25,16.25,16.25,0.446,0.446,0.446,2.25,2.25,2.25,5.75,5.75,5.75,0.391,0.391,0.391,3.25,3.25,3.25,4.75,4.75,4.75,0.684,0.684,0.684,0.0,0.0,0.0,0.25,0.25,0.25,34.729166666666664,34.729166666666664,34.729166666666664,1
5,5.0,5.0,5.0,5.0,5.0,22024,2544,22400137,"NOV 01, 2024",LAL @ TOR,W,36,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,11,1,LAL,1610612747,TOR,1610612761,0,F,0,1,0,0,1,0,40.0,81,250,3,2,115.8,3,2,115.8,1,4,124.0,1,4,116.0,0.8,-2.6,21.2,21.2,21.2,7.6,7.6,7.6,15.6,15.6,15.6,0.487,0.487,0.487,2.0,2.0,2.0,5.2,5.2,5.2,0.385,0.385,0.385,4.0,4.0,4.0,5.2,5.2,5.2,0.769,0.769,0.769,0.2,0.2,0.2,0.2,0.2,0.2,33.57666666666667,33.57666666666667,33.57666666666667,1
6,6.0,6.0,6.0,6.0,6.0,22024,2544,22400156,"NOV 04, 2024",LAL @ DET,L,40,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,-16,1,LAL,1610612747,DET,1610612765,0,F,0,1,0,0,1,0,40.0,81,250,4,2,118.3,3,2,120.0,2,5,110.4,2,3,105.0,-5.2,-0.3333333333333333,23.4,22.2,22.2,8.0,7.833333333333333,7.833333333333333,15.8,15.833333333333334,15.833333333333334,0.506,0.495,0.495,2.8,2.5,2.5,6.0,5.666666666666667,5.666666666666667,0.467,0.441,0.441,4.6,4.0,4.0,6.2,5.333333333333333,5.333333333333333,0.742,0.75,0.75,0.2,0.1666666666666666,0.1666666666666666,0.4,0.33,0.33,33.89666666666667,34.02222221666667,34.02222221666667,0
7,7.0,7.0,7.0,7.0,7.0,22024,2544,22400174,"NOV 06, 2024",LAL @ MEM,L,35,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,-21,1,LAL,1610612747,MEM,1610612763,0,F,0,1,0,0,1,0,40.0,81,250,4,3,116.1,2,3,116.0,4,4,115.0,2,3,115.8,-12.0,-2.571428571428572,23.2,21.9,21.9,8.0,7.714285714285714,7.714285714285714,16.4,15.857142857142858,15.857142857142858,0.488,0.486,0.486,2.6,2.2857142857142856,2.2857142857142856,5.4,5.142857142857143,5.142857142857143,0.481,0.444,0.444,4.6,4.142857142857143,4.142857142857143,5.6,5.285714285714286,5.285714285714286,0.821,0.784,0.784,0.4,0.2857142857142857,0.2857142857142857,0.8,0.57,0.57,34.95666666666666,34.876190466666664,34.876190466666664,1
8,8.0,8.0,8.0,8.0,8.0,22024,2544,22400195,"NOV 08, 2024",LAL vs. PHI,W,34,9,14,0.643,2,4,0.5,1,1,1.0,0,12,12,13,0,3,2,0,21,12,1,LAL,1610612747,PHI,1610612755,1,F,0,1,0,0,1,0,40.0,81,250,4,4,115.9,1,4,112.6,1,6,115.7,1,4,106.8,-6.2,-4.875,24.6,24.0,24.0,8.6,8.625,8.625,16.8,16.875,16.875,0.512,0.511,0.511,3.0,2.75,2.75,5.8,5.875,5.875,0.517,0.468,0.468,4.4,4.0,4.0,5.6,5.125,5.125,0.786,0.78,0.78,0.4,0.25,0.25,1.0,0.63,0.63,35.28666666666667,34.94375,34.94375,0
9,9.0,9.0,9.0,9.0,9.0,22024,2544,22400211,"NOV 10, 2024",LAL vs. TOR,W,35,6,14,0.429,0,3,0.0,7,7,1.0,2,8,10,16,1,0,3,0,19,13,1,LAL,1610612747,TOR,1610612761,1,F,0,1,0,0,1,0,40.0,81,250,5,4,115.9,2,3,114.8,2,8,122.7,1,4,117.0,-0.2,-3.0,26.6,23.7,27.0,9.8,8.666666666666666,9.0,16.8,16.555555555555557,17.0,0.583,0.523,0.529,3.0,2.6666666666666665,5.0,5.6,5.666666666666667,8.0,0.536,0.471,0.625,4.0,3.6666666666666665,4.0,4.6,4.666666666666667,6.0,0.87,0.786,0.667,0.4,0.2222222222222222,0.0,0.8,0.56,1.0,34.88666666666667,34.81666666666667,36.25,0
