,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,22024,1629029,22400074,"OCT 24, 2024",DAL vs. SAS,W,36,9,25,0.36,4,11,0.364,6,8,0.75,1,9,10,8,1,1,4,3,28,6,1,DAL,1610612742,SAS,1610612759,1,F-G,0,1,0,1,1,0,25.0,78,230,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,6.0,6.0,,28.0,,,9.0,,,25.0,,,0.36,,,4.0,,,11.0,,,0.364,,,6.0,,,8.0,,,0.75,,,1.0,,,1.0,,,36.0,,0
1,1.0,1.0,1.0,1.0,22024,1629029,22400095,"OCT 26, 2024",DAL @ PHX,L,39,12,25,0.48,5,13,0.385,11,12,0.917,1,9,10,4,0,1,2,4,40,-12,1,DAL,1610612742,PHX,1610612756,0,F-G,0,1,0,1,1,0,25.0,78,230,1,0,120.0,1,4,120.0,1,1,118.0,1,4,116.0,-3.0,6.0,28.0,28.0,28.0,9.0,9.0,9.0,25.0,25.0,25.0,0.36,0.36,0.36,4.0,4.0,4.0,11.0,11.0,11.0,0.364,0.364,0.364,6.0,6.0,6.0,8.0,8.0,8.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,36.28333333333333,36.28333333333333,36.28333333333333,1
2,2.0,2.0,2.0,2.0,22024,1629029,22400110,"OCT 28, 2024",DAL vs. UTA,W,33,5,22,0.227,1,9,0.111,4,6,0.667,0,9,9,8,2,1,2,5,15,5,1,DAL,1610612742,UTA,1610612762,1,F-G,0,1,0,1,1,0,25.0,78,230,1,1,111.0,1,4,111.0,0,2,126.5,0,5,105.0,-0.3333333333333333,-3.0,34.0,34.0,34.0,10.5,10.5,10.5,25.0,25.0,25.0,0.42,0.42,0.42,4.5,4.5,4.5,12.0,12.0,12.0,0.375,0.375,0.375,8.5,8.5,8.5,10.0,10.0,10.0,0.85,0.85,0.85,1.0,1.0,1.0,0.5,0.5,0.5,37.85,37.85,37.85,0
3,3.0,3.0,3.0,3.0,22024,1629029,22400114,"OCT 29, 2024",DAL @ MIN,W,40,10,27,0.37,1,8,0.125,3,4,0.75,1,7,8,8,1,0,3,2,24,3,1,DAL,1610612742,MIN,1610612750,0,F-G,0,1,0,1,1,0,25.0,78,230,2,1,110.7,2,3,110.7,2,1,108.7,2,3,110.7,0.5,-0.3333333333333333,27.7,27.7,27.7,8.666666666666666,8.666666666666666,8.666666666666666,24.0,24.0,24.0,0.361,0.361,0.361,3.333333333333333,3.333333333333333,3.333333333333333,11.0,11.0,11.0,0.303,0.303,0.303,7.0,7.0,7.0,8.666666666666666,8.666666666666666,8.666666666666666,0.808,0.808,0.808,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,36.3,36.3,36.3,0
4,4.0,4.0,4.0,4.0,22024,1629029,22400129,"OCT 31, 2024",DAL vs. HOU,L,38,12,25,0.48,3,7,0.429,2,4,0.5,0,5,5,2,1,0,1,5,29,-2,1,DAL,1610612742,HOU,1610612745,1,F-G,0,1,0,1,1,0,25.0,78,230,3,1,113.0,3,2,113.0,2,2,107.0,2,3,111.3,0.0,0.5,26.8,26.8,26.8,9.0,9.0,9.0,24.75,24.75,24.75,0.364,0.364,0.364,2.75,2.75,2.75,10.25,10.25,10.25,0.268,0.268,0.268,6.0,6.0,6.0,7.5,7.5,7.5,0.8,0.8,0.8,0.75,0.75,0.75,1.0,1.0,1.0,37.2625,37.2625,37.2625,1
5,5.0,5.0,5.0,5.0,22024,1629029,22400153,"NOV 03, 2024",DAL vs. ORL,W,32,11,22,0.5,5,13,0.385,5,7,0.714,1,8,9,7,0,0,4,3,32,21,1,DAL,1610612742,ORL,1610612753,1,F-G,0,1,0,1,1,0,25.0,78,230,3,2,110.8,3,2,110.8,3,3,109.8,2,3,110.8,3.0,0.0,27.2,27.2,27.2,9.6,9.6,9.6,24.8,24.8,24.8,0.387,0.387,0.387,2.8,2.8,2.8,9.6,9.6,9.6,0.292,0.292,0.292,5.2,5.2,5.2,6.8,6.8,6.8,0.765,0.765,0.765,0.6,0.6,0.6,1.0,1.0,1.0,37.31333333333333,37.31333333333333,37.31333333333333,1
6,6.0,6.0,6.0,6.0,22024,1629029,22400165,"NOV 04, 2024",DAL vs. IND,L,42,9,24,0.375,4,10,0.4,12,15,0.8,0,7,7,15,2,0,2,3,34,-3,1,DAL,1610612742,IND,1610612754,1,F-G,0,1,0,1,1,0,25.0,78,230,4,2,110.3,3,2,108.4,2,4,121.0,1,4,116.0,4.8,3.5,28.0,28.0,28.0,10.0,9.833333333333334,9.833333333333334,24.2,24.33333333333333,24.33333333333333,0.413,0.404,0.404,3.0,3.1666666666666665,3.1666666666666665,10.0,10.166666666666666,10.166666666666666,0.3,0.311,0.311,5.0,5.166666666666667,5.166666666666667,6.6,6.833333333333333,6.833333333333333,0.758,0.756,0.756,0.6,0.6666666666666666,0.6666666666666666,0.8,0.83,0.83,36.4,36.38055555,36.38055555,1
7,7.0,7.0,7.0,7.0,22024,1629029,22400176,"NOV 06, 2024",DAL vs. CHI,W,32,8,19,0.421,3,8,0.375,8,9,0.889,0,7,7,13,4,0,5,3,27,35,1,DAL,1610612742,CHI,1610612741,1,F-G,0,1,0,1,1,0,25.0,78,230,4,3,112.7,3,2,113.4,3,4,119.4,2,3,112.2,10.8,2.571428571428572,26.8,28.9,28.9,9.4,9.714285714285714,9.714285714285714,24.0,24.285714285714285,24.285714285714285,0.392,0.4,0.4,2.8,3.2857142857142856,3.2857142857142856,9.4,10.142857142857142,10.142857142857142,0.298,0.324,0.324,5.2,6.142857142857143,6.142857142857143,7.2,8.0,8.0,0.722,0.768,0.768,0.4,0.5714285714285714,0.5714285714285714,1.2,1.0,1.0,36.98333333333333,37.23095236666666,37.23095236666666,0
8,8.0,8.0,8.0,8.0,22024,1629029,22400190,"NOV 08, 2024",DAL vs. PHX,L,42,11,25,0.44,5,12,0.417,3,3,1.0,0,7,7,7,1,0,3,3,30,-4,1,DAL,1610612742,PHX,1610612756,1,F-G,0,1,0,1,1,0,25.0,78,230,5,3,113.5,3,2,115.2,7,1,110.9,5,0,114.0,9.4,6.625,29.2,28.6,40.0,10.0,9.5,12.0,23.4,23.625,25.0,0.427,0.402,0.48,3.2,3.25,5.0,9.2,9.875,13.0,0.348,0.329,0.385,6.0,6.375,11.0,7.8,8.125,12.0,0.769,0.785,0.917,0.4,0.5,1.0,1.6,1.38,0.0,36.806666666666665,36.61666666666667,39.41666666666666,1
9,9.0,9.0,9.0,9.0,22024,1629029,22400208,"NOV 10, 2024",DAL @ DEN,L,41,9,19,0.474,2,8,0.25,4,6,0.667,1,8,9,9,1,1,5,2,24,5,1,DAL,1610612742,DEN,1610612743,0,F-G,0,1,0,1,1,0,25.0,78,230,5,4,113.4,2,3,113.8,6,3,117.8,4,1,125.0,10.8,5.444444444444445,30.4,28.8,28.8,10.2,9.666666666666666,9.666666666666666,23.0,23.77777777777778,23.77777777777778,0.443,0.407,0.407,4.0,3.4444444444444446,3.4444444444444446,10.0,10.11111111111111,10.11111111111111,0.4,0.341,0.341,6.0,6.0,6.0,7.6,7.555555555555555,7.555555555555555,0.789,0.794,0.794,0.2,0.4444444444444444,0.4444444444444444,1.6,1.33,1.33,37.21333333333333,37.235185183333336,37.235185183333336,0
