,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1628970,22400068,"OCT 23, 2024",CHA @ HOU,W,32,5,11,0.455,0,3,0.0,0,0,0.0,0,9,9,2,1,1,4,1,10,4,1,CHA,1610612766,HOU,1610612745,0,F,0,1,0,0,1,0,26.0,79,225,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,4.0,4.0,,10.0,,,5.0,,,11.0,,,0.455,,,0.0,,,3.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,32.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22024,1628970,22400079,"OCT 25, 2024",CHA @ ATL,L,31,8,17,0.471,3,8,0.375,8,8,1.0,1,4,5,0,0,1,0,3,27,-16,1,CHA,1610612766,ATL,1610612737,0,F,0,1,0,0,1,0,26.0,79,225,1,0,110.0,1,4,110.0,1,0,116.0,1,4,120.0,-6.0,4.0,10.0,10.0,10.0,5.0,5.0,5.0,11.0,11.0,11.0,0.455,0.455,0.455,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.28333333333333,32.28333333333333,32.28333333333333,1
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22024,1628970,22400088,"OCT 26, 2024",CHA vs. MIA,L,35,6,14,0.429,2,6,0.333,2,4,0.5,2,7,9,2,0,1,2,2,16,0,1,CHA,1610612766,MIA,1610612748,1,F,0,1,0,0,1,0,26.0,79,225,1,1,115.0,1,4,115.0,0,1,116.0,0,5,97.0,-4.0,-6.0,18.5,18.5,18.5,6.5,6.5,6.5,14.0,14.0,14.0,0.464,0.464,0.464,1.5,1.5,1.5,5.5,5.5,5.5,0.273,0.273,0.273,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,31.391666666666666,31.391666666666666,31.391666666666666,0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22024,1628970,22400117,"OCT 30, 2024",CHA vs. TOR,W,24,2,11,0.182,1,7,0.143,2,2,1.0,0,3,3,2,0,1,2,0,7,-12,1,CHA,1610612766,TOR,1610612761,1,F,0,1,0,0,1,0,26.0,79,225,1,2,112.0,1,4,112.0,1,3,120.5,1,4,111.8,-6.0,-4.0,17.7,17.7,17.7,6.333333333333333,6.333333333333333,6.333333333333333,14.0,14.0,14.0,0.452,0.452,0.452,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,0.294,0.294,0.294,3.333333333333333,3.333333333333333,3.333333333333333,4.0,4.0,4.0,0.833,0.833,0.833,1.0,1.0,1.0,0.33,0.33,0.33,32.52222221666667,32.52222221666667,32.52222221666667,0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22024,1628970,22400132,"NOV 01, 2024",CHA vs. BOS,L,31,5,16,0.313,2,10,0.2,2,3,0.667,0,7,7,3,1,0,1,1,14,-12,1,CHA,1610612766,BOS,1610612738,1,F,0,1,0,0,1,0,26.0,79,225,2,2,118.5,2,3,118.5,4,1,114.4,4,1,125.8,-7.2,-6.0,15.0,15.0,15.0,5.25,5.25,5.25,13.25,13.25,13.25,0.396,0.396,0.396,1.5,1.5,1.5,6.0,6.0,6.0,0.25,0.25,0.25,3.0,3.0,3.0,3.5,3.5,3.5,0.857,0.857,0.857,0.75,0.75,0.75,0.25,0.25,0.25,30.370833333333334,30.370833333333334,30.370833333333334,0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22024,1628970,22400141,"NOV 02, 2024",CHA vs. BOS,L,31,2,6,0.333,1,2,0.5,1,2,0.5,0,8,8,5,2,0,3,1,6,-4,1,CHA,1610612766,BOS,1610612738,1,F,0,1,0,0,1,0,26.0,79,225,2,3,116.6,2,3,116.6,5,1,113.5,4,1,124.2,-8.8,-7.2,14.8,14.8,14.0,5.2,5.2,5.0,13.8,13.8,16.0,0.377,0.377,0.313,1.6,1.6,2.0,6.8,6.8,10.0,0.235,0.235,0.2,2.8,2.8,2.0,3.4,3.4,3.0,0.824,0.824,0.667,0.6,0.6,0.0,0.4,0.4,1.0,30.563333333333333,30.563333333333333,31.33333333333333,0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22024,1628970,22400162,"NOV 04, 2024",CHA @ MIN,L,25,4,13,0.308,1,6,0.167,1,2,0.5,1,5,6,4,0,0,1,1,10,-10,1,CHA,1610612766,MIN,1610612750,0,F,0,1,0,0,1,0,26.0,79,225,2,4,114.3,1,4,115.2,3,3,112.5,3,2,113.0,-7.6,-6.666666666666667,14.0,13.3,13.3,4.6,4.666666666666667,4.666666666666667,12.8,12.5,12.5,0.359,0.373,0.373,1.8,1.5,1.5,6.6,6.0,6.0,0.273,0.25,0.25,3.0,2.5,2.5,3.8,3.1666666666666665,3.1666666666666665,0.789,0.789,0.789,0.6,0.5,0.5,0.6,0.67,0.67,30.366666666666667,30.6861111,30.6861111,0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22024,1628970,22400169,"NOV 06, 2024",CHA vs. DET,W,35,8,14,0.571,2,3,0.667,9,9,1.0,1,6,7,2,0,0,0,3,27,6,1,CHA,1610612766,DET,1610612765,1,F,0,1,0,0,1,0,26.0,79,225,2,5,111.3,1,4,109.8,3,5,109.5,3,2,104.4,-6.4,-7.142857142857143,10.6,12.9,12.9,3.8,4.571428571428571,4.571428571428571,12.0,12.571428571428571,12.571428571428571,0.317,0.364,0.364,1.4,1.4285714285714286,1.4285714285714286,6.2,6.0,6.0,0.226,0.238,0.238,1.6,2.2857142857142856,2.2857142857142856,2.6,3.0,3.0,0.615,0.762,0.762,0.6,0.5714285714285714,0.5714285714285714,0.6,0.57,0.57,29.266666666666666,29.873809516666668,29.873809516666668,1
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,22024,1628970,22400229,"NOV 16, 2024",CHA vs. MIL,W,27,7,15,0.467,3,7,0.429,2,2,1.0,2,5,7,3,1,0,1,0,19,4,1,CHA,1610612766,MIL,1610612749,1,F,0,1,0,0,1,0,26.0,79,225,4,7,107.6,2,3,99.6,4,8,113.5,3,2,110.0,-3.2,-5.5,18.5,14.6,14.6,6.0,5.0,5.0,13.5,12.75,12.75,0.444,0.392,0.392,1.5,1.5,1.5,4.5,5.625,5.625,0.333,0.267,0.267,5.0,3.125,3.125,5.5,3.75,3.75,0.909,0.833,0.833,1.0,0.625,0.625,0.0,0.5,0.5,30.0,30.51458333333333,30.51458333333333,1
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22024,1628970,22400236,"NOV 17, 2024",CHA @ CLE,L,27,7,15,0.467,4,8,0.5,1,1,1.0,1,7,8,8,2,1,0,2,19,-15,1,CHA,1610612766,CLE,1610612739,0,F,0,1,0,0,1,0,26.0,79,225,5,7,108.3,3,2,104.0,14,0,111.2,5,0,123.6,-3.8,-4.444444444444445,23.0,15.1,15.1,7.5,5.222222222222222,5.222222222222222,14.5,13.0,13.0,0.517,0.402,0.402,2.5,1.6666666666666667,1.6666666666666667,5.0,5.777777777777778,5.777777777777778,0.5,0.288,0.288,5.5,3.0,3.0,5.5,3.555555555555556,3.555555555555556,1.0,0.844,0.844,1.5,0.7777777777777778,0.7777777777777778,0.5,0.56,0.56,30.975,30.118518516666665,30.118518516666665,1
