,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,22024,202331,22400167,"NOV 04, 2024",PHI @ PHX,L,32,4,14,0.286,1,7,0.143,6,7,0.857,0,5,5,4,1,0,6,3,15,3,1,PHI,1610612755,PHX,1610612756,0,F,0,1,0,0,1,0,34.0,80,220,1,4,107.2,1,4,107.2,5,1,109.8,4,1,113.4,3.0,3.0,,15.0,,,4.0,,,14.0,,,0.286,,,1.0,,,7.0,,,0.143,,,6.0,,,7.0,,,0.857,,,0.0,,,1.0,,,32.0,,0
1,1.0,1.0,1.0,1.0,22024,202331,22400179,"NOV 06, 2024",PHI @ LAC,L,24,7,9,0.778,2,3,0.667,2,2,1.0,3,4,7,2,3,1,4,4,18,-11,1,PHI,1610612755,LAC,1610612746,0,F,0,1,0,0,1,0,34.0,80,220,1,5,108.7,1,4,108.6,3,4,109.1,2,3,108.2,-4.0,3.0,15.0,15.0,15.0,4.0,4.0,4.0,14.0,14.0,14.0,0.286,0.286,0.286,1.0,1.0,1.0,7.0,7.0,7.0,0.143,0.143,0.143,6.0,6.0,6.0,7.0,7.0,7.0,0.857,0.857,0.857,0.0,0.0,0.0,1.0,1.0,1.0,31.6,31.6,31.6,1
2,2.0,2.0,2.0,2.0,22024,202331,22400195,"NOV 08, 2024",PHI @ LAL,L,25,4,13,0.308,0,6,0.0,1,2,0.5,1,3,4,8,1,0,0,2,9,-4,1,PHI,1610612755,LAL,1610612747,0,F,0,1,0,0,1,0,34.0,80,220,1,6,107.1,1,4,106.8,4,4,120.0,1,4,112.6,-4.0,-4.0,16.5,16.5,16.5,5.5,5.5,5.5,11.5,11.5,11.5,0.478,0.478,0.478,1.5,1.5,1.5,5.0,5.0,5.0,0.3,0.3,0.3,4.0,4.0,4.0,4.5,4.5,4.5,0.889,0.889,0.889,1.5,1.5,1.5,2.0,2.0,2.0,27.6,27.6,27.6,0
3,3.0,3.0,3.0,3.0,22024,202331,22400205,"NOV 10, 2024",PHI vs. CHA,W,33,6,18,0.333,1,9,0.111,2,2,1.0,0,3,3,9,2,0,4,1,15,-2,1,PHI,1610612755,CHA,1610612766,1,F,0,1,0,0,1,0,34.0,80,220,1,7,107.0,0,5,104.4,4,5,113.1,2,3,103.2,-3.5,-4.0,14.0,14.0,14.0,5.0,5.0,5.0,12.0,12.0,12.0,0.417,0.417,0.417,1.0,1.0,1.0,5.333333333333333,5.333333333333333,5.333333333333333,0.188,0.188,0.188,3.0,3.0,3.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.818,0.818,0.818,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.67,1.67,1.67,26.716666666666665,26.716666666666665,26.716666666666665,1
4,4.0,4.0,4.0,4.0,22024,202331,22400004,"NOV 12, 2024",PHI vs. NYK,L,32,10,19,0.526,7,11,0.636,2,2,1.0,1,9,10,3,3,1,4,3,29,-11,1,PHI,1610612755,NYK,1610612752,1,F,0,1,0,0,1,0,34.0,80,220,2,7,107.0,1,4,106.8,4,5,111.2,2,3,115.6,-5.0,-3.5,14.3,14.3,14.3,5.25,5.25,5.25,13.5,13.5,13.5,0.389,0.389,0.389,1.0,1.0,1.0,6.25,6.25,6.25,0.16,0.16,0.16,2.75,2.75,2.75,3.25,3.25,3.25,0.846,0.846,0.846,1.0,1.0,1.0,1.75,1.75,1.75,28.34583333333333,28.34583333333333,28.34583333333333,1
5,5.0,5.0,5.0,5.0,22024,202331,22400010,"NOV 15, 2024",PHI @ ORL,L,36,4,15,0.267,3,9,0.333,2,3,0.667,1,3,4,5,4,0,3,2,13,-11,1,PHI,1610612755,ORL,1610612753,0,F,0,1,0,0,1,0,34.0,80,220,2,9,106.2,1,4,103.2,7,6,103.7,4,1,111.0,-7.8,-5.0,17.8,17.2,17.2,6.75,6.2,6.2,14.75,14.6,14.6,0.458,0.425,0.425,2.5,2.2,2.2,7.25,7.2,7.2,0.345,0.306,0.306,1.75,2.6,2.6,2.0,3.0,3.0,0.875,0.867,0.867,1.25,1.0,1.0,2.25,2.0,2.0,28.479166666666668,29.10333333333333,29.10333333333333,0
6,6.0,6.0,6.0,6.0,22024,202331,22400245,"NOV 18, 2024",PHI @ MIA,L,33,5,13,0.385,1,7,0.143,7,9,0.778,0,6,6,5,3,0,3,3,18,-17,1,PHI,1610612755,MIA,1610612748,0,F,0,1,0,0,1,0,34.0,80,220,2,10,104.5,1,4,100.8,5,7,111.8,2,3,114.4,-9.0,-6.0,16.5,16.5,16.5,6.0,5.833333333333333,5.833333333333333,16.25,14.666666666666666,14.666666666666666,0.369,0.398,0.398,2.75,2.333333333333333,2.333333333333333,8.75,7.5,7.5,0.314,0.311,0.311,1.75,2.5,2.5,2.25,3.0,3.0,0.778,0.833,0.833,0.75,1.0,1.0,2.5,2.33,2.33,31.475,30.183333333333334,30.183333333333334,1
7,7.0,7.0,7.0,7.0,22024,202331,22400255,"NOV 20, 2024",PHI @ MEM,L,17,1,6,0.167,0,2,0.0,0,0,0.0,1,3,4,2,1,0,1,1,2,-10,1,PHI,1610612755,MEM,1610612763,0,F,0,1,0,0,1,0,34.0,80,220,2,11,103.3,1,4,97.4,8,7,112.7,2,3,118.0,-10.2,-7.571428571428571,18.8,16.7,16.7,6.25,5.714285714285714,5.714285714285714,16.25,14.428571428571429,14.428571428571429,0.385,0.396,0.396,3.0,2.142857142857143,2.142857142857143,9.0,7.428571428571429,7.428571428571429,0.333,0.288,0.288,3.25,3.142857142857143,3.142857142857143,4.0,3.857142857142857,3.857142857142857,0.813,0.815,0.815,0.5,0.8571428571428571,0.8571428571428571,3.0,2.43,2.43,33.475,30.578571416666662,30.578571416666662,0
8,8.0,8.0,8.0,8.0,22024,202331,22400301,"NOV 30, 2024",PHI @ DET,W,26,4,12,0.333,1,2,0.5,2,3,0.667,1,7,8,5,1,0,3,3,11,30,1,PHI,1610612755,DET,1610612765,0,F,0,1,0,0,1,0,34.0,80,220,3,14,104.8,1,4,105.4,9,12,111.7,2,3,112.8,-3.8,-7.875,10.0,14.9,14.9,3.0,5.125,5.125,9.5,13.375,13.375,0.316,0.383,0.383,0.5,1.875,1.875,4.5,6.75,6.75,0.111,0.278,0.278,3.5,2.75,2.75,4.5,3.375,3.375,0.778,0.815,0.815,0.5,0.875,0.875,2.0,2.25,2.25,25.2,28.9375,28.9375,0
9,9.0,9.0,9.0,9.0,22024,202331,22400050,"DEC 03, 2024",PHI @ CHA,W,37,10,16,0.625,6,9,0.667,3,3,1.0,1,1,2,8,2,1,2,2,29,0,1,PHI,1610612755,CHA,1610612766,0,F,0,1,0,0,1,0,34.0,80,220,4,14,105.1,2,3,109.8,6,14,112.1,0,5,99.8,-1.6,-3.6666666666666665,6.5,14.4,15.0,2.5,5.0,6.0,9.0,13.22222222222222,18.0,0.278,0.378,0.333,0.5,1.7777777777777777,1.0,2.0,6.222222222222222,9.0,0.25,0.286,0.111,1.0,2.6666666666666665,2.0,1.5,3.333333333333333,2.0,0.667,0.8,1.0,1.0,0.8888888888888888,0.0,1.0,2.11,2.0,21.9,28.65,33.233333333333334,1
