,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1629060,22400062,"OCT 22, 2024",LAL vs. MIN,W,35,7,14,0.5,1,4,0.25,3,4,0.75,3,2,5,1,2,1,0,2,18,19,1,LAL,1610612747,MIN,1610612750,1,F,0,1,0,0,1,0,26.0,80,230,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,19.0,19.0,,18.0,,,7.0,,,14.0,,,0.5,,,1.0,,,4.0,,,0.25,,,3.0,,,4.0,,,0.75,,,3.0,,,2.0,,,35.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22024,1629060,22400085,"OCT 25, 2024",LAL vs. PHX,W,39,5,12,0.417,2,4,0.5,2,4,0.5,2,5,7,2,0,0,1,1,14,0,1,LAL,1610612747,PHX,1610612756,1,F,0,1,0,0,1,0,26.0,80,230,1,0,110.0,1,4,110.0,1,0,113.0,1,4,116.0,9.5,19.0,18.0,18.0,18.0,7.0,7.0,7.0,14.0,14.0,14.0,0.5,0.5,0.5,1.0,1.0,1.0,4.0,4.0,4.0,0.25,0.25,0.25,3.0,3.0,3.0,4.0,4.0,4.0,0.75,0.75,0.75,3.0,3.0,3.0,2.0,2.0,2.0,35.083333333333336,35.083333333333336,35.083333333333336,0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22024,1629060,22400096,"OCT 26, 2024",LAL vs. SAC,W,37,5,13,0.385,2,2,1.0,6,6,1.0,4,5,9,3,0,0,1,1,18,17,1,LAL,1610612747,SAC,1610612758,1,F,0,1,0,0,1,0,26.0,80,230,2,0,116.5,2,3,116.5,0,1,117.0,0,5,115.0,12.0,9.5,16.0,16.0,16.0,6.0,6.0,6.0,13.0,13.0,13.0,0.462,0.462,0.462,1.5,1.5,1.5,4.0,4.0,4.0,0.375,0.375,0.375,2.5,2.5,2.5,4.0,4.0,4.0,0.625,0.625,0.625,2.5,2.5,2.5,1.0,1.0,1.0,37.05,37.05,37.05,1
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22024,1629060,22400111,"OCT 28, 2024",LAL @ PHX,L,31,8,18,0.444,3,3,1.0,1,1,1.0,5,5,10,1,1,1,0,5,20,20,1,LAL,1610612747,PHX,1610612756,0,F,0,1,0,0,1,0,26.0,80,230,3,0,121.3,3,2,121.3,2,1,112.7,2,3,115.3,14.0,12.0,16.7,16.7,14.0,5.666666666666667,5.666666666666667,5.0,13.0,13.0,12.0,0.436,0.436,0.417,1.6666666666666667,1.6666666666666667,2.0,3.333333333333333,3.333333333333333,4.0,0.5,0.5,0.5,3.6666666666666665,3.6666666666666665,2.0,4.666666666666667,4.666666666666667,4.0,0.786,0.786,0.5,3.0,3.0,2.0,0.67,0.67,0.0,37.15,37.15,39.016666666666666,1
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22024,1629060,22400118,"OCT 30, 2024",LAL @ CLE,L,28,4,6,0.667,0,1,0.0,0,0,0.0,0,5,5,2,1,0,2,1,8,-11,1,LAL,1610612747,CLE,1610612739,0,F,0,1,0,0,1,0,26.0,80,230,3,1,117.3,3,2,117.3,4,0,106.8,4,1,123.5,9.0,14.0,17.5,17.5,17.5,6.25,6.25,6.25,14.25,14.25,14.25,0.439,0.439,0.439,2.0,2.0,2.0,3.25,3.25,3.25,0.615,0.615,0.615,3.0,3.0,3.0,3.75,3.75,3.75,0.8,0.8,0.8,3.5,3.5,3.5,0.75,0.75,0.75,35.7,35.7,35.7,0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22024,1629060,22400137,"NOV 01, 2024",LAL @ TOR,W,33,3,12,0.25,2,5,0.4,1,1,1.0,1,4,5,1,0,0,1,0,9,-6,1,LAL,1610612747,TOR,1610612761,0,F,0,1,0,0,1,0,26.0,80,230,3,2,115.8,3,2,115.8,1,4,124.0,1,4,116.0,4.0,9.0,15.6,15.6,15.6,5.8,5.8,5.8,12.6,12.6,12.6,0.46,0.46,0.46,1.6,1.6,1.6,2.8,2.8,2.8,0.571,0.571,0.571,2.4,2.4,2.4,3.0,3.0,3.0,0.8,0.8,0.8,2.8,2.8,2.8,0.8,0.8,0.8,34.21666666666667,34.21666666666667,34.21666666666667,0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22024,1629060,22400156,"NOV 04, 2024",LAL @ DET,L,35,2,6,0.333,2,2,1.0,2,2,1.0,0,4,4,1,0,1,0,2,8,-7,1,LAL,1610612747,DET,1610612765,0,F,0,1,0,0,1,0,26.0,80,230,4,2,118.3,3,2,120.0,2,5,110.4,2,3,105.0,2.6,6.5,13.8,14.5,14.5,5.0,5.333333333333333,5.333333333333333,12.2,12.5,12.5,0.41,0.427,0.427,1.8,1.6666666666666667,1.6666666666666667,3.0,3.1666666666666665,3.1666666666666665,0.6,0.526,0.526,2.0,2.1666666666666665,2.1666666666666665,2.4,2.6666666666666665,2.6666666666666665,0.833,0.813,0.813,2.4,2.5,2.5,0.4,0.67,0.67,33.843333333333334,34.05,34.05,0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22024,1629060,22400195,"NOV 08, 2024",LAL vs. PHI,W,33,3,8,0.375,3,6,0.5,0,0,0.0,1,3,4,1,0,0,1,5,9,-4,1,LAL,1610612747,PHI,1610612755,1,F,0,1,0,0,1,0,26.0,80,230,4,4,115.9,1,4,112.6,1,6,115.7,1,4,106.8,-1.6,4.571428571428571,11.3,13.6,13.6,4.25,4.857142857142857,4.857142857142857,10.5,11.571428571428571,11.571428571428571,0.405,0.42,0.42,1.75,1.7142857142857142,1.7142857142857142,2.75,3.0,3.0,0.636,0.571,0.571,1.0,2.142857142857143,2.142857142857143,1.0,2.571428571428572,2.571428571428572,1.0,0.833,0.833,1.5,2.142857142857143,2.142857142857143,0.5,0.57,0.57,31.904166666666665,34.15238095,34.15238095,0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,22024,1629060,22400211,"NOV 10, 2024",LAL vs. TOR,W,32,2,11,0.182,0,5,0.0,0,0,0.0,3,2,5,0,2,1,0,2,4,6,1,LAL,1610612747,TOR,1610612761,1,F,0,1,0,0,1,0,26.0,80,230,5,4,115.9,2,3,114.8,2,8,122.7,1,4,117.0,-4.4,3.5,8.5,13.0,9.0,3.0,4.625,3.0,8.0,11.125,12.0,0.375,0.416,0.25,1.75,1.875,2.0,3.5,3.375,5.0,0.5,0.556,0.4,0.75,1.875,1.0,0.75,2.25,1.0,1.0,0.833,1.0,0.5,2.0,1.0,0.25,0.5,0.0,32.275,33.9875,33.21666666666667,0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22024,1629060,22400225,"NOV 13, 2024",LAL vs. MEM,W,36,6,7,0.857,3,4,0.75,4,5,0.8,3,4,7,3,1,1,1,1,19,7,1,LAL,1610612747,MEM,1610612763,1,F,0,1,0,0,1,0,26.0,80,230,6,4,116.6,3,2,117.4,7,4,111.5,4,1,124.2,-0.8,3.7777777777777777,7.5,12.0,12.0,2.5,4.333333333333333,4.333333333333333,9.25,11.11111111111111,11.11111111111111,0.27,0.39,0.39,1.75,1.6666666666666667,1.6666666666666667,4.5,3.555555555555556,3.555555555555556,0.389,0.469,0.469,0.75,1.6666666666666667,1.6666666666666667,0.75,2.0,2.0,1.0,0.833,0.833,1.25,2.111111111111111,2.111111111111111,0.5,0.67,0.67,33.12083333333333,33.729629616666664,33.729629616666664,1
