,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,22024,201566,22400075,"OCT 24, 2024",DEN vs. OKC,L,21,2,10,0.2,1,6,0.167,1,4,0.25,1,4,5,5,1,2,2,0,6,-24,1,DEN,1610612743,OKC,1610612760,1,G,1,0,0,1,0,0,36.0,76,200,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-24.0,-24.0,,6.0,,,2.0,,,10.0,,,0.2,,,1.0,,,6.0,,,0.167,,,1.0,,,4.0,,,0.25,,,1.0,,,1.0,,,21.0,,0
1,1.0,1.0,22024,201566,22400087,"OCT 26, 2024",DEN vs. LAC,L,19,0,8,0.0,0,3,0.0,2,2,1.0,0,1,1,2,2,1,0,4,2,-13,1,DEN,1610612743,LAC,1610612746,1,G,1,0,0,1,0,0,36.0,76,200,0,1,87.0,0,5,87.0,0,1,116.0,0,5,113.0,-18.5,-24.0,6.0,6.0,6.0,2.0,2.0,2.0,10.0,10.0,10.0,0.2,0.2,0.2,1.0,1.0,1.0,6.0,6.0,6.0,0.167,0.167,0.167,1.0,1.0,1.0,4.0,4.0,4.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,21.266666666666666,21.266666666666666,21.266666666666666,0
2,2.0,2.0,22024,201566,22400107,"OCT 28, 2024",DEN @ TOR,W,18,3,7,0.429,0,1,0.0,3,4,0.75,1,3,4,3,1,0,2,4,9,-1,1,DEN,1610612743,TOR,1610612761,0,G,1,0,0,1,0,0,36.0,76,200,0,2,95.5,0,5,95.5,1,2,118.3,1,4,107.3,-12.666666666666666,-18.5,4.0,4.0,4.0,1.0,1.0,1.0,9.0,9.0,9.0,0.111,0.111,0.111,0.5,0.5,0.5,4.5,4.5,4.5,0.111,0.111,0.111,1.5,1.5,1.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,20.191666666666663,20.191666666666663,20.191666666666663,1
3,3.0,3.0,22024,201566,22400113,"OCT 29, 2024",DEN @ BKN,W,21,5,12,0.417,2,2,1.0,10,10,1.0,0,1,1,5,1,0,1,2,22,0,1,DEN,1610612743,BKN,1610612751,0,G,1,0,0,1,0,0,36.0,76,200,1,2,106.0,1,4,106.0,1,2,112.7,1,4,110.7,-9.5,-12.666666666666666,5.7,5.7,5.7,1.6666666666666667,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,8.333333333333334,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,0.1,0.1,0.1,2.0,2.0,2.0,3.333333333333333,3.333333333333333,3.333333333333333,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.33,1.33,1.33,19.45555555,19.45555555,19.45555555,1
4,4.0,4.0,22024,201566,22400139,"NOV 01, 2024",DEN @ MIN,L,25,1,8,0.125,0,3,0.0,3,4,0.75,3,3,6,5,2,1,4,2,5,-13,1,DEN,1610612743,MIN,1610612750,0,G,1,0,0,1,0,0,36.0,76,200,2,2,115.5,2,3,115.5,2,2,111.5,2,3,111.5,-10.2,-9.5,9.8,9.8,9.8,2.5,2.5,2.5,9.25,9.25,9.25,0.27,0.27,0.27,0.75,0.75,0.75,3.0,3.0,3.0,0.25,0.25,0.25,4.0,4.0,4.0,5.0,5.0,5.0,0.8,0.8,0.8,0.5,0.5,0.5,1.25,1.25,1.25,19.7375,19.7375,19.7375,0
5,5.0,5.0,22024,201566,22400148,"NOV 02, 2024",DEN vs. UTA,W,31,2,11,0.182,1,4,0.25,0,4,0.0,1,2,3,7,5,0,4,4,5,12,1,DEN,1610612743,UTA,1610612762,1,G,1,0,0,1,0,0,36.0,76,200,2,3,115.6,2,3,115.6,0,5,116.4,0,5,99.2,-3.0,-10.2,8.8,8.8,8.8,2.2,2.2,2.2,9.0,9.0,9.0,0.244,0.244,0.244,0.6,0.6,0.6,3.0,3.0,3.0,0.2,0.2,0.2,3.8,3.8,3.8,4.8,4.8,4.8,0.792,0.792,0.792,1.0,1.0,1.0,1.4,1.4,1.4,20.86,20.86,20.86,0
6,6.0,6.0,22024,201566,22400166,"NOV 04, 2024",DEN vs. TOR,W,34,6,10,0.6,1,5,0.2,8,10,0.8,1,5,6,6,1,1,4,4,21,-3,1,DEN,1610612743,TOR,1610612761,1,G,1,0,0,1,0,0,36.0,76,200,3,3,117.8,3,2,124.0,2,5,125.6,1,4,123.0,-1.0,-6.5,8.6,8.2,9.0,2.2,2.1666666666666665,3.0,9.2,9.333333333333334,7.0,0.239,0.232,0.429,0.6,0.6666666666666666,0.0,2.6,3.1666666666666665,1.0,0.231,0.211,0.0,3.6,3.1666666666666665,3.0,4.8,4.666666666666667,4.0,0.75,0.679,0.75,1.0,1.0,1.0,2.2,2.0,1.0,22.89,22.61944443333333,17.983333333333334,1
7,7.0,7.0,22024,201566,22400177,"NOV 06, 2024",DEN vs. OKC,W,32,10,15,0.667,3,4,0.75,6,9,0.667,1,5,6,6,1,0,4,4,29,-14,1,DEN,1610612743,OKC,1610612760,1,G,1,0,0,1,0,0,36.0,76,200,4,3,118.3,4,1,127.4,7,0,95.9,5,0,115.4,-3.6,-6.0,12.4,10.0,6.0,3.4,2.7142857142857144,2.0,9.6,9.428571428571429,10.0,0.354,0.288,0.2,0.8,0.7142857142857143,1.0,3.0,3.4285714285714284,6.0,0.267,0.208,0.167,4.8,3.857142857142857,1.0,6.4,5.428571428571429,4.0,0.75,0.711,0.25,1.2,1.0,1.0,2.0,1.86,1.0,25.88,24.2547619,21.266666666666666,1
8,8.0,8.0,22024,201566,22400194,"NOV 08, 2024",DEN vs. MIA,W,24,2,5,0.4,2,3,0.667,0,0,0.0,0,4,4,10,0,1,2,2,6,-5,1,DEN,1610612743,MIA,1610612748,1,G,1,0,0,1,0,0,36.0,76,200,5,3,119.0,4,1,126.8,3,4,108.6,2,3,110.6,-4.6,-7.0,16.4,12.4,12.4,4.8,3.625,3.625,11.2,10.125,10.125,0.429,0.358,0.358,1.4,1.0,1.0,3.6,3.5,3.5,0.389,0.286,0.286,5.4,4.125,4.125,7.4,5.875,5.875,0.73,0.702,0.702,1.2,1.0,1.0,2.0,1.75,1.75,28.72,25.245833333333334,25.245833333333334,0
9,9.0,9.0,22024,201566,22400208,"NOV 10, 2024",DEN vs. DAL,W,20,3,10,0.3,0,2,0.0,0,0,0.0,2,3,5,5,1,0,2,2,6,-13,1,DEN,1610612743,DAL,1610612742,1,G,1,0,0,1,0,0,36.0,76,200,6,3,120.8,4,1,125.0,5,4,108.8,2,3,113.8,-4.6,-6.777777777777778,13.2,11.7,11.7,4.2,3.4444444444444446,3.4444444444444446,9.8,9.555555555555555,9.555555555555555,0.429,0.36,0.36,1.4,1.1111111111111112,1.1111111111111112,3.8,3.4444444444444446,3.4444444444444446,0.368,0.323,0.323,3.4,3.6666666666666665,3.6666666666666665,5.4,5.222222222222222,5.222222222222222,0.63,0.702,0.702,1.2,0.8888888888888888,0.8888888888888888,1.8,1.56,1.56,29.41333333333333,25.11296295,25.11296295,0
