,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,1630583,22400070,"OCT 23, 2024",MEM @ UTA,W,31,10,16,0.625,5,10,0.5,2,2,1.0,2,3,5,2,0,0,2,2,27,8,1,MEM,1610612763,UTA,1610612762,0,F-C,0,1,0,0,1,1,24.0,84,215,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,8.0,8.0,,27.0,,,10.0,,,16.0,,,0.625,,,5.0,,,10.0,,,0.5,,,2.0,,,2.0,,,1.0,,,2.0,,,0.0,,,31.0,,0
1,1.0,22024,1630583,22400082,"OCT 25, 2024",MEM @ HOU,L,22,0,2,0.0,0,1,0.0,2,2,1.0,0,5,5,3,0,2,2,2,2,-13,1,MEM,1610612763,HOU,1610612745,0,F-C,0,1,0,0,1,1,24.0,84,215,1,0,126.0,1,4,126.0,0,1,110.0,0,5,105.0,-2.5,8.0,27.0,27.0,27.0,10.0,10.0,10.0,16.0,16.0,16.0,0.625,0.625,0.625,5.0,5.0,5.0,10.0,10.0,10.0,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,31.433333333333334,31.433333333333334,31.433333333333334,0
2,2.0,22024,1630583,22400092,"OCT 26, 2024",MEM vs. ORL,W,28,9,12,0.75,4,6,0.667,0,0,0.0,0,7,7,5,0,1,2,0,22,8,1,MEM,1610612763,ORL,1610612753,1,F-C,0,1,0,0,1,1,24.0,84,215,1,1,117.0,1,4,117.0,2,0,99.0,2,3,116.0,1.0,-2.5,14.5,14.5,14.5,5.0,5.0,5.0,9.0,9.0,9.0,0.556,0.556,0.556,2.5,2.5,2.5,5.5,5.5,5.5,0.455,0.455,0.455,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.9,26.9,26.9,1
3,3.0,22024,1630583,22400108,"OCT 28, 2024",MEM vs. CHI,L,35,5,13,0.385,1,5,0.2,0,0,0.0,4,9,13,7,0,1,1,0,11,-6,1,MEM,1610612763,CHI,1610612741,1,F-C,0,1,0,0,1,1,24.0,84,215,2,1,119.3,2,3,119.3,1,2,119.7,1,4,113.0,-0.75,1.0,17.0,17.0,17.0,6.333333333333333,6.333333333333333,6.333333333333333,10.0,10.0,10.0,0.633,0.633,0.633,3.0,3.0,3.0,5.666666666666667,5.666666666666667,5.666666666666667,0.529,0.529,0.529,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,27.15,27.15,27.15,0
4,4.0,22024,1630583,22400124,"OCT 30, 2024",MEM vs. BKN,L,22,1,5,0.2,0,2,0.0,0,0,0.0,0,3,3,0,2,0,1,2,2,-17,1,MEM,1610612763,BKN,1610612751,1,F-C,0,1,0,0,1,1,24.0,84,215,2,2,120.3,2,3,120.3,1,3,120.5,1,4,117.8,-4.0,-0.75,15.5,15.5,15.5,6.0,6.0,6.0,10.75,10.75,10.75,0.558,0.558,0.558,2.5,2.5,2.5,5.5,5.5,5.5,0.455,0.455,0.455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,0.0,0.0,0.0,29.1125,29.1125,29.1125,0
5,5.0,22024,1630583,22400128,"OCT 31, 2024",MEM vs. MIL,W,33,7,14,0.5,1,4,0.25,4,4,1.0,2,7,9,2,1,0,3,1,19,9,1,MEM,1610612763,MIL,1610612749,1,F-C,0,1,0,0,1,1,24.0,84,215,2,3,117.4,2,3,117.4,1,3,119.0,1,4,114.0,-3.8,-4.0,12.8,12.8,12.8,5.0,5.0,5.0,9.6,9.6,9.6,0.521,0.521,0.521,2.0,2.0,2.0,4.8,4.8,4.8,0.417,0.417,0.417,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.2,1.2,1.2,0.4,0.4,0.4,27.7,27.7,27.7,1
6,6.0,22024,1630583,22400142,"NOV 02, 2024",MEM @ PHI,W,35,5,12,0.417,0,5,0.0,0,0,0.0,1,12,13,4,1,1,1,1,10,13,1,MEM,1610612763,PHI,1610612755,0,F-C,0,1,0,0,1,1,24.0,84,215,3,3,118.2,2,3,116.6,1,3,114.5,1,4,107.3,1.4,-1.8333333333333333,11.2,13.8,13.8,4.4,5.333333333333333,5.333333333333333,9.2,10.333333333333334,10.333333333333334,0.478,0.516,0.516,1.2,1.8333333333333333,1.8333333333333333,3.6,4.666666666666667,4.666666666666667,0.333,0.393,0.393,1.2,1.3333333333333333,1.3333333333333333,1.2,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.2,1.3333333333333333,1.3333333333333333,0.6,0.5,0.5,28.03333333333333,28.6,28.6,0
7,7.0,22024,1630583,22400158,"NOV 04, 2024",MEM @ BKN,L,31,4,12,0.333,0,6,0.0,1,1,1.0,2,4,6,5,0,0,2,1,9,-6,1,MEM,1610612763,BKN,1610612751,0,F-C,0,1,0,0,1,1,24.0,84,215,4,3,119.0,3,2,119.8,3,4,115.1,3,2,117.0,-1.4,0.2857142857142857,12.8,13.3,2.0,5.4,5.285714285714286,1.0,11.2,10.571428571428571,5.0,0.482,0.5,0.2,1.2,1.5714285714285714,0.0,4.4,4.714285714285714,2.0,0.273,0.333,0.0,0.8,1.1428571428571428,0.0,0.8,1.1428571428571428,0.0,1.0,1.0,0.0,1.4,1.2857142857142858,0.0,0.8,0.57,2.0,30.523333333333333,29.488095233333333,22.05,0
8,8.0,22024,1630583,22400174,"NOV 06, 2024",MEM vs. LAL,W,31,4,10,0.4,1,5,0.2,2,2,1.0,3,9,12,3,1,0,0,1,11,11,1,MEM,1610612763,LAL,1610612747,1,F-C,0,1,0,0,1,1,24.0,84,215,4,4,117.1,2,3,115.8,4,3,118.4,2,3,116.0,2.0,-0.5,10.2,12.8,12.8,4.4,5.125,5.125,11.2,10.75,10.75,0.393,0.477,0.477,0.4,1.375,1.375,4.4,4.875,4.875,0.091,0.282,0.282,1.0,1.125,1.125,1.0,1.125,1.125,1.0,1.0,1.0,1.8,1.375,1.375,0.8,0.5,0.5,31.25,29.7125,29.7125,0
9,9.0,22024,1630583,22400191,"NOV 08, 2024",MEM vs. WAS,W,32,5,13,0.385,0,5,0.0,2,2,1.0,1,4,5,4,1,0,1,1,12,24,1,MEM,1610612763,WAS,1610612764,1,F-C,0,1,0,0,1,1,24.0,84,215,5,4,118.7,3,2,117.4,2,4,123.2,2,3,116.0,10.2,0.7777777777777778,10.2,12.6,12.6,4.2,5.0,5.0,10.6,10.666666666666666,10.666666666666666,0.396,0.469,0.469,0.4,1.3333333333333333,1.3333333333333333,4.4,4.888888888888889,4.888888888888889,0.091,0.273,0.273,1.4,1.2222222222222223,1.2222222222222223,1.4,1.2222222222222223,1.2222222222222223,1.0,1.0,1.0,1.6,1.5555555555555556,1.5555555555555556,1.0,0.56,0.56,30.516666666666666,29.89259258333333,29.89259258333333,0
10,10.0,22024,1630583,22400210,"NOV 10, 2024",MEM @ POR,W,30,7,11,0.636,2,4,0.5,0,0,0.0,1,5,6,6,2,0,2,2,16,33,1,MEM,1610612763,POR,1610612757,0,F-C,0,1,0,0,1,1,24.0,84,215,6,4,119.6,4,1,121.8,3,7,114.9,1,4,107.2,15.0,3.1,12.2,12.5,12.5,5.0,5.0,5.0,12.2,10.9,10.9,0.41,0.459,0.459,0.4,1.2,1.2,5.0,4.9,4.9,0.08,0.245,0.245,1.8,1.3,1.3,1.8,1.3,1.3,1.0,1.0,1.0,1.8,1.5,1.5,0.8,0.6,0.6,32.6,30.15,30.15,1
11,11.0,22024,1630583,22400225,"NOV 13, 2024",MEM @ LAL,L,29,6,14,0.429,2,7,0.286,1,2,0.5,3,4,7,5,3,1,0,2,15,8,1,MEM,1610612763,LAL,1610612747,0,F-C,0,1,0,0,1,1,24.0,84,215,7,4,120.9,4,1,124.2,6,4,116.9,3,2,117.4,14.0,5.818181818181818,11.6,12.8,11.0,5.0,5.181818181818182,4.0,11.6,10.909090909090908,10.0,0.431,0.475,0.4,0.6,1.2727272727272727,1.0,5.0,4.818181818181818,5.0,0.12,0.264,0.2,1.0,1.181818181818182,2.0,1.0,1.181818181818182,2.0,1.0,1.0,1.0,1.6,1.4545454545454546,3.0,1.0,0.73,1.0,31.97,30.131818166666665,31.33333333333333,1
12,12.0,22024,1630583,22400019,"NOV 15, 2024",MEM @ GSW,L,16,2,8,0.25,0,3,0.0,0,0,0.0,2,1,3,0,0,1,0,1,4,-10,1,MEM,1610612763,GSW,1610612744,0,F-C,0,1,0,0,1,1,24.0,84,215,7,5,121.1,3,2,124.0,9,2,110.1,4,1,121.4,13.2,6.0,12.6,13.0,13.0,5.2,5.25,5.25,12.0,11.166666666666666,11.166666666666666,0.433,0.47,0.47,1.0,1.3333333333333333,1.3333333333333333,5.4,5.0,5.0,0.185,0.267,0.267,1.2,1.1666666666666667,1.1666666666666667,1.4,1.25,1.25,0.857,0.933,0.933,2.0,1.5833333333333333,1.5833333333333333,1.4,0.92,0.92,30.89666666666667,30.075,30.075,0
13,13.0,22024,1630583,22400238,"NOV 17, 2024",MEM vs. DEN,W,20,3,6,0.5,0,3,0.0,0,0,0.0,0,2,2,2,2,1,1,0,6,1,1,MEM,1610612763,DEN,1610612743,1,F-C,0,1,0,0,1,1,24.0,84,215,7,6,120.8,3,2,126.8,7,4,116.5,4,1,119.2,11.2,4.769230769230769,11.6,12.3,12.3,4.8,5.0,5.0,11.2,10.923076923076923,10.923076923076923,0.429,0.458,0.458,1.0,1.2307692307692308,1.2307692307692308,4.8,4.846153846153846,4.846153846153846,0.208,0.254,0.254,1.0,1.0769230769230769,1.0769230769230769,1.2,1.1538461538461535,1.1538461538461535,0.833,0.933,0.933,2.0,1.6153846153846154,1.6153846153846154,1.4,0.85,0.85,27.836666666666662,28.991025633333333,28.991025633333333,0
14,14.0,22024,1630583,22400023,"NOV 19, 2024",MEM vs. DEN,L,33,12,19,0.632,4,7,0.571,0,1,0.0,2,9,11,0,1,0,3,1,28,8,1,MEM,1610612763,DEN,1610612743,1,F-C,0,1,0,0,1,1,24.0,84,215,8,6,119.7,3,2,121.6,7,5,115.5,3,2,113.0,8.0,4.5,10.6,11.9,6.0,4.6,4.857142857142857,3.0,10.4,10.571428571428571,6.0,0.442,0.459,0.5,0.8,1.1428571428571428,0.0,4.4,4.714285714285714,3.0,0.182,0.242,0.0,0.6,1.0,0.0,0.8,1.0714285714285714,0.0,0.75,0.933,0.0,1.4,1.5,0.0,1.6,0.93,2.0,25.476666666666667,28.31547618333333,19.53333333333333,1
15,15.0,22024,1630583,22400255,"NOV 20, 2024",MEM vs. PHI,W,27,4,9,0.444,2,3,0.667,2,2,1.0,1,5,6,6,0,0,3,0,12,3,1,MEM,1610612763,PHI,1610612755,1,F-C,0,1,0,0,1,1,24.0,84,215,8,7,119.1,2,3,118.0,2,11,112.3,1,4,97.4,2.0,4.733333333333333,13.8,12.9,10.0,6.0,5.333333333333333,5.0,11.6,11.133333333333333,12.0,0.517,0.479,0.417,1.6,1.3333333333333333,0.0,4.8,4.866666666666666,5.0,0.333,0.274,0.0,0.2,0.9333333333333332,0.0,0.6,1.0666666666666669,0.0,0.333,0.875,0.0,1.6,1.5333333333333334,1.0,1.6,0.93,1.0,25.636666666666667,28.64555555,34.81666666666667,0
16,16.0,22024,1630583,22400266,"NOV 23, 2024",MEM @ CHI,W,24,4,10,0.4,1,4,0.25,1,2,0.5,3,7,10,5,2,0,3,2,10,12,1,MEM,1610612763,CHI,1610612741,0,F-C,0,1,0,0,1,1,24.0,84,215,9,7,118.9,2,3,114.6,7,10,122.8,2,3,119.4,2.8,4.625,13.0,12.9,11.0,5.4,5.25,5.0,11.2,11.0,13.0,0.482,0.477,0.385,1.6,1.375,1.0,4.6,4.75,5.0,0.348,0.289,0.2,0.6,1.0,0.0,1.0,1.125,0.0,0.6,0.889,0.0,1.6,1.5,4.0,1.2,0.88,0.0,25.026666666666667,28.53645833333333,35.0,0
17,17.0,22024,1630583,22400282,"NOV 25, 2024",MEM vs. POR,W,22,6,12,0.5,1,1,1.0,0,1,0.0,7,10,17,2,0,0,1,1,13,6,1,MEM,1610612763,POR,1610612757,1,F-C,0,1,0,0,1,1,24.0,84,215,10,7,120.3,3,2,118.4,7,10,113.1,3,2,102.2,6.0,5.0588235294117645,12.0,12.7,16.0,5.0,5.176470588235294,7.0,10.4,10.941176470588236,11.0,0.481,0.473,0.636,1.4,1.3529411764705883,2.0,4.0,4.705882352941177,4.0,0.35,0.288,0.5,0.6,1.0,0.0,1.0,1.1764705882352942,0.0,0.6,0.85,0.0,1.6,1.588235294117647,1.0,1.0,0.94,2.0,23.856666666666666,28.246078416666663,29.95,1
18,18.0,22024,1630583,22400293,"NOV 27, 2024",MEM vs. DET,W,23,4,7,0.571,1,3,0.333,0,0,0.0,1,5,6,1,0,0,0,1,9,-3,1,MEM,1610612763,DET,1610612765,1,F-C,0,1,0,0,1,1,24.0,84,215,11,7,120.4,4,1,119.4,8,11,111.0,2,3,111.8,5.2,5.111111111111111,13.8,12.7,12.7,5.8,5.222222222222222,5.222222222222222,11.2,11.0,11.0,0.518,0.475,0.475,1.6,1.3333333333333333,1.3333333333333333,3.6,4.5,4.5,0.444,0.296,0.296,0.6,0.9444444444444444,0.9444444444444444,1.2,1.1666666666666667,1.1666666666666667,0.5,0.81,0.81,2.6,1.8888888888888888,1.8888888888888888,1.0,0.89,0.89,25.063333333333333,27.9,27.9,0
