,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,22024,1630567,22400067,"OCT 23, 2024",TOR vs. CLE,L,26,3,14,0.214,0,2,0.0,3,4,0.75,3,3,6,5,0,0,2,5,9,-33,1,TOR,1610612761,CLE,1610612739,1,F-G,0,1,0,1,1,0,23.0,79,237,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-33.0,-33.0,,9.0,,,3.0,,,14.0,,,0.214,,,0.0,,,2.0,,,0.0,,,3.0,,,4.0,,,0.75,,,3.0,,,0.0,,,26.0,,0
1,1.0,1.0,1.0,1.0,1.0,22024,1630567,22400078,"OCT 25, 2024",TOR vs. PHI,W,36,8,11,0.727,0,2,0.0,11,13,0.846,2,3,5,4,2,1,4,2,27,-1,1,TOR,1610612761,PHI,1610612755,1,F-G,0,1,0,1,1,0,23.0,79,237,0,1,106.0,0,5,106.0,0,1,124.0,0,5,109.0,-17.0,-33.0,9.0,9.0,9.0,3.0,3.0,3.0,14.0,14.0,14.0,0.214,0.214,0.214,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.75,0.75,0.75,3.0,3.0,3.0,0.0,0.0,0.0,25.85,25.85,25.85,1
2,2.0,2.0,2.0,2.0,2.0,22024,1630567,22400093,"OCT 26, 2024",TOR @ MIN,L,37,9,19,0.474,1,4,0.25,1,2,0.5,3,5,8,6,1,0,6,4,20,-13,1,TOR,1610612761,MIN,1610612750,0,F-G,0,1,0,1,1,0,23.0,79,237,1,1,110.5,1,4,110.5,1,1,112.5,1,4,110.0,-15.666666666666666,-17.0,18.0,18.0,18.0,5.5,5.5,5.5,12.5,12.5,12.5,0.44,0.44,0.44,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,8.5,8.5,8.5,0.824,0.824,0.824,2.5,2.5,2.5,1.0,1.0,1.0,31.08333333333333,31.08333333333333,31.08333333333333,1
3,3.0,3.0,3.0,3.0,3.0,22024,1630567,22400107,"OCT 28, 2024",TOR vs. DEN,L,35,9,19,0.474,1,3,0.333,2,4,0.5,2,10,12,9,5,1,4,1,21,-2,1,TOR,1610612761,DEN,1610612743,1,F-G,0,1,0,1,1,0,23.0,79,237,1,2,107.3,1,4,107.3,0,2,105.5,0,5,95.5,-12.25,-15.666666666666666,18.7,18.7,18.7,6.666666666666667,6.666666666666667,6.666666666666667,14.666666666666666,14.666666666666666,14.666666666666666,0.455,0.455,0.455,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.125,0.125,0.125,5.0,5.0,5.0,6.333333333333333,6.333333333333333,6.333333333333333,0.789,0.789,0.789,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.0,1.0,1.0,32.994444433333335,32.994444433333335,32.994444433333335,1
4,4.0,4.0,4.0,4.0,4.0,22024,1630567,22400261,"NOV 21, 2024",TOR vs. MIN,W,27,5,11,0.455,2,5,0.4,5,6,0.833,0,3,3,6,1,0,2,2,17,-2,1,TOR,1610612761,MIN,1610612750,1,F-G,0,1,0,1,1,0,23.0,79,237,3,12,113.4,1,4,107.2,8,6,111.1,2,3,110.0,-10.2,-12.25,19.3,19.3,20.0,7.25,7.25,9.0,15.75,15.75,19.0,0.46,0.46,0.474,0.5,0.5,1.0,2.75,2.75,4.0,0.182,0.182,0.25,4.25,4.25,1.0,5.75,5.75,2.0,0.739,0.739,0.5,2.5,2.5,3.0,2.0,2.0,1.0,33.57083333333333,33.57083333333333,36.81666666666667,0
5,5.0,5.0,5.0,5.0,5.0,22024,1630567,22400275,"NOV 24, 2024",TOR @ CLE,L,34,5,14,0.357,1,6,0.167,7,12,0.583,1,6,7,7,3,1,1,1,18,-9,1,TOR,1610612761,CLE,1610612739,0,F-G,0,1,0,1,1,0,23.0,79,237,4,12,113.2,2,3,108.6,16,1,111.2,4,1,126.2,-5.4,-10.2,17.0,18.8,9.0,5.0,6.8,3.0,11.0,14.8,14.0,0.455,0.459,0.214,2.0,0.8,0.0,5.0,3.2,2.0,0.4,0.25,0.0,5.0,4.4,3.0,6.0,5.8,4.0,0.833,0.759,0.75,0.0,2.0,3.0,1.0,1.8,0.0,27.316666666666663,32.32,25.85,0
6,6.0,6.0,6.0,6.0,6.0,22024,1630567,22400278,"NOV 25, 2024",TOR @ DET,L,37,12,26,0.462,3,8,0.375,4,5,0.8,7,7,14,7,1,1,1,0,31,-2,1,TOR,1610612761,DET,1610612765,0,F-G,0,1,0,1,1,0,23.0,79,237,4,13,112.9,2,3,113.2,7,11,111.6,2,3,111.2,-5.6,-10.0,17.5,18.7,18.7,5.0,6.5,6.5,12.5,14.666666666666666,14.666666666666666,0.4,0.443,0.443,1.5,0.8333333333333334,0.8333333333333334,5.5,3.6666666666666665,3.6666666666666665,0.273,0.227,0.227,6.0,4.833333333333333,4.833333333333333,9.0,6.833333333333333,6.833333333333333,0.667,0.707,0.707,0.5,1.8333333333333333,1.8333333333333333,2.0,2.0,2.0,30.7,32.61388888333333,32.61388888333333,1
7,7.0,7.0,7.0,7.0,7.0,22024,1630567,22400295,"NOV 27, 2024",TOR @ NOP,W,32,7,23,0.304,2,12,0.167,1,2,0.5,4,8,12,7,0,1,5,2,17,33,1,TOR,1610612761,NOP,1610612740,0,F-G,0,1,0,1,1,0,23.0,79,237,4,14,112.2,2,3,114.2,4,14,115.1,0,5,101.6,3.6,-8.857142857142858,22.0,20.4,20.4,7.333333333333333,7.285714285714286,7.285714285714286,17.0,16.285714285714285,16.285714285714285,0.431,0.447,0.447,2.0,1.1428571428571428,1.1428571428571428,6.333333333333333,4.285714285714286,4.285714285714286,0.316,0.267,0.267,5.333333333333333,4.714285714285714,4.714285714285714,7.666666666666667,6.571428571428571,6.571428571428571,0.696,0.717,0.717,2.6666666666666665,2.571428571428572,2.571428571428572,1.67,1.86,1.86,32.644444433333334,33.173809516666665,33.173809516666665,0
8,8.0,8.0,8.0,8.0,8.0,22024,1630567,22400046,"NOV 29, 2024",TOR @ MIA,L,38,8,15,0.533,3,8,0.375,5,6,0.833,1,9,10,10,1,1,5,1,24,0,1,TOR,1610612761,MIA,1610612748,0,F-G,0,1,0,1,1,0,23.0,79,237,5,14,112.5,3,2,113.4,8,8,109.3,3,2,108.0,4.0,-3.625,20.8,20.0,20.0,7.25,7.25,7.25,18.5,17.125,17.125,0.392,0.423,0.423,2.0,1.25,1.25,7.75,5.25,5.25,0.258,0.238,0.238,4.25,4.25,4.25,6.25,6.0,6.0,0.68,0.708,0.708,3.0,2.75,2.75,1.25,1.63,1.63,32.395833333333336,32.983333333333334,32.983333333333334,1
9,9.0,9.0,9.0,9.0,9.0,22024,1630567,22400309,"DEC 01, 2024",TOR vs. MIA,W,35,9,17,0.529,2,5,0.4,3,5,0.6,1,9,10,9,0,0,4,2,23,-12,1,TOR,1610612761,MIA,1610612748,1,F-G,0,1,0,1,1,0,23.0,79,237,5,15,112.5,2,3,109.6,9,8,109.4,4,1,110.2,2.0,-3.2222222222222223,21.4,20.4,24.0,7.4,7.333333333333333,8.0,17.8,16.88888888888889,15.0,0.416,0.434,0.533,2.2,1.4444444444444444,3.0,7.8,5.555555555555555,8.0,0.282,0.26,0.375,4.4,4.333333333333333,5.0,6.2,6.0,6.0,0.71,0.722,0.833,2.6,2.555555555555556,1.0,1.2,1.56,1.0,33.56666666666667,33.568518516666664,38.25,1
