,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1631101,22400183,"NOV 07, 2024",POR @ SAS,L,20,6,9,0.667,1,4,0.25,0,0,0.0,1,1,2,1,0,1,1,2,13,-4,1,POR,1610612757,SAS,1610612759,0,G,1,0,0,1,0,0,21.0,77,208,3,5,108.1,2,3,106.6,3,5,108.5,2,3,103.2,-4.0,-4.0,,13.0,,,6.0,,,9.0,,,0.667,,,1.0,,,4.0,,,0.25,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,20.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22024,1631101,22400193,"NOV 08, 2024",POR @ MIN,L,21,2,8,0.25,0,4,0.0,2,3,0.667,0,2,2,2,0,0,2,1,6,0,1,POR,1610612757,MIN,1610612750,0,G,1,0,0,1,0,0,21.0,77,208,3,6,107.8,2,3,108.0,5,3,110.9,3,2,117.0,-2.0,-4.0,13.0,13.0,13.0,6.0,6.0,6.0,9.0,9.0,9.0,0.667,0.667,0.667,1.0,1.0,1.0,4.0,4.0,4.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.183333333333334,20.183333333333334,20.183333333333334,0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22024,1631101,22400210,"NOV 10, 2024",POR vs. MEM,L,19,3,10,0.3,0,5,0.0,1,2,0.5,2,1,3,0,0,0,0,0,7,-23,1,POR,1610612757,MEM,1610612763,1,G,1,0,0,1,0,0,21.0,77,208,3,7,107.2,1,4,107.2,6,4,113.8,4,1,121.8,-9.0,-2.0,9.5,9.5,9.5,4.0,4.0,4.0,8.5,8.5,8.5,0.471,0.471,0.471,0.5,0.5,0.5,4.0,4.0,4.0,0.125,0.125,0.125,1.0,1.0,1.0,1.5,1.5,1.5,0.667,0.667,0.667,0.5,0.5,0.5,0.0,0.0,0.0,20.45833333333333,20.45833333333333,20.45833333333333,0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22024,1631101,22400008,"NOV 12, 2024",POR vs. MIN,W,33,7,15,0.467,3,5,0.6,0,0,0.0,1,2,3,3,3,0,2,4,17,3,1,POR,1610612757,MIN,1610612750,1,G,1,0,0,1,0,0,21.0,77,208,3,8,105.5,1,4,102.2,6,4,108.4,3,2,114.6,-6.0,-9.0,8.7,8.7,6.0,3.6666666666666665,3.6666666666666665,2.0,9.0,9.0,8.0,0.407,0.407,0.25,0.3333333333333333,0.3333333333333333,0.0,4.333333333333333,4.333333333333333,4.0,0.077,0.077,0.0,1.0,1.0,2.0,1.6666666666666667,1.6666666666666667,3.0,0.6,0.6,0.667,1.0,1.0,0.0,0.0,0.0,0.0,20.05555555,20.05555555,20.73333333333333,1
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22024,1631101,22400226,"NOV 13, 2024",POR vs. MIN,W,36,12,23,0.522,3,10,0.3,6,7,0.857,1,5,6,1,0,0,3,2,33,-6,1,POR,1610612757,MIN,1610612750,1,G,1,0,0,1,0,0,21.0,77,208,4,8,106.9,2,3,107.2,6,5,109.6,3,2,115.6,-6.0,-6.0,10.8,10.8,11.5,4.5,4.5,4.5,10.5,10.5,11.5,0.429,0.429,0.391,1.0,1.0,1.5,4.5,4.5,4.5,0.222,0.222,0.333,0.75,0.75,1.0,1.25,1.25,1.5,0.6,0.6,0.667,1.0,1.0,0.5,0.75,0.75,1.5,23.2625,23.2625,26.808333333333334,1
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22024,1631101,22400239,"NOV 17, 2024",POR vs. ATL,W,32,11,21,0.524,3,8,0.375,7,12,0.583,0,2,2,5,3,0,3,3,32,8,1,POR,1610612757,ATL,1610612737,1,G,1,0,0,1,0,0,21.0,77,208,5,8,106.8,2,3,104.8,6,7,120.8,3,2,120.2,-3.6,-6.0,15.2,15.2,15.2,6.0,6.0,6.0,13.0,13.0,13.0,0.462,0.462,0.462,1.4,1.4,1.4,5.6,5.6,5.6,0.25,0.25,0.25,1.8,1.8,1.8,2.4,2.4,2.4,0.75,0.75,0.75,1.0,1.0,1.0,0.6,0.6,0.6,25.846666666666668,25.846666666666668,25.846666666666668,1
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22024,1631101,22400256,"NOV 20, 2024",POR @ OKC,L,38,6,16,0.375,4,8,0.5,5,6,0.833,0,4,4,2,0,0,6,3,21,-8,1,POR,1610612757,OKC,1610612760,0,G,1,0,0,1,0,0,21.0,77,208,6,8,107.4,3,2,106.6,11,4,103.9,3,2,112.4,-5.2,-3.6666666666666665,19.0,18.0,18.0,7.0,6.833333333333333,6.833333333333333,15.4,14.333333333333334,14.333333333333334,0.455,0.477,0.477,1.8,1.6666666666666667,1.6666666666666667,6.4,6.0,6.0,0.281,0.278,0.278,3.2,2.6666666666666665,2.6666666666666665,4.8,4.0,4.0,0.667,0.667,0.667,0.8,0.8333333333333334,0.8333333333333334,1.2,1.0,1.0,28.166666666666668,26.8361111,26.8361111,1
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22024,1631101,22400031,"NOV 22, 2024",POR @ HOU,L,23,3,9,0.333,1,3,0.333,6,6,1.0,1,0,1,2,2,0,0,1,13,-18,1,POR,1610612757,HOU,1610612745,0,G,1,0,0,1,0,0,21.0,77,208,6,9,106.8,3,2,106.0,11,5,106.2,4,1,121.8,-4.2,-4.285714285714286,22.0,18.4,18.4,7.8,6.714285714285714,6.714285714285714,17.0,14.571428571428571,14.571428571428571,0.459,0.461,0.461,2.6,2.0,2.0,7.2,6.285714285714286,6.285714285714286,0.361,0.318,0.318,3.8,3.0,3.0,5.4,4.285714285714286,4.285714285714286,0.704,0.7,0.7,0.8,0.7142857142857143,0.7142857142857143,1.2,0.86,0.86,31.606666666666666,28.421428566666663,28.421428566666663,0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,22024,1631101,22400267,"NOV 23, 2024",POR @ HOU,W,36,7,18,0.389,4,9,0.444,6,6,1.0,1,2,3,1,2,0,2,3,24,9,1,POR,1610612757,HOU,1610612745,0,G,1,0,0,1,0,0,21.0,77,208,6,10,105.6,3,2,105.8,12,5,105.1,4,1,122.8,-3.0,-6.0,23.2,17.8,13.0,7.8,6.25,3.0,16.8,13.875,9.0,0.464,0.45,0.333,2.8,1.875,1.0,6.8,5.875,3.0,0.412,0.319,0.333,4.8,3.375,6.0,6.2,4.5,6.0,0.774,0.75,1.0,0.6,0.75,1.0,1.6,1.0,2.0,32.41,27.777083333333334,23.266666666666666,1
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22024,1631101,22400282,"NOV 25, 2024",POR @ MEM,L,30,4,12,0.333,1,6,0.167,6,6,1.0,2,2,4,2,0,2,1,0,15,-22,1,POR,1610612757,MEM,1610612763,0,G,1,0,0,1,0,0,21.0,77,208,7,10,105.5,3,2,102.2,10,7,113.6,3,2,118.4,-6.2,-4.333333333333333,24.6,18.4,7.0,7.8,6.333333333333333,3.0,17.4,14.333333333333334,10.0,0.448,0.442,0.3,3.0,2.111111111111111,0.0,7.6,6.222222222222222,5.0,0.395,0.339,0.0,6.0,3.6666666666666665,1.0,7.4,4.666666666666667,2.0,0.811,0.786,0.5,0.6,0.7777777777777778,2.0,1.4,1.11,0.0,33.02333333333333,28.68518518333333,19.25,0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,22024,1631101,22400288,"NOV 27, 2024",POR @ IND,L,37,8,19,0.421,1,7,0.143,0,1,0.0,1,2,3,3,0,0,1,1,17,0,1,POR,1610612757,IND,1610612754,0,G,1,0,0,1,0,0,21.0,77,208,7,11,105.1,2,3,100.6,8,10,117.7,2,3,115.6,-7.8,-6.1,21.0,18.1,18.1,6.2,6.1,6.1,15.2,14.1,14.1,0.408,0.433,0.433,2.6,2.0,2.0,6.8,6.2,6.2,0.382,0.323,0.323,6.0,3.9,3.9,7.2,4.8,4.8,0.833,0.813,0.813,0.8,0.9,0.9,1.4,1.0,1.0,31.703333333333333,28.775,28.775,0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22024,1631101,22400049,"NOV 29, 2024",POR vs. SAC,W,37,6,15,0.4,0,6,0.0,2,3,0.667,0,4,4,5,0,0,1,1,14,2,1,POR,1610612757,SAC,1610612758,1,G,1,0,0,1,0,0,21.0,77,208,7,12,105.6,1,4,100.6,9,10,113.3,1,4,104.6,-5.8,-5.545454545454546,18.0,18.0,18.0,5.6,6.2727272727272725,6.2727272727272725,14.8,14.545454545454543,14.545454545454543,0.378,0.431,0.431,2.2,1.9090909090909087,1.9090909090909087,6.6,6.2727272727272725,6.2727272727272725,0.333,0.304,0.304,4.6,3.5454545454545454,3.5454545454545454,5.0,4.454545454545454,4.454545454545454,0.92,0.796,0.796,1.0,0.9090909090909092,0.9090909090909092,0.8,0.91,0.91,32.76,29.528787866666665,29.528787866666665,0
