,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,22024,1628983,22400075,"OCT 24, 2024",OKC @ DEN,W,36,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8,2,3,2,2,28,8,1,OKC,1610612760,DEN,1610612743,0,G,1,0,0,1,0,0,26.0,78,195,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,8.0,8.0,,28.0,,,11.0,,,24.0,,,0.458,,,2.0,,,6.0,,,0.333,,,4.0,,,5.0,,,0.8,,,2.0,,,2.0,,,36.0,,0
1,1.0,1.0,22024,1628983,22400091,"OCT 26, 2024",OKC @ CHI,W,29,9,21,0.429,2,9,0.222,3,3,1.0,2,6,8,2,4,0,1,1,23,23,1,OKC,1610612760,CHI,1610612741,0,G,1,0,0,1,0,0,26.0,78,195,1,0,102.0,1,4,102.0,1,1,122.5,1,4,122.0,15.5,8.0,28.0,28.0,28.0,11.0,11.0,11.0,24.0,24.0,24.0,0.458,0.458,0.458,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,4.0,4.0,4.0,5.0,5.0,5.0,0.8,0.8,0.8,2.0,2.0,2.0,2.0,2.0,2.0,36.2,36.2,36.2,0
2,2.0,2.0,22024,1628983,22400100,"OCT 27, 2024",OKC vs. ATL,W,36,11,24,0.458,3,8,0.375,10,11,0.909,2,9,11,9,3,3,1,3,35,24,1,OKC,1610612760,ATL,1610612737,1,G,1,0,0,1,0,0,26.0,78,195,2,0,108.0,2,3,108.0,2,0,118.0,2,3,122.5,18.33333333333333,15.5,25.5,25.5,25.5,10.0,10.0,10.0,22.5,22.5,22.5,0.444,0.444,0.444,2.0,2.0,2.0,7.5,7.5,7.5,0.267,0.267,0.267,3.5,3.5,3.5,4.0,4.0,4.0,0.875,0.875,0.875,2.0,2.0,2.0,3.0,3.0,3.0,32.85,32.85,32.85,1
3,3.0,3.0,22024,1628983,22400125,"OCT 30, 2024",OKC vs. SAS,W,28,7,20,0.35,2,10,0.2,2,2,1.0,0,4,4,5,1,0,1,1,18,3,1,OKC,1610612760,SAS,1610612759,1,G,1,0,0,1,0,0,26.0,78,195,3,0,114.7,3,2,114.7,1,2,110.7,1,4,106.3,14.5,18.33333333333333,28.7,28.7,28.7,10.333333333333334,10.333333333333334,10.333333333333334,23.0,23.0,23.0,0.449,0.449,0.449,2.333333333333333,2.333333333333333,2.333333333333333,7.666666666666667,7.666666666666667,7.666666666666667,0.304,0.304,0.304,5.666666666666667,5.666666666666667,5.666666666666667,6.333333333333333,6.333333333333333,6.333333333333333,0.895,0.895,0.895,2.0,2.0,2.0,3.0,3.0,3.0,33.90555555,33.90555555,33.90555555,0
4,4.0,4.0,22024,1628983,22400140,"NOV 01, 2024",OKC @ POR,W,28,12,18,0.667,1,6,0.167,5,6,0.833,1,6,7,6,1,0,3,1,30,25,1,OKC,1610612760,POR,1610612757,0,G,1,0,0,1,0,0,26.0,78,195,4,0,112.3,4,1,112.3,2,3,112.8,2,3,107.2,16.6,14.5,26.0,26.0,26.0,9.5,9.5,9.5,22.25,22.25,22.25,0.427,0.427,0.427,2.25,2.25,2.25,8.25,8.25,8.25,0.273,0.273,0.273,4.75,4.75,4.75,5.25,5.25,5.25,0.905,0.905,0.905,1.5,1.5,1.5,2.5,2.5,2.5,32.325,32.325,32.325,1
5,5.0,5.0,22024,1628983,22400150,"NOV 02, 2024",OKC @ LAC,W,31,7,14,0.5,2,4,0.5,9,9,1.0,0,3,3,9,0,1,3,2,25,8,1,OKC,1610612760,LAC,1610612746,0,G,1,0,0,1,0,0,26.0,78,195,5,0,117.2,5,0,117.2,2,3,111.0,2,3,111.6,16.6,16.6,26.8,26.8,26.8,10.0,10.0,10.0,21.4,21.4,21.4,0.467,0.467,0.467,2.0,2.0,2.0,7.8,7.8,7.8,0.256,0.256,0.256,4.8,4.8,4.8,5.4,5.4,5.4,0.889,0.889,0.889,1.4,1.4,1.4,2.2,2.2,2.2,31.53333333333333,31.53333333333333,31.53333333333333,0
6,6.0,6.0,22024,1628983,22400163,"NOV 04, 2024",OKC vs. ORL,W,35,8,16,0.5,1,3,0.333,4,4,1.0,0,6,6,9,1,0,4,4,21,18,1,OKC,1610612760,ORL,1610612753,1,G,1,0,0,1,0,0,26.0,78,195,6,0,115.2,5,0,117.8,3,4,109.6,1,4,104.6,15.6,15.166666666666666,26.2,26.5,26.5,9.2,9.5,9.5,19.4,20.166666666666668,20.166666666666668,0.474,0.471,0.471,2.0,2.0,2.0,7.4,7.166666666666667,7.166666666666667,0.27,0.279,0.279,5.8,5.5,5.5,6.2,6.0,6.0,0.935,0.917,0.917,1.0,1.1666666666666667,1.1666666666666667,1.8,1.83,1.83,30.56,31.5,31.5,0
7,7.0,7.0,22024,1628983,22400177,"NOV 06, 2024",OKC @ DEN,L,39,10,19,0.526,0,3,0.0,8,10,0.8,0,2,2,6,1,1,8,1,28,3,1,OKC,1610612760,DEN,1610612743,0,G,1,0,0,1,0,0,26.0,78,195,7,0,113.3,5,0,115.4,4,3,116.6,4,1,127.4,11.4,15.571428571428571,25.8,25.7,28.0,9.0,9.285714285714286,11.0,18.4,19.571428571428573,24.0,0.489,0.474,0.458,1.8,1.8571428571428568,2.0,6.2,6.571428571428571,6.0,0.29,0.283,0.333,6.0,5.285714285714286,4.0,6.4,5.714285714285714,5.0,0.938,0.925,0.8,0.6,1.0,2.0,1.2,1.71,2.0,31.67333333333333,32.0095238,36.2,1
8,8.0,8.0,22024,1628983,22400192,"NOV 08, 2024",OKC vs. HOU,W,29,11,16,0.688,1,2,0.5,6,7,0.857,1,4,5,4,1,1,3,2,29,5,1,OKC,1610612760,HOU,1610612745,1,G,1,0,0,1,0,0,26.0,78,195,7,1,114.4,4,1,114.2,5,3,106.8,4,1,114.2,11.8,14.0,24.4,26.0,26.0,8.8,9.375,9.375,17.4,19.5,19.5,0.506,0.481,0.481,1.2,1.625,1.625,5.2,6.125,6.125,0.231,0.265,0.265,5.6,5.625,5.625,6.2,6.25,6.25,0.903,0.9,0.9,0.2,0.875,0.875,0.8,1.63,1.63,32.233333333333334,32.860416666666666,32.860416666666666,1
9,9.0,9.0,22024,1628983,22400207,"NOV 10, 2024",OKC vs. GSW,L,34,6,17,0.353,0,2,0.0,12,14,0.857,1,4,5,4,0,1,4,0,24,-11,1,OKC,1610612760,GSW,1610612744,1,G,1,0,0,1,0,0,26.0,78,195,8,1,115.7,4,1,118.4,7,2,108.7,4,1,118.2,4.6,13.0,26.6,26.3,26.3,9.6,9.555555555555555,9.555555555555555,16.6,19.11111111111111,19.11111111111111,0.578,0.5,0.5,1.0,1.5555555555555556,1.5555555555555556,3.6,5.666666666666667,5.666666666666667,0.278,0.275,0.275,6.4,5.666666666666667,5.666666666666667,7.2,6.333333333333333,6.333333333333333,0.889,0.895,0.895,0.4,0.8888888888888888,0.8888888888888888,0.8,1.56,1.56,32.52333333333333,32.43518518333333,32.43518518333333,0
