,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,22024,201939,22400072,"OCT 23, 2024",GSW @ POR,W,25,4,10,0.4,3,7,0.429,6,6,1.0,0,9,9,10,2,0,2,0,17,23,1,GSW,1610612744,POR,1610612757,0,G,1,0,0,1,0,0,36.0,74,185,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,23.0,23.0,,17.0,,,4.0,,,10.0,,,0.4,,,3.0,,,7.0,,,0.429,,,6.0,,,6.0,,,1.0,,,0.0,,,2.0,,,25.0,,0
1,1.0,1.0,1.0,22024,201939,22400084,"OCT 25, 2024",GSW @ UTA,W,27,7,20,0.35,4,13,0.308,2,2,1.0,0,3,3,4,2,0,3,3,20,22,1,GSW,1610612744,UTA,1610612762,0,G,1,0,0,1,0,0,36.0,74,185,1,0,140.0,1,4,140.0,0,1,126.0,0,5,124.0,22.5,23.0,17.0,17.0,17.0,4.0,4.0,4.0,10.0,10.0,10.0,0.4,0.4,0.4,3.0,3.0,3.0,7.0,7.0,7.0,0.429,0.429,0.429,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,25.066666666666663,25.066666666666663,25.066666666666663,1
2,2.0,2.0,2.0,22024,201939,22400101,"OCT 27, 2024",GSW vs. LAC,L,27,6,11,0.545,4,7,0.571,2,2,1.0,0,4,4,6,2,1,6,1,18,2,1,GSW,1610612744,LAC,1610612746,1,G,1,0,0,1,0,0,36.0,74,185,2,0,133.5,2,3,133.5,1,1,110.0,1,4,111.0,15.666666666666666,22.5,18.5,18.5,18.5,5.5,5.5,5.5,15.0,15.0,15.0,0.367,0.367,0.367,3.5,3.5,3.5,10.0,10.0,10.0,0.35,0.35,0.35,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,26.241666666666667,26.241666666666667,26.241666666666667,0
3,3.0,3.0,3.0,22024,201939,22400155,"NOV 04, 2024",GSW @ WAS,W,24,7,15,0.467,4,9,0.444,6,6,1.0,1,2,3,6,0,0,2,1,24,9,1,GSW,1610612744,WAS,1610612764,0,G,1,0,0,1,0,0,36.0,74,185,5,1,121.0,4,1,117.2,2,3,122.8,2,3,114.0,14.0,15.666666666666666,19.0,18.3,18.3,6.5,5.666666666666667,5.666666666666667,15.5,13.666666666666666,13.666666666666666,0.419,0.415,0.415,4.0,3.6666666666666665,3.6666666666666665,10.0,9.0,9.0,0.4,0.407,0.407,2.0,3.333333333333333,3.333333333333333,2.0,3.333333333333333,3.333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,27.058333333333334,26.394444433333334,26.394444433333334,1
4,4.0,4.0,4.0,22024,201939,22400172,"NOV 06, 2024",GSW @ BOS,W,34,8,17,0.471,4,9,0.444,7,7,1.0,0,7,7,9,4,1,3,2,27,7,1,GSW,1610612744,BOS,1610612738,0,G,1,0,0,1,0,0,36.0,74,185,6,1,121.6,4,1,116.8,7,1,109.6,4,1,122.2,12.6,14.0,21.0,19.8,19.8,6.5,6.0,6.0,13.0,14.0,14.0,0.5,0.429,0.429,4.0,3.75,3.75,8.0,9.0,9.0,0.5,0.417,0.417,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,1.5,1.5,25.391666666666666,25.816666666666663,25.816666666666663,1
5,5.0,5.0,5.0,22024,201939,22400188,"NOV 08, 2024",GSW @ CLE,L,24,5,10,0.5,1,4,0.25,1,1,1.0,0,1,1,2,2,0,6,0,12,-25,1,GSW,1610612744,CLE,1610612739,0,G,1,0,0,1,0,0,36.0,74,185,7,1,121.1,5,0,119.6,9,0,110.6,5,0,123.0,3.0,12.6,25.5,21.2,21.2,7.5,6.4,6.4,16.0,14.6,14.6,0.469,0.438,0.438,4.0,3.8,3.8,9.0,9.0,9.0,0.444,0.422,0.422,6.5,4.6,4.6,6.5,4.6,4.6,1.0,1.0,1.0,0.5,0.2,0.2,2.0,2.0,2.0,29.23333333333333,27.53,27.53,0
6,6.0,6.0,6.0,22024,201939,22400207,"NOV 10, 2024",GSW @ OKC,W,37,13,23,0.565,7,13,0.538,3,4,0.75,1,4,5,7,1,1,3,2,36,21,1,GSW,1610612744,OKC,1610612760,0,G,1,0,0,1,0,0,36.0,74,185,7,2,120.7,4,1,118.2,8,1,100.2,4,1,118.4,2.8,6.333333333333333,21.0,19.7,19.7,6.666666666666667,6.166666666666667,6.166666666666667,14.0,13.833333333333334,13.833333333333334,0.476,0.446,0.446,3.0,3.333333333333333,3.333333333333333,7.333333333333333,8.166666666666666,8.166666666666666,0.409,0.408,0.408,4.666666666666667,4.0,4.0,4.666666666666667,4.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,2.0,2.0,2.0,27.4111111,26.902777766666667,26.902777766666667,1
7,7.0,7.0,7.0,22024,201939,22400007,"NOV 12, 2024",GSW vs. DAL,W,35,14,27,0.519,5,12,0.417,4,5,0.8,0,6,6,9,1,2,4,2,37,24,1,GSW,1610612744,DAL,1610612742,1,G,1,0,0,1,0,0,36.0,74,185,8,2,121.3,4,1,122.8,5,5,110.1,2,3,117.4,7.2,8.428571428571429,24.8,22.0,22.0,8.25,7.142857142857143,7.142857142857143,16.25,15.142857142857142,15.142857142857142,0.508,0.472,0.472,4.0,3.857142857142857,3.857142857142857,8.75,8.857142857142858,8.857142857142858,0.457,0.435,0.435,4.25,3.857142857142857,3.857142857142857,4.5,4.0,4.0,0.944,0.964,0.964,0.5,0.2857142857142857,0.2857142857142857,1.75,1.86,1.86,29.683333333333334,28.273809516666667,28.273809516666667,1
8,8.0,8.0,8.0,22024,201939,22400019,"NOV 15, 2024",GSW vs. MEM,W,26,4,9,0.444,3,7,0.429,2,2,1.0,1,7,8,5,4,0,3,2,13,9,1,GSW,1610612744,MEM,1610612763,1,G,1,0,0,1,0,0,36.0,74,185,9,2,121.2,4,1,121.4,7,5,112.9,3,2,124.0,7.2,10.375,27.2,23.9,23.9,9.4,8.0,8.0,18.4,16.625,16.625,0.511,0.481,0.481,4.2,4.0,4.0,9.4,9.25,9.25,0.447,0.432,0.432,4.2,3.875,3.875,4.6,4.125,4.125,0.913,0.939,0.939,0.4,0.25,0.25,1.6,1.75,1.75,30.72,29.097916666666663,29.097916666666663,0
9,9.0,9.0,9.0,22024,201939,22400251,"NOV 18, 2024",GSW @ LAC,L,32,10,21,0.476,6,15,0.4,0,0,0.0,1,6,7,6,0,1,3,1,26,-5,1,GSW,1610612744,LAC,1610612746,0,G,1,0,0,1,0,0,36.0,74,185,10,2,121.3,4,1,121.0,7,7,109.9,2,3,111.2,4.8,10.22222222222222,25.0,22.7,18.0,8.8,7.555555555555555,6.0,17.2,15.77777777777778,11.0,0.512,0.479,0.545,4.0,3.888888888888889,4.0,9.0,9.0,7.0,0.444,0.432,0.571,3.4,3.6666666666666665,2.0,3.8,3.888888888888889,2.0,0.895,0.943,1.0,0.4,0.3333333333333333,0.0,2.4,2.0,2.0,31.106666666666666,28.75555555,26.7,1
