,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1629027,22400064,"OCT 23, 2024",ATL vs. BKN,W,37,7,16,0.438,2,6,0.333,14,16,0.875,1,4,5,12,1,1,3,1,30,12,1,ATL,1610612737,BKN,1610612751,1,G,1,0,0,1,0,0,26.0,73,164,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,12.0,12.0,,30.0,,,7.0,,,16.0,,,0.438,,,2.0,,,6.0,,,0.333,,,14.0,,,16.0,,,0.875,,,1.0,,,1.0,,,37.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22024,1629027,22400079,"OCT 25, 2024",ATL vs. CHA,W,41,11,24,0.458,5,14,0.357,11,13,0.846,3,5,8,10,4,0,7,1,38,9,1,ATL,1610612737,CHA,1610612766,1,G,1,0,0,1,0,0,26.0,73,164,1,0,120.0,1,4,120.0,1,0,105.0,1,4,110.0,10.5,12.0,30.0,30.0,30.0,7.0,7.0,7.0,16.0,16.0,16.0,0.438,0.438,0.438,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,14.0,14.0,14.0,16.0,16.0,16.0,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,36.68333333333333,36.68333333333333,36.68333333333333,1
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22024,1629027,22400100,"OCT 27, 2024",ATL @ OKC,L,37,7,14,0.5,2,7,0.286,8,8,1.0,0,1,1,8,0,0,10,3,24,-18,1,ATL,1610612737,OKC,1610612760,0,G,1,0,0,1,0,0,26.0,73,164,2,0,122.5,2,3,122.5,2,0,91.0,2,3,108.0,1.0,10.5,34.0,34.0,34.0,9.0,9.0,9.0,20.0,20.0,20.0,0.45,0.45,0.45,3.5,3.5,3.5,10.0,10.0,10.0,0.35,0.35,0.35,12.5,12.5,12.5,14.5,14.5,14.5,0.862,0.862,0.862,2.0,2.0,2.0,2.5,2.5,2.5,39.083333333333336,39.083333333333336,39.083333333333336,0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22024,1629027,22400103,"OCT 28, 2024",ATL vs. WAS,L,36,2,15,0.133,2,10,0.2,8,9,0.889,0,8,8,13,1,1,6,3,14,-7,1,ATL,1610612737,WAS,1610612764,1,G,1,0,0,1,0,0,26.0,73,164,2,1,116.3,2,3,116.3,0,2,128.5,0,5,109.0,-1.0,1.0,30.7,30.7,30.7,8.333333333333334,8.333333333333334,8.333333333333334,18.0,18.0,18.0,0.463,0.463,0.463,3.0,3.0,3.0,9.0,9.0,9.0,0.333,0.333,0.333,11.0,11.0,11.0,12.333333333333334,12.333333333333334,12.333333333333334,0.892,0.892,0.892,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.67,1.67,1.67,38.40555555,38.40555555,38.40555555,0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22024,1629027,22400121,"OCT 30, 2024",ATL @ WAS,L,40,12,28,0.429,4,13,0.308,7,7,1.0,2,2,4,15,2,0,3,2,35,-16,1,ATL,1610612737,WAS,1610612764,0,G,1,0,0,1,0,0,26.0,73,164,2,2,117.0,2,3,117.0,1,2,125.3,1,4,113.0,-4.0,-1.0,26.5,26.5,14.0,6.75,6.75,2.0,17.25,17.25,15.0,0.391,0.391,0.133,2.75,2.75,2.0,9.25,9.25,10.0,0.297,0.297,0.2,10.25,10.25,8.0,11.5,11.5,9.0,0.891,0.891,0.889,1.0,1.0,0.0,1.5,1.5,1.0,37.74166666666667,37.74166666666667,35.75,1
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22024,1629027,22400135,"NOV 01, 2024",ATL vs. SAC,L,42,8,21,0.381,3,9,0.333,6,7,0.857,1,4,5,12,0,0,5,2,25,-11,1,ATL,1610612737,SAC,1610612758,1,G,1,0,0,1,0,0,26.0,73,164,2,3,117.6,2,3,117.6,2,2,110.5,2,3,116.5,-8.6,-4.0,28.2,28.2,28.2,7.8,7.8,7.8,19.4,19.4,19.4,0.402,0.402,0.402,3.0,3.0,3.0,10.0,10.0,10.0,0.3,0.3,0.3,9.6,9.6,9.6,10.6,10.6,10.6,0.906,0.906,0.906,1.2,1.2,1.2,1.6,1.6,1.6,38.263333333333335,38.263333333333335,38.263333333333335,0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22024,1629027,22400152,"NOV 03, 2024",ATL @ NOP,W,31,8,15,0.533,5,10,0.5,2,2,1.0,1,3,4,12,1,0,2,1,23,29,1,ATL,1610612737,NOP,1610612740,0,G,1,0,0,1,0,0,26.0,73,164,2,4,117.2,1,4,116.6,3,3,114.2,2,3,105.6,-4.6,-5.166666666666667,27.2,27.7,27.7,8.0,7.833333333333333,7.833333333333333,20.4,19.666666666666668,19.666666666666668,0.392,0.398,0.398,3.2,3.0,3.0,10.6,9.833333333333334,9.833333333333334,0.302,0.305,0.305,8.0,9.0,9.0,8.8,10.0,10.0,0.909,0.9,0.9,1.2,1.1666666666666667,1.1666666666666667,1.4,1.33,1.33,39.38666666666666,38.9361111,38.9361111,0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22024,1629027,22400157,"NOV 04, 2024",ATL vs. BOS,L,23,1,10,0.1,0,6,0.0,0,0,0.0,0,0,0,6,1,0,3,2,2,-28,1,ATL,1610612737,BOS,1610612738,1,G,1,0,0,1,0,0,26.0,73,164,3,4,118.4,1,4,116.8,6,1,112.0,4,1,122.4,-6.6,-0.2857142857142857,24.2,27.0,27.0,7.4,7.857142857142857,7.857142857142857,18.6,19.0,19.0,0.398,0.414,0.414,3.2,3.2857142857142856,3.2857142857142856,9.8,9.857142857142858,9.857142857142858,0.327,0.333,0.333,6.2,8.0,8.0,6.6,8.857142857142858,8.857142857142858,0.939,0.903,0.903,0.8,1.1428571428571428,1.1428571428571428,0.8,1.29,1.29,37.36,37.85238095,37.85238095,0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,22024,1629027,22400171,"NOV 06, 2024",ATL vs. NYK,W,35,7,21,0.333,3,9,0.333,6,8,0.75,2,4,6,10,2,0,2,2,23,6,1,ATL,1610612737,NYK,1610612752,1,G,1,0,0,1,0,0,26.0,73,164,3,5,115.3,1,4,114.6,3,3,109.0,3,2,113.6,-4.0,-3.75,19.8,23.9,23.9,6.2,7.0,7.0,17.8,17.875,17.875,0.348,0.392,0.392,2.8,2.875,2.875,9.6,9.375,9.375,0.292,0.307,0.307,4.6,7.0,7.0,5.0,7.75,7.75,0.92,0.903,0.903,0.8,1.0,1.0,1.0,1.25,1.25,34.6,36.02708333333333,36.02708333333333,0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22024,1629027,22400185,"NOV 08, 2024",ATL @ DET,L,41,11,25,0.44,6,12,0.5,7,8,0.875,0,2,2,13,2,0,3,2,35,14,1,ATL,1610612737,DET,1610612765,0,G,1,0,0,1,0,0,26.0,73,164,4,5,115.9,2,3,115.0,3,6,109.3,3,2,106.2,2.0,-2.6666666666666665,21.6,23.8,23.8,7.2,7.0,7.0,19.0,18.22222222222222,18.22222222222222,0.379,0.384,0.384,3.0,2.888888888888889,2.888888888888889,9.4,9.333333333333334,9.333333333333334,0.319,0.31,0.31,4.2,6.888888888888889,6.888888888888889,4.8,7.777777777777778,7.777777777777778,0.875,0.886,0.886,1.2,1.1111111111111112,1.1111111111111112,1.2,1.33,1.33,34.5,35.940740733333335,35.940740733333335,1
