,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1630530,22400214,"NOV 11, 2024",NOP vs. BKN,L,26,4,14,0.286,2,6,0.333,2,2,1.0,2,3,5,0,0,2,4,3,12,-2,1,NOP,1610612740,BKN,1610612751,1,F,0,1,0,0,1,0,24.0,80,206,3,7,107.2,1,4,109.2,4,6,112.3,2,3,104.4,-2.0,-2.0,,12.0,,,4.0,,,14.0,,,0.286,,,2.0,,,6.0,,,0.333,,,2.0,,,2.0,,,1.0,,,2.0,,,0.0,,,26.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,22024,1630530,22400221,"NOV 13, 2024",NOP @ OKC,L,26,4,12,0.333,2,8,0.25,4,4,1.0,0,2,2,2,0,0,1,3,14,-2,1,NOP,1610612740,OKC,1610612760,0,F,0,1,0,0,1,0,24.0,80,206,3,8,107.0,0,5,105.2,9,2,105.2,3,2,120.0,-2.0,-2.0,12.0,12.0,12.0,4.0,4.0,4.0,14.0,14.0,14.0,0.286,0.286,0.286,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,25.616666666666667,25.616666666666667,25.616666666666667,1
2,2.0,2.0,2.0,2.0,2.0,2.0,22024,1630530,22400017,"NOV 15, 2024",NOP vs. DEN,W,30,7,15,0.467,2,8,0.25,1,1,1.0,1,7,8,3,1,0,2,2,17,-8,1,NOP,1610612740,DEN,1610612743,1,F,0,1,0,0,1,0,24.0,80,206,3,9,105.4,0,5,100.6,7,3,118.0,5,0,126.2,-4.0,-2.0,13.0,13.0,13.0,4.0,4.0,4.0,13.0,13.0,13.0,0.308,0.308,0.308,2.0,2.0,2.0,7.0,7.0,7.0,0.286,0.286,0.286,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.775,25.775,25.775,1
3,3.0,3.0,3.0,3.0,3.0,3.0,22024,1630530,22400024,"NOV 19, 2024",NOP @ DAL,L,29,5,13,0.385,2,7,0.286,7,7,1.0,0,5,5,1,2,0,3,1,19,-35,1,NOP,1610612740,DAL,1610612742,0,F,0,1,0,0,1,0,24.0,80,206,4,10,104.6,1,4,96.2,7,7,110.6,2,3,116.2,-11.75,-4.0,14.3,14.3,14.3,5.0,5.0,5.0,13.666666666666666,13.666666666666666,13.666666666666666,0.366,0.366,0.366,2.0,2.0,2.0,7.333333333333333,7.333333333333333,7.333333333333333,0.273,0.273,0.273,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.33,0.33,27.20555555,27.20555555,27.20555555,1
4,4.0,4.0,4.0,4.0,4.0,4.0,22024,1630530,22400032,"NOV 22, 2024",NOP vs. GSW,L,38,9,17,0.529,5,9,0.556,1,2,0.5,1,3,4,4,0,1,0,2,24,-4,1,NOP,1610612740,GSW,1610612744,1,F,0,1,0,0,1,0,24.0,80,206,4,12,103.5,1,4,95.8,11,3,109.1,4,1,117.8,-10.2,-11.75,16.7,15.5,15.5,5.333333333333333,5.0,5.0,13.333333333333334,13.5,13.5,0.4,0.37,0.37,2.0,2.0,2.0,7.666666666666667,7.25,7.25,0.261,0.276,0.276,4.0,3.5,3.5,4.0,3.5,3.5,1.0,1.0,1.0,0.3333333333333333,0.75,0.75,1.0,0.75,0.75,28.433333333333334,27.729166666666668,27.729166666666668,1
5,5.0,5.0,5.0,5.0,5.0,5.0,22024,1630530,22400279,"NOV 25, 2024",NOP @ IND,L,40,9,19,0.474,2,11,0.182,4,7,0.571,0,6,6,4,1,1,0,0,24,14,1,NOP,1610612740,IND,1610612754,0,F,0,1,0,0,1,0,24.0,80,206,4,13,103.8,1,4,99.8,7,10,118.1,2,3,116.6,-7.0,-10.2,20.0,17.2,17.2,7.0,5.8,5.8,15.0,14.2,14.2,0.467,0.408,0.408,3.0,2.6,2.6,8.0,7.6,7.6,0.375,0.342,0.342,3.0,3.0,3.0,3.333333333333333,3.2,3.2,0.9,0.938,0.938,0.6666666666666666,0.8,0.8,1.0,0.6,0.6,32.47777776666667,29.796666666666667,29.796666666666667,1
6,6.0,6.0,6.0,6.0,6.0,6.0,22024,1630530,22400042,"NOV 29, 2024",NOP @ MEM,L,38,8,23,0.348,2,8,0.25,3,4,0.75,3,6,9,0,1,1,1,1,21,-13,1,NOP,1610612740,MEM,1610612763,0,F,0,1,0,0,1,0,24.0,80,206,4,15,103.5,0,5,100.4,12,7,112.7,4,1,124.6,-9.2,-6.166666666666667,22.3,18.3,18.3,7.666666666666667,6.333333333333333,6.333333333333333,16.333333333333332,15.0,15.0,0.469,0.422,0.422,3.0,2.5,2.5,9.0,8.166666666666666,8.166666666666666,0.333,0.306,0.306,4.0,3.1666666666666665,3.1666666666666665,5.333333333333333,3.8333333333333335,3.8333333333333335,0.75,0.826,0.826,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.67,0.67,35.68333333333333,31.44444443333333,31.44444443333333,1
7,7.0,7.0,7.0,7.0,7.0,7.0,22024,1630530,22400308,"DEC 01, 2024",NOP @ NYK,L,29,3,14,0.214,3,9,0.333,2,2,1.0,1,3,4,2,1,0,1,2,11,-34,1,NOP,1610612740,NYK,1610612752,0,F,0,1,0,0,1,0,24.0,80,206,4,16,103.8,0,5,104.0,11,8,112.8,3,2,120.4,-14.4,-7.142857142857143,23.0,18.7,18.7,8.666666666666666,6.571428571428571,6.571428571428571,19.666666666666668,16.142857142857142,16.142857142857142,0.441,0.407,0.407,3.0,2.4285714285714284,2.4285714285714284,9.333333333333334,8.142857142857142,8.142857142857142,0.321,0.298,0.298,2.6666666666666665,3.142857142857143,3.142857142857143,4.333333333333333,3.857142857142857,3.857142857142857,0.615,0.815,0.815,1.3333333333333333,1.0,1.0,0.67,0.71,0.71,38.538888883333335,32.36190475,32.36190475,0
8,8.0,8.0,8.0,8.0,8.0,8.0,22024,1630530,22400315,"DEC 02, 2024",NOP @ ATL,L,37,5,12,0.417,3,9,0.333,1,1,1.0,0,1,1,5,2,1,1,5,14,-15,1,NOP,1610612740,ATL,1610612737,0,F,0,1,0,0,1,0,24.0,80,206,4,17,102.9,0,5,101.0,10,11,119.4,3,2,120.0,-10.4,-10.5,20.0,17.8,17.8,7.25,6.125,6.125,18.25,15.875,15.875,0.397,0.386,0.386,3.0,2.5,2.5,9.25,8.25,8.25,0.324,0.303,0.303,2.5,3.0,3.0,3.75,3.625,3.625,0.667,0.828,0.828,1.25,1.0,1.0,0.75,0.75,0.75,36.1625,31.945833333333333,31.945833333333333,0
9,9.0,9.0,9.0,9.0,9.0,9.0,22024,1630530,22400330,"DEC 05, 2024",NOP vs. PHX,W,34,7,11,0.636,3,6,0.5,2,2,1.0,1,1,2,2,0,0,3,3,19,-3,1,NOP,1610612740,PHX,1610612756,1,F,0,1,0,0,1,0,24.0,80,206,4,18,103.3,0,5,101.8,12,8,112.9,3,2,116.6,-10.2,-11.0,17.5,17.3,17.3,6.25,6.0,6.0,17.0,15.444444444444445,15.444444444444445,0.368,0.388,0.388,2.5,2.555555555555556,2.555555555555556,9.25,8.333333333333334,8.333333333333334,0.27,0.307,0.307,2.5,2.7777777777777777,2.7777777777777777,3.5,3.333333333333333,3.333333333333333,0.714,0.833,0.833,1.0,0.8888888888888888,0.8888888888888888,1.25,0.89,0.89,35.90416666666667,32.5111111,32.5111111,1
