,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22024,1629639,22400065,"OCT 23, 2024",MIA vs. ORL,L,29,5,11,0.455,2,5,0.4,2,2,1.0,0,5,5,3,0,1,1,1,14,-27,1,MIA,1610612748,ORL,1610612753,1,G,1,0,0,1,0,0,25.0,77,195,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-27.0,-27.0,,14.0,,,5.0,,,11.0,,,0.455,,,2.0,,,5.0,,,0.4,,,2.0,,,2.0,,,1.0,,,0.0,,,0.0,,,29.0,,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22024,1629639,22400088,"OCT 26, 2024",MIA @ CHA,W,33,7,15,0.467,3,7,0.429,5,6,0.833,1,4,5,5,1,0,3,3,22,0,1,MIA,1610612748,CHA,1610612766,0,G,1,0,0,1,0,0,25.0,77,195,0,1,97.0,0,5,97.0,1,1,115.0,1,4,115.0,-13.5,-27.0,14.0,14.0,14.0,5.0,5.0,5.0,11.0,11.0,11.0,0.455,0.455,0.455,2.0,2.0,2.0,5.0,5.0,5.0,0.4,0.4,0.4,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,28.75,28.75,1
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22024,1629639,22400105,"OCT 28, 2024",MIA vs. DET,W,33,7,20,0.35,3,12,0.25,2,2,1.0,0,4,4,6,1,0,2,0,19,-7,1,MIA,1610612748,DET,1610612765,1,G,1,0,0,1,0,0,25.0,77,195,1,1,105.5,1,4,105.5,0,3,117.3,0,5,109.3,-11.333333333333334,-13.5,18.0,18.0,18.0,6.0,6.0,6.0,13.0,13.0,13.0,0.462,0.462,0.462,2.5,2.5,2.5,6.0,6.0,6.0,0.417,0.417,0.417,3.5,3.5,3.5,4.0,4.0,4.0,0.875,0.875,0.875,0.5,0.5,0.5,0.5,0.5,0.5,30.683333333333334,30.683333333333334,30.683333333333334,1
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22024,1629639,22400122,"OCT 30, 2024",MIA vs. NYK,L,35,12,20,0.6,8,13,0.615,2,2,1.0,0,5,5,7,1,0,1,2,34,-3,1,MIA,1610612748,NYK,1610612752,1,G,1,0,0,1,0,0,25.0,77,195,2,1,105.7,2,3,105.7,1,2,113.3,1,4,112.0,-9.25,-11.333333333333334,18.3,18.3,18.3,6.333333333333333,6.333333333333333,6.333333333333333,15.333333333333334,15.333333333333334,15.333333333333334,0.413,0.413,0.413,2.6666666666666665,2.6666666666666665,2.6666666666666665,8.0,8.0,8.0,0.333,0.333,0.333,3.0,3.0,3.0,3.333333333333333,3.333333333333333,3.333333333333333,0.9,0.9,0.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.67,0.67,0.67,31.53888888333333,31.53888888333333,31.53888888333333,1
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22024,1629639,22400147,"NOV 02, 2024",MIA @ WAS,W,20,5,9,0.556,2,4,0.5,3,6,0.5,0,6,6,1,0,0,2,6,15,17,1,MIA,1610612748,WAS,1610612764,0,G,1,0,0,1,0,0,25.0,77,195,2,2,106.0,2,3,106.0,2,2,124.0,2,3,118.0,-4.0,-9.25,22.3,22.3,22.3,7.75,7.75,7.75,16.5,16.5,16.5,0.47,0.47,0.47,4.0,4.0,4.0,9.25,9.25,9.25,0.432,0.432,0.432,2.75,2.75,2.75,3.0,3.0,3.0,0.917,0.917,0.917,0.25,0.25,0.25,0.75,0.75,0.75,32.483333333333334,32.483333333333334,32.483333333333334,0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22024,1629639,22400159,"NOV 04, 2024",MIA vs. SAC,L,34,9,18,0.5,5,11,0.455,4,5,0.8,0,6,6,3,0,1,4,2,27,-6,1,MIA,1610612748,SAC,1610612758,1,G,1,0,0,1,0,0,25.0,77,195,3,2,108.4,3,2,108.4,3,3,114.7,3,2,120.4,0.2,-4.0,20.8,20.8,20.8,7.2,7.2,7.2,15.0,15.0,15.0,0.48,0.48,0.48,3.6,3.6,3.6,8.2,8.2,8.2,0.439,0.439,0.439,2.8,2.8,2.8,3.6,3.6,3.6,0.778,0.778,0.778,0.2,0.2,0.2,0.6,0.6,0.6,29.936666666666667,29.936666666666667,29.936666666666667,1
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22024,1629639,22400178,"NOV 06, 2024",MIA @ PHX,L,35,9,15,0.6,5,9,0.556,5,5,1.0,0,3,3,6,0,0,3,3,28,5,1,MIA,1610612748,PHX,1610612756,0,G,1,0,0,1,0,0,25.0,77,195,3,3,108.7,3,2,111.0,6,1,110.7,5,0,113.8,1.2,-4.333333333333333,23.4,21.8,21.8,8.0,7.5,7.5,16.4,15.5,15.5,0.488,0.484,0.484,4.2,3.8333333333333335,3.8333333333333335,9.4,8.666666666666666,8.666666666666666,0.447,0.442,0.442,3.2,3.0,3.0,4.2,3.8333333333333335,3.8333333333333335,0.762,0.783,0.783,0.2,0.1666666666666666,0.1666666666666666,0.6,0.5,0.5,30.94,30.575,30.575,1
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22024,1629639,22400194,"NOV 08, 2024",MIA @ DEN,L,40,10,21,0.476,4,10,0.4,0,0,0.0,1,6,7,11,0,0,1,0,24,-3,1,MIA,1610612748,DEN,1610612743,0,G,1,0,0,1,0,0,25.0,77,195,3,4,109.1,2,3,110.6,5,3,117.3,4,1,126.8,2.0,-3.0,24.6,22.7,22.7,8.4,7.714285714285714,7.714285714285714,16.4,15.428571428571429,15.428571428571429,0.512,0.5,0.5,4.6,4.0,4.0,9.8,8.714285714285714,8.714285714285714,0.469,0.459,0.459,3.2,3.2857142857142856,3.2857142857142856,4.0,4.0,4.0,0.8,0.821,0.821,0.0,0.1428571428571428,0.1428571428571428,0.4,0.43,0.43,31.42,31.2095238,31.2095238,1
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,22024,1629639,22400206,"NOV 10, 2024",MIA @ MIN,W,34,9,15,0.6,4,8,0.5,4,5,0.8,0,6,6,3,0,0,8,5,26,-6,1,MIA,1610612748,MIN,1610612750,0,G,1,0,0,1,0,0,25.0,77,195,3,5,110.8,1,4,113.8,6,3,109.9,4,1,119.6,1.4,-3.0,25.6,22.9,22.9,9.0,8.0,8.0,16.6,16.125,16.125,0.542,0.496,0.496,4.8,4.0,4.0,9.4,8.875,8.875,0.511,0.451,0.451,2.8,2.875,2.875,3.6,3.5,3.5,0.778,0.821,0.821,0.2,0.25,0.25,0.2,0.38,0.38,32.81666666666667,32.3375,32.3375,1
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22024,1629639,22400002,"NOV 12, 2024",MIA @ DET,L,42,14,27,0.519,10,17,0.588,2,2,1.0,0,5,5,8,4,0,1,3,40,3,1,MIA,1610612748,DET,1610612765,0,G,1,0,0,1,0,0,25.0,77,195,4,5,109.0,2,3,111.4,4,7,109.6,3,2,109.8,-1.4,-3.333333333333333,24.0,23.2,19.0,8.4,8.11111111111111,7.0,15.6,16.0,20.0,0.538,0.507,0.35,4.0,4.0,3.0,8.4,8.777777777777779,12.0,0.476,0.456,0.25,3.2,3.0,2.0,4.2,3.6666666666666665,2.0,0.762,0.818,1.0,0.2,0.2222222222222222,0.0,0.0,0.33,1.0,32.53,32.50925925,33.25,1
