,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,VS_MIN,target
0,22024,1630169,0022400063,"OCT 23, 2024",IND @ DET,W,35,6,18,0.333,1,9,0.111,2,2,1.0,1,4,5,4,3,2,3,2,15,15,1,IND,1610612754,DET,1610612765,0,G,1,0,0,1,0,0,24.0,77,185,1,0,115.0,1,4,115.0,0,1,115.0,0,5,109.0,15.0,15.0,34.96666666666667,34.96666666666667,15.0,15.0,15.0,6.0,6.0,6.0,18.0,18.0,18.0,0.333,0.333,0.333,1.0,1.0,1.0,9.0,9.0,9.0,0.111,0.111,0.111,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,34.96666666666667,0
1,22024,1630169,0022400081,"OCT 25, 2024",IND @ NYK,L,26,0,8,0.0,0,7,0.0,0,0,0.0,0,1,1,5,1,0,1,2,0,-23,1,IND,1610612754,NYK,1610612752,0,G,1,0,0,1,0,0,24.0,77,185,1,1,106.5,1,4,106.5,1,1,115.0,1,4,116.0,-4.0,15.0,30.408333333333335,30.408333333333335,7.5,7.5,0.0,3.0,3.0,0.0,13.0,13.0,8.0,0.231,0.231,0.0,0.5,0.5,0.0,8.0,8.0,7.0,0.063,0.063,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,2.0,2.0,1.0,25.85,0
2,22024,1630169,0022400097,"OCT 27, 2024",IND vs. PHI,L,37,8,18,0.444,4,9,0.444,2,5,0.4,1,3,4,2,0,1,3,2,22,-9,1,IND,1610612754,PHI,1610612755,1,G,1,0,0,1,0,0,24.0,77,185,1,2,109.0,1,4,109.0,1,2,117.7,1,4,111.3,-5.666666666666667,-4.0,32.7,32.7,12.3,12.3,22.0,4.666666666666667,4.666666666666667,8.0,14.666666666666666,14.666666666666666,18.0,0.318,0.318,0.444,1.6666666666666667,1.6666666666666667,4.0,8.333333333333334,8.333333333333334,9.0,0.2,0.2,0.444,1.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,5.0,0.571,0.571,0.4,0.6666666666666666,0.6666666666666666,1.0,1.33,1.33,0.0,37.28333333333333,1
3,22024,1630169,0022400102,"OCT 28, 2024",IND @ ORL,L,35,6,15,0.4,4,9,0.444,3,4,0.75,3,6,9,10,1,0,1,1,19,3,1,IND,1610612754,ORL,1610612753,0,G,1,0,0,1,0,0,24.0,77,185,1,3,110.5,1,4,110.5,3,1,109.3,3,2,115.5,-3.5,-5.666666666666667,33.2875,33.2875,14.0,14.0,19.0,5.0,5.0,6.0,14.75,14.75,15.0,0.339,0.339,0.4,2.25,2.25,4.0,8.5,8.5,9.0,0.265,0.265,0.444,1.75,1.75,3.0,2.75,2.75,4.0,0.636,0.636,0.75,1.25,1.25,3.0,1.25,1.25,1.0,35.05,1
4,22024,1630169,0022400119,"OCT 30, 2024",IND vs. BOS,W,40,7,19,0.368,2,10,0.2,1,1,1.0,0,6,6,12,2,0,1,5,17,9,1,IND,1610612754,BOS,1610612738,1,G,1,0,0,1,0,0,24.0,77,185,2,3,115.4,2,3,115.4,4,1,114.4,4,1,125.8,-1.0,-3.5,34.593333333333334,34.593333333333334,14.6,14.6,17.0,5.4,5.4,7.0,15.6,15.6,19.0,0.346,0.346,0.368,2.2,2.2,2.0,8.8,8.8,10.0,0.25,0.25,0.2,1.6,1.6,1.0,2.4,2.4,1.0,0.667,0.667,1.0,1.0,1.0,0.0,1.4,1.4,2.0,39.81666666666667,1
5,22024,1630169,0022400138,"NOV 01, 2024",IND @ NOP,L,33,2,8,0.25,1,6,0.167,6,6,1.0,1,1,2,11,0,0,2,2,11,-19,1,IND,1610612754,NOP,1610612740,0,G,1,0,0,1,0,0,24.0,77,185,2,4,115.8,1,4,116.0,3,3,114.2,2,3,105.6,-7.8,-1.0,34.28,34.394444433333334,13.8,14.0,11.0,4.6,4.833333333333333,2.0,13.6,14.333333333333334,8.0,0.338,0.337,0.25,2.2,2.0,1.0,8.2,8.333333333333334,6.0,0.268,0.24,0.167,2.4,2.3333333333333335,6.0,3.2,3.0,6.0,0.75,0.778,1.0,1.0,1.0,1.0,0.8,1.17,0.0,33.4,0
6,22024,1630169,0022400165,"NOV 04, 2024",IND @ DAL,W,36,10,16,0.625,2,8,0.25,3,6,0.5,0,4,4,12,2,1,2,1,25,9,1,IND,1610612754,DAL,1610612742,0,G,1,0,0,1,0,0,24.0,77,185,3,4,118.4,2,3,123.2,4,3,109.4,3,2,113.4,-1.4,-4.0,36.21666666666667,34.55714285,18.8,15.6,25.0,6.6,5.571428571428571,10.0,15.2,14.571428571428571,16.0,0.434,0.382,0.625,2.6,2.0,2.0,8.4,8.285714285714286,8.0,0.31,0.241,0.25,3.0,2.4285714285714284,3.0,4.4,3.4285714285714284,6.0,0.682,0.708,0.5,1.0,0.8571428571428571,0.0,1.0,1.29,2.0,35.53333333333333,1
7,22024,1630169,0022400170,"NOV 06, 2024",IND vs. ORL,W,37,6,11,0.545,3,5,0.6,2,2,1.0,0,3,3,4,1,0,1,4,17,6,1,IND,1610612754,ORL,1610612753,1,G,1,0,0,1,0,0,24.0,77,185,4,4,118.4,3,2,124.0,3,6,109.7,0,5,98.0,1.6,-2.142857142857143,36.09,34.81875,17.8,15.8,18.0,6.2,5.625,6.0,13.8,14.125,13.0,0.449,0.398,0.462,2.4,2.125,3.5,7.6,7.875,7.0,0.316,0.27,0.5,3.0,2.375,2.5,3.8,3.25,3.0,0.789,0.731,0.833,0.8,0.75,1.5,1.2,1.25,1.0,35.85,1
8,22024,1630169,0022400184,"NOV 08, 2024",IND @ CHA,L,34,2,11,0.182,0,4,0.0,2,2,1.0,1,6,7,9,1,1,2,1,6,-21,1,IND,1610612754,CHA,1610612766,0,G,1,0,0,1,0,0,24.0,77,185,4,5,114.4,3,2,117.6,4,5,113.1,2,3,103.2,-3.2,-1.125,35.92333333333333,34.75185185,15.2,14.7,6.0,5.4,5.222222222222222,2.0,13.0,13.777777777777779,11.0,0.415,0.379,0.182,1.6,1.8888888888888888,0.0,6.6,7.444444444444445,4.0,0.242,0.254,0.0,2.8,2.3333333333333335,2.0,3.4,3.111111111111111,2.0,0.824,0.75,1.0,0.4,0.7777777777777778,1.0,1.2,1.22,1.0,34.21666666666667,0
9,22024,1630169,0022400203,"NOV 10, 2024",IND vs. NYK,W,35,11,18,0.611,4,10,0.4,9,11,0.818,0,2,2,14,2,0,2,1,35,12,1,IND,1610612754,NYK,1610612752,1,G,1,0,0,1,0,0,24.0,77,185,5,5,116.2,3,2,117.0,4,5,111.2,2,3,115.6,-2.6,-3.3333333333333335,34.99666666666667,34.795,18.8,16.7,17.5,6.2,5.8,5.5,12.8,14.2,13.0,0.484,0.408,0.423,2.0,2.1,2.0,6.6,7.7,8.5,0.303,0.273,0.235,4.4,3.0,4.5,5.4,3.9,5.5,0.815,0.769,0.818,0.4,0.7,0.0,1.2,1.3,1.5,30.516666666666666,1
10,22024,1630169,0022400217,"NOV 13, 2024",IND @ ORL,L,40,3,14,0.214,2,8,0.25,1,1,1.0,0,1,1,11,0,0,4,1,9,5,1,IND,1610612754,ORL,1610612753,0,G,1,0,0,1,0,0,24.0,77,185,5,6,113.8,3,2,111.4,7,6,103.7,4,1,111.0,2.2,-1.8,36.22666666666667,35.22727271666667,18.4,16.0,15.0,6.4,5.545454545454546,5.0,14.0,14.181818181818182,13.333333333333334,0.457,0.391,0.375,2.2,2.090909090909091,3.0,7.0,7.7272727272727275,7.333333333333333,0.314,0.271,0.409,3.4,2.8181818181818183,2.0,4.4,3.6363636363636362,2.3333333333333335,0.773,0.775,0.857,0.2,0.6363636363636364,1.0,1.2,1.18,0.67,37.083333333333336,0
11,22024,1630169,0022400009,"NOV 15, 2024",IND vs. MIA,L,29,7,14,0.5,4,9,0.444,0,0,0.0,1,1,2,8,1,0,1,1,18,-25,1,IND,1610612754,MIA,1610612748,1,G,1,0,0,1,0,0,24.0,77,185,5,7,113.6,2,3,106.8,5,6,111.2,2,3,114.8,-4.6,-1.1818181818181819,34.85,34.67916666666667,17.0,16.2,18.0,5.8,5.666666666666667,7.0,13.6,14.166666666666666,14.0,0.426,0.4,0.5,2.6,2.25,4.0,7.2,7.833333333333333,9.0,0.361,0.287,0.444,2.8,2.5833333333333335,0.0,3.2,3.3333333333333335,0.0,0.875,0.775,0.0,0.4,0.6666666666666666,1.0,1.0,1.17,1.0,28.65,1
12,22024,1630169,0022400235,"NOV 17, 2024",IND vs. MIA,W,38,4,13,0.308,3,8,0.375,5,5,1.0,1,2,3,13,0,2,0,2,16,19,1,IND,1610612754,MIA,1610612748,1,G,1,0,0,1,0,0,24.0,77,185,6,7,114.0,2,3,107.0,5,7,111.8,2,3,114.4,-2.0,-3.1666666666666665,35.053333333333335,34.90897435,16.8,16.2,17.0,5.4,5.538461538461538,5.5,14.0,14.076923076923077,13.5,0.386,0.393,0.407,2.6,2.3076923076923075,3.5,7.8,7.846153846153846,8.5,0.333,0.294,0.412,3.4,2.769230769230769,2.5,3.8,3.4615384615384617,2.5,0.895,0.8,1.0,0.6,0.6923076923076923,1.0,0.8,1.08,0.5,33.15833333333333,0
13,22024,1630169,0022400247,"NOV 18, 2024",IND @ TOR,L,39,5,18,0.278,2,9,0.222,4,4,1.0,2,1,3,4,5,2,1,4,16,-15,1,IND,1610612754,TOR,1610612761,0,G,1,0,0,1,0,0,24.0,77,185,6,8,114.4,2,3,114.2,3,12,119.5,1,4,107.2,-0.8,-1.4615384615384615,35.973333333333336,35.188095233333335,18.8,16.1,16.0,6.0,5.5,5.0,15.4,14.357142857142858,18.0,0.39,0.383,0.278,3.0,2.2857142857142856,2.0,8.8,7.928571428571429,9.0,0.341,0.288,0.222,3.8,2.857142857142857,4.0,4.2,3.5,4.0,0.905,0.816,1.0,0.8,0.7857142857142857,2.0,1.6,1.36,5.0,38.81666666666667,0
14,22024,1630169,0022400254,"NOV 20, 2024",IND @ HOU,L,30,1,7,0.143,1,5,0.2,1,1,1.0,0,1,1,8,0,1,2,1,4,-28,1,IND,1610612754,HOU,1610612745,0,G,1,0,0,1,0,0,24.0,77,185,6,9,114.3,1,4,110.4,11,5,106.2,4,1,121.8,-8.8,-2.4285714285714284,34.93666666666667,34.84222221666667,12.6,15.3,4.0,4.0,5.2,1.0,13.2,13.866666666666667,7.0,0.303,0.375,0.143,2.4,2.2,1.0,7.8,7.733333333333333,5.0,0.308,0.284,0.2,2.2,2.7333333333333334,1.0,2.2,3.3333333333333335,1.0,1.0,0.82,1.0,0.8,0.7333333333333333,0.0,1.2,1.27,0.0,30.0,0
15,22024,1630169,0022400029,"NOV 22, 2024",IND @ MIL,L,34,6,14,0.429,4,10,0.4,2,2,1.0,0,1,1,9,0,0,1,0,18,-18,1,IND,1610612754,MIL,1610612749,0,G,1,0,0,1,0,0,24.0,77,185,6,10,114.4,1,4,115.8,7,9,112.5,4,1,118.6,-13.4,-4.133333333333334,33.803333333333335,34.782291666666666,14.4,15.5,18.0,4.6,5.25,6.0,13.2,13.875,14.0,0.348,0.378,0.429,2.8,2.3125,4.0,8.2,7.875,10.0,0.341,0.294,0.4,2.4,2.6875,2.0,2.4,3.25,2.0,1.0,0.827,1.0,0.8,0.6875,0.0,1.2,1.19,0.0,33.88333333333333,1
16,22024,1630169,0022400272,"NOV 24, 2024",IND vs. WAS,W,34,7,18,0.389,5,11,0.455,2,2,1.0,3,1,4,9,2,0,3,3,21,12,1,IND,1610612754,WAS,1610612764,1,G,1,0,0,1,0,0,24.0,77,185,7,10,114.5,2,3,116.6,2,13,122.9,0,5,105.2,-6.0,-5.0,34.93333333333333,34.75392156666667,15.0,15.8,21.0,4.6,5.352941176470588,7.0,14.0,14.117647058823529,18.0,0.329,0.379,0.389,3.0,2.4705882352941178,5.0,8.6,8.058823529411764,11.0,0.349,0.307,0.455,2.8,2.6470588235294117,2.0,2.8,3.176470588235294,2.0,1.0,0.833,1.0,1.2,0.8235294117647058,3.0,1.4,1.24,2.0,34.3,1
17,22024,1630169,0022400279,"NOV 25, 2024",IND vs. NOP,W,36,12,23,0.522,9,18,0.5,1,1,1.0,0,3,3,13,3,0,2,1,34,16,1,IND,1610612754,NOP,1610612740,1,G,1,0,0,1,0,0,24.0,77,185,8,10,114.4,2,3,115.6,4,14,115.1,0,5,101.6,-6.6,-4.0,34.516666666666666,34.8,18.6,16.8,22.5,6.2,5.722222222222222,7.0,16.0,14.61111111111111,15.5,0.388,0.392,0.452,4.2,2.8333333333333335,5.0,10.6,8.61111111111111,12.0,0.396,0.329,0.417,2.0,2.5555555555555554,3.5,2.0,3.0555555555555554,3.5,1.0,0.836,1.0,1.0,0.7777777777777778,0.5,2.0,1.33,1.5,34.49166666666667,1
18,22024,1630169,0022400288,"NOV 27, 2024",IND vs. POR,W,39,8,15,0.533,5,10,0.5,7,7,1.0,2,5,7,10,2,0,3,2,28,17,1,IND,1610612754,POR,1610612757,1,G,1,0,0,1,0,0,24.0,77,185,9,10,114.8,3,2,116.0,7,12,114.0,1,4,100.6,-0.2,-2.888888888888889,34.52333333333333,35.013157883333335,21.0,17.4,28.0,6.8,5.842105263157895,8.0,15.4,14.631578947368421,15.0,0.442,0.399,0.533,4.8,2.9473684210526314,5.0,10.8,8.68421052631579,10.0,0.444,0.339,0.5,2.6,2.789473684210526,7.0,2.6,3.263157894736842,7.0,1.0,0.855,1.0,1.0,0.8421052631578947,2.0,1.4,1.37,2.0,38.85,1
19,22024,1630169,0022400045,"NOV 29, 2024",IND vs. DET,L,30,8,13,0.615,3,8,0.375,0,0,0.0,0,1,1,5,0,0,2,0,19,-23,1,IND,1610612754,DET,1610612765,1,G,1,0,0,1,0,0,24.0,77,185,9,11,114.4,3,2,114.6,9,12,111.7,2,3,112.8,0.8,-1.8421052631578947,34.49666666666667,34.755833333333335,24.0,17.5,17.0,8.2,5.95,7.0,16.6,14.55,15.5,0.494,0.409,0.452,5.2,2.95,2.0,11.4,8.65,8.5,0.456,0.341,0.235,2.4,2.65,1.0,2.4,3.1,1.0,1.0,0.855,1.0,1.0,0.8,0.5,1.4,1.3,1.5,32.416666666666664,1
20,22024,1630169,0022400306,"DEC 01, 2024",IND @ MEM,L,37,3,10,0.3,2,9,0.222,0,0,0.0,1,1,2,7,1,0,2,0,8,-6,1,IND,1610612754,MEM,1610612763,0,G,1,0,0,1,0,0,24.0,77,185,9,12,114.7,3,2,115.4,14,7,112.9,5,0,130.4,3.2,-2.9,35.1,34.8579365,22.0,17.0,8.0,7.6,5.809523809523809,3.0,15.8,14.333333333333334,10.0,0.481,0.405,0.3,4.8,2.9047619047619047,2.0,11.2,8.666666666666666,9.0,0.429,0.335,0.222,2.0,2.5238095238095237,0.0,2.0,2.9523809523809526,0.0,1.0,0.855,0.0,1.2,0.8095238095238095,1.0,1.6,1.29,1.0,36.9,0
