,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,22024,1641705,22400074,"OCT 24, 2024",SAS @ DAL,L,28,5,18,0.278,1,8,0.125,6,6,1.0,2,7,9,1,0,1,4,1,17,-20,1,SAS,1610612759,DAL,1610612742,0,F-C,0,1,0,0,1,1,21.0,87,235,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-20.0,-20.0,,17.0,,,5.0,,,18.0,,,0.278,,,1.0,,,8.0,,,0.125,,,6.0,,,6.0,,,1.0,,,2.0,,,0.0,,,28.0,,0
1,1.0,22024,1641705,22400094,"OCT 26, 2024",SAS vs. HOU,W,30,10,17,0.588,2,5,0.4,7,8,0.875,1,6,7,1,0,3,3,3,29,0,1,SAS,1610612759,HOU,1610612745,1,F-C,0,1,0,0,1,1,21.0,87,235,0,1,109.0,0,5,109.0,1,1,109.0,1,4,116.5,-10.0,-20.0,17.0,17.0,17.0,5.0,5.0,5.0,18.0,18.0,18.0,0.278,0.278,0.278,1.0,1.0,1.0,8.0,8.0,8.0,0.125,0.125,0.125,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,28.466666666666665,28.466666666666665,28.466666666666665,1
2,2.0,22024,1641705,22400109,"OCT 28, 2024",SAS vs. HOU,L,35,6,14,0.429,1,5,0.2,1,2,0.5,5,15,20,5,0,4,4,3,14,-7,1,SAS,1610612759,HOU,1610612745,1,F-C,0,1,0,0,1,1,21.0,87,235,1,1,109.0,1,4,109.0,1,2,109.0,1,4,113.0,-9.0,-10.0,23.0,23.0,29.0,7.5,7.5,10.0,17.5,17.5,17.0,0.429,0.429,0.588,1.5,1.5,2.0,6.5,6.5,5.0,0.231,0.231,0.4,6.5,6.5,7.0,7.0,7.0,8.0,0.929,0.929,0.875,1.5,1.5,1.0,0.0,0.0,0.0,29.33333333333333,29.33333333333333,30.2,0
3,3.0,22024,1641705,22400125,"OCT 30, 2024",SAS @ OKC,L,27,1,5,0.2,0,3,0.0,4,4,1.0,1,7,8,2,0,3,4,0,6,-4,1,SAS,1610612759,OKC,1610612760,0,F-C,0,1,0,0,1,1,21.0,87,235,1,2,106.3,1,4,106.3,3,0,95.3,3,2,114.7,-7.75,-9.0,20.0,20.0,20.0,7.0,7.0,7.0,16.333333333333332,16.333333333333332,16.333333333333332,0.429,0.429,0.429,1.3333333333333333,1.3333333333333333,1.3333333333333333,6.0,6.0,6.0,0.222,0.222,0.222,4.666666666666667,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,5.333333333333333,0.875,0.875,0.875,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,31.29444443333333,31.29444443333333,31.29444443333333,0
4,4.0,22024,1641705,22400130,"OCT 31, 2024",SAS @ UTA,W,34,9,20,0.45,4,13,0.308,3,3,1.0,2,7,9,7,5,5,3,3,25,43,1,SAS,1610612759,UTA,1610612762,0,F-C,0,1,0,0,1,1,21.0,87,235,1,3,103.0,1,4,103.0,0,4,119.0,0,5,102.0,2.4,-7.75,16.5,16.5,16.5,5.5,5.5,5.5,13.5,13.5,13.5,0.407,0.407,0.407,1.0,1.0,1.0,5.25,5.25,5.25,0.19,0.19,0.19,4.5,4.5,4.5,5.0,5.0,5.0,0.9,0.9,0.9,2.25,2.25,2.25,0.0,0.0,0.0,30.28333333333333,30.28333333333333,30.28333333333333,1
5,5.0,22024,1641705,22400146,"NOV 02, 2024",SAS vs. MIN,W,31,7,15,0.467,1,7,0.143,2,2,1.0,1,5,6,3,1,2,3,4,17,13,1,SAS,1610612759,MIN,1610612750,1,F-C,0,1,0,0,1,1,21.0,87,235,2,3,103.6,2,3,103.6,3,2,112.4,3,2,113.0,9.0,2.4,18.2,18.2,18.2,6.2,6.2,6.2,14.8,14.8,14.8,0.419,0.419,0.419,1.6,1.6,1.6,6.8,6.8,6.8,0.235,0.235,0.235,4.2,4.2,4.2,4.6,4.6,4.6,0.913,0.913,0.913,2.2,2.2,2.2,1.0,1.0,1.0,30.936666666666667,30.936666666666667,30.936666666666667,0
6,6.0,22024,1641705,22400168,"NOV 04, 2024",SAS @ LAC,L,34,9,22,0.409,2,9,0.222,4,4,1.0,2,11,13,3,3,9,2,3,24,-21,1,SAS,1610612759,LAC,1610612746,0,F-C,0,1,0,0,1,1,21.0,87,235,3,3,105.2,3,2,104.4,2,4,110.0,2,3,107.4,4.8,4.166666666666667,18.2,18.0,18.0,6.6,6.333333333333333,6.333333333333333,14.2,14.833333333333334,14.833333333333334,0.465,0.427,0.427,1.6,1.5,1.5,6.6,6.833333333333333,6.833333333333333,0.242,0.22,0.22,3.4,3.8333333333333335,3.8333333333333335,3.8,4.166666666666667,4.166666666666667,0.895,0.92,0.92,2.0,2.0,2.0,1.2,1.0,1.0,31.44333333333333,30.947222216666667,30.947222216666667,1
7,7.0,22024,1641705,22400173,"NOV 06, 2024",SAS @ HOU,L,25,6,14,0.429,1,6,0.167,2,2,1.0,1,5,6,0,1,3,4,0,15,-18,1,SAS,1610612759,HOU,1610612745,0,F-C,0,1,0,0,1,1,21.0,87,235,3,4,105.0,2,3,103.4,4,3,107.7,3,2,110.0,2.6,0.5714285714285714,17.2,18.9,21.5,6.4,6.714285714285714,8.0,15.2,15.857142857142858,15.5,0.421,0.423,0.516,1.6,1.5714285714285714,1.5,7.4,7.142857142857143,5.0,0.216,0.22,0.3,2.8,3.857142857142857,4.0,3.0,4.142857142857143,5.0,0.933,0.931,0.8,2.2,2.0,3.0,1.8,1.29,0.0,32.223333333333336,31.39761903333333,32.708333333333336,0
8,8.0,22024,1641705,22400183,"NOV 07, 2024",SAS vs. POR,W,32,4,13,0.308,2,6,0.333,2,3,0.667,2,6,8,2,4,3,4,0,12,-7,1,SAS,1610612759,POR,1610612757,1,F-C,0,1,0,0,1,1,21.0,87,235,3,5,104.4,2,3,103.2,3,5,113.0,2,3,106.6,2.0,-1.75,17.4,18.4,18.4,6.4,6.625,6.625,15.2,15.625,15.625,0.421,0.424,0.424,1.6,1.5,1.5,7.6,7.0,7.0,0.211,0.214,0.214,3.0,3.625,3.625,3.0,3.875,3.875,1.0,0.935,0.935,1.4,1.875,1.875,2.0,1.25,1.25,30.116666666666667,30.558333333333334,30.558333333333334,0
9,9.0,22024,1641705,22400197,"NOV 09, 2024",SAS vs. UTA,L,33,8,15,0.533,6,9,0.667,2,2,1.0,3,13,16,0,0,7,6,3,24,4,1,SAS,1610612759,UTA,1610612762,1,F-C,0,1,0,0,1,1,21.0,87,235,4,5,105.9,3,2,108.2,1,7,120.0,1,4,104.4,-5.8,-2.333333333333333,18.6,17.7,25.0,7.0,6.333333333333333,9.0,16.8,15.333333333333334,20.0,0.417,0.413,0.45,2.0,1.5555555555555556,4.0,8.2,6.888888888888889,13.0,0.244,0.226,0.308,2.6,3.4444444444444446,3.0,2.8,3.7777777777777777,3.0,0.929,0.912,1.0,1.6,1.8888888888888888,2.0,2.8,1.56,5.0,31.136666666666667,30.7574074,33.55,1
10,10.0,22024,1641705,22400216,"NOV 11, 2024",SAS vs. SAC,W,34,13,22,0.591,6,12,0.5,2,2,1.0,4,10,14,6,1,3,3,1,34,24,1,SAS,1610612759,SAC,1610612758,1,F-C,0,1,0,0,1,1,21.0,87,235,4,6,106.3,2,3,109.0,6,4,113.0,3,2,117.2,-3.6,-1.7,18.4,18.3,18.3,6.8,6.5,6.5,15.8,15.3,15.3,0.43,0.425,0.425,2.4,2.0,2.0,7.4,7.1,7.1,0.324,0.282,0.282,2.4,3.3,3.3,2.6,3.6,3.6,0.923,0.917,0.917,1.8,2.0,2.0,1.8,1.4,1.4,30.96333333333333,30.95,30.95,1
