,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,0.0,22024,1629627,22400086,"OCT 25, 2024",NOP @ POR,W,29,4,15,0.267,0,1,0.0,8,14,0.571,3,8,11,7,1,3,1,3,16,7,1,NOP,1610612740,POR,1610612757,0,F,0,1,0,0,1,0,24.0,78,284,1,0,123.0,1,4,123.0,0,1,140.0,0,5,104.0,7.0,7.0,,16.0,,,4.0,,,15.0,,,0.267,,,0.0,,,1.0,,,0.0,,,8.0,,,14.0,,,0.571,,,3.0,,,1.0,,,29.0,,0
1,1.0,1.0,1.0,1.0,1.0,22024,1629627,22400099,"OCT 27, 2024",NOP @ POR,L,28,3,12,0.25,0,0,0.0,8,10,0.8,2,1,3,4,0,1,3,3,14,-5,1,NOP,1610612740,POR,1610612757,0,F,0,1,0,0,1,0,24.0,78,284,2,0,114.0,2,3,114.0,0,2,122.5,0,5,103.5,1.0,7.0,16.0,16.0,16.0,4.0,4.0,4.0,15.0,15.0,15.0,0.267,0.267,0.267,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,8.0,14.0,14.0,14.0,0.571,0.571,0.571,3.0,3.0,3.0,1.0,1.0,1.0,29.1,29.1,29.1,0
2,2.0,2.0,2.0,2.0,2.0,22024,1629627,22400116,"OCT 29, 2024",NOP @ GSW,L,30,12,19,0.632,1,2,0.5,6,8,0.75,2,6,8,3,0,1,7,3,31,-14,1,NOP,1610612740,GSW,1610612744,0,F,0,1,0,0,1,0,24.0,78,284,2,1,110.3,2,3,110.3,2,1,100.7,2,3,123.7,-4.0,1.0,15.0,15.0,15.0,3.5,3.5,3.5,13.5,13.5,13.5,0.259,0.259,0.259,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,8.0,8.0,8.0,12.0,12.0,12.0,0.667,0.667,0.667,2.5,2.5,2.5,0.5,0.5,0.5,28.566666666666663,28.566666666666663,28.566666666666663,1
3,3.0,3.0,3.0,3.0,3.0,22024,1629627,22400126,"OCT 30, 2024",NOP @ GSW,L,33,5,20,0.25,0,1,0.0,2,7,0.286,6,6,12,4,0,1,4,3,12,-16,1,NOP,1610612740,GSW,1610612744,0,F,0,1,0,0,1,0,24.0,78,284,2,2,109.3,2,3,109.3,3,1,102.0,3,2,123.8,-7.0,-4.0,20.3,20.3,31.0,6.333333333333333,6.333333333333333,12.0,15.333333333333334,15.333333333333334,19.0,0.413,0.413,0.632,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,2.0,0.333,0.333,0.5,7.333333333333333,7.333333333333333,6.0,10.666666666666666,10.666666666666666,8.0,0.688,0.688,0.75,2.333333333333333,2.333333333333333,2.0,0.33,0.33,0.0,29.177777766666665,29.177777766666665,30.4,0
4,4.0,4.0,4.0,4.0,4.0,22024,1629627,22400138,"NOV 01, 2024",NOP vs. IND,W,37,14,20,0.7,1,2,0.5,5,8,0.625,1,5,6,10,2,0,3,3,34,17,1,NOP,1610612740,IND,1610612754,1,F,0,1,0,0,1,0,24.0,78,284,2,3,105.2,2,3,105.2,2,3,120.2,2,3,115.4,-2.2,-7.0,18.3,18.3,18.3,6.0,6.0,6.0,16.5,16.5,16.5,0.364,0.364,0.364,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,6.0,6.0,6.0,9.75,9.75,9.75,0.615,0.615,0.615,3.25,3.25,3.25,0.25,0.25,0.25,30.066666666666663,30.066666666666663,30.066666666666663,1
5,5.0,5.0,5.0,5.0,5.0,22024,1629627,22400175,"NOV 06, 2024",NOP vs. CLE,L,29,9,18,0.5,0,0,0.0,11,13,0.846,2,6,8,4,1,1,4,3,29,-3,1,NOP,1610612740,CLE,1610612739,1,F,0,1,0,0,1,0,24.0,78,284,3,5,107.8,1,4,106.2,8,0,109.1,5,0,118.8,-4.2,-2.2,25.7,21.4,21.4,10.333333333333334,7.6,7.6,19.666666666666668,17.2,17.2,0.525,0.442,0.442,0.6666666666666666,0.4,0.4,1.6666666666666667,1.2,1.2,0.4,0.333,0.333,4.333333333333333,5.8,5.8,7.666666666666667,9.4,9.4,0.565,0.617,0.617,3.0,2.8,2.8,0.67,0.6,0.6,33.34444443333334,31.433333333333334,31.433333333333334,1
6,6.0,6.0,6.0,6.0,6.0,22024,1629627,22400505,"JAN 07, 2025",NOP vs. MIN,L,28,9,15,0.6,0,2,0.0,4,9,0.444,4,2,6,4,3,1,4,3,22,8,1,NOP,1610612740,MIN,1610612750,1,F,0,1,0,0,1,0,24.0,78,284,7,29,107.5,2,3,117.4,18,17,108.0,2,3,109.0,-1.6,-2.333333333333333,22.7,22.7,22.7,7.833333333333333,7.833333333333333,7.833333333333333,17.333333333333332,17.333333333333332,17.333333333333332,0.452,0.452,0.452,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.333,0.333,0.333,6.666666666666667,6.666666666666667,6.666666666666667,10.0,10.0,10.0,0.667,0.667,0.667,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.67,0.67,0.67,31.0611111,31.0611111,31.0611111,0
7,7.0,7.0,7.0,7.0,7.0,22024,1629627,22400542,"JAN 12, 2025",NOP @ BOS,L,28,5,15,0.333,0,2,0.0,6,7,0.857,1,6,7,3,5,0,2,1,16,4,1,NOP,1610612740,BOS,1610612738,0,F,0,1,0,0,1,0,24.0,78,284,8,31,107.4,3,2,112.4,27,11,108.4,3,2,106.8,2.0,-0.8571428571428571,22.0,22.6,22.6,9.0,8.0,8.0,15.0,17.0,17.0,0.6,0.471,0.471,0.0,0.2857142857142857,0.2857142857142857,2.0,1.1428571428571428,1.1428571428571428,0.0,0.25,0.25,4.0,6.285714285714286,6.285714285714286,9.0,9.857142857142858,9.857142857142858,0.444,0.638,0.638,4.0,2.857142857142857,2.857142857142857,3.0,1.0,1.0,27.666666666666668,30.576190466666667,30.576190466666667,0
8,8.0,8.0,8.0,8.0,8.0,22024,1629627,22400557,"JAN 14, 2025",NOP @ CHI,W,24,10,14,0.714,0,0,0.0,1,4,0.25,5,2,7,9,0,1,4,3,21,7,1,NOP,1610612740,CHI,1610612741,0,F,0,1,0,0,1,0,24.0,78,284,8,32,107.7,2,3,109.8,18,21,120.8,3,2,124.6,6.6,-0.25,19.0,21.8,21.8,7.0,7.625,7.625,15.0,16.75,16.75,0.467,0.455,0.455,0.0,0.25,0.25,2.0,1.25,1.25,0.0,0.2,0.2,5.0,6.25,6.25,8.0,9.5,9.5,0.625,0.658,0.658,2.5,2.625,2.625,4.0,1.5,1.5,27.891666666666666,30.26875,30.26875,0
9,9.0,9.0,9.0,9.0,9.0,22024,1629627,22400581,"JAN 17, 2025",NOP vs. UTA,W,23,11,21,0.524,0,0,0.0,2,5,0.4,8,6,14,6,0,3,2,4,24,5,1,NOP,1610612740,UTA,1610612762,1,F,0,1,0,0,1,0,24.0,78,284,10,32,108.3,3,2,116.0,10,29,117.6,1,4,108.6,4.2,0.5555555555555556,18.5,21.7,21.7,7.5,7.888888888888889,7.888888888888889,14.5,16.444444444444443,16.444444444444443,0.517,0.48,0.48,0.0,0.2222222222222222,0.2222222222222222,1.0,1.1111111111111112,1.1111111111111112,0.0,0.2,0.2,3.5,5.666666666666667,5.666666666666667,5.5,8.88888888888889,8.88888888888889,0.636,0.638,0.638,3.0,2.888888888888889,2.888888888888889,2.5,1.33,1.33,26.0,29.55925925,29.55925925,1
