,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1629631,0022400064,"OCT 23, 2024",ATL vs. BKN,W,26,3,10,0.3,2,4,0.5,4,5,0.8,1,5,6,1,2,0,0,5,12,10,1,ATL,1610612737,BKN,1610612751,1,0,F-G,0,1,0,1,1,0,27.0,80,221,5,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,10.0,10.0,,12.0,,,3.0,,,10.0,,,0.3,,,2.0,,,4.0,,,0.5,,,4.0,,,5.0,,,0.8,,,1.0,,,2.0,,,26.0,,0
1,22024,1629631,0022400079,"OCT 25, 2024",ATL vs. CHA,W,33,7,14,0.5,2,6,0.333,8,8,1.0,1,6,7,3,0,1,0,4,24,4,1,ATL,1610612737,CHA,1610612766,1,1,F-G,0,1,0,1,1,0,27.0,80,221,5,1,0,1,0,0,0,120.0,1,4,120.0,1,0,110.0,105.0,21.0,1,4,110.0,105.0,7.0,10.0,12.0,12.0,12.0,3.0,3.0,3.0,10.0,10.0,10.0,0.3,0.3,0.3,2.0,2.0,2.0,4.0,4.0,4.0,0.5,0.5,0.5,4.0,4.0,4.0,5.0,5.0,5.0,0.8,0.8,0.8,1.0,1.0,1.0,2.0,2.0,2.0,25.783333333333335,25.783333333333335,25.783333333333335,1
2,22024,1629631,0022400012,"NOV 15, 2024",ATL vs. WAS,W,21,7,13,0.538,3,5,0.6,5,7,0.714,0,3,3,1,0,0,1,3,22,3,1,ATL,1610612737,WAS,1610612764,1,1,F-G,0,1,0,1,1,0,27.0,80,221,5,5,7,3,4,0,0,116.2,2,3,113.0,2,8,110.2,123.4,22.7,0,5,106.4,124.0,5.666666666666667,7.0,18.0,18.0,18.0,5.0,5.0,5.0,12.0,12.0,12.0,0.417,0.417,0.417,2.0,2.0,2.0,5.0,5.0,5.0,0.4,0.4,0.4,6.0,6.0,6.0,6.5,6.5,6.5,0.923,0.923,0.923,1.0,1.0,1.0,1.0,1.0,1.0,29.466666666666665,29.466666666666665,29.466666666666665,1
3,22024,1629631,0022400250,"NOV 18, 2024",ATL @ SAC,W,25,9,15,0.6,4,8,0.5,2,2,1.0,1,1,2,1,0,1,1,3,24,1,1,ATL,1610612737,SAC,1610612758,0,0,F-G,0,1,0,1,1,0,27.0,80,221,5,6,8,2,4,0,0,116.6,2,3,118.0,8,6,117.5,114.1,20.428571428571427,3,2,119.4,117.0,4.5,5.666666666666667,19.3,19.3,19.3,5.666666666666667,5.666666666666667,5.666666666666667,12.333333333333334,12.333333333333334,12.333333333333334,0.459,0.459,0.459,2.3333333333333335,2.3333333333333335,2.3333333333333335,5.0,5.0,5.0,0.467,0.467,0.467,5.666666666666667,5.666666666666667,5.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0.85,0.85,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.67,0.67,0.67,26.6,26.6,26.6,1
4,22024,1629631,0022400258,"NOV 20, 2024",ATL @ GSW,L,25,3,12,0.25,0,6,0.0,4,4,1.0,2,4,6,1,4,0,1,2,10,-21,1,ATL,1610612737,GSW,1610612744,0,0,F-G,0,1,0,1,1,0,27.0,80,221,5,7,8,3,4,0,0,116.1,3,2,115.6,10,3,119.6,110.1,22.076923076923077,3,2,117.2,117.8,-0.6,4.5,20.5,20.5,20.5,6.5,6.5,6.5,13.0,13.0,13.0,0.5,0.5,0.5,2.75,2.75,2.75,5.75,5.75,5.75,0.478,0.478,0.478,4.75,4.75,4.75,5.5,5.5,5.5,0.864,0.864,0.864,0.75,0.75,0.75,0.5,0.5,0.5,26.091666666666665,26.091666666666665,26.091666666666665,0
5,22024,1629631,0022400030,"NOV 22, 2024",ATL @ CHI,L,29,6,12,0.5,1,4,0.25,1,1,1.0,0,2,2,0,1,0,1,3,14,-2,1,ATL,1610612737,CHI,1610612741,0,0,F-G,0,1,0,1,1,0,27.0,80,221,5,7,9,3,5,0,0,114.9,3,2,112.4,6,10,115.4,122.9,18.125,2,3,117.0,128.8,-3.0,-0.6,18.4,18.4,18.4,5.8,5.8,5.8,12.8,12.8,12.8,0.453,0.453,0.453,2.2,2.2,2.2,5.8,5.8,5.8,0.379,0.379,0.379,4.6,4.6,4.6,5.2,5.2,5.2,0.885,0.885,0.885,1.0,1.0,1.0,1.2,1.2,1.2,25.893333333333334,25.893333333333334,25.893333333333334,0
6,22024,1629631,0022400280,"NOV 25, 2024",ATL vs. DAL,L,31,3,11,0.273,1,5,0.2,2,2,1.0,0,4,4,2,0,0,4,1,9,-16,1,ATL,1610612737,DAL,1610612742,1,0,F-G,0,1,0,1,1,0,27.0,80,221,5,7,10,4,4,0,0,115.4,2,3,113.4,9,8,116.2,110.7,21.058823529411764,4,1,120.8,109.2,-7.0,-0.8333333333333334,18.8,17.7,17.7,6.4,5.833333333333333,5.833333333333333,13.2,12.666666666666666,12.666666666666666,0.485,0.461,0.461,2.0,2.0,2.0,5.8,5.5,5.5,0.345,0.364,0.364,4.0,4.0,4.0,4.4,4.5,4.5,0.909,0.889,0.889,0.8,0.8333333333333334,0.8333333333333334,1.0,1.17,1.17,26.586666666666666,26.452777766666667,26.452777766666667,0
7,22024,1629631,0022400287,"NOV 27, 2024",ATL @ CLE,W,30,9,16,0.563,5,9,0.556,3,4,0.75,0,5,5,1,0,0,3,2,26,11,1,ATL,1610612737,CLE,1610612739,0,0,F-G,0,1,0,1,1,0,27.0,80,221,5,7,11,3,6,0,0,115.6,1,4,111.4,17,1,123.4,111.1,18.166666666666668,4,1,127.8,113.6,-5.4,-3.0,15.8,16.4,16.4,5.6,5.428571428571429,5.428571428571429,12.6,12.428571428571429,12.428571428571429,0.444,0.437,0.437,1.8,1.8571428571428572,1.8571428571428572,5.6,5.428571428571429,5.428571428571429,0.321,0.342,0.342,2.8,3.7142857142857144,3.7142857142857144,3.2,4.142857142857143,4.142857142857143,0.875,0.897,0.897,0.6,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,26.233333333333334,27.15714285,27.15714285,1
8,22024,1629631,0022400041,"NOV 29, 2024",ATL vs. CLE,W,28,7,12,0.583,4,7,0.571,5,5,1.0,0,5,5,3,0,0,1,1,23,14,1,ATL,1610612737,CLE,1610612739,1,0,F-G,0,1,0,1,1,0,27.0,80,221,5,8,11,4,5,0,0,116.6,2,3,116.4,17,2,123.5,112.3,18.31578947368421,3,2,123.8,115.4,-2.8,-1.25,16.6,17.6,26.0,6.0,5.875,9.0,13.2,12.875,16.0,0.455,0.456,0.563,2.2,2.25,5.0,6.4,5.875,9.0,0.344,0.383,0.556,2.4,3.625,3.0,2.6,4.125,4.0,0.923,0.879,0.75,0.6,0.625,0.0,1.0,0.88,0.0,28.153333333333332,27.570833333333333,30.466666666666665,1
9,22024,1629631,0022400300,"NOV 30, 2024",ATL @ CHA,W,25,5,9,0.556,1,3,0.333,7,8,0.875,1,2,3,0,0,0,2,2,18,-2,1,ATL,1610612737,CHA,1610612766,0,1,F-G,0,1,0,1,1,0,27.0,80,221,5,9,11,4,6,0,1,116.6,2,3,118.0,6,13,107.7,112.4,21.157894736842106,1,4,103.6,107.6,1.0,0.4444444444444444,16.4,18.2,24.0,5.6,6.0,7.0,12.6,12.777777777777779,14.0,0.444,0.47,0.5,2.2,2.4444444444444446,2.0,6.2,6.0,6.0,0.355,0.407,0.333,3.0,3.7777777777777777,8.0,3.2,4.222222222222222,8.0,0.938,0.895,1.0,0.4,0.5555555555555556,1.0,1.0,0.78,0.0,28.826666666666668,27.6111111,33.15,0
