,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,203471,0022400064,"OCT 23, 2024",BKN @ ATL,L,34,5,16,0.313,2,6,0.333,1,2,0.5,0,3,3,7,1,0,5,4,13,-4,1,BKN,1610612751,ATL,1610612737,0,0,G,1,0,0,1,0,0,31.0,73,175,11,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,-4.0,-4.0,,13.0,,,5.0,,,16.0,,,0.313,,,2.0,,,6.0,,,0.333,,,1.0,,,2.0,,,0.5,,,0.0,,,1.0,,,34.0,,0
1,22024,203471,0022400077,"OCT 25, 2024",BKN @ ORL,L,32,7,12,0.583,3,4,0.75,3,4,0.75,0,1,1,6,1,0,2,3,20,6,1,BKN,1610612751,ORL,1610612753,0,0,G,1,0,0,1,0,0,31.0,73,175,11,0,1,0,1,0,0,116.0,0,5,116.0,1,0,116.0,97.0,21.0,1,4,116.0,97.0,1.0,-4.0,13.0,13.0,13.0,5.0,5.0,5.0,16.0,16.0,16.0,0.313,0.313,0.313,2.0,2.0,2.0,6.0,6.0,6.0,0.333,0.333,0.333,1.0,1.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,34.333333333333336,34.333333333333336,34.333333333333336,1
2,22024,203471,0022400098,"OCT 27, 2024",BKN vs. MIL,W,35,8,15,0.533,5,8,0.625,8,8,1.0,0,4,4,6,1,0,2,3,29,27,1,BKN,1610612751,MIL,1610612749,1,0,G,1,0,0,1,0,0,31.0,73,175,11,0,2,0,0,0,0,108.5,0,5,108.5,1,1,123.0,121.0,18.5,1,4,123.0,121.0,9.666666666666666,1.0,16.5,16.5,16.5,6.0,6.0,6.0,14.0,14.0,14.0,0.429,0.429,0.429,2.5,2.5,2.5,5.0,5.0,5.0,0.5,0.5,0.5,2.0,2.0,2.0,3.0,3.0,3.0,0.667,0.667,0.667,0.0,0.0,0.0,1.0,1.0,1.0,33.391666666666666,33.391666666666666,33.391666666666666,1
3,22024,203471,0022400113,"OCT 29, 2024",BKN vs. DEN,L,42,10,18,0.556,5,11,0.455,3,4,0.75,0,0,0,14,0,0,3,5,28,-11,1,BKN,1610612751,DEN,1610612743,1,0,G,1,0,0,1,0,0,31.0,73,175,11,1,2,1,0,0,0,110.7,1,4,110.7,1,2,106.0,112.0,18.0,1,4,106.0,112.0,4.5,9.666666666666666,20.7,20.7,20.7,6.666666666666667,6.666666666666667,6.666666666666667,14.333333333333334,14.333333333333334,14.333333333333334,0.465,0.465,0.465,3.3333333333333335,3.3333333333333335,3.3333333333333335,6.0,6.0,6.0,0.556,0.556,0.556,4.0,4.0,4.0,4.666666666666667,4.666666666666667,4.666666666666667,0.857,0.857,0.857,0.0,0.0,0.0,1.0,1.0,1.0,33.766666666666666,33.766666666666666,33.766666666666666,1
4,22024,203471,0022400124,"OCT 30, 2024",BKN @ MEM,W,34,11,14,0.786,6,9,0.667,5,5,1.0,0,2,2,8,1,0,2,1,33,9,1,BKN,1610612751,MEM,1610612763,0,0,G,1,0,0,1,0,0,31.0,73,175,11,1,3,0,2,0,1,117.8,1,4,117.8,2,2,120.3,122.3,26.25,2,3,120.3,122.3,5.4,4.5,22.5,22.5,22.5,7.5,7.5,7.5,15.25,15.25,15.25,0.492,0.492,0.492,3.75,3.75,3.75,7.25,7.25,7.25,0.517,0.517,0.517,3.75,3.75,3.75,4.5,4.5,4.5,0.833,0.833,0.833,0.0,0.0,0.0,0.75,0.75,0.75,35.733333333333334,35.733333333333334,35.733333333333334,1
5,22024,203471,0022400136,"NOV 01, 2024",BKN vs. CHI,W,33,4,12,0.333,1,3,0.333,0,0,0.0,1,6,7,7,3,0,2,1,9,4,1,BKN,1610612751,CHI,1610612741,1,0,G,1,0,0,1,0,0,31.0,73,175,11,2,3,1,1,0,0,118.0,2,3,118.0,3,2,113.4,116.2,16.6,3,2,113.4,116.2,7.0,5.4,24.6,24.6,24.6,8.2,8.2,8.2,15.0,15.0,15.0,0.547,0.547,0.547,4.2,4.2,4.2,7.6,7.6,7.6,0.553,0.553,0.553,4.0,4.0,4.0,4.6,4.6,4.6,0.87,0.87,0.87,0.0,0.0,0.0,0.8,0.8,0.8,35.373333333333335,35.373333333333335,35.373333333333335,0
6,22024,203471,0022400151,"NOV 03, 2024",BKN vs. DET,L,33,3,7,0.429,1,3,0.333,0,0,0.0,0,5,5,4,3,0,2,3,7,-11,1,BKN,1610612751,DET,1610612765,1,0,G,1,0,0,1,0,0,31.0,73,175,11,3,3,2,1,0,0,118.3,3,2,118.8,1,5,104.8,113.5,20.166666666666668,1,4,104.0,113.2,3.6,5.166666666666667,23.8,22.0,22.0,8.0,7.5,7.5,14.2,14.5,14.5,0.563,0.517,0.517,4.0,3.6666666666666665,3.6666666666666665,7.0,6.833333333333333,6.833333333333333,0.571,0.537,0.537,3.8,3.3333333333333335,3.3333333333333335,4.2,3.8333333333333335,3.8333333333333335,0.905,0.87,0.87,0.2,0.16666666666666666,0.16666666666666666,1.2,1.17,1.17,35.14,35.00555555,35.00555555,0
7,22024,203471,0022400158,"NOV 04, 2024",BKN vs. MEM,W,34,7,15,0.467,2,7,0.286,4,5,0.8,0,2,2,6,1,0,3,4,20,5,1,BKN,1610612751,MEM,1610612763,1,0,G,1,0,0,1,0,0,31.0,73,175,11,3,4,2,2,1,0,114.6,3,2,117.0,4,3,119.0,116.3,24.142857142857142,3,2,119.8,112.4,-0.8,2.857142857142857,21.2,19.9,33.0,7.2,6.857142857142857,11.0,13.2,13.428571428571429,14.0,0.545,0.511,0.786,3.6,3.2857142857142856,6.0,6.8,6.285714285714286,9.0,0.529,0.523,0.667,3.2,2.857142857142857,5.0,3.4,3.2857142857142856,5.0,0.941,0.87,1.0,0.2,0.14285714285714285,0.0,1.6,1.43,1.0,35.31666666666667,34.766666666666666,33.93333333333333,1
8,22024,203471,0022400187,"NOV 08, 2024",BKN @ BOS,L,37,9,23,0.391,2,8,0.25,0,0,0.0,0,3,3,3,4,0,4,2,20,-2,1,BKN,1610612751,BOS,1610612738,0,1,G,1,0,0,1,0,0,31.0,73,175,11,4,4,1,2,0,0,113.5,3,2,115.2,7,2,122.3,110.6,16.555555555555557,3,2,120.8,111.6,1.0,3.125,19.4,19.9,19.9,7.0,6.875,6.875,13.2,13.625,13.625,0.53,0.505,0.505,3.0,3.125,3.125,6.6,6.375,6.375,0.455,0.49,0.49,2.4,3.0,3.0,2.8,3.5,3.5,0.857,0.857,0.857,0.2,0.125,0.125,1.6,1.38,1.38,35.24,34.6875,34.6875,1
9,22024,203471,0022400199,"NOV 09, 2024",BKN @ CLE,L,37,7,14,0.5,4,8,0.5,4,4,1.0,1,1,2,5,0,0,1,2,22,3,1,BKN,1610612751,CLE,1610612739,0,0,G,1,0,0,1,0,0,31.0,73,175,11,4,5,1,3,0,1,112.4,3,2,108.2,10,0,124.5,111.2,19.9,5,0,123.4,115.0,-0.2,2.5555555555555554,17.8,19.9,19.9,6.8,7.111111111111111,7.111111111111111,14.2,14.666666666666666,14.666666666666666,0.479,0.485,0.485,2.4,3.0,3.0,6.0,6.555555555555555,6.555555555555555,0.4,0.458,0.458,1.8,2.6666666666666665,2.6666666666666665,2.0,3.111111111111111,3.111111111111111,0.9,0.857,0.857,0.2,0.1111111111111111,0.1111111111111111,2.4,1.67,1.67,34.406666666666666,34.996296283333336,34.996296283333336,1
