,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1627826,0022400071,"OCT 23, 2024",LAC vs. PHX,L,34,8,13,0.615,0,0,0.0,5,8,0.625,1,8,9,3,0,0,3,6,21,1,1,LAC,1610612746,PHX,1610612756,1,1,C,0,0,1,0,0,1,27.0,84,240,8,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,1.0,1.0,,21.0,,,8.0,,,13.0,,,0.615,,,0,,,0,,,0.0,,,5.0,,,8.0,,,0.625,,,1.0,,,0.0,,,34.0,,0
1,22024,1627826,0022400087,"OCT 26, 2024",LAC @ DEN,W,39,11,17,0.647,0,0,0.0,2,3,0.667,4,11,15,4,0,1,3,4,24,-6,1,LAC,1610612746,DEN,1610612743,0,0,C,0,0,1,0,0,1,27.0,84,240,8,0,1,0,0,0,0,113.0,0,5,113.0,0,1,87.0,102.0,12.0,0,5,87.0,102.0,-2.5,1.0,21.0,21.0,21.0,8.0,8.0,8.0,13.0,13.0,13.0,0.615,0.615,0.615,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.0,8.0,8.0,0.625,0.625,0.625,1.0,1.0,1.0,0.0,0.0,0.0,33.81666666666667,33.81666666666667,33.81666666666667,1
2,22024,1627826,0022400101,"OCT 27, 2024",LAC @ GSW,W,38,10,19,0.526,0,0,0.0,3,4,0.75,6,12,18,6,2,1,4,1,23,3,1,LAC,1610612746,GSW,1610612744,0,1,C,0,0,1,0,0,1,27.0,84,240,8,1,1,1,0,0,1,111.0,1,4,111.0,2,0,133.5,95.0,26.0,2,3,133.5,95.0,-0.6666666666666666,-2.5,22.5,22.5,22.5,9.5,9.5,9.5,15.0,15.0,15.0,0.633,0.633,0.633,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,5.5,5.5,5.5,0.636,0.636,0.636,2.5,2.5,2.5,0.0,0.0,0.0,36.44166666666667,36.44166666666667,36.44166666666667,1
3,22024,1627826,0022400127,"OCT 30, 2024",LAC vs. POR,L,31,2,7,0.286,0,0,0.0,2,6,0.333,4,8,12,1,1,2,0,4,6,-1,1,LAC,1610612746,POR,1610612757,1,0,C,0,0,1,0,0,1,27.0,84,240,8,2,1,0,1,0,0,111.3,2,3,111.3,1,3,107.5,114.8,21.75,1,4,107.5,114.8,-0.75,-0.6666666666666666,22.7,22.7,22.7,9.666666666666666,9.666666666666666,9.666666666666666,16.333333333333332,16.333333333333332,16.333333333333332,0.592,0.592,0.592,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,5.0,5.0,5.0,0.667,0.667,0.667,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.67,0.67,0.67,36.79444443333333,36.79444443333333,36.79444443333333,0
4,22024,1627826,0022400131,"OCT 31, 2024",LAC vs. PHX,L,36,9,10,0.9,0,0,0.0,4,5,0.8,5,7,12,1,1,0,2,1,22,-11,1,LAC,1610612746,PHX,1610612756,1,1,C,0,0,1,0,0,1,27.0,84,240,8,2,2,0,2,1,0,109.8,2,3,109.8,3,1,113.8,110.8,22.0,3,2,113.8,110.8,-2.8,-0.75,18.5,18.5,21.0,7.75,7.75,8.0,14.0,14.0,13.0,0.554,0.554,0.615,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.25,5.25,8.0,0.571,0.571,0.625,3.75,3.75,1.0,0.75,0.75,0.0,35.40416666666667,35.40416666666667,33.81666666666667,1
5,22024,1627826,0022400150,"NOV 02, 2024",LAC vs. OKC,L,28,4,10,0.4,0,0,0.0,1,5,0.2,3,9,12,0,1,1,1,2,9,-9,1,LAC,1610612746,OKC,1610612760,1,0,C,0,0,1,0,0,1,27.0,84,240,8,2,3,0,3,0,0,111.6,2,3,111.6,5,0,117.2,98.6,20.0,5,0,117.2,98.6,-4.8,-2.8,19.2,19.2,19.2,8.0,8.0,8.0,13.2,13.2,13.2,0.606,0.606,0.606,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.2,3.2,3.2,5.2,5.2,5.2,0.615,0.615,0.615,4.0,4.0,4.0,0.8,0.8,0.8,35.43,35.43,35.43,0
6,22024,1627826,0022400168,"NOV 04, 2024",LAC vs. SAS,W,37,6,17,0.353,0,0,0.0,5,5,1.0,10,3,13,4,0,0,4,3,17,16,1,LAC,1610612746,SAS,1610612759,1,0,C,0,0,1,0,0,1,27.0,84,240,8,2,4,0,4,0,0,108.3,2,3,107.4,3,3,105.2,104.7,16.333333333333332,3,2,104.4,101.6,-0.4,-3.8333333333333335,16.8,17.5,17.5,7.2,7.333333333333333,7.333333333333333,12.6,12.666666666666666,12.666666666666666,0.571,0.579,0.579,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.4,2.8333333333333335,2.8333333333333335,4.6,5.166666666666667,5.166666666666667,0.522,0.548,0.548,4.4,3.8333333333333335,3.8333333333333335,1.0,0.83,0.83,34.346666666666664,34.25833333333333,34.25833333333333,0
7,22024,1627826,0022400179,"NOV 06, 2024",LAC vs. PHI,W,33,7,9,0.778,0,0,0.0,1,1,1.0,2,7,9,3,1,0,1,1,15,13,1,LAC,1610612746,PHI,1610612755,1,0,C,0,0,1,0,0,1,27.0,84,240,8,3,4,1,4,0,0,109.0,2,3,108.2,1,5,108.7,116.7,24.666666666666668,1,4,108.6,115.2,1.6,-1.0,15.4,17.4,17.4,6.2,7.142857142857143,7.142857142857143,12.6,13.285714285714286,13.285714285714286,0.492,0.538,0.538,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.142857142857143,3.142857142857143,5.0,5.142857142857143,5.142857142857143,0.6,0.611,0.611,5.6,4.714285714285714,4.714285714285714,1.0,0.71,0.71,33.876666666666665,34.6095238,34.6095238,0
8,22024,1627826,0022400196,"NOV 08, 2024",LAC @ SAC,W,37,6,9,0.667,0,0,0.0,1,2,0.5,7,8,15,5,0,2,1,3,13,-4,1,LAC,1610612746,SAC,1610612758,0,1,C,0,0,1,0,0,1,27.0,84,240,8,4,4,2,0,0,0,109.1,2,3,107.8,5,3,118.8,113.1,20.875,4,1,119.4,111.8,1.0,0.75,13.8,17.1,17.1,5.6,7.125,7.125,10.6,12.75,12.75,0.528,0.559,0.559,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.6,2.875,2.875,4.4,4.625,4.625,0.591,0.622,0.622,4.8,4.375,4.375,0.8,0.75,0.75,33.03333333333333,34.44375,34.44375,0
9,22024,1627826,0022400200,"NOV 09, 2024",LAC vs. TOR,W,38,7,12,0.583,0,0,0.0,0,0,0.0,2,10,12,1,2,3,1,3,14,-6,1,LAC,1610612746,TOR,1610612761,1,0,C,0,0,1,0,0,1,27.0,84,240,8,5,4,2,4,1,0,108.9,3,2,108.2,2,7,118.0,124.7,26.22222222222222,1,4,123.0,128.0,2.0,0.2222222222222222,15.2,16.7,16.7,6.4,7.0,7.0,11.0,12.333333333333334,12.333333333333334,0.582,0.568,0.568,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.4,2.6666666666666665,2.6666666666666665,3.6,4.333333333333333,4.333333333333333,0.667,0.615,0.615,5.4,4.666666666666667,4.666666666666667,0.6,0.67,0.67,34.10333333333333,34.68148146666667,34.68148146666667,0
10,22024,1627826,0022400215,"NOV 11, 2024",LAC @ OKC,L,34,9,12,0.75,0,0,0.0,4,6,0.667,4,10,14,0,0,3,4,1,22,-9,1,LAC,1610612746,OKC,1610612760,0,0,C,0,0,1,0,0,1,27.0,84,240,8,6,4,3,0,0,0,108.5,4,1,105.4,8,2,115.7,102.9,21.2,3,2,114.2,107.2,2.0,-0.4,13.6,16.4,9.0,6.0,7.0,4.0,11.4,12.3,10.0,0.526,0.569,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6,2.4,1.0,2.6,3.9,5.0,0.615,0.615,0.2,4.8,4.4,3.0,0.8,0.8,1.0,34.663333333333334,35.04666666666667,28.4,1
11,22024,1627826,0022400222,"NOV 13, 2024",LAC @ HOU,L,27,4,8,0.5,0,0,0.0,0,2,0.0,2,4,6,1,1,1,0,2,8,-1,1,LAC,1610612746,HOU,1610612745,0,0,C,0,0,1,0,0,1,27.0,84,240,8,6,5,3,1,0,0,110.3,4,1,112.6,7,4,111.4,106.5,21.636363636363637,4,1,110.2,102.8,-1.4,-1.1818181818181819,16.2,16.9,16.9,7.0,7.181818181818182,7.181818181818182,11.8,12.272727272727273,12.272727272727273,0.593,0.585,0.585,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2,2.5454545454545454,2.5454545454545454,2.8,4.090909090909091,4.090909090909091,0.786,0.622,0.622,5.0,4.363636363636363,4.363636363636363,0.6,0.73,0.73,35.79666666666667,34.95757575,34.95757575,0
12,22024,1627826,0022400016,"NOV 15, 2024",LAC @ HOU,L,30,2,7,0.286,0,0,0.0,2,2,1.0,3,8,11,0,0,1,2,4,6,-15,1,LAC,1610612746,HOU,1610612745,0,0,C,0,0,1,0,0,1,27.0,84,240,8,6,6,3,2,0,0,109.7,3,2,110.6,8,4,111.3,106.2,21.25,4,1,110.6,104.0,-7.0,-1.1666666666666667,14.4,16.2,8.0,6.6,6.916666666666667,4.0,10.0,11.916666666666666,8.0,0.66,0.58,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2,2.3333333333333335,0.0,2.2,3.9166666666666665,2.0,0.545,0.596,0.0,3.4,4.166666666666667,2.0,0.8,0.75,1.0,33.943333333333335,34.331944433333334,27.45,0
13,22024,1627826,0022400243,"NOV 17, 2024",LAC vs. UTA,W,33,11,17,0.647,0,0,0.0,0,2,0.0,6,5,11,2,0,2,5,3,22,10,1,LAC,1610612746,UTA,1610612762,1,0,C,0,0,1,0,0,1,27.0,84,240,8,6,7,3,4,0,0,109.2,2,3,109.4,3,9,107.4,118.7,18.583333333333332,2,3,111.0,117.4,-4.2,-2.230769230769231,12.6,15.4,15.4,5.6,6.538461538461538,6.538461538461538,9.6,11.538461538461538,11.538461538461538,0.583,0.567,0.567,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.4,2.3076923076923075,2.3076923076923075,2.4,3.769230769230769,3.769230769230769,0.583,0.612,0.612,3.6,4.076923076923077,4.076923076923077,0.6,0.69,0.69,33.22666666666667,33.975641016666664,33.975641016666664,1
14,22024,1627826,0022400251,"NOV 18, 2024",LAC vs. GSW,W,36,3,8,0.375,0,0,0.0,2,2,1.0,1,16,17,4,2,1,1,1,8,21,1,LAC,1610612746,GSW,1610612744,1,1,C,0,0,1,0,0,1,27.0,84,240,8,7,7,4,4,1,0,109.7,2,3,111.2,10,2,121.3,110.8,22.75,4,1,121.0,119.8,1.2,-1.3571428571428572,14.4,15.9,23.0,6.6,6.857142857142857,10.0,11.2,11.928571428571429,19.0,0.589,0.575,0.526,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2,2.142857142857143,3.0,2.4,3.642857142857143,4.0,0.5,0.588,0.75,3.4,4.214285714285714,6.0,0.6,0.64,2.0,32.46666666666667,33.890476183333334,37.5,0
15,22024,1627826,0022400259,"NOV 20, 2024",LAC vs. ORL,W,31,8,11,0.727,0,0,0.0,1,4,0.25,8,4,12,3,1,0,4,1,17,10,1,LAC,1610612746,ORL,1610612753,1,0,C,0,0,1,0,0,1,27.0,84,240,8,8,7,5,4,0,0,109.2,2,3,110.6,9,6,106.9,102.2,19.733333333333334,5,0,107.2,91.6,5.0,0.13333333333333333,13.2,15.3,15.3,5.8,6.6,6.6,10.4,11.666666666666666,11.666666666666666,0.558,0.566,0.566,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6,2.1333333333333333,2.1333333333333333,2.8,3.533333333333333,3.533333333333333,0.571,0.604,0.604,3.2,4.0,4.0,0.6,0.73,0.73,32.09,34.0611111,34.0611111,1
