,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1628384,0022400061,"OCT 22, 2024",NYK @ BOS,L,34,1,7,0.143,0,4,0.0,2,2,1.0,0,5,5,3,1,0,0,3,4,-21,1,NYK,1610612752,BOS,1610612738,0,1,F-G,0,1,0,1,1,0,27.0,79,240,7,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,-21.0,-21.0,,4.0,,,1.0,,,7.0,,,0.143,,,0.0,,,4.0,,,0.0,,,2.0,,,2.0,,,1.0,,,0.0,,,1.0,,,34.0,,0
1,22024,1628384,0022400081,"OCT 25, 2024",NYK vs. IND,W,34,6,12,0.5,1,4,0.25,1,2,0.5,0,4,4,1,1,0,1,3,14,18,1,NYK,1610612752,IND,1610612754,1,0,F-G,0,1,0,1,1,0,27.0,79,240,7,0,1,0,0,0,0,109.0,0,5,109.0,1,0,115.0,109.0,23.0,1,4,115.0,109.0,-1.5,-21.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0,0.143,0.143,0.143,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,34.166666666666664,34.166666666666664,34.166666666666664,1
2,22024,1628384,0022400106,"OCT 28, 2024",NYK vs. CLE,L,37,7,13,0.538,1,4,0.25,0,1,0.0,1,1,2,2,2,1,2,3,15,3,1,NYK,1610612752,CLE,1610612739,1,0,F-G,0,1,0,1,1,0,27.0,79,240,7,1,1,1,0,0,0,116.0,1,4,116.0,3,0,128.0,107.7,21.333333333333332,3,2,128.0,107.7,0.0,-1.5,9.0,9.0,9.0,3.5,3.5,3.5,9.5,9.5,9.5,0.368,0.368,0.368,0.5,0.5,0.5,4.0,4.0,4.0,0.125,0.125,0.125,1.5,1.5,1.5,2.0,2.0,2.0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,34.09166666666667,34.09166666666667,34.09166666666667,1
3,22024,1628384,0022400122,"OCT 30, 2024",NYK @ MIA,W,37,3,6,0.5,3,6,0.5,2,2,1.0,0,3,3,0,2,0,3,2,11,11,1,NYK,1610612752,MIA,1610612748,0,0,F-G,0,1,0,1,1,0,27.0,79,240,7,1,2,0,1,0,0,112.0,1,4,112.0,2,1,105.7,106.7,17.333333333333332,2,3,105.7,106.7,2.75,0.0,11.0,11.0,11.0,4.666666666666667,4.666666666666667,4.666666666666667,10.666666666666666,10.666666666666666,10.666666666666666,0.438,0.438,0.438,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,4.0,4.0,0.167,0.167,0.167,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.33,1.33,1.33,35.016666666666666,35.016666666666666,35.016666666666666,0
4,22024,1628384,0022400134,"NOV 01, 2024",NYK @ DET,W,33,8,15,0.533,3,5,0.6,2,2,1.0,2,2,4,6,2,0,0,0,21,23,1,NYK,1610612752,DET,1610612765,0,0,F-G,0,1,0,1,1,0,27.0,79,240,7,2,2,1,1,0,0,113.0,2,3,113.0,1,4,106.2,110.6,21.8,1,4,106.2,110.6,6.8,2.75,11.0,11.0,11.0,4.25,4.25,4.25,9.5,9.5,9.5,0.447,0.447,0.447,1.25,1.25,1.25,4.5,4.5,4.5,0.278,0.278,0.278,1.25,1.25,1.25,1.75,1.75,1.75,0.714,0.714,0.714,0.25,0.25,0.25,1.5,1.5,1.5,35.479166666666664,35.479166666666664,35.479166666666664,1
5,22024,1628384,0022400161,"NOV 04, 2024",NYK @ HOU,L,40,7,14,0.5,5,6,0.833,2,3,0.667,1,5,6,2,1,2,0,2,21,-5,1,NYK,1610612752,HOU,1610612745,0,0,F-G,0,1,0,1,1,0,27.0,79,240,7,3,2,2,1,0,0,116.0,3,2,116.0,3,3,112.3,109.5,24.833333333333332,3,2,113.8,109.4,10.0,6.8,13.0,13.0,13.0,5.0,5.0,5.0,10.6,10.6,10.6,0.472,0.472,0.472,1.6,1.6,1.6,4.6,4.6,4.6,0.348,0.348,0.348,1.4,1.4,1.4,1.8,1.8,1.8,0.778,0.778,0.778,0.6,0.6,0.6,1.6,1.6,1.6,34.93666666666667,34.93666666666667,34.93666666666667,1
6,22024,1628384,0022400171,"NOV 06, 2024",NYK @ ATL,L,41,5,13,0.385,3,8,0.375,2,2,1.0,1,5,6,3,1,0,0,1,15,-1,1,NYK,1610612752,ATL,1610612737,0,0,F-G,0,1,0,1,1,0,27.0,79,240,7,3,3,2,2,0,0,112.8,3,2,113.6,3,5,115.3,121.9,20.5,1,4,114.6,122.2,6.2,4.833333333333333,16.4,14.3,14.3,6.2,5.333333333333333,5.333333333333333,12.0,11.166666666666666,11.166666666666666,0.517,0.478,0.478,2.6,2.1666666666666665,2.1666666666666665,5.0,4.833333333333333,4.833333333333333,0.52,0.448,0.448,1.4,1.5,1.5,2.0,2.0,2.0,0.7,0.75,0.75,0.8,0.6666666666666666,0.6666666666666666,1.6,1.5,1.5,36.02,35.7111111,35.7111111,1
7,22024,1628384,0022400189,"NOV 08, 2024",NYK vs. MIL,W,32,4,12,0.333,1,8,0.125,5,6,0.833,0,6,6,5,3,2,2,4,14,19,1,NYK,1610612752,MIL,1610612749,1,0,F-G,0,1,0,1,1,0,27.0,79,240,7,3,4,1,1,0,0,113.3,2,3,112.2,2,6,113.1,116.0,20.5,1,4,111.4,114.2,9.4,4.0,16.6,14.4,14.4,6.0,5.285714285714286,5.285714285714286,12.2,11.428571428571429,11.428571428571429,0.492,0.463,0.463,3.0,2.2857142857142856,2.2857142857142856,5.8,5.285714285714286,5.285714285714286,0.517,0.432,0.432,1.6,1.5714285714285714,1.5714285714285714,2.0,2.0,2.0,0.8,0.786,0.786,1.0,0.7142857142857143,0.7142857142857143,1.6,1.43,1.43,37.49,36.51904761666667,36.51904761666667,0
8,22024,1628384,0022400203,"NOV 10, 2024",NYK @ IND,L,36,9,14,0.643,3,4,0.75,4,4,1.0,2,2,4,2,2,0,3,3,25,-2,1,NYK,1610612752,IND,1610612754,0,0,F-G,0,1,0,1,1,0,27.0,79,240,7,4,4,2,3,0,0,113.6,3,2,114.6,4,5,114.4,118.6,22.666666666666668,3,2,117.6,119.6,6.8,5.875,16.4,14.4,14.0,5.4,5.125,6.0,12.0,11.5,12.0,0.45,0.446,0.5,3.0,2.125,1.0,6.6,5.625,4.0,0.455,0.378,0.25,2.6,2.0,1.0,3.0,2.5,2.0,0.867,0.8,0.5,0.8,0.625,0.0,1.8,1.63,1.0,36.54,35.96875,34.016666666666666,1
9,22024,1628384,0022400004,"NOV 12, 2024",NYK @ PHI,W,41,11,16,0.688,2,4,0.5,0,0,0.0,0,6,6,2,1,1,0,1,24,18,1,NYK,1610612752,PHI,1610612755,0,1,F-G,0,1,0,1,1,0,27.0,79,240,7,4,5,2,4,0,0,114.4,2,3,115.6,2,7,107.0,114.6,23.0,1,4,106.8,114.6,5.8,5.0,19.2,15.6,15.6,6.6,5.555555555555555,5.555555555555555,13.6,11.777777777777779,11.777777777777779,0.485,0.472,0.472,3.0,2.2222222222222223,2.2222222222222223,6.2,5.444444444444445,5.444444444444445,0.484,0.408,0.408,3.0,2.2222222222222223,2.2222222222222223,3.4,2.6666666666666665,2.6666666666666665,0.882,0.833,0.833,1.2,0.7777777777777778,0.7777777777777778,1.8,1.67,1.67,36.38666666666666,35.983333333333334,35.983333333333334,1
