,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1642264,0022400074,"OCT 24, 2024",SAS @ DAL,L,18,3,7,0.429,0,2,0.0,2,3,0.667,2,1,3,5,0,0,2,3,8,-3,1,SAS,1610612759,DAL,1610612742,0,1,G,1,0,0,1,0,0,20.0,78,215,0,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,-3.0,-3.0,,8.0,,,3.0,,,7.0,,,0.429,,,0.0,,,2.0,,,0.0,,,2.0,,,3.0,,,0.667,,,2.0,,,0.0,,,18.0,,0
1,22024,1642264,0022400094,"OCT 26, 2024",SAS vs. HOU,W,27,2,8,0.25,0,2,0.0,4,6,0.667,0,1,1,3,2,1,3,3,8,5,1,SAS,1610612759,HOU,1610612745,1,1,G,1,0,0,1,0,0,20.0,78,215,0,0,1,0,0,0,0,109.0,0,5,109.0,1,1,116.5,109.0,25.0,1,4,116.5,109.0,1.0,-3.0,8.0,8.0,8.0,3.0,3.0,3.0,7.0,7.0,7.0,0.429,0.429,0.429,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,0.667,0.667,0.667,2.0,2.0,2.0,0.0,0.0,0.0,18.45,18.45,18.45,0
2,22024,1642264,0022400109,"OCT 28, 2024",SAS vs. HOU,L,18,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,5,1,0,3,2,4,1,1,SAS,1610612759,HOU,1610612745,1,1,G,1,0,0,1,0,0,20.0,78,215,0,1,1,1,0,0,0,109.0,1,4,109.0,1,2,113.0,109.0,24.666666666666668,1,4,113.0,109.0,1.0,1.0,8.0,8.0,8.0,2.5,2.5,2.0,7.5,7.5,8.0,0.333,0.333,0.25,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,4.5,4.5,6.0,0.667,0.667,0.667,1.0,1.0,0.0,1.0,1.0,2.0,22.483333333333334,22.483333333333334,26.516666666666666,0
3,22024,1642264,0022400125,"OCT 30, 2024",SAS @ OKC,L,20,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,-4,1,SAS,1610612759,OKC,1610612760,0,0,G,1,0,0,1,0,0,20.0,78,215,0,1,2,0,1,0,0,106.3,1,4,106.3,3,0,114.7,95.3,18.666666666666668,3,2,114.7,95.3,-0.25,1.0,6.7,6.7,6.7,2.3333333333333335,2.3333333333333335,2.3333333333333335,6.666666666666667,6.666666666666667,6.666666666666667,0.35,0.35,0.35,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,0.667,0.667,0.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,20.938888883333334,20.938888883333334,20.938888883333334,0
4,22024,1642264,0022400130,"OCT 31, 2024",SAS @ UTA,W,21,3,8,0.375,1,2,0.5,1,2,0.5,2,2,4,1,1,0,0,4,8,3,1,SAS,1610612759,UTA,1610612762,0,0,G,1,0,0,1,0,0,20.0,78,215,0,1,3,0,2,0,1,103.0,1,4,103.0,0,4,102.0,119.0,17.0,0,5,102.0,119.0,0.4,-0.25,5.0,5.0,5.0,1.75,1.75,1.75,6.25,6.25,6.25,0.28,0.28,0.28,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.5,1.5,1.5,2.25,2.25,2.25,0.667,0.667,0.667,0.5,0.5,0.5,0.75,0.75,0.75,20.745833333333334,20.745833333333334,20.745833333333334,1
5,22024,1642264,0022400146,"NOV 02, 2024",SAS vs. MIN,W,15,1,5,0.2,1,3,0.333,0,2,0.0,0,3,3,0,0,0,0,1,3,3,1,SAS,1610612759,MIN,1610612750,1,0,G,1,0,0,1,0,0,20.0,78,215,0,2,3,1,1,0,0,103.6,2,3,103.6,3,2,113.0,112.4,20.8,3,2,113.0,112.4,1.6,0.4,5.6,5.6,5.6,2.0,2.0,2.0,6.6,6.6,6.6,0.303,0.303,0.303,0.2,0.2,0.2,2.0,2.0,2.0,0.1,0.1,0.1,1.4,1.4,1.4,2.2,2.2,2.2,0.636,0.636,0.636,0.8,0.8,0.8,0.8,0.8,0.8,20.783333333333335,20.783333333333335,20.783333333333335,0
6,22024,1642264,0022400168,"NOV 04, 2024",SAS @ LAC,L,20,4,10,0.4,0,3,0.0,3,4,0.75,1,3,4,1,0,1,1,0,11,-13,1,SAS,1610612759,LAC,1610612746,0,0,G,1,0,0,1,0,0,20.0,78,215,0,3,3,1,2,0,0,105.2,3,2,104.4,2,4,108.3,110.0,22.0,2,3,107.4,108.8,-2.0,0.8333333333333334,4.6,5.2,5.2,1.6,1.8333333333333333,1.8333333333333333,6.2,6.333333333333333,6.333333333333333,0.258,0.289,0.289,0.4,0.3333333333333333,0.3333333333333333,2.2,2.1666666666666665,2.1666666666666665,0.182,0.154,0.154,1.0,1.1666666666666667,1.1666666666666667,2.0,2.1666666666666665,2.1666666666666665,0.5,0.538,0.538,0.4,0.6666666666666666,0.6666666666666666,0.8,0.67,0.67,20.183333333333334,19.894444433333334,19.894444433333334,1
7,22024,1642264,0022400173,"NOV 06, 2024",SAS @ HOU,L,25,2,8,0.25,1,5,0.2,0,0,0.0,0,2,2,0,3,0,0,1,5,-17,1,SAS,1610612759,HOU,1610612745,0,1,G,1,0,0,1,0,0,20.0,78,215,0,3,4,1,3,0,0,105.0,2,3,103.4,4,3,111.9,107.7,24.142857142857142,3,2,110.0,107.2,-5.6,-1.1428571428571428,5.2,6.0,6.0,2.0,2.142857142857143,2.0,6.6,6.857142857142857,6.5,0.303,0.313,0.308,0.4,0.2857142857142857,0.0,2.4,2.2857142857142856,1.5,0.167,0.125,0.0,0.8,1.4285714285714286,2.0,1.6,2.4285714285714284,3.0,0.5,0.588,0.667,0.6,0.7142857142857143,0.0,0.4,0.57,1.5,18.866666666666667,19.9,22.183333333333334,0
8,22024,1642264,0022400183,"NOV 07, 2024",SAS vs. POR,W,25,6,11,0.545,0,3,0.0,2,2,1.0,1,2,3,6,0,0,0,1,14,12,1,SAS,1610612759,POR,1610612757,1,0,G,1,0,0,1,0,0,20.0,78,215,0,3,5,2,1,1,0,104.4,2,3,103.2,3,5,108.1,113.0,19.375,2,3,106.6,111.2,-2.4,-3.125,5.4,5.9,5.9,2.0,2.125,2.125,7.2,7.0,7.0,0.278,0.304,0.304,0.6,0.375,0.375,3.2,2.625,2.625,0.188,0.143,0.143,0.8,1.25,1.25,1.6,2.125,2.125,0.5,0.588,0.588,0.6,0.625,0.625,0.8,0.88,0.88,20.373333333333335,20.585416666666667,20.585416666666667,1
9,22024,1642264,0022400197,"NOV 09, 2024",SAS vs. UTA,L,35,8,16,0.5,3,7,0.429,4,5,0.8,0,2,2,3,2,0,1,4,23,-3,1,SAS,1610612759,UTA,1610612762,1,0,G,1,0,0,1,0,0,20.0,78,215,0,4,5,3,1,0,0,105.9,3,2,108.2,1,7,104.3,120.0,18.25,1,4,104.4,119.4,-3.6,-1.4444444444444444,8.2,6.8,8.0,3.2,2.5555555555555554,3.0,8.4,7.444444444444445,8.0,0.381,0.343,0.375,0.6,0.3333333333333333,1.0,3.2,2.6666666666666665,2.0,0.188,0.125,0.5,1.2,1.3333333333333333,1.0,2.0,2.111111111111111,2.0,0.6,0.632,0.5,0.8,0.6666666666666666,2.0,0.8,0.78,1.0,21.416666666666668,21.118518516666665,20.933333333333334,1
