,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1626179,0022400065,"OCT 23, 2024",MIA vs. ORL,L,32,5,15,0.333,2,7,0.286,7,7,1.0,0,6,6,5,0,2,3,0,19,-14,1,MIA,1610612748,ORL,1610612753,1,1,G,1,0,0,1,0,0,30.0,73,190,9,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,-14.0,-14.0,,19.0,,,5.0,,,15.0,,,0.333,,,2.0,,,7.0,,,0.286,,,7.0,,,7.0,,,1.0,,,0.0,,,0.0,,,32.0,,0
1,22024,1626179,0022400088,"OCT 26, 2024",MIA @ CHA,W,32,7,12,0.583,3,6,0.5,2,2,1.0,0,5,5,3,0,0,2,3,19,5,1,MIA,1610612748,CHA,1610612766,0,1,G,1,0,0,1,0,0,30.0,73,190,9,0,1,0,0,0,0,97.0,0,5,97.0,1,1,115.0,115.0,24.5,1,4,115.0,115.0,-4.5,-14.0,19.0,19.0,19.0,5.0,5.0,5.0,15.0,15.0,15.0,0.333,0.333,0.333,2.0,2.0,2.0,7.0,7.0,7.0,0.286,0.286,0.286,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,32.05,32.05,0
2,22024,1626179,0022400105,"OCT 28, 2024",MIA vs. DET,W,33,7,16,0.438,5,12,0.417,1,1,1.0,0,5,5,3,1,0,2,3,20,-7,1,MIA,1610612748,DET,1610612765,1,0,G,1,0,0,1,0,0,30.0,73,190,9,1,1,0,1,0,0,105.5,1,4,105.5,0,3,109.3,117.3,21.666666666666668,0,5,109.3,117.3,-5.333333333333333,-4.5,19.0,19.0,19.0,6.0,6.0,6.0,13.5,13.5,13.5,0.444,0.444,0.444,2.5,2.5,2.5,6.5,6.5,6.5,0.385,0.385,0.385,4.5,4.5,4.5,4.5,4.5,4.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.825,31.825,31.825,1
3,22024,1626179,0022400122,"OCT 30, 2024",MIA vs. NYK,L,35,5,14,0.357,4,8,0.5,2,2,1.0,0,4,4,7,2,0,2,2,16,-5,1,MIA,1610612748,NYK,1610612752,1,0,G,1,0,0,1,0,0,30.0,73,190,9,2,1,1,1,0,0,105.7,2,3,105.7,1,2,112.0,113.3,17.0,1,4,112.0,113.3,-5.25,-5.333333333333333,19.3,19.3,19.3,6.333333333333333,6.333333333333333,6.333333333333333,14.333333333333334,14.333333333333334,14.333333333333334,0.442,0.442,0.442,3.3333333333333335,3.3333333333333335,3.3333333333333335,8.333333333333334,8.333333333333334,8.333333333333334,0.4,0.4,0.4,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.33,0.33,0.33,32.3,32.3,32.3,0
4,22024,1626179,0022400147,"NOV 02, 2024",MIA @ WAS,W,31,4,13,0.308,3,7,0.429,1,2,0.5,1,2,3,4,0,0,0,0,12,29,1,MIA,1610612748,WAS,1610612764,0,1,G,1,0,0,1,0,0,30.0,73,190,9,2,2,1,0,0,0,106.0,2,3,106.0,2,2,118.0,124.0,22.5,2,3,118.0,124.0,1.6,-5.25,18.5,18.5,18.5,6.0,6.0,6.0,14.25,14.25,14.25,0.421,0.421,0.421,3.5,3.5,3.5,8.25,8.25,8.25,0.424,0.424,0.424,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,32.90416666666667,32.90416666666667,32.90416666666667,0
5,22024,1626179,0022400159,"NOV 04, 2024",MIA vs. SAC,L,30,3,6,0.5,3,6,0.5,1,2,0.5,0,5,5,4,0,0,2,2,10,6,1,MIA,1610612748,SAC,1610612758,1,0,G,1,0,0,1,0,0,30.0,73,190,9,3,2,1,2,0,0,108.4,3,2,108.4,3,3,119.5,114.7,21.0,3,2,120.4,114.2,5.6,1.6,17.2,17.2,17.2,5.6,5.6,5.6,14.0,14.0,14.0,0.4,0.4,0.4,3.4,3.4,3.4,8.0,8.0,8.0,0.425,0.425,0.425,2.6,2.6,2.6,2.8,2.8,2.8,0.929,0.929,0.929,0.2,0.2,0.2,0.6,0.6,0.6,32.59,32.59,32.59,0
6,22024,1626179,0022400178,"NOV 06, 2024",MIA @ PHX,L,32,2,10,0.2,1,7,0.143,2,2,1.0,1,6,7,5,1,0,2,1,7,10,1,MIA,1610612748,PHX,1610612756,0,0,G,1,0,0,1,0,0,30.0,73,190,9,3,3,1,0,0,0,108.7,3,2,111.0,6,1,114.4,110.7,19.142857142857142,5,0,113.8,107.8,6.6,2.3333333333333335,15.4,16.0,16.0,5.2,5.166666666666667,5.166666666666667,12.2,12.666666666666666,12.666666666666666,0.426,0.408,0.408,3.6,3.3333333333333335,3.3333333333333335,7.8,7.666666666666667,7.666666666666667,0.462,0.435,0.435,1.4,2.3333333333333335,2.3333333333333335,1.8,2.6666666666666665,2.6666666666666665,0.778,0.875,0.875,0.2,0.16666666666666666,0.16666666666666666,0.6,0.5,0.5,32.193333333333335,32.16944443333333,32.16944443333333,0
7,22024,1626179,0022400194,"NOV 08, 2024",MIA @ DEN,L,35,6,13,0.462,2,3,0.667,1,1,1.0,2,1,3,4,1,0,1,1,15,-22,1,MIA,1610612748,DEN,1610612743,0,0,G,1,0,0,1,0,0,30.0,73,190,9,3,4,1,1,0,0,109.1,2,3,110.6,5,3,119.0,117.3,20.25,4,1,126.8,120.4,3.6,3.4285714285714284,13.0,14.7,14.7,4.2,4.714285714285714,4.714285714285714,11.8,12.285714285714286,12.285714285714286,0.356,0.384,0.384,3.2,3.0,3.0,8.0,7.571428571428571,7.571428571428571,0.4,0.396,0.396,1.4,2.2857142857142856,2.2857142857142856,1.8,2.5714285714285716,2.5714285714285716,0.778,0.889,0.889,0.4,0.2857142857142857,0.2857142857142857,0.8,0.57,0.57,32.26,32.135714283333336,32.135714283333336,1
8,22024,1626179,0022400206,"NOV 10, 2024",MIA @ MIN,W,32,4,8,0.5,0,2,0.0,3,3,1.0,0,4,4,1,3,1,3,3,11,-5,1,MIA,1610612748,MIN,1610612750,0,0,G,1,0,0,1,0,0,30.0,73,190,9,3,5,1,2,0,0,110.8,1,4,113.8,6,3,116.0,109.9,19.666666666666668,4,1,119.6,108.6,3.6,0.25,12.0,14.8,14.8,4.0,4.875,4.875,11.2,12.375,12.375,0.357,0.394,0.394,2.6,2.875,2.875,6.2,7.0,7.0,0.419,0.411,0.411,1.4,2.125,2.125,1.8,2.375,2.375,0.778,0.895,0.895,0.8,0.5,0.5,0.8,0.63,0.63,32.56333333333333,32.46458333333333,32.46458333333333,0
9,22024,1626179,0022400002,"NOV 12, 2024",MIA @ DET,L,40,3,14,0.214,0,5,0.0,1,1,1.0,0,2,2,5,1,1,3,2,7,-2,1,MIA,1610612748,DET,1610612765,0,0,G,1,0,0,1,0,0,30.0,73,190,9,4,5,2,2,0,0,109.0,2,3,111.4,4,7,107.1,109.6,20.90909090909091,3,2,109.8,105.0,-2.6,-0.3333333333333333,11.0,14.3,20.0,3.8,4.777777777777778,7.0,10.0,11.88888888888889,16.0,0.38,0.402,0.438,1.8,2.5555555555555554,5.0,5.0,6.444444444444445,12.0,0.36,0.397,0.417,1.6,2.2222222222222223,1.0,2.0,2.4444444444444446,1.0,0.8,0.909,1.0,0.8,0.4444444444444444,0.0,1.0,0.89,1.0,31.973333333333333,32.387037033333336,33.25,0
